symbol,date,open,high,low,close,volume,market_cap
AE,"Dec 20, 2017",1.57,1.59,1.38,1.50,"4,884,380","366,001,000"
AE,"Dec 19, 2017",1.34,1.70,1.34,1.55,"6,317,100","311,603,000"
AE,"Dec 18, 2017",1.27,1.35,1.18,1.34,"3,815,380","295,018,000"
AE,"Dec 17, 2017",1.18,1.36,1.18,1.28,"2,727,140","274,350,000"
AE,"Dec 16, 2017",1.26,1.32,1.12,1.19,"4,237,580","293,661,000"
AE,"Dec 15, 2017",0.798690,1.26,0.788689,1.26,"6,010,610","186,111,000"
AE,"Dec 14, 2017",0.638842,0.788441,0.625890,0.788441,"2,329,860","148,863,000"
AE,"Dec 13, 2017",0.659843,0.720033,0.614840,0.638113,"1,619,990","153,757,000"
AE,"Dec 12, 2017",0.645472,0.660133,0.594340,0.659490,"1,456,990","150,408,000"
AE,"Dec 11, 2017",0.579945,0.644374,0.566355,0.644374,"1,199,350","135,139,000"
AE,"Dec 10, 2017",0.625306,0.638255,0.568755,0.579934,"948,690","145,709,000"
AE,"Dec 09, 2017",0.638560,0.668934,0.610688,0.623724,"1,249,470","148,798,000"
AE,"Dec 08, 2017",0.613507,0.641847,0.576212,0.638163,"1,308,730","142,960,000"
AE,"Dec 07, 2017",0.611595,0.656109,0.575865,0.613694,"1,528,110","142,514,000"
AE,"Dec 06, 2017",0.589559,0.652528,0.570843,0.612980,"1,441,510","137,379,000"
AE,"Dec 05, 2017",0.598230,0.625981,0.581440,0.590182,"915,988","139,400,000"
AE,"Dec 04, 2017",0.613574,0.624807,0.568434,0.595969,"1,171,920","142,975,000"
AE,"Dec 03, 2017",0.579764,0.696111,0.579764,0.611477,"1,135,280","135,097,000"
AE,"Dec 02, 2017",0.550898,0.581337,0.549933,0.580648,"941,222","128,370,000"
AE,"Dec 01, 2017",0.539763,0.572650,0.508753,0.552976,"965,399","125,776,000"
AE,"Nov 30, 2017",0.531436,0.553194,0.473427,0.541153,"942,626","123,836,000"
AE,"Nov 29, 2017",0.544699,0.615994,0.525856,0.525856,"1,309,990","126,926,000"
AE,"Nov 28, 2017",0.556659,0.578857,0.528782,0.544577,"1,436,770","129,713,000"
