symbol,date,open,high,low,close,volume,market_cap
AEON,"Dec 20, 2017",4.05,4.56,3.41,4.41,"777,027","59,389,000"
AEON,"Dec 19, 2017",4.57,4.78,3.85,4.06,"633,251","66,899,500"
AEON,"Dec 18, 2017",3.95,4.78,3.79,4.50,"1,089,080","57,873,600"
AEON,"Dec 17, 2017",3.52,4.69,3.38,3.94,"1,256,090","51,635,000"
AEON,"Dec 16, 2017",3.35,3.91,3.26,3.53,"653,001","49,061,900"
AEON,"Dec 15, 2017",3.67,3.81,3.20,3.32,"330,720","53,745,300"
AEON,"Dec 14, 2017",3.74,3.74,3.31,3.66,"407,090","54,761,900"
AEON,"Dec 13, 2017",3.64,3.86,3.23,3.75,"982,082","53,307,500"
AEON,"Dec 12, 2017",3.55,3.90,3.36,3.90,"419,354","52,066,400"
AEON,"Dec 11, 2017",3.44,3.72,3.38,3.54,"175,110","50,470,400"
AEON,"Dec 10, 2017",3.73,3.73,3.18,3.47,"177,267","54,675,400"
AEON,"Dec 09, 2017",3.59,4.50,3.27,3.71,"420,236","52,557,000"
AEON,"Dec 08, 2017",3.53,3.76,3.10,3.60,"255,323","51,754,000"
AEON,"Dec 07, 2017",3.87,4.32,3.46,3.61,"427,294","56,651,500"
AEON,"Dec 06, 2017",3.66,3.95,3.35,3.93,"340,366","53,590,500"
AEON,"Dec 05, 2017",3.77,3.98,3.67,3.67,"335,602","55,253,700"
AEON,"Dec 04, 2017",3.93,4.04,3.60,3.72,"296,015","57,637,900"
AEON,"Dec 03, 2017",3.99,4.26,3.67,3.89,"224,745","58,524,400"
AEON,"Dec 02, 2017",3.97,4.28,3.93,3.99,"141,455","58,220,600"
AEON,"Dec 01, 2017",3.60,4.11,3.41,4.00,"236,802","52,707,700"
AEON,"Nov 30, 2017",3.52,4.30,3.20,3.62,"305,270","51,500,700"
AEON,"Nov 29, 2017",3.48,4.71,3.41,3.47,"936,159","51,020,300"
AEON,"Nov 28, 2017",3.14,3.73,3.08,3.56,"416,556","46,037,200"
AEON,"Nov 27, 2017",2.96,3.37,2.96,3.13,"222,685","43,368,800"
AEON,"Nov 26, 2017",2.66,3.50,2.65,2.98,"659,720","39,041,000"
AEON,"Nov 25, 2017",2.60,2.82,2.55,2.67,"197,326","38,157,200"
AEON,"Nov 24, 2017",2.90,3.04,2.60,2.60,"222,982","42,515,200"
AEON,"Nov 23, 2017",2.95,3.01,2.70,2.91,"287,609","43,167,400"
AEON,"Nov 22, 2017",2.58,2.96,2.55,2.96,"264,449","37,786,000"
AEON,"Nov 21, 2017",2.45,2.76,2.37,2.56,"226,090","35,909,200"
AEON,"Nov 20, 2017",2.53,2.74,2.35,2.45,"346,878","37,090,200"
AEON,"Nov 19, 2017",2.27,2.82,2.21,2.53,"318,886","33,233,800"
AEON,"Nov 18, 2017",2.09,2.58,2.06,2.25,"683,378","30,566,000"
AEON,"Nov 17, 2017",2.11,3.08,2.05,2.08,"2,807,520","30,958,100"
AEON,"Nov 16, 2017",1.72,2.32,1.64,1.99,"687,475","25,166,200"
AEON,"Nov 15, 2017",1.60,1.73,1.59,1.68,"90,256","23,502,000"
AEON,"Nov 14, 2017",1.46,1.69,1.41,1.60,"259,151","21,320,800"
AEON,"Nov 13, 2017",1.43,1.61,1.33,1.45,"170,470","20,947,100"
AEON,"Nov 12, 2017",1.49,1.66,1.33,1.43,"105,777","21,868,700"
AEON,"Nov 11, 2017",1.57,1.67,1.47,1.49,"75,973","22,982,600"
AEON,"Nov 10, 2017",1.82,1.90,1.51,1.57,"147,538","26,659,000"
AEON,"Nov 09, 2017",1.67,1.88,1.55,1.81,"247,321","24,530,900"
AEON,"Nov 08, 2017",1.50,1.68,1.44,1.68,"149,643","21,928,000"
AEON,"Nov 07, 2017",1.51,1.57,1.43,1.50,"92,168","22,157,300"
AEON,"Nov 06, 2017",1.59,1.64,1.37,1.48,"167,147","23,222,800"
AEON,"Nov 05, 2017",1.85,1.99,1.43,1.55,"344,544","27,148,500"
AEON,"Nov 04, 2017",1.23,2.11,1.19,1.81,"752,746","17,974,500"
AEON,"Nov 03, 2017",1.20,1.34,1.18,1.23,"132,036","17,630,500"
AEON,"Nov 02, 2017",1.31,1.31,1.20,1.20,"136,680","19,202,400"
AEON,"Nov 01, 2017",1.41,1.48,1.25,1.31,"162,867","20,627,700"
AEON,"Oct 31, 2017",1.42,1.44,1.38,1.41,"105,977","20,861,700"
AEON,"Oct 30, 2017",1.44,1.47,1.41,1.45,"43,857","21,050,600"
AEON,"Oct 29, 2017",1.47,1.53,1.42,1.50,"101,437","21,503,400"
AEON,"Oct 28, 2017",1.51,1.57,1.46,1.47,"56,103","22,169,000"
AEON,"Oct 27, 2017",1.54,1.64,1.49,1.51,"88,994","22,521,300"
AEON,"Oct 26, 2017",1.63,1.68,1.47,1.54,"74,315","23,919,200"
AEON,"Oct 25, 2017",1.67,1.72,1.49,1.61,"122,234","24,495,300"
AEON,"Oct 24, 2017",1.49,1.78,1.43,1.66,"177,141","21,784,100"
AEON,"Oct 23, 2017",1.66,1.88,1.51,1.51,"102,563","24,280,600"
AEON,"Oct 22, 2017",1.45,1.78,1.44,1.75,"141,668","21,276,900"
AEON,"Oct 21, 2017",1.64,1.71,1.43,1.45,"164,907","24,005,300"
AEON,"Oct 20, 2017",1.75,1.78,1.60,1.63,"157,370","25,582,400"
AEON,"Oct 19, 2017",1.79,1.91,1.68,1.77,"253,780","26,180,800"
AEON,"Oct 18, 2017",1.70,2.11,1.61,1.80,"663,521","24,895,900"
AEON,"Oct 17, 2017",1.77,1.80,1.60,1.70,"181,408","25,931,200"
AEON,"Oct 16, 2017",1.93,1.94,1.67,1.76,"168,296","28,301,300"
AEON,"Oct 15, 2017",2.15,2.27,1.79,1.93,"530,020","31,441,700"
AEON,"Oct 14, 2017",1.79,2.53,1.63,2.12,"1,293,570","26,294,300"
AEON,"Oct 13, 2017",1.93,2.01,1.60,1.79,"419,542","28,298,800"
AEON,"Oct 12, 2017",2.00,2.07,1.79,1.93,"601,736","29,266,300"
AEON,"Oct 11, 2017",2.12,2.25,1.98,2.00,"391,564","31,068,900"
AEON,"Oct 10, 2017",2.10,2.52,2.08,2.13,"764,974","30,826,100"
AEON,"Oct 09, 2017",1.80,2.27,1.75,2.12,"746,288","26,415,900"
AEON,"Oct 08, 2017",2.31,2.47,1.78,1.80,"1,136,680","33,787,300"
AEON,"Oct 07, 2017",2.33,3.09,2.18,2.28,"5,408,500","34,071,300"
AEON,"Oct 06, 2017",1.57,2.73,1.51,2.37,"1,571,520","23,068,300"
AEON,"Oct 05, 2017",1.72,1.79,1.52,1.57,"347,091","25,131,200"
AEON,"Oct 04, 2017",1.96,2.09,1.71,1.71,"490,280","28,783,800"
AEON,"Oct 03, 2017",2.09,2.30,1.88,1.97,"577,296","30,612,400"
AEON,"Oct 02, 2017",2.45,2.70,2.00,2.08,"1,941,560","35,839,600"
AEON,"Oct 01, 2017",2.73,3.66,2.49,2.50,"6,350,940","39,992,100"
AEON,"Sep 30, 2017",1.76,3.26,1.76,2.79,"4,083,220","25,855,400"
AEON,"Sep 29, 2017",1.36,1.76,1.36,1.76,"548,224","19,881,700"
AEON,"Sep 28, 2017",1.22,1.54,1.19,1.36,"416,867","17,867,900"
AEON,"Sep 27, 2017",0.969142,1.39,0.956548,1.22,"652,043","14,199,000"
AEON,"Sep 26, 2017",0.916561,1.03,0.888553,0.971852,"79,775","13,428,700"
AEON,"Sep 25, 2017",0.864269,0.936701,0.821169,0.894748,"106,370","12,662,500"
AEON,"Sep 24, 2017",0.792155,0.895797,0.746262,0.865146,"69,839","11,606,000"
AEON,"Sep 23, 2017",0.751846,0.792903,0.731791,0.792886,"18,438","11,015,400"
AEON,"Sep 22, 2017",0.719612,0.815686,0.698979,0.750563,"27,608","10,543,100"
AEON,"Sep 21, 2017",0.821050,0.841685,0.719522,0.720436,"36,132","12,029,300"
AEON,"Sep 20, 2017",0.819981,0.958085,0.817324,0.825101,"107,617","12,013,700"
AEON,"Sep 19, 2017",0.826148,0.881688,0.768151,0.821076,"32,312","12,104,000"
