symbol,date,open,high,low,close,volume,market_cap
AGRS,"Dec 20, 2017",2.04,2.16,1.84,2.03,"458,592","85,801,500"
AGRS,"Dec 19, 2017",2.36,2.43,1.94,2.04,"1,607,490","99,301,900"
AGRS,"Dec 18, 2017",1.45,2.72,1.42,2.36,"3,671,060","61,044,900"
AGRS,"Dec 17, 2017",1.24,1.54,1.22,1.48,"519,194","52,165,200"
AGRS,"Dec 16, 2017",1.22,1.37,1.17,1.24,"559,047","51,400,000"
AGRS,"Dec 15, 2017",1.31,1.34,1.17,1.22,"388,311","55,051,700"
AGRS,"Dec 14, 2017",1.30,1.36,1.26,1.31,"580,720","54,746,500"
AGRS,"Dec 13, 2017",1.44,1.44,1.22,1.31,"769,286","60,340,200"
AGRS,"Dec 12, 2017",1.29,1.51,1.20,1.42,"1,364,340","54,046,700"
AGRS,"Dec 11, 2017",1.25,1.46,1.15,1.28,"1,740,810","52,408,100"
AGRS,"Dec 10, 2017",1.10,1.61,1.00,1.31,"8,640,000","46,161,900"
AGRS,"Dec 09, 2017",0.976155,1.69,0.880370,1.10,"4,549,180","40,998,500"
AGRS,"Dec 08, 2017",0.871934,1.20,0.774505,1.01,"456,683","36,621,200"
AGRS,"Dec 07, 2017",0.961786,0.977938,0.840122,0.869715,"599,966","40,395,000"
AGRS,"Dec 06, 2017",1.12,1.12,0.946362,0.976238,"1,037,660","47,226,700"
AGRS,"Dec 05, 2017",1.04,1.44,1.03,1.13,"3,457,600","43,576,000"
AGRS,"Dec 04, 2017",1.02,1.07,0.937377,1.05,"1,273,310","42,791,400"
AGRS,"Dec 03, 2017",1.12,1.14,0.898201,1.02,"1,493,360","46,909,400"
AGRS,"Dec 02, 2017",1.35,1.41,1.04,1.12,"4,988,940","56,493,700"
AGRS,"Dec 01, 2017",0.673434,1.59,0.621292,1.23,"18,038,200","28,284,200"
AGRS,"Nov 30, 2017",0.508044,0.692455,0.494395,0.654191,"330,509","21,337,900"
AGRS,"Nov 29, 2017",0.565000,0.609181,0.471018,0.502876,"159,769","23,730,000"
