symbol,date,open,high,low,close,volume,market_cap
AMP,"Dec 20, 2017",0.448988,0.467444,0.391914,0.443214,"2,270,460","36,932,100"
AMP,"Dec 19, 2017",0.459797,0.528764,0.408662,0.451361,"3,744,920","37,821,200"
AMP,"Dec 18, 2017",0.395714,0.498668,0.374894,0.460633,"3,052,980","32,550,000"
AMP,"Dec 17, 2017",0.365969,0.398862,0.349542,0.394344,"1,936,930","30,103,300"
AMP,"Dec 16, 2017",0.335764,0.365589,0.322847,0.364828,"1,089,640","27,618,700"
AMP,"Dec 15, 2017",0.338560,0.361160,0.291016,0.330816,"1,359,790","27,848,700"
AMP,"Dec 14, 2017",0.333821,0.377716,0.316686,0.338189,"1,525,220","27,458,900"
AMP,"Dec 13, 2017",0.337785,0.412044,0.322067,0.340493,"2,750,390","27,784,900"
AMP,"Dec 12, 2017",0.262269,0.478236,0.256182,0.331844,"7,190,660","21,573,300"
AMP,"Dec 11, 2017",0.246257,0.297519,0.245900,0.261697,"776,365","20,256,200"
AMP,"Dec 10, 2017",0.280846,0.281981,0.224634,0.246977,"549,688","23,101,400"
AMP,"Dec 09, 2017",0.278139,0.332388,0.263894,0.279707,"1,064,980","22,878,700"
AMP,"Dec 08, 2017",0.296780,0.297646,0.237871,0.279243,"976,334","24,412,000"
AMP,"Dec 07, 2017",0.303031,0.344991,0.281655,0.299337,"1,329,930","24,926,300"
AMP,"Dec 06, 2017",0.342760,0.360508,0.297110,0.303942,"1,985,620","28,194,200"
AMP,"Dec 05, 2017",0.325716,0.367246,0.307645,0.342512,"2,440,940","26,792,200"
AMP,"Dec 04, 2017",0.263604,0.337521,0.260562,0.322904,"2,013,020","21,683,100"
AMP,"Dec 03, 2017",0.265540,0.299171,0.248860,0.262734,"694,718","21,842,300"
AMP,"Dec 02, 2017",0.270697,0.270697,0.245015,0.264791,"913,606","22,266,600"
AMP,"Dec 01, 2017",0.227383,0.276688,0.210501,0.276688,"1,295,130","18,703,700"
AMP,"Nov 30, 2017",0.219978,0.246176,0.199634,0.219678,"361,080","18,094,600"
AMP,"Nov 29, 2017",0.286970,0.301716,0.210518,0.216696,"1,167,220","23,605,100"
AMP,"Nov 28, 2017",0.268202,0.285120,0.241240,0.279769,"1,466,500","22,061,300"
AMP,"Nov 27, 2017",0.289106,0.292671,0.248838,0.270254,"1,757,630","23,780,800"
AMP,"Nov 26, 2017",0.230442,0.306353,0.210143,0.290826,"2,823,200","18,955,300"
AMP,"Nov 25, 2017",0.223593,0.246393,0.220021,0.229483,"858,022","18,391,900"
AMP,"Nov 24, 2017",0.193270,0.238128,0.187417,0.225424,"1,085,760","15,897,700"
AMP,"Nov 23, 2017",0.183442,0.197963,0.181884,0.192828,"201,527","15,089,300"
AMP,"Nov 22, 2017",0.181404,0.197949,0.180821,0.183421,"213,560","14,921,600"
AMP,"Nov 21, 2017",0.177348,0.192842,0.165863,0.180421,"304,745","14,588,000"
AMP,"Nov 20, 2017",0.162171,0.203645,0.155634,0.172421,"901,060","13,339,600"
AMP,"Nov 19, 2017",0.150368,0.171888,0.150010,0.164478,"364,406","12,368,700"
AMP,"Nov 18, 2017",0.145324,0.158092,0.141702,0.150647,"133,492","11,953,800"
AMP,"Nov 17, 2017",0.153979,0.158047,0.140288,0.145884,"144,186","12,665,800"
AMP,"Nov 16, 2017",0.158383,0.174001,0.151519,0.154501,"390,447","13,028,000"
AMP,"Nov 15, 2017",0.160327,0.166850,0.151124,0.157364,"298,945","13,187,900"
AMP,"Nov 14, 2017",0.151686,0.161857,0.150342,0.160217,"223,632","12,477,100"
AMP,"Nov 13, 2017",0.128142,0.151617,0.128142,0.151617,"204,799","10,540,500"
AMP,"Nov 12, 2017",0.147045,0.150710,0.123860,0.129509,"197,635","12,095,400"
AMP,"Nov 11, 2017",0.155262,0.161433,0.145807,0.147154,"190,291","12,771,300"
AMP,"Nov 10, 2017",0.160071,0.173400,0.148315,0.156035,"374,900","13,166,800"
AMP,"Nov 09, 2017",0.161124,0.166673,0.154538,0.159280,"260,065","13,253,500"
AMP,"Nov 08, 2017",0.149920,0.178340,0.140290,0.159436,"430,385","12,331,900"
AMP,"Nov 07, 2017",0.139106,0.155073,0.139106,0.150392,"178,363","11,442,400"
AMP,"Nov 06, 2017",0.142039,0.163006,0.138424,0.139592,"311,675","11,683,600"
AMP,"Nov 05, 2017",0.133298,0.167041,0.132342,0.141339,"445,543","10,964,600"
AMP,"Nov 04, 2017",0.136759,0.138714,0.129942,0.133448,"88,973","11,249,300"
AMP,"Nov 03, 2017",0.127261,0.138762,0.123854,0.137541,"144,863","10,468,000"
AMP,"Nov 02, 2017",0.137473,0.143852,0.119538,0.126837,"322,419","11,308,000"
AMP,"Nov 01, 2017",0.149413,0.150544,0.134751,0.137356,"156,868","12,290,200"
