symbol,date,open,high,low,close,volume,market_cap
ARDR,"Dec 20, 2017",1.10,1.16,0.951351,1.13,"18,438,500","1,101,360,000"
ARDR,"Dec 19, 2017",1.14,1.22,1.03,1.10,"19,188,100","1,135,710,000"
ARDR,"Dec 18, 2017",0.967659,1.18,0.932147,1.14,"23,040,900","966,691,000"
ARDR,"Dec 17, 2017",0.933518,1.03,0.919362,0.967058,"12,641,100","932,584,000"
ARDR,"Dec 16, 2017",0.978879,0.978879,0.891833,0.929638,"16,427,200","977,899,000"
ARDR,"Dec 15, 2017",0.913974,0.927552,0.791578,0.887571,"14,411,800","913,059,000"
ARDR,"Dec 14, 2017",0.974259,1.00,0.873633,0.917276,"13,173,700","973,285,000"
ARDR,"Dec 13, 2017",0.976817,1.05,0.892317,0.969969,"19,984,000","975,840,000"
ARDR,"Dec 12, 2017",0.616162,1.06,0.598177,1.02,"45,681,200","615,545,000"
ARDR,"Dec 11, 2017",0.492554,0.619898,0.492554,0.612341,"7,343,840","492,061,000"
ARDR,"Dec 10, 2017",0.556584,0.556584,0.412828,0.497229,"4,398,910","556,027,000"
ARDR,"Dec 09, 2017",0.562365,0.599476,0.502344,0.548030,"5,441,910","561,802,000"
ARDR,"Dec 08, 2017",0.541964,0.589217,0.482469,0.566157,"8,734,970","541,422,000"
ARDR,"Dec 07, 2017",0.509410,0.585826,0.474914,0.556669,"10,991,000","508,900,000"
ARDR,"Dec 06, 2017",0.564584,0.571469,0.491806,0.505507,"11,237,100","564,019,000"
ARDR,"Dec 05, 2017",0.605662,0.639035,0.563917,0.571476,"10,425,600","605,056,000"
ARDR,"Dec 04, 2017",0.473370,0.583419,0.467184,0.574842,"12,162,400","472,897,000"
ARDR,"Dec 03, 2017",0.426025,0.514862,0.413421,0.474226,"16,024,000","425,599,000"
ARDR,"Dec 02, 2017",0.350073,0.440569,0.346655,0.431139,"8,809,400","349,723,000"
ARDR,"Dec 01, 2017",0.305808,0.364667,0.291945,0.349104,"2,315,330","305,502,000"
ARDR,"Nov 30, 2017",0.300830,0.327369,0.266725,0.305943,"2,713,070","300,529,000"
ARDR,"Nov 29, 2017",0.362574,0.390520,0.297123,0.297123,"5,596,700","362,211,000"
ARDR,"Nov 28, 2017",0.345735,0.376579,0.312355,0.360362,"4,724,580","345,389,000"
ARDR,"Nov 27, 2017",0.325634,0.374892,0.324699,0.342233,"4,595,960","325,308,000"
ARDR,"Nov 26, 2017",0.277809,0.327665,0.270311,0.327665,"2,875,270","277,531,000"
ARDR,"Nov 25, 2017",0.264771,0.285542,0.264771,0.278057,"1,165,860","264,506,000"
ARDR,"Nov 24, 2017",0.278349,0.278349,0.256359,0.264949,"1,497,870","278,070,000"
ARDR,"Nov 23, 2017",0.295666,0.296407,0.265557,0.279408,"2,348,920","295,370,000"
ARDR,"Nov 22, 2017",0.269115,0.328617,0.266229,0.297881,"7,793,390","268,846,000"
