symbol,date,open,high,low,close,volume,market_cap
BAY,"Dec 20, 2017",0.259951,0.280766,0.212705,0.272943,"20,646,200","262,132,000"
BAY,"Dec 19, 2017",0.276697,0.338085,0.223786,0.264587,"50,906,500","279,011,000"
BAY,"Dec 18, 2017",0.129740,0.263578,0.124115,0.246230,"34,713,700","130,821,000"
BAY,"Dec 17, 2017",0.113377,0.141556,0.111385,0.128398,"11,903,000","114,320,000"
BAY,"Dec 16, 2017",0.088240,0.132003,0.088150,0.116278,"20,677,900","88,971,000"
BAY,"Dec 15, 2017",0.092895,0.093518,0.079046,0.088819,"3,808,920","93,662,800"
BAY,"Dec 14, 2017",0.084988,0.099089,0.081962,0.093752,"6,944,040","85,688,200"
BAY,"Dec 13, 2017",0.090169,0.092151,0.081665,0.085098,"4,610,660","90,908,800"
BAY,"Dec 12, 2017",0.084010,0.099145,0.080326,0.089756,"5,972,870","84,697,000"
BAY,"Dec 11, 2017",0.067842,0.099037,0.064975,0.083238,"9,439,390","68,395,400"
BAY,"Dec 10, 2017",0.070665,0.082021,0.049490,0.068794,"4,478,770","71,239,600"
BAY,"Dec 09, 2017",0.075008,0.080249,0.062319,0.070529,"2,001,900","75,615,500"
BAY,"Dec 08, 2017",0.067878,0.078580,0.062166,0.075245,"2,527,510","68,426,200"
BAY,"Dec 07, 2017",0.072527,0.094953,0.063479,0.069097,"5,657,440","73,110,900"
BAY,"Dec 06, 2017",0.079458,0.082827,0.067277,0.075262,"4,631,380","80,095,800"
BAY,"Dec 05, 2017",0.082175,0.087700,0.074274,0.078586,"5,708,910","82,833,000"
BAY,"Dec 04, 2017",0.064305,0.082013,0.064305,0.082013,"5,560,880","64,817,900"
BAY,"Dec 03, 2017",0.064838,0.072136,0.059195,0.063757,"2,804,670","65,353,800"
BAY,"Dec 02, 2017",0.055506,0.074038,0.053569,0.065864,"6,560,880","55,945,600"
BAY,"Dec 01, 2017",0.048380,0.056526,0.044851,0.056526,"2,096,640","48,761,900"
BAY,"Nov 30, 2017",0.059844,0.064462,0.041577,0.047920,"3,176,840","60,314,600"
BAY,"Nov 29, 2017",0.072280,0.078703,0.048787,0.050432,"5,265,960","72,849,200"
BAY,"Nov 28, 2017",0.077735,0.077735,0.066264,0.071661,"6,054,290","78,347,200"
BAY,"Nov 27, 2017",0.078149,0.091298,0.072927,0.077148,"8,749,870","78,763,700"
BAY,"Nov 26, 2017",0.056676,0.087727,0.055221,0.078319,"15,113,100","57,121,500"
BAY,"Nov 25, 2017",0.050244,0.061077,0.047822,0.056171,"3,712,410","50,639,400"
BAY,"Nov 24, 2017",0.047661,0.050327,0.044685,0.050264,"896,436","48,035,300"
BAY,"Nov 23, 2017",0.050589,0.050629,0.046447,0.047164,"733,224","50,986,800"
BAY,"Nov 22, 2017",0.043411,0.052724,0.043041,0.050360,"2,096,530","43,752,300"
BAY,"Nov 21, 2017",0.045949,0.049371,0.041075,0.043706,"869,760","46,309,600"
