symbol,date,open,high,low,close,volume,market_cap
BBR,"Dec 20, 2017",2.04,2.41,1.92,2.09,"16,302","21,911,200"
BBR,"Dec 19, 2017",1.91,2.66,1.86,2.10,"10,449","20,511,200"
BBR,"Dec 18, 2017",1.72,1.91,1.64,1.91,"21,535","18,458,500"
BBR,"Dec 17, 2017",1.61,2.17,1.59,1.72,"27,623","17,225,200"
BBR,"Dec 16, 2017",1.55,2.24,1.35,1.61,"24,664","16,668,200"
BBR,"Dec 15, 2017",1.99,2.22,1.18,1.55,"3,834","21,338,400"
BBR,"Dec 14, 2017",1.97,2.06,1.79,1.99,"29,189","21,069,000"
BBR,"Dec 13, 2017",2.08,2.34,1.91,1.97,"45,669","22,266,500"
BBR,"Dec 12, 2017",2.02,3.04,1.97,2.08,"37,411","21,658,700"
BBR,"Dec 11, 2017",2.20,2.68,1.99,2.01,"32,765","23,618,300"
BBR,"Dec 10, 2017",2.25,2.33,1.92,2.22,"13,532","24,164,300"
BBR,"Dec 09, 2017",2.44,3.02,1.67,2.25,"9,674","26,152,300"
BBR,"Dec 08, 2017",1.74,3.56,1.48,2.44,"47,069","18,606,900"
BBR,"Dec 07, 2017",2.61,2.93,0.950870,1.73,"46,415","27,977,300"
BBR,"Dec 06, 2017",2.63,2.87,2.30,2.61,"46,519","28,222,400"
BBR,"Dec 05, 2017",2.63,2.69,2.60,2.64,"26,461","28,183,700"
BBR,"Dec 04, 2017",2.72,3.22,2.50,2.62,"48,823","29,150,400"
BBR,"Dec 03, 2017",2.40,3.31,2.32,2.71,"58,257","25,756,700"
BBR,"Dec 02, 2017",2.46,2.96,1.98,2.40,"53,347","26,279,600"
BBR,"Dec 01, 2017",2.70,2.99,1.69,2.46,"38,686","28,866,600"
BBR,"Nov 30, 2017",1.67,2.90,1.52,2.71,"76,914","17,867,200"
BBR,"Nov 29, 2017",1.29,2.17,0.976486,1.65,"86,325","13,782,100"
BBR,"Nov 28, 2017",1.22,1.43,0.775424,0.973908,"9,575",-
BBR,"Nov 27, 2017",1.21,1.22,1.21,1.22,"54,131","11,507,900"
BBR,"Sep 09, 2017",0.242630,0.247068,0.235752,0.242214,"98,936","2,312,870"
BBR,"Sep 08, 2017",0.259725,0.263309,0.232310,0.242161,"98,915","2,475,820"
BBR,"Sep 07, 2017",0.258710,0.262548,0.252218,0.259673,"106,068","2,466,150"
BBR,"Sep 06, 2017",0.247742,0.270286,0.247639,0.259206,"105,877","2,361,590"
BBR,"Sep 05, 2017",0.241357,0.252126,0.227390,0.247460,"101,079","2,300,730"
