symbol,date,open,high,low,close,volume,market_cap
BCO,"Dec 20, 2017",1.29,1.35,1.13,1.30,"69,714","34,893,400"
BCO,"Dec 19, 2017",1.51,1.59,1.24,1.29,"84,893","40,824,400"
BCO,"Dec 18, 2017",1.59,1.67,1.32,1.51,"228,570","43,042,300"
BCO,"Dec 17, 2017",1.49,1.73,1.43,1.59,"272,985","40,141,100"
BCO,"Dec 16, 2017",1.30,1.50,0.856530,1.49,"106,694","35,193,800"
BCO,"Dec 15, 2017",1.12,1.50,1.05,1.30,"262,519","30,349,400"
BCO,"Dec 14, 2017",0.861788,1.16,0.856037,1.12,"114,871","23,268,300"
BCO,"Dec 13, 2017",0.863550,0.886048,0.793340,0.864326,"108,321","23,315,800"
BCO,"Dec 12, 2017",0.673746,0.862932,0.594484,0.862932,"83,485","18,191,200"
BCO,"Dec 11, 2017",0.613135,0.694846,0.559146,0.671586,"88,059","16,554,600"
BCO,"Dec 10, 2017",0.510117,0.630468,0.426941,0.616998,"32,770","13,773,200"
BCO,"Dec 09, 2017",0.474591,0.525592,0.418305,0.508037,"25,785","12,814,000"
BCO,"Dec 08, 2017",0.519465,0.591583,0.387056,0.475056,"29,875","14,025,600"
BCO,"Dec 07, 2017",0.588219,0.612505,0.375823,0.517953,"28,418","15,881,900"
BCO,"Dec 06, 2017",0.517460,0.589204,0.470727,0.589204,"26,150","13,971,400"
BCO,"Dec 05, 2017",0.497402,0.540967,0.438755,0.518517,"13,483","13,429,900"
BCO,"Dec 04, 2017",0.454216,0.504721,0.411392,0.496604,"23,027","12,263,800"
BCO,"Dec 03, 2017",0.422296,0.512303,0.392126,0.452701,"27,620","11,402,000"
BCO,"Dec 02, 2017",0.543651,0.579891,0.397724,0.421985,"31,858","14,678,600"
BCO,"Dec 01, 2017",0.361191,0.663018,0.278592,0.543332,"225,976","9,752,170"
BCO,"Nov 30, 2017",0.231184,0.366472,0.208415,0.362783,"17,844","6,241,980"
BCO,"Nov 29, 2017",0.295611,0.306380,0.220028,0.224127,"13,165","7,977,900"
BCO,"Nov 28, 2017",0.227732,0.281795,0.206499,0.271585,"28,169","6,136,390"
BCO,"Nov 27, 2017",0.207972,0.267178,0.188750,0.235381,"49,195","5,595,000"
BCO,"Nov 26, 2017",0.234904,0.244741,0.199212,0.207825,"16,928","6,309,510"
BCO,"Nov 25, 2017",0.222425,0.282457,0.192621,0.234910,"25,735","5,964,990"
BCO,"Nov 24, 2017",0.247851,0.251361,0.187551,0.217667,"32,026","6,636,830"
BCO,"Nov 23, 2017",0.240676,0.324050,0.223133,0.247923,"31,407","6,434,350"
BCO,"Nov 22, 2017",0.200532,0.365481,0.200532,0.240816,"51,812","5,352,380"
BCO,"Nov 21, 2017",0.138983,0.264357,0.136950,0.198508,"38,572","3,703,640"
BCO,"Nov 20, 2017",0.148684,0.184608,0.128054,0.140167,"14,915","3,956,020"
BCO,"Nov 19, 2017",0.126873,0.159513,0.126859,0.144766,"10,088","3,370,300"
BCO,"Nov 18, 2017",0.138554,0.152634,0.113330,0.126623,"17,585","3,674,700"
BCO,"Nov 17, 2017",0.099283,0.185831,0.085074,0.138581,"19,205","2,629,100"
BCO,"Nov 16, 2017",0.110707,0.121089,0.098706,0.099514,"5,365","2,927,640"
BCO,"Nov 15, 2017",0.099604,0.112397,0.099604,0.110133,"6,668","2,629,910"
BCO,"Nov 14, 2017",0.094303,0.106552,0.091732,0.099619,"11,063","2,485,870"
BCO,"Nov 13, 2017",0.088917,0.098711,0.078729,0.094172,"15,110","2,340,180"
BCO,"Nov 12, 2017",0.125563,0.158184,0.087043,0.088521,"7,871","3,299,490"
BCO,"Nov 11, 2017",0.095863,0.147752,0.086937,0.125312,"13,126","2,515,280"
BCO,"Nov 10, 2017",0.120047,0.126323,0.096181,0.096181,"7,848","3,144,790"
BCO,"Nov 09, 2017",0.133653,0.133653,0.106793,0.119743,"7,105","3,496,970"
BCO,"Nov 08, 2017",0.122844,0.134122,0.113940,0.133757,"8,367","3,210,950"
BCO,"Nov 07, 2017",0.106060,0.144404,0.103564,0.123067,"13,592","2,767,920"
BCO,"Nov 06, 2017",0.106573,0.123953,0.094888,0.120670,"9,551","2,776,820"
BCO,"Nov 05, 2017",0.134853,0.136176,0.105390,0.106353,"6,466","3,508,040"
BCO,"Nov 04, 2017",0.132366,0.141060,0.127501,0.135108,"9,101","3,438,330"
BCO,"Nov 03, 2017",0.132266,0.138366,0.125316,0.132712,"13,303","3,430,160"
BCO,"Nov 02, 2017",0.130200,0.147183,0.122866,0.132439,"10,812","3,370,990"
BCO,"Nov 01, 2017",0.106354,0.136744,0.104109,0.130025,"9,450","2,749,030"
BCO,"Oct 31, 2017",0.088572,0.128686,0.077081,0.106513,"15,660","2,285,640"
BCO,"Oct 30, 2017",0.128935,0.128935,0.074523,0.088815,"15,273","3,316,380"
BCO,"Oct 29, 2017",0.138454,0.139191,0.116829,0.129768,"16,652","3,549,670"
BCO,"Oct 28, 2017",0.137311,0.146821,0.122489,0.138373,"13,374","3,508,980"
BCO,"Oct 27, 2017",0.151349,0.158688,0.134885,0.136949,"27,620","3,855,000"
BCO,"Oct 26, 2017",0.120190,0.154404,0.119957,0.151335,"32,880","3,051,010"
BCO,"Oct 25, 2017",0.140050,0.152576,0.111750,0.120206,"12,626","3,543,670"
BCO,"Oct 24, 2017",0.149675,0.208303,0.103883,0.139989,"25,543","3,774,500"
BCO,"Oct 23, 2017",0.147457,0.216990,0.079888,0.150012,"19,906","3,705,960"
BCO,"Oct 22, 2017",0.142195,0.186490,0.131762,0.147694,"17,258","3,561,870"
BCO,"Oct 21, 2017",0.246767,0.246767,0.139920,0.142159,"19,662","6,160,820"
BCO,"Oct 20, 2017",0.265296,0.285582,0.189652,0.247272,"55,699","6,600,490"
BCO,"Oct 19, 2017",0.154050,0.267198,0.152048,0.265238,"31,575","3,819,760"
BCO,"Oct 18, 2017",0.139222,0.202016,0.118995,0.153970,"23,866","3,440,130"
BCO,"Oct 17, 2017",0.170998,0.175352,0.138496,0.139058,"21,335","4,210,790"
BCO,"Oct 16, 2017",0.163183,0.182627,0.160046,0.171109,"37,917","4,004,370"
BCO,"Oct 15, 2017",0.172261,0.202155,0.162840,0.163168,"28,056","4,212,320"
BCO,"Oct 14, 2017",0.177185,0.203061,0.154096,0.171955,"24,367","4,317,760"
BCO,"Oct 13, 2017",0.195951,0.256303,0.151877,0.177137,"35,191","4,758,490"
BCO,"Oct 12, 2017",0.205115,0.244529,0.182890,0.195340,"96,436","4,963,260"
BCO,"Oct 11, 2017",0.224659,0.228444,0.203859,0.204942,"14,269","5,416,570"
BCO,"Oct 10, 2017",0.202395,0.339603,0.202106,0.224697,"28,548",-
