symbol,date,open,high,low,close,volume,market_cap
BITB,"Dec 20, 2017",0.007593,0.017888,0.006372,0.017888,"7,330,450","17,256,300"
BITB,"Dec 19, 2017",0.008061,0.009100,0.007079,0.007426,"2,161,430","18,308,700"
BITB,"Dec 18, 2017",0.007467,0.008519,0.006974,0.008239,"1,352,410","16,945,900"
BITB,"Dec 17, 2017",0.006822,0.008860,0.006387,0.007631,"2,229,680","15,472,600"
BITB,"Dec 16, 2017",0.005480,0.006883,0.005290,0.006816,"578,303","12,418,700"
BITB,"Dec 15, 2017",0.005478,0.005728,0.005197,0.005473,"177,674","12,406,800"
BITB,"Dec 14, 2017",0.005555,0.005851,0.005045,0.005307,"369,926","12,572,100"
BITB,"Dec 13, 2017",0.005192,0.005799,0.004781,0.005573,"254,975","11,742,500"
BITB,"Dec 12, 2017",0.004891,0.005610,0.004849,0.005188,"229,149","11,054,200"
BITB,"Dec 11, 2017",0.004895,0.005522,0.004873,0.004875,"203,569","11,053,800"
BITB,"Dec 10, 2017",0.005854,0.005854,0.004465,0.004930,"257,367","13,210,700"
BITB,"Dec 09, 2017",0.005222,0.006166,0.004790,0.005684,"430,854","11,777,200"
BITB,"Dec 08, 2017",0.005046,0.005664,0.004176,0.005228,"317,142","11,372,200"
BITB,"Dec 07, 2017",0.005221,0.006064,0.004866,0.004866,"505,107","11,758,600"
BITB,"Dec 06, 2017",0.004915,0.005328,0.004646,0.005230,"484,541","11,061,200"
BITB,"Dec 05, 2017",0.004545,0.005420,0.004394,0.004926,"1,018,810","10,221,200"
BITB,"Dec 04, 2017",0.004271,0.004536,0.004050,0.004536,"229,626","9,597,400"
BITB,"Dec 03, 2017",0.004151,0.004542,0.003897,0.004257,"170,883","9,321,700"
BITB,"Dec 02, 2017",0.003696,0.004325,0.003658,0.004041,"397,429","8,295,480"
BITB,"Dec 01, 2017",0.003505,0.003852,0.003321,0.003808,"76,596","7,861,220"
BITB,"Nov 30, 2017",0.003542,0.003896,0.003200,0.003523,"107,501","7,937,140"
