symbol,date,open,high,low,close,volume,market_cap
BITCNY,"Dec 20, 2017",0.146986,0.157736,0.134197,0.144988,"58,452,000","40,317,500"
BITCNY,"Dec 19, 2017",0.149667,0.152305,0.140051,0.147281,"38,997,400","35,326,600"
BITCNY,"Dec 18, 2017",0.144025,0.150156,0.143467,0.149850,"30,436,100","31,851,500"
BITCNY,"Dec 17, 2017",0.150831,0.151358,0.144072,0.144147,"21,091,600","29,782,600"
BITCNY,"Dec 16, 2017",0.145299,0.165411,0.141800,0.150658,"27,864,200","25,638,100"
BITCNY,"Dec 15, 2017",0.151357,0.153637,0.140473,0.145015,"26,900,600","24,128,500"
BITCNY,"Dec 14, 2017",0.147696,0.151378,0.143781,0.150681,"29,847,400","19,981,900"
BITCNY,"Dec 13, 2017",0.155242,0.158192,0.141390,0.147220,"19,202,800","19,397,900"
BITCNY,"Dec 12, 2017",0.147607,0.155808,0.141415,0.155052,"18,521,300","17,596,400"
BITCNY,"Dec 11, 2017",0.140910,0.147274,0.137579,0.147274,"1,631,340","16,275,500"
BITCNY,"Dec 10, 2017",0.142106,0.146372,0.133081,0.140099,"3,227,230","16,102,300"
BITCNY,"Dec 09, 2017",0.146802,0.151855,0.135648,0.141256,"3,987,520","15,940,900"
BITCNY,"Dec 08, 2017",0.143857,0.149109,0.132964,0.145821,"4,507,250","15,463,800"
BITCNY,"Dec 07, 2017",0.136408,0.149333,0.133365,0.144132,"4,560,420","14,075,200"
BITCNY,"Dec 06, 2017",0.151797,0.171888,0.132474,0.134744,"6,120,160","14,430,900"
BITCNY,"Dec 05, 2017",0.151608,0.160839,0.144413,0.151112,"2,737,310","13,977,800"
BITCNY,"Dec 04, 2017",0.149931,0.167869,0.144960,0.153272,"4,753,720","12,378,300"
BITCNY,"Dec 03, 2017",0.145881,0.151462,0.143014,0.149576,"1,979,470","11,854,600"
BITCNY,"Dec 02, 2017",0.148106,0.155199,0.142738,0.146625,"2,632,480","11,988,400"
BITCNY,"Dec 01, 2017",0.143582,0.151889,0.140281,0.147894,"2,406,850","11,637,800"
BITCNY,"Nov 30, 2017",0.144159,0.163983,0.135192,0.144726,"3,949,180","11,585,600"
BITCNY,"Nov 29, 2017",0.153557,0.155288,0.126020,0.144107,"5,333,100","12,092,600"
BITCNY,"Nov 28, 2017",0.148926,0.152960,0.140734,0.152751,"2,186,270","11,911,700"
BITCNY,"Nov 27, 2017",0.144559,0.150567,0.140936,0.149009,"2,103,190","11,163,700"
BITCNY,"Nov 26, 2017",0.144676,0.149933,0.143369,0.144336,"927,511","11,001,400"
BITCNY,"Nov 25, 2017",0.137731,0.159443,0.137096,0.144505,"1,095,020","10,183,900"
BITCNY,"Nov 24, 2017",0.131881,0.146392,0.128738,0.138149,"1,627,440","9,568,160"
BITCNY,"Nov 23, 2017",0.134212,0.138289,0.125306,0.131494,"1,251,210","9,535,600"
BITCNY,"Nov 22, 2017",0.125046,0.135665,0.120994,0.134302,"1,321,720","8,523,600"
BITCNY,"Nov 21, 2017",0.134233,0.153893,0.124199,0.125008,"6,567,350","8,531,380"
BITCNY,"Nov 20, 2017",0.140413,0.144475,0.131745,0.133588,"3,021,250","8,018,190"
BITCNY,"Nov 19, 2017",0.140433,0.143750,0.138616,0.140927,"1,811,410","7,786,820"
BITCNY,"Nov 18, 2017",0.141408,0.144887,0.138230,0.141147,"2,493,810","7,190,360"
BITCNY,"Nov 17, 2017",0.133579,0.146923,0.127313,0.142041,"1,939,100","6,610,810"
BITCNY,"Nov 16, 2017",0.147376,0.148208,0.132574,0.137091,"805,905","7,155,290"
BITCNY,"Nov 15, 2017",0.146921,0.151377,0.142574,0.146859,"1,035,450","7,122,530"
BITCNY,"Nov 14, 2017",0.145694,0.152004,0.142104,0.147611,"670,968","7,064,340"
BITCNY,"Nov 13, 2017",0.147182,0.150511,0.134731,0.147045,"985,291","7,368,810"
BITCNY,"Nov 12, 2017",0.142415,0.151692,0.131380,0.146295,"1,083,750","7,372,760"
BITCNY,"Nov 11, 2017",0.140760,0.150169,0.135572,0.142020,"1,133,950","7,156,170"
BITCNY,"Nov 10, 2017",0.148679,0.150720,0.134831,0.140810,"1,000,680","7,490,360"
BITCNY,"Nov 09, 2017",0.147161,0.151714,0.140196,0.148453,"1,392,260","7,164,190"
BITCNY,"Nov 08, 2017",0.146709,0.155982,0.143818,0.147013,"960,084","7,024,560"
BITCNY,"Nov 07, 2017",0.147398,0.154190,0.142880,0.146456,"744,028","6,891,970"
BITCNY,"Nov 06, 2017",0.150322,0.153588,0.145243,0.147060,"805,654","6,876,110"
BITCNY,"Nov 05, 2017",0.148474,0.151493,0.147385,0.150228,"718,980","6,811,790"
BITCNY,"Nov 04, 2017",0.147752,0.151928,0.141344,0.148362,"641,731","6,549,250"
BITCNY,"Nov 03, 2017",0.147362,0.175674,0.141395,0.148090,"932,753","6,507,080"
BITCNY,"Nov 02, 2017",0.141936,0.161232,0.141936,0.146715,"1,336,960","6,134,540"
BITCNY,"Nov 01, 2017",0.146277,0.159744,0.141190,0.141255,"699,520","6,126,150"
BITCNY,"Oct 31, 2017",0.151387,0.169180,0.146443,0.147154,"721,423","6,257,840"
BITCNY,"Oct 30, 2017",0.151286,0.159186,0.148518,0.151861,"292,085","6,177,260"
BITCNY,"Oct 29, 2017",0.145852,0.152634,0.145852,0.152065,"308,663","6,021,070"
BITCNY,"Oct 28, 2017",0.148019,0.150332,0.145485,0.145683,"133,263","6,080,460"
BITCNY,"Oct 27, 2017",0.149017,0.158666,0.146483,0.148465,"161,847","6,106,510"
BITCNY,"Oct 26, 2017",0.152984,0.153548,0.147721,0.149215,"155,560","6,276,120"
BITCNY,"Oct 25, 2017",0.157931,0.159240,0.146348,0.153143,"190,761","6,399,460"
BITCNY,"Oct 24, 2017",0.150256,0.164576,0.147861,0.158079,"211,782","6,090,340"
BITCNY,"Oct 23, 2017",0.152893,0.166540,0.144692,0.150326,"208,234","6,170,380"
BITCNY,"Oct 22, 2017",0.153972,0.155407,0.145502,0.152654,"151,971","6,208,750"
BITCNY,"Oct 21, 2017",0.153959,0.160088,0.149412,0.155605,"407,312","6,192,570"
