symbol,date,open,high,low,close,volume,market_cap
BITUSD,"Dec 20, 2017",1.01,1.15,0.896278,0.992296,"12,936,100","18,621,000"
BITUSD,"Dec 19, 2017",1.02,1.12,0.941098,1.01,"5,354,090","17,609,400"
BITUSD,"Dec 18, 2017",0.989630,1.05,0.979127,1.02,"3,987,320","15,826,500"
BITUSD,"Dec 17, 2017",1.04,1.07,0.975901,0.986876,"5,244,070","15,922,700"
BITUSD,"Dec 16, 2017",0.989866,1.14,0.955192,1.04,"4,787,170","13,746,600"
BITUSD,"Dec 15, 2017",1.08,1.20,0.932395,0.989043,"5,523,540","13,508,300"
BITUSD,"Dec 14, 2017",1.01,1.15,0.958397,1.07,"4,274,280","11,506,400"
BITUSD,"Dec 13, 2017",1.07,1.17,0.962344,1.01,"2,584,540","11,668,800"
BITUSD,"Dec 12, 2017",1.01,1.07,0.986913,1.07,"2,324,460","10,380,600"
BITUSD,"Dec 11, 2017",0.969450,1.17,0.959525,1.01,"858,054","9,916,120"
BITUSD,"Dec 10, 2017",0.968433,1.03,0.924942,0.970479,"944,816","9,781,560"
BITUSD,"Dec 09, 2017",1.01,1.17,0.959019,0.969136,"1,267,370","9,713,190"
BITUSD,"Dec 08, 2017",1.02,1.19,0.943677,1.01,"1,520,650","9,858,100"
BITUSD,"Dec 07, 2017",0.932072,1.06,0.886930,1.02,"2,336,060","9,043,960"
BITUSD,"Dec 06, 2017",1.01,1.15,0.922780,0.929514,"1,806,990","9,713,960"
BITUSD,"Dec 05, 2017",1.05,1.05,0.975414,1.00,"1,104,700","9,824,990"
BITUSD,"Dec 04, 2017",1.05,1.11,1.00,1.06,"1,690,080","9,188,980"
BITUSD,"Dec 03, 2017",1.00,1.08,0.991802,1.04,"1,316,660","8,601,530"
BITUSD,"Dec 02, 2017",0.996142,1.04,0.965490,1.00,"1,318,550","8,765,560"
BITUSD,"Dec 01, 2017",0.989068,1.03,0.942345,0.994058,"822,850","8,143,580"
BITUSD,"Nov 30, 2017",1.03,1.19,0.947696,0.991048,"1,660,770","7,989,000"
