symbol,date,open,high,low,close,volume,market_cap
BLK,"Dec 20, 2017",0.626804,0.631062,0.535903,0.587439,"2,303,830","47,986,400"
BLK,"Dec 19, 2017",0.581522,0.746230,0.568681,0.637050,"4,922,050","44,518,600"
BLK,"Dec 18, 2017",0.475611,0.628482,0.443661,0.580534,"3,870,620","36,409,600"
BLK,"Dec 17, 2017",0.420631,0.502459,0.412120,0.471927,"1,342,160","32,199,900"
BLK,"Dec 16, 2017",0.400989,0.446201,0.399371,0.420742,"1,781,090","30,695,500"
BLK,"Dec 15, 2017",0.406939,0.423381,0.369022,0.399806,"1,061,150","31,150,200"
BLK,"Dec 14, 2017",0.379504,0.415123,0.375788,0.411349,"1,261,840","29,049,300"
BLK,"Dec 13, 2017",0.350081,0.428643,0.333250,0.380305,"1,254,970","26,796,400"
BLK,"Dec 12, 2017",0.321554,0.396056,0.313475,0.353243,"1,884,070","24,612,300"
BLK,"Dec 11, 2017",0.310011,0.342760,0.294367,0.324218,"937,204","23,728,100"
BLK,"Dec 10, 2017",0.335283,0.338703,0.277055,0.312260,"461,164","25,661,800"
BLK,"Dec 09, 2017",0.337354,0.413798,0.320801,0.335014,"1,071,620","25,819,700"
BLK,"Dec 08, 2017",0.326842,0.352230,0.278938,0.336576,"707,615","25,014,500"
BLK,"Dec 07, 2017",0.372478,0.387069,0.312318,0.327095,"1,148,710","28,506,500"
BLK,"Dec 06, 2017",0.388796,0.401792,0.359366,0.373157,"1,379,430","29,754,600"
BLK,"Dec 05, 2017",0.400314,0.426826,0.383956,0.392800,"2,250,660","30,635,300"
BLK,"Dec 04, 2017",0.360665,0.396677,0.346524,0.396677,"918,570","27,600,300"
BLK,"Dec 03, 2017",0.336265,0.381844,0.332289,0.361124,"733,314","25,732,400"
BLK,"Dec 02, 2017",0.329085,0.343932,0.314191,0.339466,"373,232","25,182,300"
BLK,"Dec 01, 2017",0.295988,0.331153,0.273678,0.327738,"288,580","22,649,100"
BLK,"Nov 30, 2017",0.288108,0.320699,0.266762,0.297944,"411,103","22,045,600"
BLK,"Nov 29, 2017",0.328568,0.360741,0.280507,0.284132,"869,709","25,140,900"
BLK,"Nov 28, 2017",0.336927,0.339624,0.326389,0.329038,"779,115","25,779,800"
BLK,"Nov 27, 2017",0.326977,0.392585,0.321354,0.332835,"1,608,660","25,017,800"
BLK,"Nov 26, 2017",0.299323,0.343207,0.297208,0.328973,"933,512","22,901,400"
BLK,"Nov 25, 2017",0.291139,0.313002,0.288914,0.300113,"448,196","22,274,700"
BLK,"Nov 24, 2017",0.296076,0.315323,0.285130,0.292852,"652,435","22,651,800"
BLK,"Nov 23, 2017",0.297002,0.340275,0.285281,0.296489,"2,341,450","22,722,000"
BLK,"Nov 22, 2017",0.316802,0.341256,0.288834,0.303758,"1,765,860","24,236,300"
BLK,"Nov 21, 2017",0.288348,0.369700,0.250136,0.300183,"2,046,630","22,058,900"
BLK,"Nov 20, 2017",0.249511,0.338700,0.242588,0.283857,"1,720,110","19,087,400"
BLK,"Nov 19, 2017",0.233385,0.258361,0.232185,0.249884,"1,032,090","17,853,200"
BLK,"Nov 18, 2017",0.224556,0.244944,0.219764,0.233470,"992,083","17,177,400"
BLK,"Nov 17, 2017",0.224079,0.259177,0.221758,0.226040,"1,625,990","17,140,500"
BLK,"Nov 16, 2017",0.215369,0.229359,0.205162,0.224580,"1,073,300","16,473,900"
BLK,"Nov 15, 2017",0.210276,0.218397,0.198990,0.208461,"913,695","16,083,900"
BLK,"Nov 14, 2017",0.210361,0.215451,0.181926,0.208496,"644,243","16,089,900"
BLK,"Nov 13, 2017",0.186185,0.214889,0.186185,0.209905,"317,550","14,240,400"
BLK,"Nov 12, 2017",0.213791,0.213791,0.175681,0.186351,"363,995","16,351,500"
BLK,"Nov 11, 2017",0.213049,0.226325,0.202209,0.212441,"354,219","16,294,400"
BLK,"Nov 10, 2017",0.230214,0.245121,0.210848,0.214041,"424,263","17,606,700"
BLK,"Nov 09, 2017",0.230597,0.242108,0.227312,0.231375,"349,514","17,635,600"
BLK,"Nov 08, 2017",0.215277,0.243101,0.212316,0.230750,"437,831","16,463,500"
BLK,"Nov 07, 2017",0.216423,0.232908,0.211653,0.215966,"346,761","16,550,700"
BLK,"Nov 06, 2017",0.228081,0.240333,0.213265,0.215680,"390,557","17,441,800"
BLK,"Nov 05, 2017",0.209278,0.271483,0.206004,0.229401,"980,946","16,003,500"
BLK,"Nov 04, 2017",0.212110,0.217875,0.203251,0.208571,"201,530","16,219,600"
BLK,"Nov 03, 2017",0.207112,0.218122,0.199918,0.212632,"159,674","15,837,000"
BLK,"Nov 02, 2017",0.214071,0.217354,0.199339,0.204261,"315,182","16,368,700"
BLK,"Nov 01, 2017",0.208380,0.215506,0.200473,0.212926,"210,606","15,933,200"
BLK,"Oct 31, 2017",0.194892,0.209463,0.193948,0.209463,"252,945","14,901,500"
BLK,"Oct 30, 2017",0.190055,0.201043,0.183275,0.195109,"196,603","14,531,300"
BLK,"Oct 29, 2017",0.174123,0.194837,0.172665,0.191168,"395,812","13,312,800"
BLK,"Oct 28, 2017",0.177472,0.185294,0.172582,0.174412,"101,319","13,568,500"
BLK,"Oct 27, 2017",0.177226,0.185247,0.175324,0.177015,"130,646","13,549,400"
BLK,"Oct 26, 2017",0.178884,0.187325,0.174981,0.177258,"143,909","13,675,800"
BLK,"Oct 25, 2017",0.188508,0.194770,0.173242,0.178718,"258,859","14,411,200"
BLK,"Oct 24, 2017",0.163776,0.197796,0.156327,0.189591,"283,142","12,520,100"
BLK,"Oct 23, 2017",0.179845,0.184362,0.161268,0.164382,"110,003","13,748,200"
BLK,"Oct 22, 2017",0.169884,0.179421,0.164424,0.179421,"157,457","12,986,400"
BLK,"Oct 21, 2017",0.187531,0.190496,0.160748,0.170246,"153,544","14,335,000"
BLK,"Oct 20, 2017",0.183105,0.214403,0.178417,0.189689,"685,434","13,996,300"
BLK,"Oct 19, 2017",0.173816,0.191038,0.172660,0.183429,"307,174","13,286,000"
BLK,"Oct 18, 2017",0.174373,0.175488,0.160000,0.173769,"108,150","13,328,200"
BLK,"Oct 17, 2017",0.177215,0.179538,0.169597,0.173313,"181,983","13,545,100"
BLK,"Oct 16, 2017",0.175259,0.178659,0.171214,0.176674,"144,202","13,395,300"
