symbol,date,open,high,low,close,volume,market_cap
BLOCK,"Dec 20, 2017",33.47,33.53,27.94,31.01,"675,791","165,171,000"
BLOCK,"Dec 19, 2017",31.96,36.45,29.18,33.21,"802,346","157,668,000"
BLOCK,"Dec 18, 2017",26.78,32.39,26.07,31.94,"901,749","132,088,000"
BLOCK,"Dec 17, 2017",24.58,29.53,24.29,26.71,"476,494","121,179,000"
BLOCK,"Dec 16, 2017",23.84,25.52,23.75,24.58,"278,477","117,481,000"
BLOCK,"Dec 15, 2017",24.89,25.52,23.10,23.80,"318,077","122,662,000"
BLOCK,"Dec 14, 2017",23.14,27.07,22.77,24.83,"493,147","113,964,000"
BLOCK,"Dec 13, 2017",23.36,24.16,21.38,23.23,"318,091","115,019,000"
BLOCK,"Dec 12, 2017",22.71,28.75,21.45,23.11,"661,393","111,817,000"
BLOCK,"Dec 11, 2017",22.34,24.02,19.93,22.64,"328,778","109,948,000"
BLOCK,"Dec 10, 2017",21.77,24.12,18.93,22.50,"100,134","107,092,000"
BLOCK,"Dec 09, 2017",22.95,25.07,20.56,22.06,"221,261","112,875,000"
BLOCK,"Dec 08, 2017",22.76,23.78,18.66,22.97,"235,586","111,902,000"
BLOCK,"Dec 07, 2017",24.45,27.17,21.16,22.70,"563,315","120,191,000"
BLOCK,"Dec 06, 2017",23.40,32.87,23.27,24.76,"2,044,290","115,005,000"
BLOCK,"Dec 05, 2017",25.61,27.16,22.78,23.45,"729,131","125,825,000"
BLOCK,"Dec 04, 2017",22.15,26.73,21.71,25.24,"468,709","108,782,000"
BLOCK,"Dec 03, 2017",22.51,23.91,20.71,21.96,"169,862","110,543,000"
BLOCK,"Dec 02, 2017",23.22,23.22,21.36,22.50,"404,095","113,969,000"
BLOCK,"Dec 01, 2017",21.19,25.21,19.98,23.23,"274,557","103,992,000"
BLOCK,"Nov 30, 2017",20.85,23.06,18.39,21.29,"219,590","102,295,000"
BLOCK,"Nov 29, 2017",24.01,25.29,19.09,20.54,"608,313","117,746,000"
BLOCK,"Nov 28, 2017",25.25,25.76,22.99,24.03,"472,682","123,829,000"
BLOCK,"Nov 27, 2017",23.26,25.99,23.12,25.19,"321,126","114,013,000"
BLOCK,"Nov 26, 2017",23.42,24.39,22.48,23.25,"224,913","114,747,000"
BLOCK,"Nov 25, 2017",21.53,23.92,21.51,23.42,"129,717","105,454,000"
BLOCK,"Nov 24, 2017",21.37,21.71,20.77,21.57,"73,243","104,686,000"
BLOCK,"Nov 23, 2017",21.80,22.51,21.08,21.17,"107,818","106,725,000"
BLOCK,"Nov 22, 2017",21.10,22.85,20.54,21.94,"132,573","103,264,000"
BLOCK,"Nov 21, 2017",22.25,23.35,20.26,20.82,"249,937","108,887,000"
BLOCK,"Nov 20, 2017",22.72,23.28,21.94,22.25,"61,190","111,157,000"
BLOCK,"Nov 19, 2017",22.05,23.68,21.71,23.30,"165,882","107,816,000"
BLOCK,"Nov 18, 2017",20.66,22.84,19.90,22.09,"87,304","101,008,000"
BLOCK,"Nov 17, 2017",21.19,22.97,20.40,20.74,"134,142","103,563,000"
BLOCK,"Nov 16, 2017",22.72,23.27,20.95,21.22,"359,285","111,009,000"
BLOCK,"Nov 15, 2017",21.93,23.69,21.47,22.66,"192,347","107,112,000"
BLOCK,"Nov 14, 2017",22.62,23.33,20.66,21.80,"190,798","110,440,000"
BLOCK,"Nov 13, 2017",19.66,23.14,19.65,22.57,"137,086","95,954,800"
BLOCK,"Nov 12, 2017",21.45,21.55,18.07,19.63,"149,801","104,669,000"
BLOCK,"Nov 11, 2017",22.56,23.91,21.32,21.71,"241,162","110,067,000"
BLOCK,"Nov 10, 2017",28.34,28.99,21.10,22.66,"843,450","138,230,000"
BLOCK,"Nov 09, 2017",28.66,31.25,25.19,28.22,"1,122,350","139,730,000"
BLOCK,"Nov 08, 2017",19.90,30.39,18.85,28.52,"1,516,350","96,988,800"
BLOCK,"Nov 07, 2017",18.23,21.38,18.23,19.96,"252,070","88,863,600"
BLOCK,"Nov 06, 2017",19.14,19.56,17.53,18.10,"124,189","93,248,600"
BLOCK,"Nov 05, 2017",18.11,19.98,17.65,18.65,"166,370","88,222,500"
BLOCK,"Nov 04, 2017",17.62,19.36,17.15,18.15,"205,548","85,787,600"
BLOCK,"Nov 03, 2017",17.21,18.40,17.02,17.46,"109,031","83,786,500"
BLOCK,"Nov 02, 2017",17.23,21.55,16.64,17.23,"599,020","83,833,100"
BLOCK,"Nov 01, 2017",19.00,19.00,15.99,17.21,"426,011","92,441,600"
BLOCK,"Oct 31, 2017",17.98,21.33,17.82,19.15,"332,315","87,450,700"
BLOCK,"Oct 30, 2017",18.16,18.46,17.29,17.78,"75,136","88,301,500"
BLOCK,"Oct 29, 2017",17.97,18.89,17.01,18.27,"156,347","87,337,100"
BLOCK,"Oct 28, 2017",18.79,20.44,17.50,18.17,"157,646","91,323,100"
BLOCK,"Oct 27, 2017",19.65,20.72,17.77,18.23,"148,110","95,479,100"
BLOCK,"Oct 26, 2017",20.78,21.31,19.03,19.65,"236,319","100,930,000"
BLOCK,"Oct 25, 2017",20.64,21.09,19.41,20.95,"176,991","100,219,000"
BLOCK,"Oct 24, 2017",19.54,23.53,18.22,20.63,"328,349","94,838,900"
BLOCK,"Oct 23, 2017",24.16,24.64,19.36,19.45,"140,836","117,261,000"
BLOCK,"Oct 22, 2017",24.05,24.26,20.41,24.20,"134,983","116,677,000"
BLOCK,"Oct 21, 2017",21.78,26.20,21.76,23.44,"335,882","105,617,000"
BLOCK,"Oct 20, 2017",21.04,23.00,19.67,21.35,"49,535","101,988,000"
BLOCK,"Oct 19, 2017",20.72,21.28,19.51,21.17,"80,997","100,448,000"
BLOCK,"Oct 18, 2017",20.62,20.83,17.65,20.73,"60,192","99,913,900"
BLOCK,"Oct 17, 2017",20.36,20.65,19.39,20.61,"46,668","98,631,000"
BLOCK,"Oct 16, 2017",22.13,22.43,19.77,20.39,"114,606","107,187,000"
BLOCK,"Oct 15, 2017",23.29,23.70,20.04,22.13,"72,005","112,774,000"
BLOCK,"Oct 14, 2017",23.36,24.47,22.27,23.25,"90,428","113,035,000"
BLOCK,"Oct 13, 2017",22.42,24.77,21.89,23.35,"125,500","108,474,000"
BLOCK,"Oct 12, 2017",21.50,22.98,20.80,22.35,"90,965","104,008,000"
BLOCK,"Oct 11, 2017",21.54,23.73,20.78,21.48,"129,092","104,169,000"
BLOCK,"Oct 10, 2017",19.15,22.72,18.46,21.55,"211,926","92,576,800"
BLOCK,"Oct 09, 2017",22.24,22.58,18.66,18.90,"271,974","107,497,000"
BLOCK,"Oct 08, 2017",23.68,23.71,21.64,21.64,"261,111","114,385,000"
BLOCK,"Oct 07, 2017",23.92,24.66,22.34,23.57,"100,331","115,513,000"
BLOCK,"Oct 06, 2017",24.71,24.89,22.91,23.91,"143,544","119,310,000"
BLOCK,"Oct 05, 2017",19.89,25.49,17.58,24.88,"640,218","96,003,400"
BLOCK,"Oct 04, 2017",18.79,20.50,17.30,19.87,"142,150","90,676,100"
BLOCK,"Oct 03, 2017",18.94,20.10,18.34,19.13,"56,690","91,372,400"
BLOCK,"Oct 02, 2017",19.47,19.96,18.89,18.94,"103,275","93,889,600"
BLOCK,"Oct 01, 2017",21.85,22.31,18.90,19.03,"168,138","105,340,000"
BLOCK,"Sep 30, 2017",20.02,22.57,19.67,21.82,"197,665","96,518,600"
BLOCK,"Sep 29, 2017",19.04,20.04,17.81,20.02,"136,519","91,760,500"
BLOCK,"Sep 28, 2017",20.11,21.22,18.36,19.06,"367,939","95,900,400"
BLOCK,"Sep 27, 2017",21.78,23.21,18.83,20.11,"1,390,900","93,266,800"
BLOCK,"Sep 26, 2017",22.42,23.14,21.36,21.84,"112,672","94,809,200"
BLOCK,"Sep 25, 2017",20.38,22.90,19.75,22.42,"217,258","86,163,300"
BLOCK,"Sep 24, 2017",20.84,21.86,20.10,20.40,"108,403","88,056,700"
BLOCK,"Sep 23, 2017",20.20,21.39,19.91,20.84,"78,935","85,344,800"
BLOCK,"Sep 22, 2017",19.91,21.22,18.52,20.26,"185,353","84,103,900"
BLOCK,"Sep 21, 2017",21.72,22.46,18.57,19.94,"189,067","91,717,200"
