symbol,date,open,high,low,close,volume,market_cap
BLUE,"Dec 20, 2017",0.350409,0.675944,0.314316,0.618585,"744,559","11,742,100"
BLUE,"Dec 19, 2017",0.341088,0.432411,0.335324,0.367562,"143,697","11,429,800"
BLUE,"Dec 18, 2017",0.382199,0.417410,0.293150,0.339676,"111,998","12,807,400"
BLUE,"Dec 17, 2017",0.411723,0.452304,0.332592,0.381831,"158,440","13,796,700"
BLUE,"Dec 16, 2017",0.287542,0.454037,0.282375,0.410452,"161,344","9,635,460"
BLUE,"Dec 15, 2017",0.284384,0.306756,0.261256,0.287179,"79,387","9,529,620"
BLUE,"Dec 14, 2017",0.237505,0.278599,0.195025,0.274640,"58,310","7,958,720"
BLUE,"Dec 13, 2017",0.233924,0.240508,0.145624,0.237754,"82,930","7,838,740"
BLUE,"Dec 12, 2017",0.258769,0.263066,0.201296,0.233760,"65,657","8,671,270"
BLUE,"Dec 11, 2017",0.252342,0.303700,0.231722,0.260217,"40,747","8,455,910"
BLUE,"Dec 10, 2017",0.205296,0.278474,0.203665,0.252186,"28,353","6,879,400"
BLUE,"Dec 09, 2017",0.262987,0.295410,0.195880,0.204648,"47,843","8,812,620"
BLUE,"Dec 08, 2017",0.247974,0.275807,0.231702,0.263022,"29,397","8,309,540"
BLUE,"Dec 07, 2017",0.336468,0.359254,0.234448,0.244790,"98,558","11,274,900"
BLUE,"Dec 06, 2017",0.370228,0.550110,0.305915,0.344885,"87,651","12,406,200"
BLUE,"Dec 05, 2017",0.451086,0.451414,0.235854,0.370959,"191,307","15,115,700"
BLUE,"Dec 04, 2017",0.289340,0.589423,0.288042,0.454421,"673,857","9,695,690"
BLUE,"Dec 03, 2017",0.220907,0.284562,0.209003,0.284562,"107,025","7,402,550"
BLUE,"Dec 02, 2017",0.181214,0.238836,0.181214,0.220833,"194,532","6,072,430"
BLUE,"Dec 01, 2017",0.096925,0.198012,0.096925,0.181219,"166,792","3,247,930"
BLUE,"Nov 30, 2017",0.085744,0.109264,0.085626,0.097166,"43,671","2,873,240"
BLUE,"Nov 29, 2017",0.084279,0.114532,0.080830,0.084659,"82,307","2,824,160"
BLUE,"Nov 28, 2017",0.085135,0.090198,0.071945,0.084211,"46,922","2,852,840"
BLUE,"Nov 27, 2017",0.090411,0.096750,0.072432,0.085251,"207,835","3,029,640"
BLUE,"Nov 26, 2017",0.048060,0.090433,0.044813,0.090433,"182,740","1,610,470"
BLUE,"Nov 25, 2017",0.044885,0.048108,0.035679,0.048058,"67,012","1,504,070"
BLUE,"Nov 24, 2017",0.034448,0.045597,0.034426,0.044892,"17,597","1,154,340"
BLUE,"Nov 23, 2017",0.031953,0.039830,0.029451,0.034621,"40,018","1,070,750"
BLUE,"Nov 22, 2017",0.022518,0.031880,0.022406,0.031880,"20,263","754,565"
BLUE,"Nov 21, 2017",0.020954,0.024884,0.020954,0.022489,"7,047","702,148"
BLUE,"Nov 20, 2017",0.020785,0.024232,0.018079,0.020987,"13,408","696,513"
BLUE,"Nov 19, 2017",0.023731,0.024763,0.020469,0.020808,"10,439","795,230"
BLUE,"Nov 18, 2017",0.019892,0.023793,0.018597,0.023793,"8,187","666,570"
BLUE,"Nov 17, 2017",0.023593,0.024243,0.019914,0.019922,"14,856","790,609"
BLUE,"Nov 16, 2017",0.026159,0.026717,0.021481,0.023610,"10,725","876,574"
BLUE,"Nov 15, 2017",0.028151,0.030957,0.018499,0.026179,"19,618","943,333"
BLUE,"Nov 14, 2017",0.032001,0.035691,0.026815,0.028136,"25,991","1,072,360"
BLUE,"Nov 13, 2017",0.031445,0.039816,0.028150,0.032003,"21,389","1,053,700"
BLUE,"Nov 12, 2017",0.024219,0.046268,0.023883,0.031395,"92,528","811,557"
BLUE,"Nov 11, 2017",0.017630,0.025587,0.017609,0.024216,"50,346","590,790"
BLUE,"Nov 10, 2017",0.015852,0.018079,0.013189,0.017585,"17,373","531,183"
BLUE,"Nov 09, 2017",0.015422,0.017966,0.013244,0.015844,"15,274","516,799"
BLUE,"Nov 08, 2017",0.016361,0.018017,0.012535,0.015506,"26,664","548,245"
BLUE,"Nov 07, 2017",0.015523,0.017320,0.014492,0.016372,"14,730","520,179"
BLUE,"Nov 06, 2017",0.016591,0.017818,0.015411,0.015500,"24,218","555,970"
BLUE,"Nov 05, 2017",0.012412,0.020823,0.011976,0.016576,"102,502","415,926"
BLUE,"Nov 04, 2017",0.010575,0.015552,0.008208,0.012396,"25,023","354,372"
BLUE,"Nov 03, 2017",0.008565,0.010909,0.008565,0.010573,"6,894","286,997"
BLUE,"Nov 02, 2017",0.009497,0.011066,0.007955,0.008523,"4,483","318,239"
BLUE,"Nov 01, 2017",0.012558,0.012820,0.007454,0.009471,"11,927","420,821"
BLUE,"Oct 31, 2017",0.013601,0.015586,0.012365,0.012581,"14,544","455,765"
BLUE,"Oct 30, 2017",0.010972,0.018784,0.010972,0.013593,"39,088","367,684"
BLUE,"Oct 29, 2017",0.011992,0.015155,0.010622,0.010995,"23,896","401,833"
BLUE,"Oct 28, 2017",0.010775,0.013318,0.008338,0.011997,"19,009","361,082"
BLUE,"Oct 27, 2017",0.014202,0.015043,0.010171,0.010919,"20,423","475,908"
BLUE,"Oct 26, 2017",0.016560,0.020376,0.010666,0.014778,"83,662","554,903"
BLUE,"Oct 25, 2017",0.005187,0.020588,0.004243,0.016595,"120,274","173,813"
BLUE,"Oct 24, 2017",0.005472,0.007969,0.004763,0.005182,"16,064","183,362"
BLUE,"Oct 23, 2017",0.005542,0.006058,0.005006,0.005471,"21,599","185,717"
BLUE,"Oct 22, 2017",0.004334,0.010094,0.003115,0.005545,"82,139","145,236"
BLUE,"Oct 21, 2017",0.001805,0.003864,0.001805,0.003864,"13,933",-
