symbol,date,open,high,low,close,volume,market_cap
BSD,"Dec 20, 2017",1.43,1.46,1.25,1.34,"422,662","25,092,400"
BSD,"Dec 19, 2017",1.56,1.62,1.34,1.38,"889,614","27,386,300"
BSD,"Dec 18, 2017",1.47,1.65,1.36,1.57,"1,176,850","25,856,800"
BSD,"Dec 17, 2017",1.47,1.53,1.40,1.47,"597,177","25,719,000"
BSD,"Dec 16, 2017",1.27,1.68,1.26,1.46,"2,066,630","22,195,500"
BSD,"Dec 15, 2017",1.33,1.36,1.20,1.27,"602,353","23,205,200"
BSD,"Dec 14, 2017",1.35,1.54,1.28,1.32,"1,252,800","23,537,100"
BSD,"Dec 13, 2017",1.36,1.39,1.27,1.33,"731,150","23,783,900"
BSD,"Dec 12, 2017",1.67,1.72,1.38,1.40,"3,266,390","29,122,800"
BSD,"Dec 11, 2017",0.970903,1.85,0.964520,1.81,"3,013,080","16,945,200"
BSD,"Dec 10, 2017",1.08,1.08,0.932445,0.974007,"144,936","18,843,800"
BSD,"Dec 09, 2017",1.17,1.19,1.00,1.10,"165,555","20,313,600"
BSD,"Dec 08, 2017",1.20,1.21,0.957494,1.17,"242,353","20,861,800"
BSD,"Dec 07, 2017",1.05,1.29,0.957156,1.18,"549,099","18,198,500"
BSD,"Dec 06, 2017",1.08,1.21,0.999123,1.05,"879,325","18,836,500"
BSD,"Dec 05, 2017",1.14,1.15,1.07,1.09,"340,105","19,905,300"
BSD,"Dec 04, 2017",0.968404,1.27,0.932327,1.13,"1,198,160","16,824,400"
BSD,"Dec 03, 2017",0.902152,1.15,0.888910,0.963042,"471,416","15,663,600"
BSD,"Dec 02, 2017",0.908506,0.946131,0.876317,0.907062,"141,902","15,763,800"
BSD,"Dec 01, 2017",0.772008,0.913941,0.742536,0.906324,"133,054","13,386,900"
BSD,"Nov 30, 2017",0.784266,0.884978,0.698757,0.781015,"148,840","13,590,500"
BSD,"Nov 29, 2017",0.871316,0.930623,0.744695,0.772556,"179,982","15,089,100"
BSD,"Nov 28, 2017",0.895823,0.922025,0.857608,0.870671,"245,408","15,503,600"
BSD,"Nov 27, 2017",0.912721,0.936184,0.853113,0.894184,"296,648","15,785,400"
BSD,"Nov 26, 2017",0.898589,0.959187,0.794340,0.912286,"463,702","15,530,800"
BSD,"Nov 25, 2017",0.932318,0.953541,0.884233,0.909023,"380,532","16,103,400"
BSD,"Nov 24, 2017",0.944679,0.964667,0.874707,0.930948,"299,427","16,306,100"
BSD,"Nov 23, 2017",1.03,1.05,0.919323,0.946235,"279,139","17,847,900"
BSD,"Nov 22, 2017",1.01,1.05,0.936030,1.03,"301,871","17,369,600"
BSD,"Nov 21, 2017",0.920416,1.03,0.868406,1.01,"315,451","15,855,700"
BSD,"Nov 20, 2017",0.835353,0.975496,0.819829,0.926718,"280,407","14,381,300"
BSD,"Nov 19, 2017",0.874985,0.874985,0.819031,0.824732,"145,258","15,052,800"
BSD,"Nov 18, 2017",0.840150,0.912080,0.818748,0.876664,"157,792","14,444,100"
BSD,"Nov 17, 2017",0.839557,0.895017,0.798960,0.841828,"313,446","14,423,800"
BSD,"Nov 16, 2017",0.950627,0.976763,0.786649,0.840709,"648,690","16,320,800"
BSD,"Nov 15, 2017",0.721941,1.03,0.715416,0.972604,"1,511,510","12,386,300"
BSD,"Nov 14, 2017",0.628329,0.737579,0.623548,0.720582,"167,285","10,772,800"
BSD,"Nov 13, 2017",0.560259,0.648143,0.553703,0.633431,"83,782","9,599,570"
BSD,"Nov 12, 2017",0.635104,0.635104,0.506847,0.559585,"67,750","10,874,900"
BSD,"Nov 11, 2017",0.654799,0.735087,0.601675,0.626303,"81,893","11,204,500"
BSD,"Nov 10, 2017",0.689489,0.745272,0.614728,0.648764,"263,212","11,790,200"
BSD,"Nov 09, 2017",0.609661,0.732938,0.590132,0.688021,"306,815","10,418,200"
BSD,"Nov 08, 2017",0.571104,0.637136,0.569418,0.611587,"51,992","9,752,720"
BSD,"Nov 07, 2017",0.579464,0.608003,0.566763,0.578197,"83,355","9,888,760"
BSD,"Nov 06, 2017",0.607129,0.687858,0.578389,0.579779,"122,960","10,353,800"
BSD,"Nov 05, 2017",0.625699,0.630513,0.592439,0.598826,"60,815","10,663,400"
BSD,"Nov 04, 2017",0.563159,0.640141,0.553764,0.626295,"38,392","9,591,100"
BSD,"Nov 03, 2017",0.556535,0.603888,0.533626,0.558975,"54,233","9,471,680"
BSD,"Nov 02, 2017",0.580578,0.590733,0.527853,0.536487,"77,176","9,874,560"
BSD,"Nov 01, 2017",0.600505,0.600505,0.555155,0.583127,"84,093","10,206,600"
BSD,"Oct 31, 2017",0.584490,0.605329,0.569143,0.596953,"52,254","9,927,630"
BSD,"Oct 30, 2017",0.588156,0.605015,0.554898,0.581068,"52,196","9,983,040"
BSD,"Oct 29, 2017",0.572619,0.598069,0.551861,0.591820,"73,980","9,712,700"
BSD,"Oct 28, 2017",0.613574,0.633426,0.574367,0.574367,"47,149","10,400,300"
