symbol,date,open,high,low,close,volume,market_cap
BTCD,"Dec 20, 2017",207.17,282.32,187.41,278.23,"984,073","267,009,000"
BTCD,"Dec 19, 2017",212.62,239.38,201.20,207.94,"618,114","274,031,000"
BTCD,"Dec 18, 2017",186.14,221.75,175.73,215.31,"744,442","239,903,000"
BTCD,"Dec 17, 2017",182.90,203.13,175.42,184.28,"338,678","235,733,000"
BTCD,"Dec 16, 2017",163.66,186.89,161.45,182.90,"237,533","210,938,000"
BTCD,"Dec 15, 2017",156.93,166.72,150.66,163.41,"309,809","202,257,000"
BTCD,"Dec 14, 2017",147.23,155.80,146.21,154.61,"158,660","189,761,000"
BTCD,"Dec 13, 2017",145.29,161.19,138.99,146.77,"211,410","187,265,000"
BTCD,"Dec 12, 2017",141.31,157.55,130.81,145.16,"266,784","182,132,000"
BTCD,"Dec 11, 2017",134.09,152.31,133.40,138.81,"193,733","172,819,000"
BTCD,"Dec 10, 2017",151.91,151.91,126.79,134.22,"61,735","195,790,000"
BTCD,"Dec 09, 2017",140.41,168.73,140.04,151.88,"250,999","180,973,000"
BTCD,"Dec 08, 2017",176.73,176.73,121.69,140.53,"316,186","227,782,000"
BTCD,"Dec 07, 2017",134.98,189.83,129.88,173.83,"477,348","173,973,000"
BTCD,"Dec 06, 2017",147.22,150.44,128.87,136.54,"216,513","189,741,000"
BTCD,"Dec 05, 2017",151.02,153.26,142.74,148.74,"139,206","194,639,000"
BTCD,"Dec 04, 2017",129.06,150.50,128.36,149.10,"307,496","166,342,000"
BTCD,"Dec 03, 2017",128.98,142.18,121.50,129.89,"100,042","166,234,000"
BTCD,"Dec 02, 2017",129.25,133.94,122.25,129.45,"94,273","166,587,000"
BTCD,"Dec 01, 2017",111.32,132.90,106.27,129.36,"115,651","143,477,000"
BTCD,"Nov 30, 2017",113.29,125.95,104.80,111.90,"99,073","146,017,000"
BTCD,"Nov 29, 2017",135.62,145.52,107.91,111.59,"199,208","174,797,000"
BTCD,"Nov 28, 2017",139.47,140.32,133.06,135.73,"132,245","179,757,000"
BTCD,"Nov 27, 2017",136.75,144.40,134.95,139.12,"202,692","176,251,000"
BTCD,"Nov 26, 2017",122.53,140.13,118.52,137.10,"218,584","157,921,000"
BTCD,"Nov 25, 2017",118.80,124.30,115.78,122.57,"92,245","153,111,000"
BTCD,"Nov 24, 2017",113.70,126.34,109.92,118.81,"182,891","146,546,000"
BTCD,"Nov 23, 2017",111.80,120.27,110.17,114.89,"129,045","144,090,000"
BTCD,"Nov 22, 2017",112.08,114.36,109.37,112.05,"96,648","144,457,000"
BTCD,"Nov 21, 2017",112.84,116.25,103.97,111.81,"57,835","145,434,000"
BTCD,"Nov 20, 2017",108.76,116.62,106.28,112.81,"101,612","140,175,000"
BTCD,"Nov 19, 2017",114.01,120.33,105.64,108.81,"226,569","146,943,000"
BTCD,"Nov 18, 2017",105.93,130.09,101.38,113.60,"448,677","136,526,000"
BTCD,"Nov 17, 2017",106.70,110.72,102.50,106.34,"60,285","137,524,000"
BTCD,"Nov 16, 2017",107.33,121.93,102.69,106.86,"318,931","138,327,000"
BTCD,"Nov 15, 2017",111.06,115.69,102.49,106.00,"127,238","143,145,000"
BTCD,"Nov 14, 2017",109.25,112.85,108.00,110.64,"41,560","140,803,000"
BTCD,"Nov 13, 2017",101.30,116.67,99.44,109.01,"189,394","130,566,000"
BTCD,"Nov 12, 2017",112.42,114.20,94.64,101.25,"159,577","144,890,000"
BTCD,"Nov 11, 2017",108.81,120.61,106.92,112.50,"223,755","140,242,000"
BTCD,"Nov 10, 2017",134.77,140.18,103.05,110.18,"278,010","173,696,000"
BTCD,"Nov 09, 2017",132.22,139.76,124.42,129.23,"179,166","170,414,000"
BTCD,"Nov 08, 2017",130.30,144.63,115.41,131.82,"352,872","167,942,000"
BTCD,"Nov 07, 2017",117.73,131.51,117.73,130.46,"138,078","151,733,000"
