symbol,date,open,high,low,close,volume,market_cap
BTS,"Dec 20, 2017",0.461208,0.654883,0.409656,0.628286,"142,878,000","1,201,660,000"
BTS,"Dec 19, 2017",0.444489,0.489960,0.421890,0.463273,"81,817,200","1,158,050,000"
BTS,"Dec 18, 2017",0.377689,0.443445,0.362302,0.441760,"58,381,800","983,967,000"
BTS,"Dec 17, 2017",0.450362,0.454327,0.377909,0.378112,"53,744,300","1,173,240,000"
BTS,"Dec 16, 2017",0.351869,0.453210,0.346035,0.446008,"94,677,700","916,615,000"
BTS,"Dec 15, 2017",0.332120,0.399298,0.267753,0.354883,"97,025,300","865,129,000"
BTS,"Dec 14, 2017",0.236524,0.330216,0.233838,0.330216,"70,388,300","616,086,000"
BTS,"Dec 13, 2017",0.214759,0.250916,0.197349,0.234994,"39,611,500","559,368,000"
BTS,"Dec 12, 2017",0.179185,0.213380,0.175379,0.213373,"25,128,800","466,690,000"
BTS,"Dec 11, 2017",0.166582,0.179253,0.165488,0.179253,"12,812,800","433,843,000"
BTS,"Dec 10, 2017",0.179038,0.179672,0.158990,0.169324,"13,895,600","466,260,000"
BTS,"Dec 09, 2017",0.184553,0.201346,0.170049,0.178565,"16,554,900","480,602,000"
BTS,"Dec 08, 2017",0.174132,0.185922,0.153450,0.184835,"25,006,300","453,444,000"
BTS,"Dec 07, 2017",0.175967,0.186364,0.155355,0.174088,"33,280,100","458,203,000"
BTS,"Dec 06, 2017",0.169730,0.209700,0.162851,0.176051,"38,583,400","441,944,000"
BTS,"Dec 05, 2017",0.177079,0.178379,0.163827,0.170421,"13,521,200","461,060,000"
BTS,"Dec 04, 2017",0.144794,0.184160,0.142320,0.178372,"25,459,000","376,985,000"
BTS,"Dec 03, 2017",0.137269,0.150438,0.137012,0.144446,"10,768,600","357,376,000"
BTS,"Dec 02, 2017",0.147612,0.151617,0.135892,0.137244,"10,550,100","384,286,000"
BTS,"Dec 01, 2017",0.135962,0.148951,0.131239,0.147392,"11,363,100","353,942,000"
BTS,"Nov 30, 2017",0.136377,0.149749,0.121987,0.135710,"14,028,400","355,006,000"
BTS,"Nov 29, 2017",0.175590,0.177201,0.135543,0.135587,"43,948,500","457,061,000"
BTS,"Nov 28, 2017",0.150549,0.175528,0.150287,0.175528,"57,955,600","391,861,000"
BTS,"Nov 27, 2017",0.136739,0.152397,0.136624,0.151971,"28,824,000","355,902,000"
BTS,"Nov 26, 2017",0.133507,0.140955,0.133160,0.136213,"12,225,300","347,473,000"
BTS,"Nov 25, 2017",0.133776,0.136077,0.129840,0.133966,"10,512,500","348,159,000"
BTS,"Nov 24, 2017",0.139704,0.140403,0.126249,0.134270,"6,764,540","363,579,000"
BTS,"Nov 23, 2017",0.136735,0.146217,0.136735,0.139836,"7,777,270","355,844,000"
BTS,"Nov 22, 2017",0.143670,0.146424,0.128626,0.137132,"9,361,370","373,886,000"
BTS,"Nov 21, 2017",0.126044,0.150972,0.117517,0.143889,"27,800,500","328,009,000"
BTS,"Nov 20, 2017",0.102900,0.127827,0.102009,0.126175,"12,133,200","267,774,000"
BTS,"Nov 19, 2017",0.100716,0.103897,0.098919,0.102424,"5,358,270","262,084,000"
BTS,"Nov 18, 2017",0.092262,0.103915,0.092239,0.100355,"7,497,610","240,080,000"
BTS,"Nov 17, 2017",0.083911,0.096564,0.079235,0.092466,"6,980,480","218,345,000"
BTS,"Nov 16, 2017",0.089733,0.091939,0.083372,0.083372,"4,489,410","233,490,000"
BTS,"Nov 15, 2017",0.084215,0.090707,0.084215,0.089525,"4,363,190","219,126,000"
BTS,"Nov 14, 2017",0.081412,0.085834,0.080386,0.083756,"2,484,090","211,829,000"
BTS,"Nov 13, 2017",0.079650,0.086169,0.076766,0.081149,"4,985,650","207,241,000"
BTS,"Nov 12, 2017",0.082207,0.083264,0.072729,0.079113,"5,209,650","213,887,000"
BTS,"Nov 11, 2017",0.074467,0.087880,0.074467,0.082099,"7,338,960","193,747,000"
BTS,"Nov 10, 2017",0.081859,0.082040,0.070996,0.074902,"4,315,850","212,973,000"
BTS,"Nov 09, 2017",0.067857,0.083363,0.067699,0.082825,"6,045,660","176,540,000"
BTS,"Nov 08, 2017",0.064952,0.070106,0.062525,0.067927,"5,731,830","168,980,000"
BTS,"Nov 07, 2017",0.059660,0.066134,0.059233,0.065026,"2,537,470","155,208,000"
BTS,"Nov 06, 2017",0.059221,0.060554,0.057095,0.059709,"2,471,030","154,063,000"
BTS,"Nov 05, 2017",0.059183,0.061036,0.057901,0.059444,"2,412,940","153,962,000"
BTS,"Nov 04, 2017",0.056680,0.060358,0.053824,0.059235,"3,531,950","147,448,000"
