symbol,date,open,high,low,close,volume,market_cap
BURST,"Dec 20, 2017",0.026815,0.038121,0.022613,0.036908,"5,984,140","48,276,200"
BURST,"Dec 19, 2017",0.029726,0.031835,0.025385,0.026797,"3,251,980","53,517,400"
BURST,"Dec 18, 2017",0.027516,0.030725,0.024973,0.029890,"4,268,760","49,537,900"
BURST,"Dec 17, 2017",0.025638,0.031048,0.024328,0.027334,"6,519,220","46,156,700"
BURST,"Dec 16, 2017",0.018404,0.026911,0.018210,0.025694,"6,232,820","33,133,100"
BURST,"Dec 15, 2017",0.017129,0.018843,0.015739,0.018363,"1,978,100","30,837,400"
BURST,"Dec 14, 2017",0.014727,0.017559,0.014499,0.016956,"1,838,880","26,512,800"
BURST,"Dec 13, 2017",0.014788,0.015200,0.014033,0.014863,"723,123","26,623,900"
BURST,"Dec 12, 2017",0.014718,0.015472,0.014341,0.014776,"761,283","26,497,300"
BURST,"Dec 11, 2017",0.013804,0.016737,0.013662,0.014671,"1,831,360","24,852,400"
BURST,"Dec 10, 2017",0.012999,0.016168,0.011425,0.014128,"2,065,890","23,401,900"
BURST,"Dec 09, 2017",0.013174,0.013569,0.012060,0.013030,"939,128","23,718,400"
BURST,"Dec 08, 2017",0.014759,0.015779,0.012171,0.013270,"1,033,750","26,571,400"
BURST,"Dec 07, 2017",0.011127,0.015992,0.010912,0.014207,"1,853,830","20,032,800"
BURST,"Dec 06, 2017",0.012096,0.012759,0.011015,0.011076,"1,529,440","21,777,000"
BURST,"Dec 05, 2017",0.010031,0.012447,0.009719,0.011938,"2,405,980","18,060,000"
BURST,"Dec 04, 2017",0.008820,0.010064,0.008661,0.009837,"648,276","15,878,200"
BURST,"Dec 03, 2017",0.008241,0.009247,0.008108,0.008668,"254,324","14,835,700"
BURST,"Dec 02, 2017",0.008386,0.008499,0.007908,0.008359,"180,595","15,097,600"
BURST,"Dec 01, 2017",0.007692,0.008399,0.007293,0.008390,"136,634","13,847,400"
BURST,"Nov 30, 2017",0.007316,0.008099,0.006909,0.007730,"125,331","13,170,600"
BURST,"Nov 29, 2017",0.007907,0.008843,0.007014,0.007205,"325,678","14,234,800"
BURST,"Nov 28, 2017",0.008244,0.008424,0.007747,0.008051,"521,570","14,842,200"
BURST,"Nov 27, 2017",0.007081,0.008579,0.007008,0.008223,"875,309","12,749,000"
BURST,"Nov 26, 2017",0.006999,0.007283,0.006598,0.007080,"467,745","12,601,100"
BURST,"Nov 25, 2017",0.007191,0.007236,0.006588,0.007048,"438,386","12,945,500"
BURST,"Nov 24, 2017",0.006088,0.007346,0.005992,0.007239,"699,374","10,960,800"
BURST,"Nov 23, 2017",0.006250,0.006525,0.005953,0.006197,"447,185","11,252,800"
BURST,"Nov 22, 2017",0.006061,0.006391,0.005786,0.006304,"299,867","10,911,800"
BURST,"Nov 21, 2017",0.006040,0.006149,0.005692,0.006016,"135,811","10,874,700"
BURST,"Nov 20, 2017",0.006068,0.006183,0.005904,0.006049,"91,997","10,925,200"
BURST,"Nov 19, 2017",0.006033,0.006213,0.005912,0.006161,"151,674","10,861,300"
BURST,"Nov 18, 2017",0.005965,0.006319,0.005746,0.006081,"125,804","10,739,600"
BURST,"Nov 17, 2017",0.006312,0.006476,0.005937,0.005989,"105,816","11,364,400"
BURST,"Nov 16, 2017",0.006071,0.007216,0.005897,0.006401,"539,295","10,929,700"
BURST,"Nov 15, 2017",0.005886,0.006178,0.005869,0.006000,"138,353","10,596,800"
BURST,"Nov 14, 2017",0.005813,0.006109,0.005559,0.005982,"129,777","10,465,100"
BURST,"Nov 13, 2017",0.005248,0.005977,0.005159,0.005801,"104,437","9,447,750"
BURST,"Nov 12, 2017",0.006196,0.006196,0.004798,0.005200,"180,164","11,154,300"
BURST,"Nov 11, 2017",0.006180,0.006374,0.005613,0.006200,"222,690","11,126,800"
BURST,"Nov 10, 2017",0.007632,0.007745,0.005820,0.006203,"432,921","13,739,800"
BURST,"Nov 09, 2017",0.006417,0.008042,0.006195,0.007531,"708,226","11,553,300"
BURST,"Nov 08, 2017",0.006012,0.006436,0.005737,0.006424,"266,579","10,823,100"
BURST,"Nov 07, 2017",0.005770,0.006067,0.005448,0.006067,"140,991","10,388,200"
BURST,"Nov 06, 2017",0.005564,0.006102,0.005443,0.005853,"151,945","10,016,900"
BURST,"Nov 05, 2017",0.005558,0.005922,0.005423,0.005521,"120,483","10,006,200"
BURST,"Nov 04, 2017",0.005457,0.006368,0.005276,0.005568,"287,602","9,825,260"
BURST,"Nov 03, 2017",0.005232,0.005644,0.005105,0.005472,"110,886","9,419,230"
BURST,"Nov 02, 2017",0.005895,0.005910,0.004777,0.005239,"268,179","10,613,500"
BURST,"Nov 01, 2017",0.006057,0.006153,0.005628,0.005850,"140,227","10,904,900"
BURST,"Oct 31, 2017",0.006349,0.006627,0.005965,0.006000,"168,266","11,431,000"
BURST,"Oct 30, 2017",0.006342,0.006613,0.006151,0.006393,"164,926","11,418,500"
