symbol,date,open,high,low,close,volume,market_cap
CDT,"Dec 20, 2017",0.101496,0.112968,0.092106,0.104088,"5,953,830","56,903,900"
CDT,"Dec 19, 2017",0.108553,0.124758,0.098149,0.101588,"5,815,290","60,860,300"
CDT,"Dec 18, 2017",0.108896,0.110572,0.093552,0.107755,"5,479,350","61,052,300"
CDT,"Dec 17, 2017",0.104752,0.111834,0.100262,0.109337,"6,187,930","58,729,300"
CDT,"Dec 16, 2017",0.089500,0.115738,0.088509,0.103757,"6,228,670","50,178,100"
CDT,"Dec 15, 2017",0.091143,0.092532,0.076189,0.089370,"5,968,660","51,099,100"
CDT,"Dec 14, 2017",0.070624,0.106374,0.067388,0.091031,"10,532,500","39,595,500"
CDT,"Dec 13, 2017",0.068919,0.074698,0.064798,0.070054,"2,236,770","38,639,300"
CDT,"Dec 12, 2017",0.075860,0.077049,0.063315,0.069276,"3,831,060","42,531,000"
CDT,"Dec 11, 2017",0.059697,0.095123,0.058139,0.076353,"7,394,260","33,469,200"
CDT,"Dec 10, 2017",0.062565,0.066004,0.055558,0.060831,"1,766,430","35,076,900"
CDT,"Dec 09, 2017",0.066069,0.076461,0.060716,0.062217,"2,416,280","37,041,500"
CDT,"Dec 08, 2017",0.070192,0.071410,0.055071,0.065678,"2,877,230","39,353,100"
CDT,"Dec 07, 2017",0.080694,0.086465,0.065722,0.070192,"4,427,060","45,240,900"
CDT,"Dec 06, 2017",0.062812,0.098737,0.062812,0.081563,"7,333,360","35,215,800"
CDT,"Dec 05, 2017",0.049548,0.069625,0.047068,0.065347,"3,153,810","27,779,200"
CDT,"Dec 04, 2017",0.050130,0.052174,0.046925,0.049562,"1,259,380","28,105,500"
CDT,"Dec 03, 2017",0.049228,0.052944,0.049013,0.049969,"1,001,240","27,599,400"
CDT,"Dec 02, 2017",0.042132,0.053503,0.042079,0.049407,"1,900,670","23,621,500"
CDT,"Dec 01, 2017",0.040121,0.044211,0.038908,0.042194,"1,084,950","22,494,200"
CDT,"Nov 30, 2017",0.037914,0.048740,0.036268,0.040273,"1,374,780","21,256,500"
CDT,"Nov 29, 2017",0.038275,0.053029,0.037368,0.038347,"1,709,580","21,458,600"
CDT,"Nov 28, 2017",0.040026,0.041101,0.037927,0.038240,"1,208,510","22,440,500"
CDT,"Nov 27, 2017",0.041129,0.041618,0.038123,0.039760,"1,014,640","23,058,900"
CDT,"Nov 26, 2017",0.039093,0.042783,0.036265,0.041101,"1,296,410","21,917,300"
CDT,"Nov 25, 2017",0.039717,0.041551,0.036881,0.038491,"909,241","22,267,100"
CDT,"Nov 24, 2017",0.038443,0.041157,0.034701,0.039783,"779,012","21,553,000"
CDT,"Nov 23, 2017",0.038590,0.041108,0.035864,0.039252,"960,928","21,635,300"
CDT,"Nov 22, 2017",0.038630,0.042722,0.035379,0.037740,"1,369,420","21,657,800"
CDT,"Nov 21, 2017",0.032574,0.038802,0.030392,0.038677,"1,233,730","18,262,700"
CDT,"Nov 20, 2017",0.033810,0.034489,0.030910,0.032388,"663,047","18,955,700"
CDT,"Nov 19, 2017",0.033977,0.034652,0.032029,0.033822,"693,297","19,049,400"
CDT,"Nov 18, 2017",0.034389,0.034847,0.027724,0.033758,"1,031,730","19,280,100"
CDT,"Nov 17, 2017",0.037838,0.038332,0.033806,0.034453,"723,040","21,028,600"
CDT,"Nov 16, 2017",0.034594,0.051085,0.033693,0.037914,"2,036,970","19,202,600"
CDT,"Nov 15, 2017",0.035207,0.035207,0.030870,0.034848,"282,646","19,542,800"
CDT,"Nov 14, 2017",0.027988,0.035491,0.026541,0.035395,"266,707","15,536,000"
CDT,"Nov 13, 2017",0.034452,0.036137,0.027261,0.029860,"710,125","19,121,400"
CDT,"Nov 12, 2017",0.036855,0.038088,0.032272,0.034398,"184,083","20,454,900"
CDT,"Nov 11, 2017",0.037430,0.039754,0.034098,0.036861,"358,536","20,774,000"
CDT,"Nov 10, 2017",0.045468,0.046286,0.036555,0.037647,"487,472","25,235,200"
CDT,"Nov 09, 2017",0.042827,0.046804,0.038543,0.045441,"736,657","23,769,300"
CDT,"Nov 08, 2017",0.041679,0.044564,0.037052,0.043054,"1,263,680","23,132,200"
CDT,"Nov 07, 2017",0.038550,0.042147,0.037739,0.041687,"721,563","21,395,800"
CDT,"Nov 06, 2017",0.040070,0.040686,0.035975,0.038097,"573,830","22,239,600"
CDT,"Nov 05, 2017",0.038847,0.041420,0.037159,0.040004,"474,809","21,560,800"
CDT,"Nov 04, 2017",0.038202,0.039695,0.033441,0.038799,"1,031,670","21,202,900"
CDT,"Nov 03, 2017",0.031515,0.039256,0.031422,0.037018,"851,211","17,491,400"
CDT,"Nov 02, 2017",0.034073,0.034572,0.031206,0.031315,"899,845","18,911,300"
CDT,"Nov 01, 2017",0.034169,0.035648,0.033385,0.033821,"676,084","18,964,300"
CDT,"Oct 31, 2017",0.034460,0.034995,0.032536,0.034227,"575,697","19,125,700"
CDT,"Oct 30, 2017",0.035175,0.036506,0.034026,0.034470,"530,610","19,522,600"
CDT,"Oct 29, 2017",0.033219,0.039561,0.032922,0.035303,"352,435","18,437,300"
CDT,"Oct 28, 2017",0.033212,0.034638,0.032477,0.033183,"315,557","18,433,100"
