symbol,date,open,high,low,close,volume,market_cap
CLAM,"Dec 20, 2017",10.47,11.43,9.41,10.91,"1,472,830","29,017,300"
CLAM,"Dec 19, 2017",11.93,12.28,10.18,10.48,"1,451,970","33,025,800"
CLAM,"Dec 18, 2017",10.06,13.53,9.09,11.99,"5,425,100","27,831,500"
CLAM,"Dec 17, 2017",8.29,10.50,8.14,10.09,"1,064,320","22,922,900"
CLAM,"Dec 16, 2017",7.81,8.60,7.54,8.29,"1,016,280","21,599,300"
CLAM,"Dec 15, 2017",8.10,8.25,7.18,7.85,"729,944","22,363,400"
CLAM,"Dec 14, 2017",7.55,8.06,7.37,8.06,"566,740","20,845,800"
CLAM,"Dec 13, 2017",7.50,8.29,7.24,7.58,"750,330","20,703,800"
CLAM,"Dec 12, 2017",6.97,7.57,6.43,7.57,"736,241","19,213,700"
CLAM,"Dec 11, 2017",6.66,7.35,6.40,6.88,"802,791","18,355,300"
CLAM,"Dec 10, 2017",7.29,7.29,6.07,6.71,"276,044","20,075,300"
CLAM,"Dec 09, 2017",7.66,7.89,6.91,7.26,"261,463","21,082,400"
CLAM,"Dec 08, 2017",8.76,8.88,6.45,7.67,"1,583,250","24,099,400"
CLAM,"Dec 07, 2017",8.63,9.56,8.01,8.74,"2,208,940","23,728,600"
CLAM,"Dec 06, 2017",8.85,9.30,8.12,8.69,"1,099,510","24,318,200"
CLAM,"Dec 05, 2017",8.62,8.94,8.45,8.84,"358,896","23,654,100"
CLAM,"Dec 04, 2017",8.32,8.59,8.07,8.59,"260,696","22,826,800"
CLAM,"Dec 03, 2017",8.03,8.70,7.78,8.29,"376,071","22,011,900"
CLAM,"Dec 02, 2017",8.08,8.25,7.74,7.96,"254,943","22,153,000"
CLAM,"Dec 01, 2017",7.74,8.14,7.22,8.01,"877,263","21,186,500"
CLAM,"Nov 30, 2017",7.79,8.58,7.20,7.72,"742,921","21,332,000"
CLAM,"Nov 29, 2017",7.87,9.09,7.18,7.69,"906,414","21,528,200"
CLAM,"Nov 28, 2017",7.55,7.97,7.51,7.88,"724,244","20,630,400"
CLAM,"Nov 27, 2017",7.13,7.76,7.13,7.56,"471,850","19,474,800"
CLAM,"Nov 26, 2017",6.99,7.26,6.79,7.17,"324,341","19,081,300"
CLAM,"Nov 25, 2017",6.64,7.14,6.36,6.99,"883,076","18,119,700"
CLAM,"Nov 24, 2017",6.55,6.70,5.91,6.46,"766,430","17,849,700"
CLAM,"Nov 23, 2017",6.25,6.92,6.05,6.53,"1,040,960","17,029,300"
CLAM,"Nov 22, 2017",5.69,6.25,5.69,6.18,"624,886","15,498,100"
CLAM,"Nov 21, 2017",5.82,5.99,5.42,5.68,"385,260","15,855,600"
CLAM,"Nov 20, 2017",5.45,5.88,5.45,5.86,"442,020","14,831,800"
CLAM,"Nov 19, 2017",5.34,5.62,5.34,5.48,"241,224","14,514,700"
CLAM,"Nov 18, 2017",5.27,5.47,5.05,5.36,"226,179","14,333,700"
CLAM,"Nov 17, 2017",5.38,6.11,5.15,5.29,"583,751","14,617,300"
CLAM,"Nov 16, 2017",5.03,5.47,4.92,5.37,"371,835","13,646,600"
CLAM,"Nov 15, 2017",4.76,5.98,4.75,5.00,"1,187,190","12,910,600"
CLAM,"Nov 14, 2017",4.52,4.80,4.41,4.75,"328,825","12,252,900"
CLAM,"Nov 13, 2017",3.97,4.60,3.96,4.50,"179,536","10,768,900"
CLAM,"Nov 12, 2017",4.40,4.50,3.80,3.96,"281,827","11,914,300"
CLAM,"Nov 11, 2017",4.50,4.77,4.35,4.35,"242,673","12,187,100"
CLAM,"Nov 10, 2017",5.08,5.19,4.34,4.57,"419,454","13,752,600"
CLAM,"Nov 09, 2017",5.13,5.27,4.94,5.13,"388,700","13,870,100"
CLAM,"Nov 08, 2017",4.79,5.32,4.62,5.18,"876,608","12,935,100"
CLAM,"Nov 07, 2017",4.81,5.11,4.73,4.82,"368,497","12,986,800"
CLAM,"Nov 06, 2017",5.17,5.17,4.53,4.82,"909,661","13,946,800"
CLAM,"Nov 05, 2017",4.66,5.56,4.43,5.20,"2,674,870","12,556,600"
CLAM,"Nov 04, 2017",4.19,4.89,3.99,4.71,"504,328","11,277,700"
CLAM,"Nov 03, 2017",4.10,4.24,3.91,4.17,"417,302","11,039,300"
CLAM,"Nov 02, 2017",3.53,4.11,3.53,4.06,"1,158,000","9,503,660"
CLAM,"Nov 01, 2017",3.44,3.62,3.34,3.54,"439,966","9,237,650"
CLAM,"Oct 31, 2017",3.63,3.64,3.38,3.44,"377,565","9,767,190"
CLAM,"Oct 30, 2017",3.54,3.68,3.49,3.65,"220,775","9,509,180"
CLAM,"Oct 29, 2017",3.60,3.80,3.53,3.57,"454,370","9,657,080"
CLAM,"Oct 28, 2017",3.60,3.71,3.55,3.58,"160,643","9,667,620"
CLAM,"Oct 27, 2017",3.64,4.02,3.55,3.65,"521,612","9,766,320"
CLAM,"Oct 26, 2017",3.52,3.76,3.52,3.64,"360,314","9,419,940"
CLAM,"Oct 25, 2017",3.70,3.78,3.35,3.49,"726,757","9,912,440"
CLAM,"Oct 24, 2017",3.42,4.04,3.33,3.70,"996,228","9,160,360"
CLAM,"Oct 23, 2017",3.64,3.77,3.26,3.43,"756,564","9,749,280"
CLAM,"Oct 22, 2017",3.68,4.07,3.40,3.65,"825,513","9,837,370"
CLAM,"Oct 21, 2017",3.93,3.98,3.28,3.70,"1,345,000","10,503,700"
CLAM,"Oct 20, 2017",4.64,4.71,3.67,3.93,"2,478,260","12,390,200"
CLAM,"Oct 19, 2017",4.01,5.05,3.93,4.61,"2,165,630","10,696,100"
CLAM,"Oct 18, 2017",4.11,4.11,3.73,4.00,"393,410","10,957,900"
CLAM,"Oct 17, 2017",4.24,4.36,3.94,4.10,"689,069","11,299,600"
CLAM,"Oct 16, 2017",4.11,4.53,3.68,4.24,"2,214,830","10,940,400"
CLAM,"Oct 15, 2017",4.63,4.74,3.48,4.08,"5,652,750","12,320,200"
CLAM,"Oct 14, 2017",6.40,6.53,4.57,4.67,"5,898,110","17,029,300"
CLAM,"Oct 13, 2017",12.20,12.36,3.89,6.49,"20,608,100","32,450,400"
CLAM,"Oct 12, 2017",11.22,12.26,11.09,12.22,"481,392","29,813,600"
CLAM,"Oct 11, 2017",11.36,11.46,10.97,11.19,"217,981","30,182,800"
CLAM,"Oct 10, 2017",10.92,11.63,10.76,11.37,"511,924","28,992,100"
CLAM,"Oct 09, 2017",11.03,11.63,10.61,10.99,"2,636,360","29,266,200"
CLAM,"Oct 08, 2017",9.29,11.31,9.15,11.02,"2,053,790","24,638,600"
CLAM,"Oct 07, 2017",9.17,9.33,8.89,9.32,"238,066","24,304,800"
CLAM,"Oct 06, 2017",9.01,9.33,8.88,9.17,"79,921","23,865,200"
CLAM,"Oct 05, 2017",8.96,9.35,8.62,9.04,"294,634","23,725,900"
CLAM,"Oct 04, 2017",9.19,9.20,8.71,8.97,"239,147","24,298,900"
CLAM,"Oct 03, 2017",9.34,9.82,8.89,9.16,"311,834","24,693,900"
CLAM,"Oct 02, 2017",9.54,10.08,9.34,9.34,"566,053","25,217,700"
CLAM,"Oct 01, 2017",9.34,9.71,8.90,9.57,"852,582","24,667,300"
CLAM,"Sep 30, 2017",8.76,9.40,8.75,9.31,"169,525","23,119,100"
CLAM,"Sep 29, 2017",9.00,9.15,8.43,8.72,"352,760","23,748,700"
CLAM,"Sep 28, 2017",9.04,9.16,8.62,9.05,"390,134","23,820,300"
CLAM,"Sep 27, 2017",8.56,9.14,8.56,9.04,"445,161","22,548,200"
CLAM,"Sep 26, 2017",8.54,8.78,8.16,8.58,"329,500","22,484,900"
CLAM,"Sep 25, 2017",7.98,8.90,7.98,8.52,"1,415,520","21,008,100"
CLAM,"Sep 24, 2017",7.98,8.12,7.60,7.99,"1,167,710","20,977,600"
CLAM,"Sep 23, 2017",7.43,8.17,7.27,8.00,"1,667,760","19,533,100"
CLAM,"Sep 22, 2017",6.86,7.60,6.84,7.45,"833,117","18,027,800"
CLAM,"Sep 21, 2017",7.84,8.07,6.83,6.86,"913,428","20,571,700"
CLAM,"Sep 20, 2017",7.79,8.04,7.12,7.71,"1,236,160","20,443,100"
CLAM,"Sep 19, 2017",7.08,11.29,6.64,7.87,"3,613,420","18,567,700"
CLAM,"Sep 18, 2017",6.49,7.24,6.49,7.08,"277,305","17,001,900"
CLAM,"Sep 17, 2017",6.15,6.73,5.80,6.59,"693,383","16,105,000"
CLAM,"Sep 16, 2017",6.06,6.48,5.91,6.15,"87,165","15,856,600"
CLAM,"Sep 15, 2017",5.42,6.39,4.91,6.10,"213,717","14,169,400"
CLAM,"Sep 14, 2017",6.44,6.51,5.34,5.37,"143,176","16,845,900"
CLAM,"Sep 13, 2017",6.95,6.95,6.21,6.44,"116,124","18,167,200"
CLAM,"Sep 12, 2017",7.01,7.29,6.83,6.99,"132,615","18,298,600"
CLAM,"Sep 11, 2017",6.96,7.21,6.79,7.00,"86,937","18,170,000"
CLAM,"Sep 10, 2017",7.18,7.18,6.55,6.97,"124,706","18,728,400"
CLAM,"Sep 09, 2017",7.17,7.28,6.88,7.19,"149,868","18,689,700"
CLAM,"Sep 08, 2017",7.67,7.79,6.84,7.15,"418,412","19,979,400"
CLAM,"Sep 07, 2017",7.80,7.82,7.48,7.67,"241,188","20,305,300"
CLAM,"Sep 06, 2017",7.36,8.12,7.33,7.84,"196,838","19,161,600"
CLAM,"Sep 05, 2017",7.26,7.52,6.64,7.34,"251,505","18,872,200"
CLAM,"Sep 04, 2017",7.96,8.02,6.81,7.23,"455,560","20,689,000"
CLAM,"Sep 03, 2017",7.83,8.26,7.57,7.96,"195,201","20,344,900"
CLAM,"Sep 02, 2017",8.74,9.05,7.65,7.83,"771,343","22,693,900"
CLAM,"Sep 01, 2017",7.90,9.31,7.90,8.73,"882,681","20,483,900"
CLAM,"Aug 31, 2017",7.98,8.08,7.77,7.89,"241,414","20,685,600"
CLAM,"Aug 30, 2017",7.73,8.01,7.60,7.99,"235,375","20,025,100"
CLAM,"Aug 29, 2017",7.66,7.84,7.53,7.74,"268,268","19,850,600"
CLAM,"Aug 28, 2017",7.48,7.74,7.26,7.60,"314,853","19,348,500"
