symbol,date,open,high,low,close,volume,market_cap
CLOAK,"Dec 20, 2017",16.58,16.71,13.51,15.44,"1,207,210","83,802,400"
CLOAK,"Dec 19, 2017",15.10,18.36,15.03,16.35,"2,785,290","76,287,000"
CLOAK,"Dec 18, 2017",11.35,15.19,11.05,15.05,"1,635,260","57,341,000"
CLOAK,"Dec 17, 2017",10.38,11.76,10.17,11.32,"743,529","52,476,700"
CLOAK,"Dec 16, 2017",10.16,10.91,9.98,10.38,"618,683","51,321,800"
CLOAK,"Dec 15, 2017",10.51,10.98,9.79,10.05,"627,155","53,897,400"
CLOAK,"Dec 14, 2017",9.21,11.12,8.70,10.48,"1,736,470","47,211,000"
CLOAK,"Dec 13, 2017",8.21,9.28,8.19,9.27,"631,821","42,077,900"
CLOAK,"Dec 12, 2017",7.42,9.00,6.99,8.23,"761,069","38,048,500"
CLOAK,"Dec 11, 2017",7.26,8.43,6.86,7.50,"592,997","37,220,500"
CLOAK,"Dec 10, 2017",7.50,7.56,6.50,7.14,"561,414","38,424,200"
CLOAK,"Dec 09, 2017",7.61,8.88,6.99,7.47,"810,743","39,017,200"
CLOAK,"Dec 08, 2017",6.45,8.83,6.02,7.69,"941,798","33,049,100"
CLOAK,"Dec 07, 2017",7.31,8.90,6.26,6.43,"1,240,720","37,433,500"
CLOAK,"Dec 06, 2017",8.02,9.03,6.97,7.33,"1,562,340","41,103,800"
CLOAK,"Dec 05, 2017",7.53,9.80,7.19,8.00,"2,944,300","38,596,200"
CLOAK,"Dec 04, 2017",6.53,7.56,6.32,7.56,"463,425","33,434,800"
CLOAK,"Dec 03, 2017",6.68,7.44,6.11,6.52,"365,734","34,225,500"
CLOAK,"Dec 02, 2017",7.20,7.31,5.49,6.81,"250,462","36,909,300"
CLOAK,"Dec 01, 2017",6.22,7.39,6.08,7.21,"249,364","31,860,200"
CLOAK,"Nov 30, 2017",5.86,6.98,5.69,6.22,"257,421","30,038,600"
CLOAK,"Nov 29, 2017",7.07,7.65,5.65,5.78,"389,989","36,218,300"
CLOAK,"Nov 28, 2017",7.08,7.24,6.74,7.12,"353,315","36,269,600"
CLOAK,"Nov 27, 2017",7.24,7.29,6.01,7.08,"360,059","37,093,300"
CLOAK,"Nov 26, 2017",7.12,7.40,6.76,7.23,"304,860","36,451,600"
CLOAK,"Nov 25, 2017",6.90,7.20,6.80,7.13,"385,336","35,334,000"
CLOAK,"Nov 24, 2017",6.46,7.00,6.32,6.91,"411,726","33,095,300"
CLOAK,"Nov 23, 2017",6.76,6.94,6.42,6.44,"270,536","34,633,300"
CLOAK,"Nov 22, 2017",6.74,7.20,6.49,6.76,"381,805","34,518,500"
CLOAK,"Nov 21, 2017",6.24,6.92,5.76,6.86,"423,023","31,936,700"
CLOAK,"Nov 20, 2017",6.24,6.48,6.13,6.29,"283,768","31,951,300"
CLOAK,"Nov 19, 2017",6.36,6.49,6.13,6.23,"179,569","32,598,600"
CLOAK,"Nov 18, 2017",6.25,6.36,5.98,6.33,"239,860","32,028,900"
CLOAK,"Nov 17, 2017",6.66,6.92,6.11,6.30,"316,113","34,147,300"
CLOAK,"Nov 16, 2017",6.32,6.88,6.08,6.70,"289,361","32,377,800"
CLOAK,"Nov 15, 2017",5.43,6.39,5.42,6.30,"433,027","27,806,600"
CLOAK,"Nov 14, 2017",5.51,5.76,5.27,5.39,"250,098","28,215,300"
CLOAK,"Nov 13, 2017",5.47,6.06,5.30,5.48,"317,485","28,036,700"
CLOAK,"Nov 12, 2017",5.31,5.99,4.76,5.39,"356,173","27,202,100"
CLOAK,"Nov 11, 2017",4.96,5.70,4.91,5.32,"246,102","25,396,000"
CLOAK,"Nov 10, 2017",5.80,6.09,4.82,4.90,"311,116","29,724,700"
CLOAK,"Nov 09, 2017",6.18,6.31,5.71,5.78,"341,138","31,682,900"
CLOAK,"Nov 08, 2017",4.72,6.54,4.65,6.19,"515,814","24,202,600"
CLOAK,"Nov 07, 2017",4.79,5.11,4.53,4.74,"206,884","24,552,900"
CLOAK,"Nov 06, 2017",4.55,5.25,4.43,4.74,"290,595","23,292,200"
CLOAK,"Nov 05, 2017",4.41,4.90,4.37,4.47,"200,808","22,583,800"
CLOAK,"Nov 04, 2017",4.68,5.03,4.33,4.42,"278,523","23,948,900"
CLOAK,"Nov 03, 2017",4.44,6.20,4.15,4.54,"588,574","22,743,900"
CLOAK,"Nov 02, 2017",4.81,5.06,4.12,4.56,"274,934","24,635,600"
CLOAK,"Nov 01, 2017",5.13,5.23,4.68,4.79,"239,468","26,271,400"
CLOAK,"Oct 31, 2017",5.61,5.66,5.06,5.18,"262,365","28,736,600"
CLOAK,"Oct 30, 2017",5.66,5.79,5.47,5.66,"279,890","28,976,900"
CLOAK,"Oct 29, 2017",5.32,5.81,5.27,5.66,"290,332","27,247,500"
CLOAK,"Oct 28, 2017",5.67,5.76,5.12,5.33,"261,325","29,014,500"
CLOAK,"Oct 27, 2017",5.82,5.94,5.46,5.61,"152,401","29,786,000"
CLOAK,"Oct 26, 2017",6.04,6.14,5.61,5.82,"211,324","30,923,100"
CLOAK,"Oct 25, 2017",6.51,6.63,5.61,6.06,"324,224","33,330,900"
CLOAK,"Oct 24, 2017",5.62,6.82,5.48,6.56,"476,158","28,769,600"
CLOAK,"Oct 23, 2017",5.61,6.07,5.32,5.71,"324,034","28,698,700"
CLOAK,"Oct 22, 2017",5.45,5.94,5.28,5.61,"318,290","27,878,700"
CLOAK,"Oct 21, 2017",6.14,6.14,5.54,5.54,"227,218","31,412,000"
CLOAK,"Oct 20, 2017",6.30,7.23,6.11,6.11,"378,045","32,267,700"
