symbol,date,open,high,low,close,volume,market_cap
COVAL,"Dec 20, 2017",0.016033,0.018331,0.013795,0.016769,"864,526","16,033,100"
COVAL,"Dec 19, 2017",0.017986,0.018406,0.015483,0.016049,"834,403","17,985,500"
COVAL,"Dec 18, 2017",0.016836,0.021249,0.014663,0.017588,"3,843,440","16,836,100"
COVAL,"Dec 17, 2017",0.011881,0.018583,0.011151,0.016213,"1,370,190","11,880,800"
COVAL,"Dec 16, 2017",0.012529,0.012529,0.010106,0.011879,"608,447","12,529,300"
COVAL,"Dec 15, 2017",0.009123,0.013050,0.008060,0.012512,"1,275,660","9,123,200"
COVAL,"Dec 14, 2017",0.007369,0.009284,0.007160,0.008778,"296,660","7,368,960"
COVAL,"Dec 13, 2017",0.007429,0.007868,0.007066,0.007557,"155,311","7,428,680"
COVAL,"Dec 12, 2017",0.007408,0.007987,0.007052,0.007422,"155,500","7,408,130"
COVAL,"Dec 11, 2017",0.006404,0.008259,0.006203,0.007384,"183,460","6,403,730"
COVAL,"Dec 10, 2017",0.007218,0.007329,0.005891,0.006450,"180,178","7,218,010"
COVAL,"Dec 09, 2017",0.007481,0.007624,0.006095,0.007189,"152,167","7,481,360"
COVAL,"Dec 08, 2017",0.007289,0.007903,0.006184,0.007489,"245,825","7,289,260"
COVAL,"Dec 07, 2017",0.007555,0.008638,0.007099,0.007099,"412,617","7,554,730"
COVAL,"Dec 06, 2017",0.007371,0.008036,0.006574,0.007705,"605,622","7,371,490"
COVAL,"Dec 05, 2017",0.008393,0.008715,0.005797,0.007388,"1,034,120","8,392,510"
COVAL,"Dec 04, 2017",0.005396,0.008917,0.005301,0.008376,"1,484,160","5,396,050"
COVAL,"Dec 03, 2017",0.005247,0.005618,0.004987,0.005378,"106,771","5,247,210"
COVAL,"Dec 02, 2017",0.004898,0.005301,0.004664,0.005024,"55,460","4,897,960"
COVAL,"Dec 01, 2017",0.004397,0.005285,0.004230,0.004902,"145,848","4,396,950"
COVAL,"Nov 30, 2017",0.004325,0.004838,0.003796,0.004318,"81,907","4,324,620"
COVAL,"Nov 29, 2017",0.005063,0.005435,0.004001,0.004259,"130,816","5,063,250"
COVAL,"Nov 28, 2017",0.005073,0.005364,0.005035,0.005168,"82,960","5,072,790"
COVAL,"Nov 27, 2017",0.004845,0.005222,0.004802,0.005060,"64,795","4,845,200"
COVAL,"Nov 26, 2017",0.004548,0.005043,0.004460,0.004844,"100,367","4,548,070"
COVAL,"Nov 25, 2017",0.004351,0.004773,0.004210,0.004462,"180,096","4,351,280"
COVAL,"Nov 24, 2017",0.004581,0.004957,0.004287,0.004360,"124,991","4,581,120"
COVAL,"Nov 23, 2017",0.004688,0.004881,0.004252,0.004587,"55,668","4,688,350"
COVAL,"Nov 22, 2017",0.004300,0.004833,0.004241,0.004690,"57,673","4,300,470"
COVAL,"Nov 21, 2017",0.004450,0.004543,0.004120,0.004290,"24,629","4,450,380"
COVAL,"Nov 20, 2017",0.004665,0.004759,0.004285,0.004285,"76,528","4,665,170"
COVAL,"Nov 19, 2017",0.004828,0.004987,0.004474,0.004587,"50,017","4,827,880"
COVAL,"Nov 18, 2017",0.004305,0.005059,0.004211,0.004837,"101,539","4,304,570"
COVAL,"Nov 17, 2017",0.004628,0.004812,0.004321,0.004321,"16,263","4,628,360"
COVAL,"Nov 16, 2017",0.004674,0.004768,0.004155,0.004557,"64,431","4,673,950"
COVAL,"Nov 15, 2017",0.004231,0.004732,0.004092,0.004650,"57,969","4,231,430"
COVAL,"Nov 14, 2017",0.004245,0.004476,0.004037,0.004229,"55,429","4,245,060"
COVAL,"Nov 13, 2017",0.003933,0.004372,0.003763,0.004236,"88,036","3,933,440"
COVAL,"Nov 12, 2017",0.004707,0.004707,0.003568,0.003693,"66,656","4,707,280"
COVAL,"Nov 11, 2017",0.004734,0.005048,0.004407,0.004711,"58,698","4,733,900"
COVAL,"Nov 10, 2017",0.005275,0.005503,0.004411,0.004751,"66,147","5,275,350"
COVAL,"Nov 09, 2017",0.005003,0.005495,0.004919,0.005260,"96,259","5,003,170"
COVAL,"Nov 08, 2017",0.004697,0.005144,0.004694,0.005008,"55,213","4,696,650"
COVAL,"Nov 07, 2017",0.004732,0.005004,0.004633,0.004854,"47,961","4,732,110"
COVAL,"Nov 06, 2017",0.004806,0.005165,0.004596,0.004740,"87,990","4,805,680"
COVAL,"Nov 05, 2017",0.004721,0.004941,0.004528,0.004721,"28,320","4,721,150"
COVAL,"Nov 04, 2017",0.004587,0.004873,0.004508,0.004730,"42,118","4,586,830"
COVAL,"Nov 03, 2017",0.004425,0.004896,0.004117,0.004599,"81,452","4,424,670"
COVAL,"Nov 02, 2017",0.004441,0.004679,0.004187,0.004430,"52,300","4,440,890"
COVAL,"Nov 01, 2017",0.004446,0.005228,0.004115,0.004436,"194,977","4,446,310"
COVAL,"Oct 31, 2017",0.004473,0.004722,0.004112,0.004450,"129,194","4,473,290"
COVAL,"Oct 30, 2017",0.004433,0.006499,0.004117,0.004489,"1,072,820","4,432,980"
COVAL,"Oct 29, 2017",0.003609,0.005134,0.003378,0.004583,"345,451","3,608,590"
COVAL,"Oct 28, 2017",0.003746,0.004004,0.003541,0.003671,"30,815","3,746,230"
COVAL,"Oct 27, 2017",0.003826,0.004100,0.003612,0.003736,"27,706","3,826,420"
COVAL,"Oct 26, 2017",0.004071,0.004285,0.003747,0.003767,"49,391","4,071,410"
COVAL,"Oct 25, 2017",0.003973,0.004267,0.003714,0.004072,"65,720","3,973,180"
COVAL,"Oct 24, 2017",0.003578,0.004261,0.003436,0.003972,"76,435","3,578,000"
COVAL,"Oct 23, 2017",0.004186,0.004315,0.003354,0.003586,"88,367","4,185,510"
