symbol,date,open,high,low,close,volume,market_cap
CRW,"Dec 20, 2017",3.42,3.62,3.04,3.30,"534,698","56,365,600"
CRW,"Dec 19, 2017",3.54,3.73,3.13,3.44,"784,184","58,243,900"
CRW,"Dec 18, 2017",3.02,3.96,2.93,3.54,"1,316,960","49,573,200"
CRW,"Dec 17, 2017",2.88,3.21,2.83,2.95,"292,693","47,314,700"
CRW,"Dec 16, 2017",2.64,2.97,2.59,2.88,"322,016","43,275,000"
CRW,"Dec 15, 2017",2.40,2.67,2.33,2.60,"343,320","39,404,400"
CRW,"Dec 14, 2017",2.06,2.50,2.04,2.35,"718,255","33,832,200"
CRW,"Dec 13, 2017",2.15,2.21,2.03,2.07,"256,901","35,259,200"
CRW,"Dec 12, 2017",2.01,2.26,1.97,2.15,"193,784","32,905,200"
CRW,"Dec 11, 2017",1.82,2.17,1.82,2.00,"217,228","29,829,200"
CRW,"Dec 10, 2017",1.74,1.95,1.50,1.84,"206,059","28,484,600"
CRW,"Dec 09, 2017",1.92,1.96,1.52,1.74,"121,352","31,271,600"
CRW,"Dec 08, 2017",1.87,2.05,1.57,1.80,"172,850","30,535,300"
CRW,"Dec 07, 2017",1.72,1.87,1.52,1.87,"194,838","27,974,600"
CRW,"Dec 06, 2017",1.72,1.83,1.61,1.72,"227,031","28,032,000"
CRW,"Dec 05, 2017",1.54,1.77,1.47,1.75,"352,624","25,070,100"
CRW,"Dec 04, 2017",1.46,1.61,1.43,1.54,"324,419","23,741,600"
CRW,"Dec 03, 2017",1.41,1.60,1.34,1.46,"94,251","22,973,300"
CRW,"Dec 02, 2017",1.45,1.55,1.39,1.41,"95,741","23,595,100"
CRW,"Dec 01, 2017",1.32,1.51,1.23,1.47,"72,257","21,463,900"
CRW,"Nov 30, 2017",1.29,1.41,1.14,1.33,"108,075","20,887,600"
CRW,"Nov 29, 2017",1.38,1.59,1.21,1.30,"220,481","22,401,800"
CRW,"Nov 28, 2017",1.61,1.63,1.24,1.39,"781,492","26,114,900"
CRW,"Nov 27, 2017",1.64,1.78,1.50,1.61,"306,636","26,597,400"
CRW,"Nov 26, 2017",1.62,1.79,1.60,1.64,"157,656","26,245,200"
CRW,"Nov 25, 2017",1.65,1.88,1.59,1.61,"359,230","26,604,100"
CRW,"Nov 24, 2017",1.33,1.66,1.31,1.60,"236,033","21,462,200"
CRW,"Nov 23, 2017",1.34,1.43,1.29,1.33,"91,859","21,634,900"
CRW,"Nov 22, 2017",1.31,1.36,1.30,1.34,"74,239","21,064,200"
CRW,"Nov 21, 2017",1.23,1.38,1.21,1.30,"162,758","19,824,500"
CRW,"Nov 20, 2017",1.29,1.29,1.22,1.23,"57,860","20,760,400"
CRW,"Nov 19, 2017",1.33,1.34,1.26,1.29,"68,467","21,365,100"
CRW,"Nov 18, 2017",1.34,1.36,1.30,1.34,"63,860","21,509,000"
CRW,"Nov 17, 2017",1.39,1.43,1.33,1.35,"53,832","22,218,200"
CRW,"Nov 16, 2017",1.33,1.41,1.30,1.40,"78,268","21,236,200"
CRW,"Nov 15, 2017",1.26,1.34,1.26,1.32,"47,289","20,098,800"
CRW,"Nov 14, 2017",1.24,1.27,1.17,1.26,"113,032","19,751,200"
CRW,"Nov 13, 2017",1.15,1.28,1.12,1.23,"93,179","18,365,900"
CRW,"Nov 12, 2017",1.29,1.29,0.996258,1.15,"134,074","20,648,200"
CRW,"Nov 11, 2017",1.32,1.38,1.24,1.30,"100,485","21,101,900"
CRW,"Nov 10, 2017",1.51,1.55,1.30,1.31,"129,794","24,047,200"
CRW,"Nov 09, 2017",1.41,1.57,1.35,1.50,"297,630","22,418,500"
CRW,"Nov 08, 2017",1.43,1.48,1.37,1.41,"109,919","22,678,500"
CRW,"Nov 07, 2017",1.35,1.48,1.33,1.43,"104,673","21,512,500"
CRW,"Nov 06, 2017",1.33,1.55,1.31,1.37,"156,850","21,161,300"
CRW,"Nov 05, 2017",1.42,1.49,1.32,1.33,"206,694","22,521,200"
CRW,"Nov 04, 2017",1.31,1.46,1.26,1.42,"133,288","20,780,300"
CRW,"Nov 03, 2017",1.34,1.39,1.25,1.31,"110,571","21,153,900"
CRW,"Nov 02, 2017",1.20,1.46,1.20,1.36,"187,121","18,959,200"
CRW,"Nov 01, 2017",1.33,1.59,1.17,1.22,"430,028","21,102,600"
CRW,"Oct 31, 2017",1.32,1.61,1.30,1.33,"234,752","20,906,400"
CRW,"Oct 30, 2017",1.39,1.40,1.30,1.33,"77,279","21,903,300"
CRW,"Oct 29, 2017",1.30,1.45,1.29,1.39,"62,589","20,483,000"
CRW,"Oct 28, 2017",1.32,1.33,1.25,1.30,"61,188","20,740,900"
CRW,"Oct 27, 2017",1.31,1.37,1.26,1.31,"78,661","20,681,100"
CRW,"Oct 26, 2017",1.34,1.39,1.29,1.31,"60,278","21,115,800"
CRW,"Oct 25, 2017",1.37,1.37,1.29,1.34,"59,600","21,563,200"
CRW,"Oct 24, 2017",1.31,1.38,1.25,1.36,"73,593","20,527,700"
