symbol,date,open,high,low,close,volume,market_cap
DASH,"Dec 20, 2017",1184.92,1642.22,1167.30,1550.85,"816,872,000","9,198,860,000"
DASH,"Dec 19, 2017",1165.03,1254.28,1126.85,1186.63,"302,869,000","9,042,190,000"
DASH,"Dec 18, 2017",1110.16,1195.74,1044.76,1167.12,"278,638,000","8,614,190,000"
DASH,"Dec 17, 2017",1014.51,1178.18,1014.51,1105.92,"460,594,000","7,869,960,000"
DASH,"Dec 16, 2017",901.22,1001.51,897.29,1001.51,"195,788,000","6,989,350,000"
DASH,"Dec 15, 2017",943.32,947.28,850.63,900.52,"191,527,000","7,313,960,000"
DASH,"Dec 14, 2017",884.21,968.47,866.63,941.11,"259,303,000","6,853,970,000"
DASH,"Dec 13, 2017",925.02,931.21,810.96,886.88,"268,426,000","7,168,440,000"
DASH,"Dec 12, 2017",765.96,948.65,746.94,932.03,"370,539,000","5,934,340,000"
DASH,"Dec 11, 2017",688.55,768.93,688.15,765.40,"184,131,000","5,333,190,000"
DASH,"Dec 10, 2017",723.23,723.83,645.16,688.67,"190,183,000","5,600,430,000"
DASH,"Dec 09, 2017",727.64,774.65,707.32,723.61,"211,738,000","5,633,100,000"
DASH,"Dec 08, 2017",700.68,766.04,659.86,726.67,"288,291,000","5,423,040,000"
DASH,"Dec 07, 2017",699.99,714.51,667.83,697.90,"249,305,000","5,416,260,000"
DASH,"Dec 06, 2017",756.01,785.18,692.02,700.07,"249,073,000","5,848,270,000"
DASH,"Dec 05, 2017",774.71,779.98,754.27,756.36,"201,103,000","5,991,370,000"
DASH,"Dec 04, 2017",770.57,778.05,738.59,774.01,"152,281,000","5,957,860,000"
DASH,"Dec 03, 2017",778.78,806.70,744.39,768.88,"192,447,000","6,015,560,000"
DASH,"Dec 02, 2017",797.90,802.12,769.39,778.43,"188,147,000","6,161,690,000"
DASH,"Dec 01, 2017",787.47,806.37,756.48,797.53,"286,044,000","6,079,550,000"
DASH,"Nov 30, 2017",681.13,826.95,670.99,786.93,"498,872,000","5,257,210,000"
DASH,"Nov 29, 2017",626.26,815.01,625.37,677.39,"415,879,000","4,832,510,000"
DASH,"Nov 28, 2017",632.44,637.06,616.31,626.42,"149,795,000","4,878,960,000"
DASH,"Nov 27, 2017",621.15,638.95,611.79,632.30,"134,862,000","4,790,590,000"
DASH,"Nov 26, 2017",641.46,646.28,617.74,621.62,"145,500,000","4,945,950,000"
DASH,"Nov 25, 2017",566.96,656.13,566.96,643.57,"242,807,000","4,370,400,000"
DASH,"Nov 24, 2017",564.34,573.20,553.58,566.63,"129,105,000","4,349,120,000"
DASH,"Nov 23, 2017",577.25,583.73,557.12,566.68,"173,698,000","4,447,480,000"
DASH,"Nov 22, 2017",494.76,594.53,494.29,578.85,"381,958,000","3,810,980,000"
DASH,"Nov 21, 2017",500.24,519.42,454.48,494.21,"245,163,000","3,852,180,000"
DASH,"Nov 20, 2017",442.03,502.53,438.42,486.54,"104,701,000","3,403,030,000"
DASH,"Nov 19, 2017",455.36,455.66,431.79,442.31,"82,954,600","3,504,790,000"
DASH,"Nov 18, 2017",424.35,483.10,423.25,454.74,"145,255,000","3,265,280,000"
DASH,"Nov 17, 2017",420.59,436.02,412.45,424.98,"95,099,300","3,235,510,000"
DASH,"Nov 16, 2017",424.51,427.85,412.84,418.18,"97,321,300","3,264,810,000"
DASH,"Nov 15, 2017",428.08,444.38,418.47,424.41,"103,157,000","3,291,450,000"
DASH,"Nov 14, 2017",428.31,447.92,408.95,427.54,"123,854,000","3,292,370,000"
DASH,"Nov 13, 2017",507.05,530.94,403.50,427.37,"310,886,000","3,896,620,000"
DASH,"Nov 12, 2017",345.68,536.12,327.80,536.12,"476,198,000","2,655,840,000"
DASH,"Nov 11, 2017",331.43,349.08,321.04,346.06,"88,651,000","2,545,670,000"
DASH,"Nov 10, 2017",325.27,353.36,308.46,329.57,"116,352,000","2,497,710,000"
DASH,"Nov 09, 2017",315.48,337.23,311.82,326.01,"110,840,000","2,421,910,000"
DASH,"Nov 08, 2017",293.04,316.63,289.09,316.33,"103,556,000","2,249,050,000"
DASH,"Nov 07, 2017",274.87,304.55,274.87,293.38,"92,431,200","2,109,120,000"
DASH,"Nov 06, 2017",273.47,280.44,268.46,275.68,"60,053,700","2,097,820,000"
DASH,"Nov 05, 2017",274.33,277.00,270.29,273.17,"41,028,900","2,103,900,000"
DASH,"Nov 04, 2017",278.58,280.96,271.31,274.68,"49,462,600","2,135,920,000"
DASH,"Nov 03, 2017",263.89,281.39,262.98,278.59,"62,984,900","2,021,200,000"
DASH,"Nov 02, 2017",271.79,272.78,251.56,265.31,"72,437,900","2,081,130,000"
DASH,"Nov 01, 2017",278.50,279.67,270.77,271.56,"50,960,300","2,131,960,000"
DASH,"Oct 31, 2017",285.39,286.21,278.73,279.15,"50,260,500","2,184,110,000"
DASH,"Oct 30, 2017",283.65,287.69,282.32,285.94,"40,805,700","2,170,290,000"
DASH,"Oct 29, 2017",275.25,288.60,275.25,283.93,"75,483,100","2,105,420,000"
DASH,"Oct 28, 2017",281.42,287.92,272.36,275.69,"47,092,100","2,152,090,000"
DASH,"Oct 27, 2017",286.14,289.13,279.33,280.48,"38,421,900","2,187,650,000"
DASH,"Oct 26, 2017",289.03,292.41,282.78,286.13,"49,309,000","2,209,130,000"
DASH,"Oct 25, 2017",294.47,298.78,283.92,289.14,"43,986,700","2,250,180,000"
