symbol,date,open,high,low,close,volume,market_cap
DCN,"Dec 20, 2017",0.000198,0.000198,0.000145,0.000153,"141,191","64,298,000"
DCN,"Dec 19, 2017",0.000152,0.000219,0.000152,0.000198,"374,087","49,430,900"
DCN,"Dec 18, 2017",0.000090,0.000207,0.000083,0.000161,"266,295","29,249,200"
DCN,"Dec 17, 2017",0.000092,0.000101,0.000076,0.000089,"152,490","30,034,100"
DCN,"Dec 16, 2017",0.000126,0.000130,0.000081,0.000090,"49,701","40,819,700"
DCN,"Dec 15, 2017",0.000146,0.000154,0.000087,0.000125,"52,916","47,559,000"
DCN,"Dec 14, 2017",0.000110,0.000151,0.000104,0.000146,"121,131","35,627,200"
DCN,"Dec 13, 2017",0.000134,0.000155,0.000100,0.000110,"45,628","43,669,400"
DCN,"Dec 12, 2017",0.000093,0.000139,0.000080,0.000134,"127,492","30,385,500"
DCN,"Dec 11, 2017",0.000075,0.000094,0.000062,0.000083,"23,853","24,415,700"
DCN,"Dec 10, 2017",0.000087,0.000090,0.000064,0.000076,"28,612","28,356,000"
DCN,"Dec 09, 2017",0.000103,0.000105,0.000079,0.000085,"15,137","33,477,700"
DCN,"Dec 08, 2017",0.000109,0.000111,0.000083,0.000102,"25,012","35,371,300"
DCN,"Dec 07, 2017",0.000070,0.000109,0.000069,0.000109,"65,755","22,643,200"
DCN,"Dec 06, 2017",0.000073,0.000077,0.000063,0.000070,"35,523","23,627,900"
DCN,"Dec 05, 2017",0.000066,0.000081,0.000056,0.000072,"26,049","21,351,200"
DCN,"Dec 04, 2017",0.000072,0.000080,0.000062,0.000066,"23,717","23,348,900"
DCN,"Dec 03, 2017",0.000077,0.000082,0.000061,0.000072,"25,235","25,144,100"
DCN,"Dec 02, 2017",0.000071,0.000091,0.000070,0.000077,"22,730","23,148,100"
DCN,"Dec 01, 2017",0.000065,0.000078,0.000062,0.000071,"7,376","21,111,800"
DCN,"Nov 30, 2017",0.000062,0.000068,0.000051,0.000065,"12,433","20,212,000"
DCN,"Nov 29, 2017",0.000072,0.000075,0.000051,0.000060,"19,596","23,311,000"
DCN,"Nov 28, 2017",0.000073,0.000079,0.000066,0.000072,"11,381","23,732,400"
DCN,"Nov 27, 2017",0.000073,0.000079,0.000067,0.000073,"8,789","23,814,200"
DCN,"Nov 26, 2017",0.000066,0.000085,0.000051,0.000073,"47,434","21,294,100"
DCN,"Nov 25, 2017",0.000069,0.000077,0.000059,0.000066,"23,054","22,324,500"
DCN,"Nov 24, 2017",0.000071,0.000077,0.000068,0.000069,"24,039","22,896,300"
DCN,"Nov 23, 2017",0.000076,0.000082,0.000067,0.000071,"15,309","24,540,400"
DCN,"Nov 22, 2017",0.000077,0.000080,0.000067,0.000076,"19,395","24,815,100"
DCN,"Nov 21, 2017",0.000076,0.000079,0.000070,0.000077,"23,477","24,502,800"
DCN,"Nov 20, 2017",0.000123,0.000134,0.000072,0.000076,"30,222","39,724,400"
DCN,"Nov 19, 2017",0.000132,0.000132,0.000074,0.000123,"43,911","42,810,900"
DCN,"Nov 18, 2017",0.000128,0.000134,0.000074,0.000133,"35,570","41,329,200"
DCN,"Nov 17, 2017",0.000126,0.000141,0.000076,0.000128,"32,654","40,774,700"
DCN,"Nov 16, 2017",0.000078,0.000139,0.000071,0.000082,"63,700","25,300,100"
DCN,"Nov 15, 2017",0.000094,0.000139,0.000066,0.000139,"199,254","30,284,400"
DCN,"Nov 14, 2017",0.000118,0.000123,0.000069,0.000093,"53,352","38,070,500"
DCN,"Nov 13, 2017",0.000116,0.000124,0.000064,0.000118,"114,303","37,480,400"
DCN,"Nov 12, 2017",0.000124,0.000127,0.000059,0.000116,"327,528","40,248,100"
DCN,"Nov 11, 2017",0.000124,0.000133,0.000074,0.000124,"137,586","40,160,900"
DCN,"Nov 10, 2017",0.000139,0.000143,0.000078,0.000125,"136,393","45,010,500"
DCN,"Nov 09, 2017",0.000140,0.000141,0.000078,0.000136,"266,003","45,138,500"
DCN,"Nov 08, 2017",0.000105,0.000141,0.000078,0.000140,"33,120","34,032,800"
DCN,"Nov 07, 2017",0.000124,0.000128,0.000088,0.000105,"22,795","40,184,400"
DCN,"Nov 06, 2017",0.000137,0.000139,0.000080,0.000124,"16,331","44,366,800"
DCN,"Nov 05, 2017",0.000089,0.000138,0.000089,0.000137,"17,066","28,852,000"
DCN,"Nov 04, 2017",0.000131,0.000135,0.000085,0.000089,"11,587","42,258,500"
DCN,"Nov 03, 2017",0.000126,0.000140,0.000107,0.000131,"9,827","40,777,300"
DCN,"Nov 02, 2017",0.000120,0.000150,0.000108,0.000126,"18,410","36,354,200"
DCN,"Nov 01, 2017",0.000140,0.000153,0.000114,0.000129,"145,855","42,513,700"
DCN,"Oct 31, 2017",0.000159,0.000160,0.000112,0.000125,"112,180","48,330,600"
DCN,"Oct 30, 2017",0.000123,0.000161,0.000109,0.000160,"89,663","37,200,700"
DCN,"Oct 29, 2017",0.000116,0.000166,0.000106,0.000123,"43,600","35,037,100"
DCN,"Oct 28, 2017",0.000124,0.000161,0.000107,0.000116,"25,348","37,694,200"
