symbol,date,open,high,low,close,volume,market_cap
DCR,"Dec 20, 2017",92.20,97.64,79.60,95.52,"6,906,580","589,168,000"
DCR,"Dec 19, 2017",93.27,96.13,82.33,91.44,"8,885,100","595,268,000"
DCR,"Dec 18, 2017",85.72,93.36,79.22,92.64,"6,894,280","546,632,000"
DCR,"Dec 17, 2017",83.33,94.14,83.06,85.46,"6,839,700","530,861,000"
DCR,"Dec 16, 2017",70.98,90.82,70.98,83.97,"6,277,910","451,653,000"
DCR,"Dec 15, 2017",73.95,74.44,64.04,71.91,"3,811,390","470,097,000"
DCR,"Dec 14, 2017",73.40,74.26,67.62,73.72,"3,369,950","466,232,000"
DCR,"Dec 13, 2017",72.81,82.57,66.49,72.99,"7,515,370","461,910,000"
DCR,"Dec 12, 2017",58.26,72.71,56.46,71.61,"4,423,800","369,218,000"
DCR,"Dec 11, 2017",56.16,64.50,55.73,57.80,"2,280,320","355,557,000"
DCR,"Dec 10, 2017",53.75,62.62,47.07,56.19,"4,826,340","339,925,000"
DCR,"Dec 09, 2017",56.40,58.15,50.99,53.53,"2,095,120","356,309,000"
DCR,"Dec 08, 2017",50.12,57.47,46.47,56.87,"5,471,720","316,353,000"
DCR,"Dec 07, 2017",50.20,52.38,43.71,50.29,"5,119,330","316,535,000"
DCR,"Dec 06, 2017",56.06,57.29,48.08,50.40,"5,100,420","353,151,000"
DCR,"Dec 05, 2017",58.81,60.54,54.78,56.06,"3,611,860","370,074,000"
DCR,"Dec 04, 2017",54.14,58.30,51.99,58.27,"2,959,120","340,275,000"
DCR,"Dec 03, 2017",55.78,58.91,50.43,53.74,"3,757,050","350,282,000"
DCR,"Dec 02, 2017",58.17,58.90,54.21,55.41,"3,053,320","364,935,000"
DCR,"Dec 01, 2017",56.84,58.41,50.89,58.41,"3,625,560","356,206,000"
DCR,"Nov 30, 2017",49.68,67.37,45.11,56.64,"9,936,510","311,003,000"
DCR,"Nov 29, 2017",55.84,69.93,45.86,48.94,"10,574,400","349,196,000"
DCR,"Nov 28, 2017",58.74,58.93,51.32,56.00,"7,372,390","366,970,000"
DCR,"Nov 27, 2017",61.50,68.52,53.73,60.04,"11,913,600","383,774,000"
DCR,"Nov 26, 2017",49.69,63.51,46.80,61.73,"16,942,800","309,762,000"
DCR,"Nov 25, 2017",47.71,50.94,44.81,49.96,"5,058,140","297,129,000"
DCR,"Nov 24, 2017",43.34,50.24,40.05,48.18,"7,656,400","269,568,000"
DCR,"Nov 23, 2017",40.39,45.37,38.67,42.97,"5,145,980","250,978,000"
DCR,"Nov 22, 2017",34.11,40.74,33.49,40.42,"2,837,990","211,720,000"
DCR,"Nov 21, 2017",33.67,35.06,32.06,34.14,"1,105,250","208,798,000"
DCR,"Nov 20, 2017",35.04,35.30,33.37,34.04,"1,003,650","217,053,000"
DCR,"Nov 19, 2017",35.54,36.20,33.60,35.06,"1,314,670","219,909,000"
DCR,"Nov 18, 2017",32.05,35.59,31.45,34.82,"889,428","198,149,000"
DCR,"Nov 17, 2017",32.56,34.85,31.98,32.04,"774,417","201,045,000"
DCR,"Nov 16, 2017",34.37,34.57,32.33,32.64,"930,075","211,980,000"
DCR,"Nov 15, 2017",34.24,35.73,33.05,34.35,"1,392,810","210,956,000"
DCR,"Nov 14, 2017",31.89,34.32,31.51,34.32,"598,313","196,289,000"
DCR,"Nov 13, 2017",29.52,33.66,29.26,31.79,"1,190,620","181,499,000"
DCR,"Nov 12, 2017",30.48,31.43,26.59,29.42,"1,481,680","187,209,000"
DCR,"Nov 11, 2017",30.17,31.38,28.49,30.71,"1,123,000","185,105,000"
DCR,"Nov 10, 2017",33.21,34.49,29.52,30.27,"1,915,030","203,552,000"
DCR,"Nov 09, 2017",31.54,33.67,29.76,33.06,"1,319,970","193,102,000"
DCR,"Nov 08, 2017",29.26,32.46,28.22,31.58,"1,376,420","178,933,000"
DCR,"Nov 07, 2017",28.77,29.81,27.71,29.33,"719,772","175,780,000"
DCR,"Nov 06, 2017",28.70,30.13,27.42,28.80,"765,875","175,152,000"
DCR,"Nov 05, 2017",29.17,30.57,27.34,29.04,"663,890","177,812,000"
DCR,"Nov 04, 2017",27.65,31.12,27.28,28.93,"1,261,680","168,366,000"
DCR,"Nov 03, 2017",24.77,28.22,24.40,27.61,"868,381","150,680,000"
DCR,"Nov 02, 2017",26.97,27.21,24.04,24.81,"1,047,120","163,871,000"
DCR,"Nov 01, 2017",28.53,28.53,26.35,26.89,"674,856","173,173,000"
DCR,"Oct 31, 2017",30.16,30.22,27.06,28.40,"827,355","182,804,000"
DCR,"Oct 30, 2017",29.23,30.46,28.13,30.25,"725,660","177,022,000"
