symbol,date,open,high,low,close,volume,market_cap
DGB,"Dec 20, 2017",0.040199,0.058451,0.033491,0.050577,"103,059,000","384,873,000"
DGB,"Dec 19, 2017",0.037230,0.044463,0.035963,0.040307,"69,963,700","356,274,000"
DGB,"Dec 18, 2017",0.036373,0.040634,0.031001,0.037542,"62,766,500","347,902,000"
DGB,"Dec 17, 2017",0.031187,0.048501,0.029817,0.035664,"157,847,000","298,145,000"
DGB,"Dec 16, 2017",0.020728,0.031935,0.020504,0.031935,"46,015,300","198,056,000"
DGB,"Dec 15, 2017",0.021240,0.022141,0.017143,0.020606,"24,601,900","202,846,000"
DGB,"Dec 14, 2017",0.015478,0.022670,0.015369,0.021115,"32,558,800","147,750,000"
DGB,"Dec 13, 2017",0.015782,0.016464,0.014662,0.015360,"9,236,440","150,572,000"
DGB,"Dec 12, 2017",0.014311,0.015791,0.013687,0.015737,"8,566,420","136,470,000"
DGB,"Dec 11, 2017",0.012894,0.014935,0.012787,0.014175,"5,295,290","122,895,000"
DGB,"Dec 10, 2017",0.014524,0.014577,0.012097,0.012993,"4,980,600","138,361,000"
DGB,"Dec 09, 2017",0.014202,0.016130,0.013845,0.014542,"8,679,180","135,230,000"
DGB,"Dec 08, 2017",0.014284,0.015048,0.012678,0.014212,"9,999,170","135,940,000"
DGB,"Dec 07, 2017",0.016018,0.017099,0.013764,0.014084,"15,873,300","152,365,000"
DGB,"Dec 06, 2017",0.015621,0.017280,0.014466,0.016181,"9,972,660","148,519,000"
DGB,"Dec 05, 2017",0.017538,0.017615,0.014802,0.015606,"12,511,300","166,664,000"
DGB,"Dec 04, 2017",0.013705,0.018105,0.013335,0.017623,"28,272,100","130,172,000"
DGB,"Dec 03, 2017",0.012525,0.014444,0.012398,0.013596,"7,728,600","118,901,000"
DGB,"Dec 02, 2017",0.012246,0.012679,0.011898,0.012344,"2,684,510","116,199,000"
DGB,"Dec 01, 2017",0.011340,0.012459,0.010637,0.012258,"2,544,800","107,542,000"
DGB,"Nov 30, 2017",0.011490,0.012244,0.010068,0.011307,"3,391,660","108,910,000"
DGB,"Nov 29, 2017",0.013223,0.014465,0.010963,0.011276,"7,947,220","125,279,000"
DGB,"Nov 28, 2017",0.011764,0.013282,0.011302,0.013182,"7,383,800","111,393,000"
DGB,"Nov 27, 2017",0.010862,0.011934,0.010494,0.011833,"5,518,860","102,800,000"
DGB,"Nov 26, 2017",0.010330,0.010852,0.010220,0.010722,"3,637,670","97,717,700"
DGB,"Nov 25, 2017",0.010046,0.010701,0.009998,0.010392,"5,238,590","94,983,800"
DGB,"Nov 24, 2017",0.009326,0.010907,0.009034,0.010135,"6,130,750","88,127,400"
DGB,"Nov 23, 2017",0.009660,0.009660,0.009163,0.009414,"2,362,370","91,242,600"
DGB,"Nov 22, 2017",0.009082,0.009694,0.008970,0.009586,"3,071,400","85,732,300"
DGB,"Nov 21, 2017",0.008818,0.009324,0.008343,0.008990,"2,838,900","83,202,100"
DGB,"Nov 20, 2017",0.009089,0.009158,0.008716,0.008747,"1,678,270","85,713,700"
DGB,"Nov 19, 2017",0.009000,0.009387,0.008816,0.009131,"2,551,910","84,831,300"
DGB,"Nov 18, 2017",0.009108,0.009153,0.008717,0.009051,"2,368,340","85,806,700"
DGB,"Nov 17, 2017",0.009464,0.009786,0.009105,0.009163,"2,325,530","89,110,900"
DGB,"Nov 16, 2017",0.009135,0.009617,0.008934,0.009468,"2,641,330","85,969,000"
DGB,"Nov 15, 2017",0.009211,0.009417,0.008838,0.009155,"3,096,580","86,644,900"
DGB,"Nov 14, 2017",0.008566,0.009444,0.008344,0.009144,"2,806,410","80,531,400"
DGB,"Nov 13, 2017",0.007599,0.008697,0.007599,0.008461,"2,309,150","71,407,100"
DGB,"Nov 12, 2017",0.008899,0.008990,0.007295,0.007620,"4,119,280","83,572,700"
DGB,"Nov 11, 2017",0.008925,0.009528,0.008424,0.009039,"3,181,620","83,781,200"
DGB,"Nov 10, 2017",0.010949,0.011165,0.008604,0.008958,"5,150,060","102,726,000"
DGB,"Nov 09, 2017",0.009409,0.011292,0.009117,0.011019,"8,959,570","88,229,500"
DGB,"Nov 08, 2017",0.008497,0.009695,0.008342,0.009417,"4,838,260","79,641,200"
DGB,"Nov 07, 2017",0.008586,0.008741,0.008220,0.008563,"1,726,430","80,426,100"
DGB,"Nov 06, 2017",0.008547,0.008868,0.008204,0.008532,"3,054,800","80,018,300"
DGB,"Nov 05, 2017",0.008482,0.008739,0.008310,0.008527,"1,241,550","79,370,200"
DGB,"Nov 04, 2017",0.008848,0.009128,0.008294,0.008466,"2,450,970","82,754,400"
DGB,"Nov 03, 2017",0.007867,0.008899,0.007609,0.008799,"2,520,200","73,541,800"
DGB,"Nov 02, 2017",0.008249,0.008259,0.007222,0.007845,"4,243,580","77,068,100"
DGB,"Nov 01, 2017",0.009058,0.009157,0.008206,0.008240,"2,181,760","84,583,700"
DGB,"Oct 31, 2017",0.009281,0.009376,0.008885,0.009030,"2,536,530","86,624,300"
DGB,"Oct 30, 2017",0.009169,0.009407,0.008940,0.009312,"1,291,060","85,531,200"
DGB,"Oct 29, 2017",0.009133,0.009328,0.008891,0.009126,"1,899,000","85,154,900"
DGB,"Oct 28, 2017",0.009335,0.009497,0.009066,0.009090,"1,178,030","86,992,800"
DGB,"Oct 27, 2017",0.008943,0.009616,0.008762,0.009309,"2,320,400","83,293,200"
DGB,"Oct 26, 2017",0.009290,0.009349,0.008783,0.008977,"1,724,600","86,481,100"
DGB,"Oct 25, 2017",0.009494,0.009547,0.008880,0.009320,"1,866,380","88,331,600"
DGB,"Oct 24, 2017",0.008321,0.010168,0.008098,0.009411,"5,705,650","72,740,400"
DGB,"Oct 23, 2017",0.008791,0.008940,0.008240,0.008417,"1,848,320","76,851,500"
DGB,"Oct 22, 2017",0.008633,0.009360,0.008538,0.008805,"2,924,630","75,468,800"
DGB,"Oct 21, 2017",0.009340,0.009441,0.008108,0.008594,"2,765,030","81,654,700"
DGB,"Oct 20, 2017",0.009813,0.010023,0.009246,0.009388,"3,231,270","85,784,600"
DGB,"Oct 19, 2017",0.010365,0.010594,0.009565,0.009780,"2,327,090","90,610,400"
DGB,"Oct 18, 2017",0.010222,0.010753,0.009551,0.010414,"3,176,410","89,362,100"
DGB,"Oct 17, 2017",0.010293,0.011806,0.010001,0.010192,"5,918,390","89,985,800"
DGB,"Oct 16, 2017",0.009192,0.013008,0.008816,0.010459,"17,174,900","80,361,500"
DGB,"Oct 15, 2017",0.009363,0.009535,0.008826,0.009220,"1,906,730","81,851,700"
DGB,"Oct 14, 2017",0.010012,0.010057,0.009283,0.009346,"2,515,200","87,528,100"
DGB,"Oct 13, 2017",0.010180,0.010684,0.009353,0.010034,"4,675,450","88,996,400"
DGB,"Oct 12, 2017",0.011501,0.011589,0.010176,0.010201,"4,838,060","100,546,000"
DGB,"Oct 11, 2017",0.011745,0.012112,0.011373,0.011475,"2,141,030","102,676,000"
DGB,"Oct 10, 2017",0.011226,0.012094,0.010948,0.011875,"2,844,720","98,137,300"
DGB,"Oct 09, 2017",0.011837,0.012399,0.010804,0.011199,"4,568,850","103,483,000"
DGB,"Oct 08, 2017",0.013378,0.013515,0.011825,0.011849,"3,835,000","116,956,000"
DGB,"Oct 07, 2017",0.013725,0.013789,0.013040,0.013408,"2,189,780","119,983,000"
DGB,"Oct 06, 2017",0.013417,0.014392,0.013156,0.013681,"3,196,810","117,297,000"
DGB,"Oct 05, 2017",0.013574,0.013707,0.012302,0.013397,"4,145,800","118,663,000"
DGB,"Oct 04, 2017",0.013922,0.014070,0.013469,0.013521,"3,064,020","121,710,000"
DGB,"Oct 03, 2017",0.015934,0.015934,0.013614,0.013948,"8,489,900","139,303,000"
DGB,"Oct 02, 2017",0.018081,0.018097,0.015759,0.016084,"21,476,400","158,066,000"
DGB,"Oct 01, 2017",0.015744,0.018828,0.015560,0.017995,"25,260,400","137,636,000"
DGB,"Sep 30, 2017",0.014783,0.015775,0.014675,0.015719,"2,148,290","129,240,000"
DGB,"Sep 29, 2017",0.015113,0.015232,0.013930,0.014781,"2,565,040","132,123,000"
DGB,"Sep 28, 2017",0.015707,0.015726,0.014736,0.015098,"3,385,570","137,316,000"
DGB,"Sep 27, 2017",0.014375,0.015853,0.014200,0.015729,"3,174,900","125,672,000"
DGB,"Sep 26, 2017",0.014207,0.014810,0.013915,0.014439,"2,522,420","124,202,000"
DGB,"Sep 25, 2017",0.013494,0.014398,0.013361,0.014250,"2,313,920","117,968,000"
DGB,"Sep 24, 2017",0.013647,0.013833,0.012885,0.013505,"2,410,550","119,307,000"
DGB,"Sep 23, 2017",0.012629,0.013691,0.012453,0.013653,"1,480,840","110,402,000"
DGB,"Sep 22, 2017",0.012646,0.013371,0.011926,0.012606,"1,901,320","110,559,000"
DGB,"Sep 21, 2017",0.014794,0.014831,0.012420,0.012546,"3,061,100","129,336,000"
DGB,"Sep 20, 2017",0.014010,0.015487,0.013743,0.014882,"3,851,380","122,481,000"
DGB,"Sep 19, 2017",0.014692,0.015174,0.013360,0.013977,"3,903,000","128,437,000"
DGB,"Sep 18, 2017",0.012178,0.015201,0.012178,0.014610,"5,208,170","106,461,000"
DGB,"Sep 17, 2017",0.012411,0.012647,0.011156,0.012202,"1,819,580","108,503,000"
DGB,"Sep 16, 2017",0.012589,0.013513,0.011630,0.012421,"2,424,040","110,057,000"
DGB,"Sep 15, 2017",0.011071,0.013202,0.008658,0.012569,"6,299,060","96,789,300"
DGB,"Sep 14, 2017",0.014734,0.015401,0.011096,0.011096,"4,936,060","128,811,000"
DGB,"Sep 13, 2017",0.016178,0.016339,0.013988,0.014735,"4,333,320","141,429,000"
DGB,"Sep 12, 2017",0.017530,0.019420,0.015201,0.016239,"15,090,100","153,256,000"
DGB,"Sep 11, 2017",0.015266,0.018631,0.014329,0.017557,"16,343,900","133,458,000"
DGB,"Sep 10, 2017",0.016196,0.016302,0.013592,0.015318,"5,309,740","141,592,000"
DGB,"Sep 09, 2017",0.016427,0.016757,0.015631,0.016280,"2,152,570","143,612,000"
DGB,"Sep 08, 2017",0.018121,0.018872,0.015255,0.016374,"6,853,250","158,421,000"
DGB,"Sep 07, 2017",0.019341,0.019473,0.017695,0.018141,"8,566,660","169,079,000"
DGB,"Sep 06, 2017",0.019867,0.021035,0.018926,0.019357,"8,636,510","173,678,000"
DGB,"Sep 05, 2017",0.019229,0.020319,0.016739,0.019844,"11,616,300","168,104,000"
DGB,"Sep 04, 2017",0.025149,0.025554,0.016901,0.019126,"21,874,300","219,858,000"
DGB,"Sep 03, 2017",0.021859,0.026446,0.021458,0.025323,"16,744,800","191,100,000"
DGB,"Sep 02, 2017",0.024566,0.029781,0.021124,0.021980,"45,936,400","214,764,000"
DGB,"Sep 01, 2017",0.019044,0.026031,0.018782,0.025204,"24,280,400","166,491,000"
DGB,"Aug 31, 2017",0.021225,0.021290,0.018476,0.019065,"16,047,900","185,556,000"
DGB,"Aug 30, 2017",0.017079,0.021321,0.016725,0.021236,"22,965,400","149,309,000"
DGB,"Aug 29, 2017",0.015951,0.016858,0.014782,0.016836,"12,684,400","139,446,000"
DGB,"Aug 28, 2017",0.013617,0.016189,0.013081,0.015988,"13,735,400","119,046,000"
DGB,"Aug 27, 2017",0.013187,0.013957,0.012695,0.013612,"4,140,480","115,281,000"
DGB,"Aug 26, 2017",0.012797,0.013274,0.012583,0.013274,"2,745,300","111,876,000"
DGB,"Aug 25, 2017",0.013282,0.013373,0.012622,0.012838,"3,979,750","116,115,000"
DGB,"Aug 24, 2017",0.013116,0.014341,0.012925,0.013267,"6,974,420","114,659,000"
DGB,"Aug 23, 2017",0.013283,0.013639,0.012815,0.013062,"4,999,350","116,122,000"
DGB,"Aug 22, 2017",0.013518,0.013706,0.011898,0.013332,"6,493,130","118,180,000"
DGB,"Aug 21, 2017",0.015328,0.016318,0.012583,0.013351,"12,570,400","134,002,000"
DGB,"Aug 20, 2017",0.011946,0.016107,0.011369,0.015412,"14,552,300","104,434,000"
DGB,"Aug 19, 2017",0.012493,0.012800,0.010753,0.012040,"5,659,090","109,217,000"
DGB,"Aug 18, 2017",0.013075,0.013396,0.012271,0.012490,"5,002,840","114,303,000"
DGB,"Aug 17, 2017",0.013775,0.014014,0.012885,0.012973,"7,452,780","120,427,000"
DGB,"Aug 16, 2017",0.014421,0.015539,0.013548,0.013703,"11,785,400","126,076,000"
DGB,"Aug 15, 2017",0.011816,0.016782,0.011219,0.014555,"23,623,700","103,299,000"
DGB,"Aug 14, 2017",0.013737,0.014111,0.010837,0.011786,"10,119,500","120,092,000"
DGB,"Aug 13, 2017",0.014993,0.015137,0.013385,0.013763,"8,150,500","131,076,000"
DGB,"Aug 12, 2017",0.017104,0.017104,0.014481,0.015024,"8,909,440","149,529,000"
DGB,"Aug 11, 2017",0.015435,0.018096,0.014887,0.016829,"9,122,630","134,940,000"
DGB,"Aug 10, 2017",0.017753,0.018013,0.015021,0.015402,"9,195,780","155,198,000"
DGB,"Aug 09, 2017",0.019365,0.019492,0.017281,0.017659,"4,998,320","169,293,000"
DGB,"Aug 08, 2017",0.018419,0.019250,0.017616,0.019205,"6,724,040","161,028,000"
DGB,"Aug 07, 2017",0.019045,0.019294,0.018204,0.018429,"7,957,920","166,498,000"
DGB,"Aug 06, 2017",0.019968,0.020751,0.018976,0.018976,"6,076,100","174,569,000"
DGB,"Aug 05, 2017",0.018532,0.020409,0.017742,0.019992,"9,051,140","162,009,000"
DGB,"Aug 04, 2017",0.019107,0.019694,0.018420,0.018666,"7,336,440","167,042,000"
DGB,"Aug 03, 2017",0.018693,0.019454,0.018342,0.019075,"5,962,670","163,415,000"
DGB,"Aug 02, 2017",0.019090,0.020175,0.018158,0.018669,"11,991,200","166,890,000"
DGB,"Aug 01, 2017",0.016497,0.020662,0.016326,0.019416,"17,888,600","144,225,000"
DGB,"Jul 31, 2017",0.016070,0.017080,0.015585,0.016601,"4,899,760","140,485,000"
DGB,"Jul 30, 2017",0.017698,0.018130,0.015782,0.016127,"8,000,370","154,718,000"
DGB,"Jul 29, 2017",0.015036,0.017875,0.014427,0.017765,"7,895,490","131,452,000"
DGB,"Jul 28, 2017",0.016628,0.016766,0.014358,0.015182,"13,355,000","145,364,000"
DGB,"Jul 27, 2017",0.017386,0.017626,0.016228,0.016550,"5,858,360","151,995,000"
DGB,"Jul 26, 2017",0.017421,0.018898,0.015932,0.017387,"13,454,700","152,301,000"
DGB,"Jul 25, 2017",0.021928,0.022480,0.015305,0.017297,"27,560,100","191,703,000"
DGB,"Jul 24, 2017",0.019748,0.023276,0.017247,0.021923,"34,592,400","172,638,000"
DGB,"Jul 23, 2017",0.014793,0.020528,0.014656,0.019792,"35,548,100","129,322,000"
DGB,"Jul 22, 2017",0.011860,0.014932,0.011835,0.014887,"5,001,090","103,682,000"
DGB,"Jul 21, 2017",0.011935,0.012821,0.011566,0.011825,"2,887,610","104,337,000"
DGB,"Jul 20, 2017",0.010511,0.012750,0.010511,0.011950,"4,336,140","91,892,200"
DGB,"Jul 19, 2017",0.011336,0.012384,0.010481,0.010481,"2,879,820","99,100,000"
DGB,"Jul 18, 2017",0.010894,0.012363,0.010035,0.011269,"4,583,540","95,238,800"
DGB,"Jul 17, 2017",0.009263,0.010942,0.009192,0.010859,"2,644,120","80,978,600"
DGB,"Jul 16, 2017",0.009891,0.010290,0.008079,0.009221,"3,169,300","86,469,800"
DGB,"Jul 15, 2017",0.010748,0.010834,0.009581,0.009875,"3,288,250","93,965,800"
DGB,"Jul 14, 2017",0.011889,0.012119,0.009843,0.010766,"3,850,360","103,939,000"
DGB,"Jul 13, 2017",0.013397,0.015295,0.011024,0.011893,"9,343,810","117,125,000"
DGB,"Jul 12, 2017",0.011129,0.013377,0.009906,0.013301,"7,557,740","97,296,400"
DGB,"Jul 11, 2017",0.010051,0.011582,0.008567,0.011277,"7,065,400","87,872,900"
DGB,"Jul 10, 2017",0.014688,0.014772,0.009389,0.010231,"7,447,620","128,404,000"
DGB,"Jul 09, 2017",0.015892,0.016494,0.014684,0.014684,"2,645,880","138,930,000"
DGB,"Jul 08, 2017",0.015454,0.015851,0.014650,0.015822,"3,182,000","135,104,000"
DGB,"Jul 07, 2017",0.017878,0.018590,0.014853,0.015530,"5,537,900","156,297,000"
DGB,"Jul 06, 2017",0.017007,0.019499,0.016334,0.018011,"8,422,280","148,679,000"
DGB,"Jul 05, 2017",0.017762,0.018103,0.016826,0.016980,"2,757,110","155,278,000"
DGB,"Jul 04, 2017",0.019105,0.019141,0.017371,0.017795,"7,531,650","167,024,000"
DGB,"Jul 03, 2017",0.017657,0.020350,0.017657,0.019241,"16,261,000","154,237,000"
DGB,"Jul 02, 2017",0.016718,0.017472,0.013519,0.017330,"6,691,810","145,971,000"
DGB,"Jul 01, 2017",0.018023,0.018702,0.015783,0.016671,"4,639,140","157,210,000"
DGB,"Jun 30, 2017",0.019641,0.019855,0.017892,0.018117,"6,155,650","171,323,000"
DGB,"Jun 29, 2017",0.021471,0.021757,0.019276,0.019527,"5,575,670","187,184,000"
DGB,"Jun 28, 2017",0.020917,0.022150,0.019256,0.021528,"8,019,950","182,265,000"
DGB,"Jun 27, 2017",0.020129,0.020994,0.017553,0.020837,"9,335,860","174,890,000"
DGB,"Jun 26, 2017",0.022652,0.023933,0.017069,0.020129,"12,132,000","196,811,000"
DGB,"Jun 25, 2017",0.026258,0.026370,0.021353,0.022619,"9,136,210","228,139,000"
DGB,"Jun 24, 2017",0.028649,0.029226,0.025408,0.026280,"9,640,520","248,916,000"
DGB,"Jun 23, 2017",0.025981,0.030048,0.025836,0.028608,"8,348,710","225,547,000"
DGB,"Jun 22, 2017",0.027247,0.027959,0.025829,0.026037,"7,216,650","236,538,000"
DGB,"Jun 21, 2017",0.027800,0.028460,0.026641,0.026982,"10,474,800","241,093,000"
