symbol,date,open,high,low,close,volume,market_cap
DICE,"Dec 20, 2017",2.73,3.09,2.42,2.81,"23,183","19,127,000"
DICE,"Dec 19, 2017",3.12,3.20,2.46,2.73,"151,914","21,848,900"
DICE,"Dec 18, 2017",2.88,3.22,2.79,3.15,"22,859","20,165,500"
DICE,"Dec 17, 2017",2.95,3.13,2.81,2.88,"41,443","20,665,600"
DICE,"Dec 16, 2017",3.09,3.27,2.86,2.92,"63,530","21,648,200"
DICE,"Dec 15, 2017",2.96,3.21,2.75,3.09,"37,262","20,736,700"
DICE,"Dec 14, 2017",3.34,3.45,2.79,2.96,"38,509","23,372,800"
DICE,"Dec 13, 2017",3.52,3.98,2.33,3.34,"62,564","24,663,300"
DICE,"Dec 12, 2017",3.38,3.69,3.00,3.52,"40,750","23,671,300"
DICE,"Dec 11, 2017",2.44,3.39,2.40,3.37,"61,567","17,080,200"
DICE,"Dec 10, 2017",2.60,2.60,2.34,2.41,"13,219","18,223,200"
DICE,"Dec 09, 2017",2.47,2.90,2.45,2.60,"42,752","17,290,900"
DICE,"Dec 08, 2017",2.45,2.63,2.16,2.50,"20,188","17,156,600"
DICE,"Dec 07, 2017",2.36,2.47,2.19,2.40,"49,159","16,525,100"
DICE,"Dec 06, 2017",2.72,2.74,2.34,2.39,"32,772","19,016,600"
DICE,"Dec 05, 2017",2.94,2.94,2.64,2.70,"6,381","20,553,000"
DICE,"Dec 04, 2017",2.93,3.10,2.59,2.93,"24,917","20,502,200"
DICE,"Dec 03, 2017",2.90,3.12,2.81,2.92,"11,918","20,275,800"
DICE,"Dec 02, 2017",2.98,3.17,2.82,2.89,"36,466","20,852,200"
DICE,"Dec 01, 2017",2.93,3.18,2.62,2.99,"69,416","20,514,300"
DICE,"Nov 30, 2017",2.72,3.09,2.51,2.96,"8,968","19,060,300"
DICE,"Nov 29, 2017",3.28,3.56,2.56,2.69,"128,760","22,959,900"
DICE,"Nov 28, 2017",3.06,3.94,3.06,3.28,"150,264","21,418,100"
DICE,"Nov 27, 2017",3.15,3.55,2.75,3.07,"138,884","22,067,400"
DICE,"Nov 26, 2017",3.16,3.26,2.81,3.15,"72,016","22,134,500"
DICE,"Nov 25, 2017",3.11,3.32,2.96,3.16,"10,386","21,801,300"
DICE,"Nov 24, 2017",2.89,3.87,2.83,3.11,"221,164","20,239,200"
DICE,"Nov 23, 2017",2.85,3.00,2.74,2.91,"142,039","19,975,600"
DICE,"Nov 22, 2017",2.81,2.95,2.75,2.85,"59,833","19,646,800"
DICE,"Nov 21, 2017",2.74,2.90,2.63,2.80,"8,024","19,150,100"
DICE,"Nov 20, 2017",2.72,2.88,2.36,2.74,"85,780","19,076,600"
DICE,"Nov 19, 2017",2.61,3.22,2.44,2.76,"94,431","18,252,000"
DICE,"Nov 18, 2017",2.39,2.65,2.21,2.64,"23,271","16,734,200"
DICE,"Nov 17, 2017",2.46,2.57,2.32,2.40,"32,836","17,249,000"
DICE,"Nov 16, 2017",2.32,2.75,2.31,2.46,"37,940","16,267,500"
DICE,"Nov 15, 2017",2.62,2.64,2.30,2.32,"124,073","18,375,400"
DICE,"Nov 14, 2017",2.63,2.78,2.32,2.63,"25,239","18,419,600"
DICE,"Nov 13, 2017",2.43,2.64,2.33,2.62,"6,549","17,031,900"
DICE,"Nov 12, 2017",2.71,2.71,2.41,2.42,"12,962","18,965,700"
DICE,"Nov 11, 2017",2.33,2.93,2.33,2.70,"17,494","16,327,300"
DICE,"Nov 10, 2017",2.64,2.74,2.12,2.34,"38,799","18,483,000"
DICE,"Nov 09, 2017",2.78,3.10,2.59,2.65,"22,989","19,483,500"
DICE,"Nov 08, 2017",2.89,3.00,2.49,2.79,"20,465","20,229,400"
DICE,"Nov 07, 2017",2.93,3.25,2.82,2.93,"3,874","20,537,100"
DICE,"Nov 06, 2017",3.27,3.27,2.60,2.92,"56,325","22,874,300"
DICE,"Nov 05, 2017",3.40,4.46,3.17,3.24,"37,311","23,821,800"
DICE,"Nov 04, 2017",3.10,3.42,2.92,3.41,"17,622","21,714,600"
DICE,"Nov 03, 2017",2.88,3.47,2.76,3.10,"5,510","20,174,100"
DICE,"Nov 02, 2017",3.07,3.10,2.34,2.86,"55,896","21,527,200"
DICE,"Nov 01, 2017",3.27,3.28,2.92,3.03,"11,997","22,878,000"
DICE,"Oct 31, 2017",3.17,3.49,3.05,3.27,"41,878","22,207,000"
DICE,"Oct 30, 2017",3.39,3.64,3.14,3.15,"34,676","23,751,600"
DICE,"Oct 29, 2017",3.21,3.43,3.16,3.40,"16,834","22,465,200"
DICE,"Oct 28, 2017",3.23,3.50,3.07,3.21,"31,518","22,591,800"
DICE,"Oct 27, 2017",3.31,3.51,3.01,3.24,"17,564","23,172,500"
DICE,"Oct 26, 2017",3.18,3.48,3.10,3.30,"54,478","22,245,700"
DICE,"Oct 25, 2017",2.93,3.48,2.68,3.20,"55,675","20,517,900"
DICE,"Oct 24, 2017",2.88,3.30,2.70,2.95,"36,380","20,166,300"
DICE,"Oct 23, 2017",2.99,3.51,2.73,2.83,"28,864","20,959,900"
DICE,"Oct 22, 2017",3.00,3.24,2.73,2.87,"45,123","20,971,400"
DICE,"Oct 21, 2017",3.28,3.37,3.00,3.00,"57,639","22,976,900"
DICE,"Oct 20, 2017",3.24,3.46,3.13,3.35,"37,137","22,678,000"
DICE,"Oct 19, 2017",3.67,3.73,3.20,3.31,"34,954","25,716,200"
DICE,"Oct 18, 2017",3.78,3.78,3.28,3.62,"33,806","26,492,900"
DICE,"Oct 17, 2017",3.96,3.96,3.08,3.73,"43,057","27,715,200"
DICE,"Oct 16, 2017",2.74,3.99,2.74,3.95,"130,794","19,211,800"
DICE,"Oct 15, 2017",2.44,2.84,2.29,2.74,"27,258","17,053,600"
DICE,"Oct 14, 2017",2.75,2.91,2.43,2.50,"53,875","19,237,100"
DICE,"Oct 13, 2017",2.60,3.06,2.11,2.77,"36,329","18,197,700"
DICE,"Oct 12, 2017",3.02,3.12,2.34,2.65,"54,243","21,114,300"
DICE,"Oct 11, 2017",2.77,3.15,2.71,3.11,"38,492","19,363,900"
DICE,"Oct 10, 2017",2.91,2.94,2.68,2.78,"53,640","20,377,600"
DICE,"Oct 09, 2017",2.95,3.06,2.69,2.89,"68,174","20,688,400"
DICE,"Oct 08, 2017",3.02,3.08,2.71,2.94,"49,076","21,139,900"
DICE,"Oct 07, 2017",3.11,3.41,2.79,3.03,"58,526","21,762,400"
