symbol,date,open,high,low,close,volume,market_cap
DIME,"Dec 20, 2017",0.000012,0.000018,0.000010,0.000018,"16,769","6,554,320"
DIME,"Dec 19, 2017",0.000019,0.000020,0.000012,0.000012,"39,909","10,497,000"
DIME,"Dec 18, 2017",0.000035,0.000050,0.000018,0.000019,"62,109","18,785,000"
DIME,"Dec 17, 2017",0.000044,0.000044,0.000021,0.000035,"32,384","23,946,900"
DIME,"Dec 16, 2017",0.000009,0.000054,0.000009,0.000045,"30,173","4,989,930"
DIME,"Dec 15, 2017",0.000013,0.000014,0.000008,0.000009,"14,528","6,832,160"
DIME,"Dec 14, 2017",0.000019,0.000020,0.000012,0.000013,"16,709","10,137,500"
DIME,"Dec 13, 2017",0.000014,0.000019,0.000012,0.000019,"11,345","7,694,800"
DIME,"Dec 12, 2017",0.000015,0.000015,0.000010,0.000014,"40,356","8,041,780"
DIME,"Dec 11, 2017",0.000047,0.000052,0.000015,0.000015,"16,521","25,114,900"
DIME,"Dec 10, 2017",0.000010,0.000100,0.000010,0.000047,"34,809","5,452,950"
DIME,"Dec 09, 2017",0.000007,0.000010,0.000006,0.000010,"3,009","3,746,070"
DIME,"Dec 08, 2017",0.000007,0.000010,0.000006,0.000007,"12,753","3,819,260"
DIME,"Dec 07, 2017",0.000007,0.000008,0.000005,0.000007,"18,802","3,781,480"
DIME,"Dec 06, 2017",0.000023,0.000035,0.000007,0.000007,"4,972","12,498,600"
DIME,"Dec 05, 2017",0.000014,0.000024,0.000009,0.000023,"2,899","7,699,470"
DIME,"Dec 04, 2017",0.000012,0.000022,0.000011,0.000014,"2,829","6,376,070"
DIME,"Dec 03, 2017",0.000023,0.000033,0.000010,0.000013,"4,463","12,494,800"
DIME,"Dec 02, 2017",0.000011,0.000031,0.000011,0.000022,"2,300","6,076,030"
DIME,"Dec 01, 2017",0.000009,0.000015,0.000006,0.000011,"2,791","4,668,670"
DIME,"Nov 30, 2017",0.000012,0.000017,0.000007,0.000009,"5,539","6,316,080"
DIME,"Nov 29, 2017",0.000014,0.000016,0.000009,0.000012,"3,447","7,409,590"
DIME,"Nov 28, 2017",0.000005,0.000014,0.000005,0.000014,"2,925","2,797,300"
DIME,"Nov 27, 2017",0.000023,0.000025,0.000005,0.000005,"3,852","12,458,300"
DIME,"Nov 26, 2017",0.000004,0.000044,0.000004,0.000023,"4,445","2,236,980"
DIME,"Nov 25, 2017",0.000010,0.000012,0.000003,0.000004,"11,061","5,303,120"
DIME,"Nov 24, 2017",0.000014,0.000014,0.000005,0.000010,"2,876","7,300,100"
DIME,"Nov 23, 2017",0.000009,0.000016,0.000009,0.000013,"5,298","4,842,270"
DIME,"Nov 22, 2017",0.000011,0.000011,0.000006,0.000009,"5,994","5,989,290"
DIME,"Nov 21, 2017",0.000038,0.000042,0.000011,0.000011,"3,045","20,638,600"
DIME,"Nov 20, 2017",0.000028,0.000050,0.000027,0.000038,"4,398","15,277,000"
DIME,"Nov 19, 2017",0.000008,0.000029,0.000008,0.000028,"3,322","4,514,100"
DIME,"Nov 18, 2017",0.000021,0.000025,0.000004,0.000008,"6,355","11,474,600"
DIME,"Nov 17, 2017",0.000024,0.000042,0.000021,0.000021,"5,677","12,957,200"
DIME,"Nov 16, 2017",0.000027,0.000031,0.000019,0.000024,"3,582","14,687,000"
DIME,"Nov 15, 2017",0.000006,0.000027,0.000006,0.000027,"1,671","3,434,710"
DIME,"Nov 14, 2017",0.000009,0.000011,0.000005,0.000006,"1,066","4,890,770"
DIME,"Nov 13, 2017",0.000004,0.000011,0.000004,0.000009,"2,498","1,955,790"
DIME,"Nov 12, 2017",0.000007,0.000010,0.000004,0.000004,"1,880","3,562,590"
DIME,"Nov 11, 2017",0.000012,0.000013,0.000006,0.000007,"2,018","6,508,310"
DIME,"Nov 10, 2017",0.000008,0.000013,0.000007,0.000012,"3,444","4,286,760"
DIME,"Nov 09, 2017",0.000007,0.000010,0.000006,0.000008,"5,025","3,643,550"
DIME,"Nov 08, 2017",0.000030,0.000033,0.000006,0.000007,"3,986","16,071,400"
DIME,"Nov 07, 2017",0.000008,0.000030,0.000006,0.000030,"5,239","4,485,220"
DIME,"Nov 06, 2017",0.000014,0.000026,0.000008,0.000008,"6,788","7,719,740"
DIME,"Nov 05, 2017",0.000004,0.000016,0.000004,0.000014,"4,038","2,325,280"
DIME,"Nov 04, 2017",0.000008,0.000021,0.000004,0.000004,"3,856","4,073,090"
DIME,"Nov 03, 2017",0.000004,0.000008,0.000003,0.000008,"9,702","2,283,840"
DIME,"Nov 02, 2017",0.000019,0.000019,0.000004,0.000004,"4,707","10,139,500"
DIME,"Nov 01, 2017",0.000011,0.000019,0.000008,0.000019,"2,313","5,759,710"
