symbol,date,open,high,low,close,volume,market_cap
DLT,"Dec 20, 2017",0.365587,0.373507,0.297988,0.329300,"1,065,350","31,432,700"
DLT,"Dec 19, 2017",0.363648,0.441967,0.310396,0.360333,"1,292,210","31,266,000"
DLT,"Dec 18, 2017",0.346354,0.498134,0.338982,0.372858,"3,482,620","29,779,100"
DLT,"Dec 17, 2017",0.279781,0.377312,0.277624,0.345277,"3,741,590","24,055,200"
DLT,"Dec 16, 2017",0.247622,0.297271,0.241089,0.289822,"3,172,870","21,290,300"
DLT,"Dec 15, 2017",0.230769,0.265261,0.196304,0.248045,"2,696,130","19,841,200"
DLT,"Dec 14, 2017",0.218782,0.235195,0.193006,0.230311,"2,226,000","18,810,600"
DLT,"Dec 13, 2017",0.208138,0.243948,0.185845,0.218852,"2,147,540","17,895,500"
DLT,"Dec 12, 2017",0.208389,0.211829,0.182165,0.210355,"2,354,440","17,917,100"
DLT,"Dec 11, 2017",0.217526,0.232848,0.201078,0.210243,"2,323,850","18,702,600"
DLT,"Dec 10, 2017",0.199339,0.233939,0.178866,0.224315,"3,082,640","17,138,900"
DLT,"Dec 09, 2017",0.196478,0.223340,0.174213,0.198844,"2,606,390","16,893,000"
DLT,"Dec 08, 2017",0.163654,0.200676,0.144431,0.197473,"2,423,630","14,070,800"
DLT,"Dec 07, 2017",0.201681,0.222379,0.152431,0.165781,"2,223,920","17,340,300"
DLT,"Dec 06, 2017",0.211001,0.224777,0.187470,0.202359,"2,891,500","18,141,600"
DLT,"Dec 05, 2017",0.230174,0.244051,0.210811,0.212589,"3,020,990","19,790,100"
DLT,"Dec 04, 2017",0.210387,0.233065,0.184914,0.230883,"2,121,040","18,088,900"
DLT,"Dec 03, 2017",0.219394,0.241518,0.202372,0.210321,"1,602,740","18,863,200"
DLT,"Dec 02, 2017",0.244262,0.249456,0.207310,0.219077,"2,260,530","21,001,400"
DLT,"Dec 01, 2017",0.235016,0.269229,0.218099,0.243530,"2,205,970","20,206,400"
DLT,"Nov 30, 2017",0.221383,0.295605,0.201219,0.235626,"2,485,640","19,034,300"
DLT,"Nov 29, 2017",0.315074,0.432095,0.212762,0.222802,"2,860,180","27,089,700"
