symbol,date,open,high,low,close,volume,market_cap
DMD,"Dec 20, 2017",19.06,19.43,17.00,18.24,"194,468","48,880,600"
DMD,"Dec 19, 2017",18.93,20.62,17.93,18.88,"387,197","48,514,700"
DMD,"Dec 18, 2017",17.37,19.05,16.82,18.91,"229,893","44,493,400"
DMD,"Dec 17, 2017",17.03,18.12,16.47,17.32,"162,653","43,590,200"
DMD,"Dec 16, 2017",15.88,17.63,15.83,17.02,"132,272","40,624,700"
DMD,"Dec 15, 2017",16.22,16.49,15.43,15.85,"111,334","41,485,500"
DMD,"Dec 14, 2017",15.09,16.55,14.96,16.05,"143,662","38,573,200"
DMD,"Dec 13, 2017",16.41,17.17,15.10,15.33,"185,315","41,927,400"
DMD,"Dec 12, 2017",15.83,17.62,15.45,16.40,"124,168","40,410,600"
DMD,"Dec 11, 2017",15.56,17.32,15.38,15.78,"76,440","39,713,100"
DMD,"Dec 10, 2017",16.33,16.33,13.96,15.67,"69,960","41,631,000"
DMD,"Dec 09, 2017",17.36,17.70,14.20,16.27,"145,530","44,249,000"
DMD,"Dec 08, 2017",16.40,18.22,11.90,17.22,"413,588","41,775,300"
DMD,"Dec 07, 2017",15.81,17.42,14.92,16.36,"256,494","40,258,000"
DMD,"Dec 06, 2017",13.15,16.04,13.09,15.84,"474,083","33,452,200"
DMD,"Dec 05, 2017",12.33,14.07,12.10,13.17,"266,643","31,359,300"
DMD,"Dec 04, 2017",11.50,12.36,11.46,12.31,"97,094","29,216,900"
DMD,"Dec 03, 2017",11.36,12.39,10.72,11.46,"87,817","28,856,000"
DMD,"Dec 02, 2017",11.55,12.04,11.32,11.35,"45,432","29,316,200"
DMD,"Dec 01, 2017",10.97,11.68,10.20,11.40,"52,921","27,830,300"
DMD,"Nov 30, 2017",10.10,11.41,9.40,11.03,"71,132","25,608,200"
DMD,"Nov 29, 2017",10.57,11.85,9.38,9.91,"110,468","26,778,800"
DMD,"Nov 28, 2017",9.88,11.08,9.71,10.58,"187,135","25,015,900"
DMD,"Nov 27, 2017",9.47,10.10,9.47,9.85,"63,519","23,975,000"
DMD,"Nov 26, 2017",8.98,9.85,8.90,9.47,"51,157","22,715,100"
DMD,"Nov 25, 2017",9.11,9.44,8.52,8.73,"163,556","23,036,100"
DMD,"Nov 24, 2017",9.30,9.41,8.74,8.91,"68,344","23,493,100"
DMD,"Nov 23, 2017",9.24,9.47,9.01,9.31,"59,435","23,334,700"
DMD,"Nov 22, 2017",9.02,9.52,8.79,9.24,"98,620","22,754,200"
DMD,"Nov 21, 2017",10.01,10.02,8.77,9.00,"89,525","25,249,800"
DMD,"Nov 20, 2017",9.92,10.35,9.37,10.01,"78,006","25,004,800"
DMD,"Nov 19, 2017",9.98,10.66,9.75,9.93,"67,113","25,129,400"
DMD,"Nov 18, 2017",8.82,10.67,8.60,9.99,"174,151","22,212,200"
DMD,"Nov 17, 2017",9.28,9.69,8.48,8.86,"48,332","23,351,600"
DMD,"Nov 16, 2017",8.99,9.69,8.68,9.30,"62,483","22,595,000"
DMD,"Nov 15, 2017",8.75,9.21,8.46,8.89,"64,221","21,984,300"
DMD,"Nov 14, 2017",8.74,9.33,8.57,8.74,"96,662","21,962,200"
DMD,"Nov 13, 2017",7.83,9.28,7.43,8.73,"126,582","19,648,500"
DMD,"Nov 12, 2017",8.00,8.14,7.05,7.86,"110,858","20,069,200"
DMD,"Nov 11, 2017",8.53,8.86,7.84,8.01,"48,725","21,383,200"
DMD,"Nov 10, 2017",10.02,10.26,7.99,8.56,"76,978","25,114,600"
DMD,"Nov 09, 2017",9.06,10.84,8.74,9.88,"224,462","22,681,100"
DMD,"Nov 08, 2017",8.95,11.27,8.84,9.31,"461,536","22,406,500"
DMD,"Nov 07, 2017",6.50,10.81,6.50,9.27,"743,045","16,259,200"
DMD,"Nov 06, 2017",6.66,6.82,6.30,6.55,"77,780","16,655,000"
DMD,"Nov 05, 2017",6.96,6.99,6.55,6.64,"55,129","17,398,700"
DMD,"Nov 04, 2017",6.59,7.10,6.34,6.94,"113,322","16,463,900"
DMD,"Nov 03, 2017",6.28,6.63,5.81,6.61,"101,813","15,660,200"
DMD,"Nov 02, 2017",7.61,8.39,5.90,6.28,"140,801","18,989,500"
DMD,"Nov 01, 2017",7.99,8.62,7.30,7.62,"108,629","19,925,000"
DMD,"Oct 31, 2017",7.35,9.23,7.25,8.00,"165,789","18,317,500"
DMD,"Oct 30, 2017",7.70,8.18,7.30,7.50,"18,077","19,175,500"
DMD,"Oct 29, 2017",7.40,8.78,7.21,7.75,"87,246","18,408,200"
DMD,"Oct 28, 2017",7.43,7.77,6.96,7.41,"33,173","18,487,600"
DMD,"Oct 27, 2017",7.76,7.91,7.16,7.41,"21,191","19,292,900"
DMD,"Oct 26, 2017",8.20,8.20,7.58,7.76,"57,332","20,366,500"
DMD,"Oct 25, 2017",8.12,8.67,7.48,8.26,"185,420","20,167,200"
DMD,"Oct 24, 2017",6.26,8.56,5.78,8.12,"227,879","15,529,300"
DMD,"Oct 23, 2017",6.72,7.24,5.54,6.45,"278,874","16,652,300"
DMD,"Oct 22, 2017",6.81,7.66,6.41,6.67,"154,331","16,864,000"
DMD,"Oct 21, 2017",8.19,8.19,6.52,6.97,"88,412","20,289,900"
DMD,"Oct 20, 2017",7.78,8.79,7.13,8.08,"131,500","19,253,200"
DMD,"Oct 19, 2017",6.92,8.55,6.85,7.78,"76,900","17,104,500"
DMD,"Oct 18, 2017",7.97,8.06,6.67,6.91,"125,681","19,708,500"
DMD,"Oct 17, 2017",8.93,8.93,6.99,7.97,"164,789","22,062,100"
DMD,"Oct 16, 2017",8.36,8.96,7.06,8.96,"203,809","20,652,500"
DMD,"Oct 15, 2017",10.19,10.67,8.09,8.36,"265,896","25,151,100"
DMD,"Oct 14, 2017",10.93,10.93,9.73,10.16,"43,486","26,940,600"
DMD,"Oct 13, 2017",10.01,10.92,9.42,10.92,"99,402","24,681,100"
DMD,"Oct 12, 2017",10.09,10.53,9.45,9.98,"94,382","24,844,300"
DMD,"Oct 11, 2017",9.86,10.80,9.41,10.08,"120,487","24,267,900"
DMD,"Oct 10, 2017",8.75,10.58,8.65,9.86,"104,884","21,529,700"
DMD,"Oct 09, 2017",9.67,9.67,8.24,8.62,"173,874","23,764,300"
DMD,"Oct 08, 2017",9.89,10.01,9.23,9.66,"90,268","24,303,300"
DMD,"Oct 07, 2017",9.75,10.14,8.86,10.00,"197,723","23,946,900"
DMD,"Oct 06, 2017",9.78,10.40,9.52,9.75,"123,392","23,995,800"
DMD,"Oct 05, 2017",10.36,10.59,9.60,9.78,"105,174","25,411,400"
DMD,"Oct 04, 2017",10.68,11.78,9.90,10.35,"176,785","26,188,200"
DMD,"Oct 03, 2017",10.05,11.23,10.02,10.66,"175,379","24,613,500"
DMD,"Oct 02, 2017",11.72,11.99,9.99,10.05,"249,514","28,704,700"
DMD,"Oct 01, 2017",12.13,12.16,11.36,11.73,"89,397","29,675,200"
DMD,"Sep 30, 2017",11.44,12.20,11.44,12.12,"71,342","27,972,600"
DMD,"Sep 29, 2017",11.85,12.18,10.99,11.42,"118,918","28,952,700"
DMD,"Sep 28, 2017",10.83,12.40,10.44,11.92,"169,712","26,462,300"
DMD,"Sep 27, 2017",11.86,12.10,10.30,10.83,"451,383","28,949,700"
DMD,"Sep 26, 2017",8.38,12.31,8.33,12.09,"865,210","20,434,300"
DMD,"Sep 25, 2017",8.16,8.81,7.83,8.38,"132,191","19,898,700"
DMD,"Sep 24, 2017",7.55,8.49,7.05,8.17,"322,217","18,407,800"
DMD,"Sep 23, 2017",7.26,7.73,7.08,7.45,"43,660","17,670,000"
DMD,"Sep 22, 2017",7.04,7.38,6.93,7.28,"52,758","17,139,500"
DMD,"Sep 21, 2017",7.76,7.96,6.85,7.05,"103,910","18,870,200"
DMD,"Sep 20, 2017",7.43,7.89,6.80,7.88,"149,450","18,051,500"
DMD,"Sep 19, 2017",7.95,8.18,7.11,7.44,"122,480","19,301,500"
DMD,"Sep 18, 2017",7.76,8.04,7.34,7.93,"147,849","18,845,200"
DMD,"Sep 17, 2017",6.79,7.79,6.17,7.78,"259,619","16,492,800"
DMD,"Sep 16, 2017",8.16,8.62,6.55,6.82,"561,725","19,817,900"
DMD,"Sep 15, 2017",5.19,9.37,4.89,8.33,"588,834","11,833,300"
DMD,"Sep 14, 2017",6.40,6.64,5.15,5.15,"73,930","14,579,000"
DMD,"Sep 13, 2017",6.50,6.69,5.72,6.40,"84,699","14,808,300"
DMD,"Sep 12, 2017",6.85,7.48,6.03,6.53,"372,287","15,590,100"
DMD,"Sep 11, 2017",6.86,7.55,6.39,6.84,"193,786","15,617,800"
DMD,"Sep 10, 2017",6.50,7.39,5.67,6.88,"259,284","14,770,100"
DMD,"Sep 09, 2017",5.64,6.51,5.53,6.51,"106,272","12,808,300"
DMD,"Sep 08, 2017",6.27,6.36,5.45,5.63,"49,288","14,225,800"
DMD,"Sep 07, 2017",6.52,6.52,6.11,6.26,"58,238","14,785,700"
DMD,"Sep 06, 2017",6.19,6.63,5.97,6.47,"78,252","14,028,400"
DMD,"Sep 05, 2017",5.86,6.40,5.40,6.18,"405,887","13,262,400"
DMD,"Sep 04, 2017",6.27,6.35,5.37,5.83,"106,834","14,199,100"
DMD,"Sep 03, 2017",6.09,6.40,5.87,6.40,"59,155","13,763,300"
DMD,"Sep 02, 2017",6.47,6.66,5.76,6.08,"69,344","14,622,700"
DMD,"Sep 01, 2017",6.21,6.62,6.08,6.46,"155,762","14,005,600"
DMD,"Aug 31, 2017",5.70,6.40,5.59,6.20,"217,479","12,857,100"
DMD,"Aug 30, 2017",5.65,6.60,5.60,5.64,"754,458","12,730,200"
