symbol,date,open,high,low,close,volume,market_cap
DRGN,"Dec 20, 2017",0.987234,0.998396,0.787096,0.979059,"2,862,170","235,378,000"
DRGN,"Dec 19, 2017",1.17,1.24,0.947691,1.01,"4,642,800","280,022,000"
DRGN,"Dec 18, 2017",0.734299,1.18,0.726927,1.18,"4,383,170","175,073,000"
DRGN,"Dec 17, 2017",0.548809,0.792424,0.544925,0.735266,"2,841,200","130,848,000"
DRGN,"Dec 16, 2017",0.416253,0.495414,0.415646,0.494926,"591,577","99,243,800"
DRGN,"Dec 15, 2017",0.430690,0.431437,0.380465,0.415726,"499,531","102,686,000"
DRGN,"Dec 14, 2017",0.435280,0.469566,0.374084,0.430709,"539,000","103,780,000"
DRGN,"Dec 13, 2017",0.460379,0.504656,0.394562,0.435506,"736,731","109,764,000"
DRGN,"Dec 12, 2017",0.380417,0.460064,0.313249,0.460064,"985,551","90,699,900"
DRGN,"Dec 11, 2017",0.399304,0.428651,0.360752,0.382873,"621,039","95,202,800"
DRGN,"Dec 10, 2017",0.429893,0.437336,0.384007,0.399310,"443,550","102,496,000"
DRGN,"Dec 09, 2017",0.442726,0.503388,0.428811,0.434031,"758,682","105,556,000"
DRGN,"Dec 08, 2017",0.355850,0.459336,0.355850,0.442737,"1,560,460","84,842,500"
DRGN,"Dec 07, 2017",0.233447,0.339933,0.228278,0.338484,"431,774","55,659,000"
DRGN,"Dec 06, 2017",0.228964,0.256500,0.228211,0.232309,"327,862",-
DRGN,"Dec 05, 2017",0.243052,0.262138,0.225570,0.229367,"461,626",-
DRGN,"Dec 04, 2017",0.270270,0.273272,0.242928,0.242928,"592,937",-
DRGN,"Dec 03, 2017",0.260317,0.279968,0.260121,0.269727,"1,142,060",-
