symbol,date,open,high,low,close,volume,market_cap
EMC,"Dec 20, 2017",1.63,1.67,1.43,1.59,"383,527","66,798,500"
EMC,"Dec 19, 2017",1.51,1.68,1.40,1.63,"728,486","62,014,700"
EMC,"Dec 18, 2017",1.38,1.53,1.30,1.51,"342,212","56,800,500"
EMC,"Dec 17, 2017",1.42,1.43,1.32,1.37,"257,677","58,289,000"
EMC,"Dec 16, 2017",1.40,1.57,1.30,1.43,"378,242","57,331,100"
EMC,"Dec 15, 2017",1.34,1.41,1.20,1.39,"251,378","54,976,400"
EMC,"Dec 14, 2017",1.14,1.43,1.14,1.33,"461,232","46,973,300"
EMC,"Dec 13, 2017",1.22,1.26,1.13,1.15,"244,815","50,004,300"
EMC,"Dec 12, 2017",1.07,1.26,1.03,1.22,"353,685","43,728,100"
EMC,"Dec 11, 2017",0.971725,1.09,0.967659,1.06,"184,365","39,875,100"
EMC,"Dec 10, 2017",1.09,1.09,0.945040,0.998133,"178,915","44,708,000"
EMC,"Dec 09, 2017",1.13,1.23,1.02,1.09,"158,578","46,253,400"
EMC,"Dec 08, 2017",1.13,1.21,0.888950,1.13,"349,585","46,391,500"
EMC,"Dec 07, 2017",1.10,1.21,1.02,1.14,"297,771","45,037,300"
EMC,"Dec 06, 2017",1.11,1.22,1.04,1.10,"483,754","45,547,000"
EMC,"Dec 05, 2017",1.11,1.15,1.09,1.13,"224,765","45,382,900"
EMC,"Dec 04, 2017",1.06,1.10,1.03,1.10,"166,180","43,340,200"
EMC,"Dec 03, 2017",1.01,1.10,1.01,1.05,"168,950","41,592,100"
EMC,"Dec 02, 2017",1.03,1.05,0.994056,1.02,"182,503","42,235,400"
EMC,"Dec 01, 2017",0.932838,1.04,0.888009,1.03,"166,048","38,238,600"
EMC,"Nov 30, 2017",0.917839,1.01,0.843935,0.938631,"200,950","37,621,900"
EMC,"Nov 29, 2017",0.981976,1.07,0.862297,0.904582,"254,093","40,248,600"
EMC,"Nov 28, 2017",1.04,1.05,0.932847,0.978103,"246,578","42,581,900"
EMC,"Nov 27, 2017",0.889113,1.02,0.882043,1.02,"346,034","36,439,700"
EMC,"Nov 26, 2017",0.838146,0.924718,0.829855,0.878238,"189,835","34,348,700"
EMC,"Nov 25, 2017",0.778856,0.846651,0.771956,0.836824,"140,728","31,912,800"
EMC,"Nov 24, 2017",0.767926,0.791469,0.753696,0.786251,"158,463","31,463,600"
EMC,"Nov 23, 2017",0.813402,0.816858,0.765692,0.766538,"122,340","33,321,300"
EMC,"Nov 22, 2017",0.763889,0.831302,0.759390,0.813353,"136,232","31,288,100"
EMC,"Nov 21, 2017",0.767547,0.785227,0.727768,0.763634,"184,756","31,437,100"
EMC,"Nov 20, 2017",0.746064,0.776877,0.731248,0.772745,"476,163","30,556,000"
EMC,"Nov 19, 2017",0.724105,0.751019,0.714800,0.747314,"97,990","29,655,600"
