symbol,date,open,high,low,close,volume,market_cap
EMC2,"Dec 20, 2017",1.86,1.86,1.42,1.47,"75,943,000","401,026,000"
EMC2,"Dec 19, 2017",2.52,2.83,1.51,1.89,"220,966,000","544,153,000"
EMC2,"Dec 18, 2017",2.34,2.76,2.19,2.56,"104,608,000","505,823,000"
EMC2,"Dec 17, 2017",1.95,2.43,1.90,2.40,"67,461,700","420,516,000"
EMC2,"Dec 16, 2017",1.91,2.06,1.85,1.98,"42,057,500","412,039,000"
EMC2,"Dec 15, 2017",1.64,2.07,1.46,1.93,"86,424,100","354,556,000"
EMC2,"Dec 14, 2017",1.71,1.73,1.56,1.63,"34,325,800","369,086,000"
EMC2,"Dec 13, 2017",1.57,1.78,1.40,1.75,"53,864,500","338,860,000"
EMC2,"Dec 12, 2017",1.72,1.72,1.47,1.62,"40,426,800","370,778,000"
EMC2,"Dec 11, 2017",1.73,1.79,1.63,1.67,"53,080,800","373,396,000"
EMC2,"Dec 10, 2017",1.99,2.26,1.20,1.72,"146,522,000","429,249,000"
EMC2,"Dec 09, 2017",2.13,2.24,1.71,2.00,"48,541,800","460,659,000"
EMC2,"Dec 08, 2017",2.08,2.53,1.69,2.29,"156,202,000","449,991,000"
EMC2,"Dec 07, 2017",2.27,2.88,1.65,1.79,"256,139,000","489,574,000"
EMC2,"Dec 06, 2017",1.12,2.54,1.08,2.26,"440,473,000","242,242,000"
EMC2,"Dec 05, 2017",0.887610,1.14,0.841754,1.09,"66,728,600","191,799,000"
EMC2,"Dec 04, 2017",0.861459,0.913906,0.822973,0.898808,"21,522,700","186,144,000"
EMC2,"Dec 03, 2017",0.912061,0.937219,0.826097,0.860904,"37,564,600","197,073,000"
EMC2,"Dec 02, 2017",0.666901,0.978633,0.645118,0.889466,"123,020,000","144,096,000"
EMC2,"Dec 01, 2017",0.426379,0.672051,0.412319,0.669087,"83,803,200","92,124,900"
EMC2,"Nov 30, 2017",0.363327,0.450333,0.355796,0.430083,"19,095,700","78,499,700"
EMC2,"Nov 29, 2017",0.437225,0.489262,0.355778,0.355778,"19,140,800","94,463,800"
EMC2,"Nov 28, 2017",0.456180,0.511202,0.429013,0.440084,"26,285,000","98,556,500"
EMC2,"Nov 27, 2017",0.541176,0.556358,0.435588,0.453855,"34,075,600","116,917,000"
EMC2,"Nov 26, 2017",0.220474,0.607233,0.220474,0.549802,"155,757,000","47,630,500"
EMC2,"Nov 25, 2017",0.185662,0.238929,0.179164,0.220855,"21,752,600","40,108,800"
EMC2,"Nov 24, 2017",0.144417,0.200529,0.139934,0.187464,"8,928,450","31,197,900"
EMC2,"Nov 23, 2017",0.143371,0.153137,0.134762,0.144707,"3,588,790","30,971,000"
EMC2,"Nov 22, 2017",0.143276,0.150424,0.140021,0.143423,"2,566,260","30,949,800"
EMC2,"Nov 21, 2017",0.142454,0.144831,0.128244,0.142193,"3,399,160","30,771,400"
EMC2,"Nov 20, 2017",0.123042,0.155775,0.122557,0.143053,"9,230,120","26,577,700"
EMC2,"Nov 19, 2017",0.118835,0.129585,0.116516,0.123227,"2,290,880","25,668,300"
EMC2,"Nov 18, 2017",0.114644,0.124081,0.112488,0.120297,"1,773,190","24,762,400"
EMC2,"Nov 17, 2017",0.123027,0.123454,0.110921,0.114910,"2,947,460","26,572,300"
EMC2,"Nov 16, 2017",0.111767,0.133466,0.111767,0.122359,"8,667,810","24,139,900"
EMC2,"Nov 15, 2017",0.120638,0.126430,0.099243,0.110469,"12,056,900","26,055,200"
EMC2,"Nov 14, 2017",0.066265,0.128226,0.066265,0.118761,"14,577,200","14,311,500"
EMC2,"Nov 13, 2017",0.058500,0.070314,0.058500,0.065771,"623,498","12,602,700"
EMC2,"Nov 12, 2017",0.067940,0.069177,0.055332,0.058395,"667,207","14,636,200"
EMC2,"Nov 11, 2017",0.067742,0.073715,0.066030,0.068118,"652,648","14,593,200"
EMC2,"Nov 10, 2017",0.082482,0.082642,0.065107,0.068653,"1,202,100","17,768,100"
EMC2,"Nov 09, 2017",0.067716,0.084615,0.066686,0.082403,"2,004,840","14,587,000"
EMC2,"Nov 08, 2017",0.063681,0.070201,0.060812,0.067658,"1,088,370","13,717,400"
EMC2,"Nov 07, 2017",0.062047,0.065091,0.061125,0.064094,"724,770","13,365,200"
EMC2,"Nov 06, 2017",0.059723,0.068242,0.057935,0.062648,"1,187,440","12,864,200"
EMC2,"Nov 05, 2017",0.060987,0.062377,0.057918,0.059796,"360,177","13,136,100"
EMC2,"Nov 04, 2017",0.059762,0.061878,0.056612,0.060702,"635,507","12,871,900"
EMC2,"Nov 03, 2017",0.058364,0.060368,0.053304,0.059736,"604,209","12,570,500"
EMC2,"Nov 02, 2017",0.065651,0.067515,0.048904,0.057100,"1,446,490","14,139,700"
EMC2,"Nov 01, 2017",0.068065,0.072370,0.064286,0.065607,"1,097,610","14,659,100"
EMC2,"Oct 31, 2017",0.067099,0.079745,0.067006,0.068120,"2,630,210","14,450,800"
EMC2,"Oct 30, 2017",0.062578,0.067715,0.062232,0.067406,"381,998","13,476,800"
EMC2,"Oct 29, 2017",0.065646,0.067258,0.062604,0.062944,"371,094","14,137,100"
EMC2,"Oct 28, 2017",0.068861,0.069731,0.064232,0.065353,"310,932","14,829,200"
EMC2,"Oct 27, 2017",0.067533,0.073028,0.067243,0.068132,"398,564","14,506,700"
EMC2,"Oct 26, 2017",0.072275,0.077240,0.066236,0.067357,"1,128,980","15,524,900"
EMC2,"Oct 25, 2017",0.076626,0.082438,0.069549,0.072260,"2,444,050","16,459,100"
