symbol,date,open,high,low,close,volume,market_cap
ETC,"Dec 20, 2017",40.37,44.86,37.32,44.05,"920,793,000","3,976,420,000"
ETC,"Dec 19, 2017",39.41,46.24,38.61,40.27,"931,713,000","3,880,300,000"
ETC,"Dec 18, 2017",34.85,42.40,32.53,39.40,"1,072,100,000","3,431,130,000"
ETC,"Dec 17, 2017",34.78,36.41,34.20,34.79,"428,826,000","3,423,520,000"
ETC,"Dec 16, 2017",32.03,39.02,31.30,34.78,"1,104,770,000","3,151,410,000"
ETC,"Dec 15, 2017",32.02,32.70,28.47,32.09,"526,730,000","3,150,230,000"
ETC,"Dec 14, 2017",29.64,34.07,29.61,31.96,"632,755,000","2,914,580,000"
ETC,"Dec 13, 2017",30.29,33.24,27.95,29.72,"688,511,000","2,978,500,000"
ETC,"Dec 12, 2017",27.75,33.39,27.42,30.32,"819,045,000","2,728,370,000"
ETC,"Dec 11, 2017",26.48,29.43,26.48,27.64,"470,359,000","2,602,010,000"
ETC,"Dec 10, 2017",29.22,29.22,24.20,26.51,"463,748,000","2,870,390,000"
ETC,"Dec 09, 2017",29.77,33.05,26.72,29.09,"585,616,000","2,923,310,000"
ETC,"Dec 08, 2017",26.89,30.05,25.45,30.05,"581,400,000","2,639,940,000"
ETC,"Dec 07, 2017",27.90,30.04,26.77,26.82,"449,013,000","2,738,670,000"
ETC,"Dec 06, 2017",30.49,30.51,27.31,27.86,"407,100,000","2,991,890,000"
ETC,"Dec 05, 2017",30.40,31.23,29.58,30.39,"331,677,000","2,981,630,000"
ETC,"Dec 04, 2017",30.44,30.88,29.62,30.40,"274,351,000","2,984,910,000"
ETC,"Dec 03, 2017",30.77,31.79,29.87,30.46,"401,675,000","3,016,140,000"
ETC,"Dec 02, 2017",31.18,32.66,29.81,30.80,"605,113,000","3,055,410,000"
ETC,"Dec 01, 2017",27.95,31.54,25.50,31.20,"853,735,000","2,737,970,000"
ETC,"Nov 30, 2017",26.01,29.44,22.59,28.19,"968,075,000","2,546,530,000"
ETC,"Nov 29, 2017",33.98,34.25,24.67,25.42,"919,393,000","3,326,880,000"
ETC,"Nov 28, 2017",25.74,34.85,25.60,33.98,"1,640,680,000","2,519,340,000"
ETC,"Nov 27, 2017",22.16,26.55,21.70,25.75,"718,945,000","2,167,620,000"
ETC,"Nov 26, 2017",21.73,22.61,21.35,22.22,"494,333,000","2,124,930,000"
ETC,"Nov 25, 2017",21.33,22.75,20.21,21.71,"370,135,000","2,084,820,000"
ETC,"Nov 24, 2017",18.26,21.76,18.07,21.45,"373,045,000","1,785,000,000"
ETC,"Nov 23, 2017",18.02,18.77,17.77,18.23,"186,523,000","1,760,670,000"
ETC,"Nov 22, 2017",17.74,18.15,17.73,17.99,"93,779,000","1,732,980,000"
ETC,"Nov 21, 2017",18.40,18.47,17.28,17.80,"186,210,000","1,796,380,000"
ETC,"Nov 20, 2017",17.94,18.68,17.84,18.39,"147,752,000","1,750,630,000"
ETC,"Nov 19, 2017",17.73,18.07,17.58,17.92,"110,618,000","1,730,450,000"
ETC,"Nov 18, 2017",17.21,18.12,17.00,17.72,"159,453,000","1,679,120,000"
ETC,"Nov 17, 2017",16.77,17.58,16.76,17.24,"150,957,000","1,635,500,000"
ETC,"Nov 16, 2017",17.50,17.50,16.39,16.88,"182,721,000","1,706,140,000"
