symbol,date,open,high,low,close,volume,market_cap
ETH,"Dec 20, 2017",827.52,845.06,756.00,819.09,"3,969,940,000","79,810,600,000"
ETH,"Dec 19, 2017",793.90,881.94,785.34,826.82,"4,096,550,000","76,552,200,000"
ETH,"Dec 18, 2017",721.73,803.93,689.23,794.64,"3,249,230,000","69,578,400,000"
ETH,"Dec 17, 2017",696.24,735.83,696.24,719.98,"2,147,390,000","67,106,400,000"
ETH,"Dec 16, 2017",686.19,718.38,680.79,696.21,"2,165,690,000","66,124,200,000"
ETH,"Dec 15, 2017",696.38,697.13,621.06,684.45,"2,758,710,000","67,090,900,000"
ETH,"Dec 14, 2017",700.59,753.12,664.99,695.82,"3,821,580,000","67,482,900,000"
ETH,"Dec 13, 2017",644.91,747.99,597.80,702.77,"4,524,540,000","62,105,600,000"
ETH,"Dec 12, 2017",522.29,657.32,504.49,651.43,"5,179,830,000","50,286,400,000"
ETH,"Dec 11, 2017",440.36,516.97,439.10,515.14,"1,771,440,000","42,389,300,000"
ETH,"Dec 10, 2017",472.79,472.79,429.51,441.72,"1,404,180,000","45,501,400,000"
ETH,"Dec 09, 2017",457.34,504.15,456.25,473.50,"2,003,850,000","44,005,600,000"
ETH,"Dec 08, 2017",434.99,466.06,422.37,456.03,"2,336,380,000","41,845,800,000"
ETH,"Dec 07, 2017",426.37,441.40,414.41,434.41,"2,129,570,000","41,007,600,000"
ETH,"Dec 06, 2017",462.60,462.71,420.21,428.59,"1,998,260,000","44,483,100,000"
ETH,"Dec 05, 2017",470.29,473.56,457.66,463.28,"1,216,720,000","45,212,800,000"
ETH,"Dec 04, 2017",466.05,474.78,453.31,470.20,"1,005,550,000","44,795,700,000"
ETH,"Dec 03, 2017",463.70,482.81,451.85,465.85,"990,557,000","44,560,500,000"
ETH,"Dec 02, 2017",466.85,476.24,456.65,463.45,"943,650,000","44,853,300,000"
ETH,"Dec 01, 2017",445.21,472.61,428.31,466.54,"1,247,880,000","42,765,000,000"
ETH,"Nov 30, 2017",431.21,465.50,401.24,447.11,"1,903,040,000","41,411,900,000"
