symbol,date,open,high,low,close,volume,market_cap
EXP,"Dec 20, 2017",3.88,4.51,3.15,4.43,"3,468,140","30,653,200"
EXP,"Dec 19, 2017",3.42,4.04,2.99,3.86,"3,164,080","27,042,400"
EXP,"Dec 18, 2017",2.98,3.49,2.88,3.43,"2,299,090","23,583,900"
EXP,"Dec 17, 2017",2.60,3.41,2.55,2.93,"2,425,770","20,581,400"
EXP,"Dec 16, 2017",2.31,2.79,2.27,2.63,"2,141,400","18,262,100"
EXP,"Dec 15, 2017",2.37,2.40,2.06,2.36,"1,643,880","18,750,100"
EXP,"Dec 14, 2017",2.39,2.47,2.10,2.38,"1,526,710","18,909,700"
EXP,"Dec 13, 2017",2.12,2.55,1.99,2.35,"2,269,670","16,747,000"
EXP,"Dec 12, 2017",1.94,2.19,1.80,2.08,"1,324,240","15,313,200"
EXP,"Dec 11, 2017",1.77,2.06,1.75,1.89,"808,062","13,956,400"
EXP,"Dec 10, 2017",2.02,2.03,1.69,1.76,"424,983","15,971,800"
EXP,"Dec 09, 2017",2.13,2.33,1.80,2.01,"617,260","16,857,900"
EXP,"Dec 08, 2017",2.16,2.27,1.77,2.14,"871,854","17,069,400"
EXP,"Dec 07, 2017",2.18,2.55,1.99,2.15,"1,211,280","17,226,500"
EXP,"Dec 06, 2017",2.45,2.46,2.15,2.19,"942,116","19,388,500"
EXP,"Dec 05, 2017",2.58,2.58,2.36,2.44,"1,059,760","20,389,700"
EXP,"Dec 04, 2017",2.13,2.57,2.11,2.57,"839,588","16,821,700"
EXP,"Dec 03, 2017",2.10,2.26,2.00,2.12,"460,542","16,604,300"
EXP,"Dec 02, 2017",2.07,2.14,1.95,2.10,"508,388","16,404,000"
EXP,"Dec 01, 2017",1.97,2.10,1.81,2.08,"290,407","15,566,000"
EXP,"Nov 30, 2017",1.85,2.06,1.65,1.99,"588,730","14,603,900"
EXP,"Nov 29, 2017",2.11,2.25,1.69,1.78,"628,301","16,671,400"
EXP,"Nov 28, 2017",2.18,2.27,2.08,2.11,"536,734","17,231,300"
EXP,"Nov 27, 2017",2.03,2.20,2.02,2.20,"413,550","16,022,700"
EXP,"Nov 26, 2017",1.99,2.12,1.90,2.02,"420,508","15,731,200"
EXP,"Nov 25, 2017",1.85,2.00,1.85,1.99,"264,011","14,642,300"
EXP,"Nov 24, 2017",1.88,1.98,1.79,1.86,"311,692","14,899,000"
EXP,"Nov 23, 2017",1.83,1.97,1.75,1.93,"359,476","14,476,700"
EXP,"Nov 22, 2017",1.78,1.86,1.75,1.83,"278,499","14,044,400"
EXP,"Nov 21, 2017",1.78,1.86,1.65,1.79,"313,852","14,103,900"
EXP,"Nov 20, 2017",1.83,1.96,1.72,1.79,"333,926","14,450,000"
EXP,"Nov 19, 2017",1.78,1.93,1.74,1.83,"502,472","14,061,400"
EXP,"Nov 18, 2017",1.79,1.88,1.72,1.78,"302,798","14,189,900"
EXP,"Nov 17, 2017",1.85,2.00,1.75,1.79,"294,025","14,646,200"
EXP,"Nov 16, 2017",2.03,2.11,1.81,1.84,"689,422","16,085,600"
EXP,"Nov 15, 2017",2.01,2.53,1.95,2.03,"2,634,610","15,919,300"
EXP,"Nov 14, 2017",1.72,2.04,1.67,2.01,"1,169,680","13,563,200"
EXP,"Nov 13, 2017",1.55,1.75,1.54,1.71,"238,290","12,246,700"
EXP,"Nov 12, 2017",1.73,1.74,1.42,1.55,"315,772","13,665,600"
EXP,"Nov 11, 2017",1.80,1.98,1.70,1.73,"286,101","14,256,300"
EXP,"Nov 10, 2017",1.99,2.20,1.66,1.81,"527,985","15,746,500"
EXP,"Nov 09, 2017",2.04,2.07,1.89,2.00,"555,127","16,129,100"
EXP,"Nov 08, 2017",1.84,2.03,1.78,1.96,"442,144","14,535,100"
EXP,"Nov 07, 2017",1.81,1.96,1.72,1.84,"378,006","14,308,100"
EXP,"Nov 06, 2017",1.78,2.02,1.71,1.84,"408,050","14,065,900"
EXP,"Nov 05, 2017",1.86,1.93,1.76,1.78,"324,856","14,742,800"
EXP,"Nov 04, 2017",1.86,2.12,1.78,1.87,"725,708","14,734,400"
EXP,"Nov 03, 2017",1.87,1.93,1.71,1.88,"443,343","14,790,200"
EXP,"Nov 02, 2017",2.00,2.04,1.68,1.86,"518,326","15,780,500"
EXP,"Nov 01, 2017",2.15,2.23,1.88,2.01,"679,765","16,988,600"
EXP,"Oct 31, 2017",2.10,2.42,2.08,2.14,"1,281,350","16,606,600"
EXP,"Oct 30, 2017",1.89,2.20,1.87,2.10,"2,356,420","14,945,400"
EXP,"Oct 29, 2017",1.92,2.14,1.84,1.87,"869,935","15,193,400"
EXP,"Oct 28, 2017",1.71,2.01,1.69,1.92,"425,774","13,484,300"
EXP,"Oct 27, 2017",1.72,1.77,1.68,1.70,"124,578","13,619,500"
EXP,"Oct 26, 2017",1.85,1.91,1.69,1.72,"276,115","14,617,600"
EXP,"Oct 25, 2017",1.74,2.06,1.62,1.84,"661,007","13,740,400"
EXP,"Oct 24, 2017",1.64,2.01,1.58,1.74,"430,903","12,986,500"
EXP,"Oct 23, 2017",1.79,1.80,1.63,1.65,"168,250","14,178,500"
EXP,"Oct 22, 2017",1.67,1.80,1.60,1.80,"132,324","13,227,400"
EXP,"Oct 21, 2017",1.76,1.79,1.59,1.67,"139,100","13,900,900"
EXP,"Oct 20, 2017",1.78,1.85,1.71,1.76,"178,904","14,041,000"
EXP,"Oct 19, 2017",1.82,1.91,1.73,1.77,"268,160","14,380,000"
EXP,"Oct 18, 2017",1.93,2.00,1.70,1.83,"353,832","15,279,000"
EXP,"Oct 17, 2017",1.82,2.52,1.69,1.93,"1,457,400","14,351,300"
EXP,"Oct 16, 2017",1.72,1.90,1.67,1.81,"285,538","13,607,500"
EXP,"Oct 15, 2017",1.76,1.78,1.65,1.72,"104,659","13,924,600"
EXP,"Oct 14, 2017",1.77,1.81,1.72,1.77,"86,555","13,978,500"
EXP,"Oct 13, 2017",1.82,1.90,1.69,1.77,"265,460","14,394,200"
EXP,"Oct 12, 2017",1.63,1.93,1.61,1.81,"454,169","12,871,600"
EXP,"Oct 11, 2017",1.63,1.75,1.59,1.61,"189,653","12,902,600"
EXP,"Oct 10, 2017",1.56,1.68,1.52,1.63,"244,605","12,370,300"
EXP,"Oct 09, 2017",1.74,1.76,1.51,1.56,"332,262","13,759,100"
EXP,"Oct 08, 2017",1.90,1.96,1.70,1.74,"258,195","14,992,100"
EXP,"Oct 07, 2017",1.81,1.99,1.72,1.91,"385,831","14,345,000"
EXP,"Oct 06, 2017",1.86,1.96,1.78,1.83,"148,079","14,743,200"
EXP,"Oct 05, 2017",1.99,2.00,1.83,1.86,"231,814","15,706,000"
EXP,"Oct 04, 2017",1.91,2.18,1.88,1.98,"447,290","15,073,500"
EXP,"Oct 03, 2017",2.09,2.09,1.80,1.91,"263,777","16,546,200"
EXP,"Oct 02, 2017",2.16,2.16,1.98,2.07,"432,324","17,043,900"
EXP,"Oct 01, 2017",2.33,2.38,2.16,2.16,"248,444","18,411,500"
EXP,"Sep 30, 2017",2.30,2.41,2.29,2.33,"169,182","18,215,500"
EXP,"Sep 29, 2017",2.44,2.45,2.24,2.30,"206,510","19,270,100"
EXP,"Sep 28, 2017",2.41,2.53,2.35,2.42,"301,287","19,053,200"
EXP,"Sep 27, 2017",2.26,2.54,2.23,2.41,"399,555","17,856,200"
EXP,"Sep 26, 2017",2.22,2.30,2.20,2.26,"199,355","17,564,600"
EXP,"Sep 25, 2017",2.13,2.27,2.12,2.22,"244,553","16,878,400"
EXP,"Sep 24, 2017",2.31,2.31,2.12,2.13,"207,345","18,258,300"
EXP,"Sep 23, 2017",2.11,2.30,2.06,2.30,"206,893","16,652,000"
EXP,"Sep 22, 2017",2.12,2.24,2.03,2.13,"206,987","16,734,100"
EXP,"Sep 21, 2017",2.49,2.58,2.11,2.13,"403,300","19,670,400"
EXP,"Sep 20, 2017",2.41,2.66,2.36,2.47,"359,865","19,040,000"
EXP,"Sep 19, 2017",2.76,2.80,2.40,2.40,"363,402","21,845,600"
EXP,"Sep 18, 2017",2.53,2.84,2.53,2.76,"635,414","20,041,000"
EXP,"Sep 17, 2017",2.49,2.60,2.35,2.54,"385,549","19,693,500"
EXP,"Sep 16, 2017",2.67,2.80,2.42,2.49,"306,664","21,139,600"
EXP,"Sep 15, 2017",2.24,2.79,1.98,2.69,"518,436","17,732,000"
EXP,"Sep 14, 2017",3.31,3.41,2.24,2.24,"1,038,670","26,183,900"
EXP,"Sep 13, 2017",3.52,3.52,2.80,3.31,"1,341,610","27,845,700"
