symbol,date,open,high,low,close,volume,market_cap
FAIR,"Dec 20, 2017",1.07,1.09,0.919676,0.966520,"128,484","56,953,500"
FAIR,"Dec 19, 2017",1.17,1.19,1.04,1.07,"182,804","62,084,800"
FAIR,"Dec 18, 2017",1.07,1.17,0.954351,1.16,"272,848","56,958,400"
FAIR,"Dec 17, 2017",1.13,1.17,1.03,1.08,"228,618","60,365,700"
FAIR,"Dec 16, 2017",1.25,1.32,1.12,1.13,"462,634","66,462,700"
FAIR,"Dec 15, 2017",1.05,1.91,0.984781,1.27,"2,878,780","55,982,800"
FAIR,"Dec 14, 2017",0.990553,1.08,0.948631,1.05,"61,542","52,691,300"
FAIR,"Dec 13, 2017",1.03,1.13,0.938284,0.993742,"187,756","54,680,700"
FAIR,"Dec 12, 2017",1.15,1.15,1.01,1.06,"139,461","60,954,700"
FAIR,"Dec 11, 2017",1.14,1.24,1.06,1.14,"55,152","60,795,500"
FAIR,"Dec 10, 2017",1.15,1.28,1.00,1.15,"120,025","60,968,600"
FAIR,"Dec 09, 2017",1.22,1.35,1.04,1.14,"90,943","64,885,200"
FAIR,"Dec 08, 2017",1.30,1.32,1.06,1.22,"155,113","69,061,700"
FAIR,"Dec 07, 2017",1.26,1.30,0.946741,1.30,"173,761","66,963,000"
FAIR,"Dec 06, 2017",1.27,1.43,1.21,1.26,"504,497","67,363,300"
FAIR,"Dec 05, 2017",1.29,1.33,1.19,1.27,"24,465","68,558,000"
FAIR,"Dec 04, 2017",1.27,1.36,1.18,1.29,"83,488","67,645,500"
FAIR,"Dec 03, 2017",1.17,1.55,1.12,1.29,"255,242","62,163,300"
FAIR,"Dec 02, 2017",1.22,1.26,1.15,1.19,"30,563","64,860,200"
FAIR,"Dec 01, 2017",1.16,1.25,1.07,1.22,"47,404","61,805,700"
FAIR,"Nov 30, 2017",0.897260,1.17,0.868531,1.17,"246,411","47,728,700"
FAIR,"Nov 29, 2017",1.09,1.16,0.799418,0.882235,"65,084","57,827,600"
FAIR,"Nov 28, 2017",1.07,1.20,1.06,1.09,"184,380","56,955,500"
FAIR,"Nov 27, 2017",0.961396,1.06,0.912743,1.06,"111,974","51,140,300"
FAIR,"Nov 26, 2017",0.953433,1.02,0.943155,0.961213,"28,616","50,716,700"
FAIR,"Nov 25, 2017",0.928878,0.982457,0.904476,0.953752,"28,868","49,410,600"
FAIR,"Nov 24, 2017",0.916347,0.952497,0.874219,0.930759,"17,618","48,744,000"
FAIR,"Nov 23, 2017",0.951654,1.02,0.898092,0.917601,"21,197","50,622,100"
FAIR,"Nov 22, 2017",0.916892,1.02,0.916892,0.951958,"12,718","48,773,000"
FAIR,"Nov 21, 2017",1.00,1.00,0.901136,0.914669,"16,884","53,299,900"
FAIR,"Nov 20, 2017",0.966494,1.05,0.937295,1.00,"17,165","51,411,500"
FAIR,"Nov 19, 2017",0.980138,1.05,0.937864,0.966945,"46,384","52,137,300"
FAIR,"Nov 18, 2017",1.02,1.05,0.979767,0.981959,"14,660","54,451,400"
FAIR,"Nov 17, 2017",1.06,1.09,1.02,1.03,"32,425","56,475,800"
FAIR,"Nov 16, 2017",0.998692,1.08,0.981229,1.06,"7,818","53,124,200"
FAIR,"Nov 15, 2017",0.927608,1.02,0.918491,1.01,"19,788","49,343,000"
FAIR,"Nov 14, 2017",0.920089,0.959445,0.891704,0.926973,"19,239","48,943,100"
FAIR,"Nov 13, 2017",0.830250,0.935692,0.803626,0.918144,"27,204","44,164,200"
FAIR,"Nov 12, 2017",0.892984,0.892984,0.773400,0.829043,"19,849","47,501,200"
FAIR,"Nov 11, 2017",0.925280,0.973120,0.862150,0.893642,"26,766","49,219,200"
FAIR,"Nov 10, 2017",0.990940,1.02,0.861478,0.945873,"60,765","52,711,900"
FAIR,"Nov 09, 2017",1.05,1.07,0.973422,0.988007,"90,775","55,962,100"
FAIR,"Nov 08, 2017",0.843546,1.23,0.805600,1.02,"236,697","44,871,400"
FAIR,"Nov 07, 2017",0.830972,0.892274,0.796734,0.846203,"26,857","44,202,600"
FAIR,"Nov 06, 2017",0.898248,0.910222,0.824573,0.841854,"66,420","47,781,300"
FAIR,"Nov 05, 2017",0.903437,0.960364,0.877889,0.895357,"44,040","48,057,300"
FAIR,"Nov 04, 2017",1.03,1.04,0.815575,0.904338,"86,988","54,955,200"
FAIR,"Nov 03, 2017",1.05,1.12,1.00,1.04,"56,815","55,945,900"
FAIR,"Nov 02, 2017",1.01,1.16,0.976263,1.05,"160,771","53,657,400"
FAIR,"Nov 01, 2017",0.910190,1.04,0.845929,1.01,"178,166","48,416,500"
FAIR,"Oct 31, 2017",0.896251,0.944738,0.874521,0.910857,"45,331","47,675,000"
FAIR,"Oct 30, 2017",0.825271,1.09,0.792811,0.899305,"165,226","43,899,300"
FAIR,"Oct 29, 2017",0.773211,0.868212,0.759772,0.830161,"32,567","41,130,100"
FAIR,"Oct 28, 2017",0.691704,0.849453,0.691356,0.774271,"144,233","36,794,400"
FAIR,"Oct 27, 2017",0.738249,0.750305,0.689030,0.689821,"13,373","39,270,300"
FAIR,"Oct 26, 2017",0.677747,0.803529,0.673677,0.738078,"79,952","36,052,000"
FAIR,"Oct 25, 2017",0.679469,0.718728,0.653397,0.677827,"26,802","36,143,500"
FAIR,"Oct 24, 2017",0.608788,0.735743,0.569761,0.679196,"74,383","32,383,700"
FAIR,"Oct 23, 2017",0.616764,0.699045,0.589431,0.610129,"13,541","32,808,000"
FAIR,"Oct 22, 2017",0.619771,0.689787,0.595547,0.617759,"12,833","32,968,000"
FAIR,"Oct 21, 2017",0.690592,0.719227,0.610930,0.619584,"20,025","36,735,200"
FAIR,"Oct 20, 2017",0.693048,0.782563,0.653437,0.693431,"8,922","36,865,900"
FAIR,"Oct 19, 2017",0.713379,0.751025,0.661203,0.692854,"24,646","37,947,400"
FAIR,"Oct 18, 2017",0.616866,0.831801,0.584053,0.713009,"164,306","32,813,500"
FAIR,"Oct 17, 2017",0.654997,0.656871,0.612624,0.616823,"4,985","34,841,800"
FAIR,"Oct 16, 2017",0.652473,0.669039,0.615213,0.654896,"10,992","34,707,500"
FAIR,"Oct 15, 2017",0.582235,0.761707,0.557449,0.640268,"81,617","30,971,300"
FAIR,"Oct 14, 2017",0.636377,0.656982,0.551354,0.581195,"86,910","33,851,300"
FAIR,"Oct 13, 2017",0.695974,0.741443,0.607209,0.636204,"35,794","37,021,500"
FAIR,"Oct 12, 2017",0.678183,0.720743,0.646706,0.693836,"22,202","36,075,100"
FAIR,"Oct 11, 2017",0.647735,0.808591,0.631301,0.677609,"115,841","34,455,500"
FAIR,"Oct 10, 2017",0.679876,0.721488,0.636905,0.647844,"14,285","36,165,200"
FAIR,"Oct 09, 2017",0.680610,0.730836,0.643885,0.679926,"25,044","36,204,300"
FAIR,"Oct 08, 2017",0.695211,0.759644,0.660768,0.660768,"21,216","36,981,000"
FAIR,"Oct 07, 2017",0.640986,0.783372,0.611108,0.697298,"30,599","34,096,500"
FAIR,"Oct 06, 2017",0.667272,0.685001,0.610147,0.640779,"25,541","35,494,700"
FAIR,"Oct 05, 2017",0.658118,0.702938,0.643368,0.667274,"13,212","35,007,800"
FAIR,"Oct 04, 2017",0.699834,0.708104,0.657407,0.657523,"12,294","37,226,800"
FAIR,"Oct 03, 2017",0.747602,0.751839,0.660642,0.698214,"13,573","39,767,800"
FAIR,"Oct 02, 2017",0.755876,0.763193,0.742149,0.747574,"7,357","40,207,900"
FAIR,"Oct 01, 2017",0.766819,0.770342,0.711143,0.762951,"12,140","40,790,000"
FAIR,"Sep 30, 2017",0.715045,0.775513,0.691839,0.766405,"27,904","38,036,000"
FAIR,"Sep 29, 2017",0.775118,0.788073,0.696801,0.716163,"35,367","41,231,500"
FAIR,"Sep 28, 2017",0.761725,0.789194,0.754012,0.775717,"15,752","40,519,000"
FAIR,"Sep 27, 2017",0.705474,0.816415,0.697959,0.761697,"73,485","37,526,800"
FAIR,"Sep 26, 2017",0.705806,0.719921,0.690747,0.707369,"24,457","37,544,500"
FAIR,"Sep 25, 2017",0.702781,0.741113,0.688009,0.706140,"36,255","37,383,600"
FAIR,"Sep 24, 2017",0.725765,0.725765,0.678308,0.703494,"10,816","38,606,200"
FAIR,"Sep 23, 2017",0.720119,0.753108,0.686574,0.725827,"19,531","38,305,900"
FAIR,"Sep 22, 2017",0.684363,0.737588,0.662961,0.719733,"64,103","36,403,900"
FAIR,"Sep 21, 2017",0.708770,0.909227,0.669150,0.690945,"233,785","37,702,200"
FAIR,"Sep 20, 2017",0.654313,0.761361,0.643182,0.712267,"74,962","34,805,400"
FAIR,"Sep 19, 2017",0.706345,0.714571,0.635768,0.654481,"25,746","37,573,200"
FAIR,"Sep 18, 2017",0.658871,0.740914,0.658425,0.704639,"25,178","35,047,900"
FAIR,"Sep 17, 2017",0.650508,0.687710,0.625638,0.660186,"10,178","34,603,000"
FAIR,"Sep 16, 2017",0.679957,0.707973,0.634073,0.650951,"40,555","36,169,500"
FAIR,"Sep 15, 2017",0.581574,0.744743,0.581574,0.681362,"405,170","30,936,200"
FAIR,"Sep 14, 2017",0.647410,0.676324,0.543474,0.577078,"318,776","34,438,200"
FAIR,"Sep 13, 2017",0.584496,0.649095,0.547536,0.647635,"119,133","31,091,600"
FAIR,"Sep 12, 2017",0.602591,0.643958,0.576407,0.600565,"69,799","32,054,100"
FAIR,"Sep 11, 2017",0.641100,0.655393,0.600900,0.602014,"13,309","34,102,600"
FAIR,"Sep 10, 2017",0.663206,0.673976,0.600938,0.642190,"29,879","35,278,500"
FAIR,"Sep 09, 2017",0.647115,0.766311,0.611991,0.652062,"169,013","34,422,500"
FAIR,"Sep 08, 2017",0.588155,0.718254,0.562046,0.648067,"185,832","31,286,200"
FAIR,"Sep 07, 2017",0.628796,0.633845,0.582496,0.588174,"24,375","33,448,100"
FAIR,"Sep 06, 2017",0.624946,0.684789,0.614480,0.629956,"23,966","33,243,300"
FAIR,"Sep 05, 2017",0.611336,0.685078,0.571308,0.619157,"158,045","32,519,300"
FAIR,"Sep 04, 2017",0.600746,0.667636,0.537778,0.608181,"110,604","31,956,000"
FAIR,"Sep 03, 2017",0.577354,0.613784,0.558123,0.600499,"20,550","30,711,700"
FAIR,"Sep 02, 2017",0.619377,0.621651,0.557328,0.577582,"19,850","32,947,000"
FAIR,"Sep 01, 2017",0.612550,0.644640,0.573727,0.618602,"70,498","32,583,900"
FAIR,"Aug 31, 2017",0.632974,0.640269,0.580085,0.609359,"36,443","33,670,300"
FAIR,"Aug 30, 2017",0.643167,0.677534,0.617266,0.634080,"100,656","34,212,500"
FAIR,"Aug 29, 2017",0.631115,0.663581,0.612801,0.644026,"24,509","33,571,500"
FAIR,"Aug 28, 2017",0.609273,0.635239,0.587706,0.630044,"37,960","32,409,500"
FAIR,"Aug 27, 2017",0.615865,0.645013,0.605486,0.609912,"23,852","32,760,200"
FAIR,"Aug 26, 2017",0.626749,0.640027,0.602802,0.616003,"18,837","33,339,200"
FAIR,"Aug 25, 2017",0.627668,0.645004,0.603518,0.626560,"11,942","33,388,100"
FAIR,"Aug 24, 2017",0.618461,0.633247,0.584294,0.628659,"43,069","32,898,300"
FAIR,"Aug 23, 2017",0.594236,0.633975,0.573387,0.611112,"35,494","31,609,700"
FAIR,"Aug 22, 2017",0.552169,0.620501,0.496460,0.595450,"100,658","29,372,000"
FAIR,"Aug 21, 2017",0.576076,0.586712,0.536021,0.550892,"34,209","30,643,700"
FAIR,"Aug 20, 2017",0.497853,0.582356,0.489474,0.578271,"40,530","26,482,700"
FAIR,"Aug 19, 2017",0.494873,0.539829,0.478796,0.500187,"109,315","26,324,200"
FAIR,"Aug 18, 2017",0.521838,0.536598,0.478019,0.495296,"34,670","27,758,500"
FAIR,"Aug 17, 2017",0.504717,0.584341,0.488581,0.523437,"37,785","26,847,800"
FAIR,"Aug 16, 2017",0.475393,0.574880,0.411913,0.505183,"184,072","25,288,000"
FAIR,"Aug 15, 2017",0.432704,0.687478,0.369603,0.474871,"180,499","23,017,200"
FAIR,"Aug 14, 2017",0.424314,0.440246,0.337882,0.431543,"29,449","22,570,900"
FAIR,"Aug 13, 2017",0.399577,0.479843,0.387954,0.425911,"24,581","21,255,000"
FAIR,"Aug 12, 2017",0.444320,0.483245,0.385285,0.399948,"57,984","23,635,100"
FAIR,"Aug 11, 2017",0.457930,0.457930,0.411230,0.444666,"28,453","24,359,100"
FAIR,"Aug 10, 2017",0.428972,0.497790,0.425829,0.461203,"28,325","22,818,700"
FAIR,"Aug 09, 2017",0.444436,0.497967,0.418623,0.428931,"20,983","23,641,300"
FAIR,"Aug 08, 2017",0.441703,0.475068,0.407355,0.444737,"19,319","23,495,900"
FAIR,"Aug 07, 2017",0.454041,0.516403,0.438688,0.441257,"30,674","24,152,200"
FAIR,"Aug 06, 2017",0.525861,0.539747,0.443453,0.455058,"25,340","27,972,600"
FAIR,"Aug 05, 2017",0.520248,0.609927,0.520130,0.525734,"32,553","27,674,000"
FAIR,"Aug 04, 2017",0.423609,0.550453,0.423609,0.519936,"122,364","22,533,400"
FAIR,"Aug 03, 2017",0.315043,0.529636,0.314845,0.423715,"191,083","16,758,300"
FAIR,"Aug 02, 2017",0.277027,0.363531,0.248220,0.314481,"85,257","14,736,100"
FAIR,"Aug 01, 2017",0.271919,0.280346,0.205010,0.277080,"27,579","14,464,400"
FAIR,"Jul 31, 2017",0.284992,0.286673,0.258047,0.274648,"11,241","15,159,800"
FAIR,"Jul 30, 2017",0.260982,0.285273,0.248813,0.271066,"7,462","13,882,600"
FAIR,"Jul 29, 2017",0.310681,0.311531,0.258914,0.261018,"24,609","16,526,300"
FAIR,"Jul 28, 2017",0.305779,0.364625,0.255868,0.305303,"75,257","16,265,500"
FAIR,"Jul 27, 2017",0.369834,0.373086,0.253465,0.305040,"133,800","19,672,900"
FAIR,"Jul 26, 2017",0.396201,0.411067,0.341228,0.366924,"48,480","21,075,400"
FAIR,"Jul 25, 2017",0.523435,0.527026,0.380197,0.396021,"59,291","27,843,500"
FAIR,"Jul 24, 2017",0.543930,0.545399,0.513673,0.523490,"34,811","28,933,700"
FAIR,"Jul 23, 2017",0.509705,0.560091,0.493234,0.544563,"95,429","27,113,200"
FAIR,"Jul 22, 2017",0.454413,0.524249,0.453272,0.509704,"73,534","24,171,900"
FAIR,"Jul 21, 2017",0.469727,0.543082,0.406258,0.448851,"250,224","24,986,600"
FAIR,"Jul 20, 2017",0.293178,0.486743,0.291792,0.465317,"98,786","15,595,300"
FAIR,"Jul 19, 2017",0.308540,0.332180,0.272742,0.294062,"82,348","16,412,400"
FAIR,"Jul 18, 2017",0.313425,0.328503,0.277338,0.308049,"41,836","16,672,000"
FAIR,"Jul 17, 2017",0.256710,0.315132,0.245240,0.314836,"49,686","13,654,800"
FAIR,"Jul 16, 2017",0.230219,0.258678,0.216223,0.256995,"24,397","12,245,300"
FAIR,"Jul 15, 2017",0.242470,0.284851,0.216661,0.230913,"108,201","12,896,600"
FAIR,"Jul 14, 2017",0.236420,0.253101,0.207977,0.244065,"43,424","12,574,300"
FAIR,"Jul 13, 2017",0.246829,0.252052,0.235354,0.236593,"12,745","13,127,600"
FAIR,"Jul 12, 2017",0.245083,0.283919,0.232599,0.246692,"46,015","13,034,400"
FAIR,"Jul 11, 2017",0.291607,0.305819,0.228100,0.246307,"109,456","15,508,400"
FAIR,"Jul 10, 2017",0.278358,0.332372,0.241536,0.307051,"177,326","14,803,500"
FAIR,"Jul 09, 2017",0.287237,0.306640,0.255315,0.277817,"48,283","15,275,200"
FAIR,"Jul 08, 2017",0.275531,0.292340,0.261011,0.286980,"37,998","14,652,600"
FAIR,"Jul 07, 2017",0.267984,0.305511,0.247596,0.275300,"163,513","14,251,100"
FAIR,"Jul 06, 2017",0.242142,0.308764,0.235646,0.267787,"61,821","12,876,700"
FAIR,"Jul 05, 2017",0.239050,0.274931,0.211216,0.242022,"78,337","12,712,000"
FAIR,"Jul 04, 2017",0.279019,0.284028,0.230043,0.239179,"41,287","14,836,900"
FAIR,"Jul 03, 2017",0.269236,0.297046,0.262053,0.279654,"67,265","14,316,300"
FAIR,"Jul 02, 2017",0.297291,0.307837,0.246515,0.270231,"118,079","15,807,500"
FAIR,"Jul 01, 2017",0.227770,0.301668,0.226158,0.298482,"111,923","12,110,500"
FAIR,"Jun 30, 2017",0.262968,0.271835,0.226787,0.227857,"44,610","13,981,500"
FAIR,"Jun 29, 2017",0.229593,0.280847,0.215016,0.262446,"55,513","12,206,600"
FAIR,"Jun 28, 2017",0.207512,0.278349,0.193440,0.223100,"127,752","11,032,200"
FAIR,"Jun 27, 2017",0.184927,0.275063,0.169670,0.198699,"335,479","9,831,110"
FAIR,"Jun 26, 2017",0.164714,0.261677,0.144088,0.184927,"140,590","8,756,120"
FAIR,"Jun 25, 2017",0.198949,0.201867,0.153545,0.160303,"43,174","10,575,500"
FAIR,"Jun 24, 2017",0.184898,0.296673,0.175930,0.199407,"216,590","9,828,160"
FAIR,"Jun 23, 2017",0.144765,0.245335,0.121165,0.184919,"159,973","7,694,630"
FAIR,"Jun 22, 2017",0.152850,0.159986,0.134199,0.144765,"100,271","8,123,850"
FAIR,"Jun 21, 2017",0.207198,0.274775,0.147334,0.152601,"668,856","11,011,100"
FAIR,"Jun 20, 2017",0.089029,0.437904,0.089004,0.201803,"1,657,930","4,730,770"
FAIR,"Jun 19, 2017",0.092971,0.099957,0.087555,0.089029,"10,268","4,940,060"
FAIR,"Jun 18, 2017",0.094924,0.096423,0.089928,0.092971,"2,221","5,043,610"
FAIR,"Jun 17, 2017",0.092451,0.098322,0.092301,0.094924,"2,238","4,911,690"
FAIR,"Jun 16, 2017",0.083227,0.099945,0.080438,0.098222,"11,843","4,421,470"
FAIR,"Jun 15, 2017",0.087728,0.094814,0.072362,0.083289,"7,480","4,660,390"
FAIR,"Jun 14, 2017",0.097460,0.100269,0.084274,0.087732,"8,062","5,177,280"
FAIR,"Jun 13, 2017",0.090150,0.098478,0.089836,0.097517,"7,375","4,788,860"
FAIR,"Jun 12, 2017",0.100923,0.105867,0.085770,0.090452,"8,436","5,361,060"
FAIR,"Jun 11, 2017",0.101368,0.106747,0.096960,0.101385,"5,264","5,384,640"
FAIR,"Jun 10, 2017",0.105530,0.112055,0.101051,0.101426,"8,297","5,605,670"
FAIR,"Jun 09, 2017",0.105693,0.109477,0.101368,0.105372,"16,411","5,614,260"
FAIR,"Jun 08, 2017",0.097134,0.106227,0.092962,0.105861,"19,847","5,159,520"
FAIR,"Jun 07, 2017",0.116990,0.121334,0.094981,0.096648,"11,713","6,213,980"
FAIR,"Jun 06, 2017",0.110702,0.121937,0.095888,0.117043,"19,559","5,879,250"
FAIR,"Jun 05, 2017",0.087711,0.117865,0.086140,0.110368,"73,019","4,658,060"
FAIR,"Jun 04, 2017",0.085677,0.088036,0.083674,0.087695,"13,496","4,550,020"
FAIR,"Jun 03, 2017",0.085681,0.086397,0.077125,0.085909,"12,900","4,550,160"
FAIR,"Jun 02, 2017",0.081349,0.085719,0.074886,0.085719,"3,330","4,320,000"
FAIR,"Jun 01, 2017",0.069823,0.090691,0.069496,0.081048,"3,733","3,707,850"
FAIR,"May 31, 2017",0.061389,0.076504,0.061389,0.069304,"3,169","3,259,970"
FAIR,"May 30, 2017",0.068655,0.074788,0.060852,0.061150,"10,026","3,645,760"
FAIR,"May 29, 2017",0.068842,0.074696,0.062585,0.068575,"8,764","3,655,650"
FAIR,"May 28, 2017",0.050068,0.082024,0.049394,0.068982,"26,314","2,658,650"
FAIR,"May 27, 2017",0.064204,0.068316,0.045466,0.049771,"9,143","3,409,210"
FAIR,"May 26, 2017",0.070454,0.077926,0.057870,0.059331,"9,505","3,741,000"
