symbol,date,open,high,low,close,volume,market_cap
FCT,"Dec 20, 2017",41.68,46.08,35.48,43.75,"22,740,800","364,453,000"
FCT,"Dec 19, 2017",42.35,46.44,38.42,41.38,"21,900,300","370,347,000"
FCT,"Dec 18, 2017",38.43,44.69,36.76,42.27,"20,930,600","336,081,000"
FCT,"Dec 17, 2017",31.71,44.93,31.16,38.59,"28,270,400","277,291,000"
FCT,"Dec 16, 2017",31.71,32.10,29.75,30.95,"12,512,500","277,307,000"
FCT,"Dec 15, 2017",32.42,32.88,26.16,31.67,"19,675,900","283,513,000"
FCT,"Dec 14, 2017",25.89,35.82,25.73,32.29,"34,603,300","226,380,000"
FCT,"Dec 13, 2017",27.03,29.23,24.87,26.36,"12,217,400","236,393,000"
FCT,"Dec 12, 2017",23.67,27.96,22.97,27.24,"11,137,400","206,965,000"
FCT,"Dec 11, 2017",19.24,25.26,19.24,23.63,"9,127,790","168,222,000"
FCT,"Dec 10, 2017",21.60,21.60,18.82,19.65,"6,611,590","188,866,000"
FCT,"Dec 09, 2017",20.21,22.34,20.01,22.06,"9,043,360","176,714,000"
FCT,"Dec 08, 2017",19.34,22.37,18.11,20.37,"11,227,700","169,133,000"
FCT,"Dec 07, 2017",23.02,25.46,19.29,19.48,"13,384,500","201,335,000"
FCT,"Dec 06, 2017",25.50,25.96,21.45,22.61,"10,704,200","222,978,000"
FCT,"Dec 05, 2017",23.83,25.59,23.73,25.51,"7,338,800","208,365,000"
FCT,"Dec 04, 2017",23.05,24.46,22.74,23.88,"6,554,430","201,603,000"
FCT,"Dec 03, 2017",22.26,24.60,21.36,23.11,"5,475,510","194,654,000"
FCT,"Dec 02, 2017",23.17,23.35,21.68,22.43,"3,068,200","202,640,000"
FCT,"Dec 01, 2017",23.19,23.25,20.96,23.23,"4,852,030","202,810,000"
FCT,"Nov 30, 2017",20.25,23.60,18.57,23.39,"6,917,800","177,046,000"
FCT,"Nov 29, 2017",23.56,25.36,19.01,19.58,"9,147,160","206,015,000"
FCT,"Nov 28, 2017",22.94,25.13,22.79,23.66,"6,776,520","200,637,000"
FCT,"Nov 27, 2017",22.76,23.52,21.90,22.88,"4,196,830","199,001,000"
