symbol,date,open,high,low,close,volume,market_cap
FLDC,"Dec 20, 2017",0.036494,0.038774,0.030025,0.035673,"1,303,010","20,085,000"
FLDC,"Dec 19, 2017",0.037616,0.045644,0.034066,0.036531,"2,764,260","20,702,000"
FLDC,"Dec 18, 2017",0.032619,0.038775,0.030628,0.037237,"1,598,920","17,952,200"
FLDC,"Dec 17, 2017",0.031005,0.036339,0.029547,0.032416,"1,263,550","17,064,100"
FLDC,"Dec 16, 2017",0.028930,0.031447,0.028847,0.031046,"624,552","15,921,800"
FLDC,"Dec 15, 2017",0.030805,0.031342,0.028061,0.028883,"639,610","16,953,900"
FLDC,"Dec 14, 2017",0.029817,0.032021,0.028668,0.030361,"898,470","16,410,300"
FLDC,"Dec 13, 2017",0.032405,0.033944,0.028252,0.029981,"1,049,050","17,834,400"
FLDC,"Dec 12, 2017",0.037385,0.038979,0.030216,0.032551,"2,365,280","20,575,100"
FLDC,"Dec 11, 2017",0.024959,0.040497,0.024959,0.037296,"5,640,000","13,736,700"
FLDC,"Dec 10, 2017",0.025643,0.028837,0.021579,0.025601,"1,253,440","14,113,100"
FLDC,"Dec 09, 2017",0.025372,0.027558,0.021735,0.025302,"1,206,760","13,963,500"
FLDC,"Dec 08, 2017",0.024074,0.031704,0.020822,0.025217,"3,862,500","13,249,400"
FLDC,"Dec 07, 2017",0.028223,0.054567,0.023851,0.024352,"22,225,700","15,533,000"
FLDC,"Dec 06, 2017",0.017327,0.029320,0.016297,0.027854,"2,038,300","9,536,110"
FLDC,"Dec 05, 2017",0.017023,0.018334,0.016686,0.017478,"377,450","9,368,840"
FLDC,"Dec 04, 2017",0.014570,0.017268,0.014386,0.016808,"638,165","8,018,670"
FLDC,"Dec 03, 2017",0.013998,0.015838,0.013976,0.014590,"221,674","7,703,850"
FLDC,"Dec 02, 2017",0.013770,0.014420,0.013407,0.013984,"98,712","7,224,830"
FLDC,"Dec 01, 2017",0.012828,0.014123,0.012215,0.013670,"93,230","6,730,410"
FLDC,"Nov 30, 2017",0.012413,0.013507,0.011118,0.012892,"135,851","6,512,920"
FLDC,"Nov 29, 2017",0.013963,0.014863,0.011293,0.012194,"238,496","7,326,210"
FLDC,"Nov 28, 2017",0.014870,0.015381,0.013397,0.013977,"264,607","7,802,120"
FLDC,"Nov 27, 2017",0.013465,0.016350,0.012792,0.014832,"1,032,260","7,064,830"
FLDC,"Nov 26, 2017",0.011215,0.015666,0.011142,0.013322,"701,868","5,884,370"
FLDC,"Nov 25, 2017",0.010953,0.011491,0.010859,0.011177,"102,934","5,746,650"
FLDC,"Nov 24, 2017",0.011171,0.011229,0.010065,0.010908,"151,842","5,861,490"
FLDC,"Nov 23, 2017",0.010756,0.011702,0.010601,0.011161,"174,459","5,643,280"
FLDC,"Nov 22, 2017",0.009596,0.011049,0.009534,0.010696,"136,141","5,034,950"
FLDC,"Nov 21, 2017",0.009642,0.009925,0.009109,0.009573,"93,091","5,059,240"
FLDC,"Nov 20, 2017",0.009597,0.010209,0.009543,0.009723,"72,329","5,035,180"
FLDC,"Nov 19, 2017",0.009677,0.010169,0.009453,0.009676,"148,185","5,077,270"
FLDC,"Nov 18, 2017",0.009578,0.009875,0.009160,0.009674,"48,924","5,025,410"
FLDC,"Nov 17, 2017",0.009806,0.010094,0.009303,0.009706,"56,402","5,144,960"
FLDC,"Nov 16, 2017",0.010331,0.010359,0.009397,0.009905,"92,666","5,420,720"
FLDC,"Nov 15, 2017",0.010134,0.010443,0.009863,0.010315,"64,092","5,317,300"
FLDC,"Nov 14, 2017",0.009796,0.010297,0.009576,0.010071,"67,271","5,139,940"
FLDC,"Nov 13, 2017",0.008337,0.010453,0.008326,0.009906,"144,371","4,374,040"
FLDC,"Nov 12, 2017",0.009459,0.009610,0.008077,0.008295,"111,996","4,963,180"
FLDC,"Nov 11, 2017",0.009168,0.010550,0.008953,0.009191,"145,532","4,810,260"
FLDC,"Nov 10, 2017",0.011461,0.011642,0.009196,0.009456,"113,763","6,013,120"
FLDC,"Nov 09, 2017",0.011006,0.011584,0.010597,0.011515,"209,298","5,774,650"
FLDC,"Nov 08, 2017",0.010704,0.011330,0.009852,0.011017,"145,867","5,616,270"
FLDC,"Nov 07, 2017",0.010104,0.011269,0.010104,0.010821,"126,609","5,301,370"
FLDC,"Nov 06, 2017",0.010534,0.012482,0.010044,0.010120,"570,799","5,527,190"
FLDC,"Nov 05, 2017",0.009404,0.013747,0.008992,0.010623,"1,036,640","4,934,230"
FLDC,"Nov 04, 2017",0.008457,0.010209,0.008295,0.009496,"234,455","4,437,220"
FLDC,"Nov 03, 2017",0.008813,0.009192,0.008112,0.008479,"72,579","4,624,000"
FLDC,"Nov 02, 2017",0.008276,0.008898,0.007656,0.008863,"123,431","4,342,380"
FLDC,"Nov 01, 2017",0.008854,0.008919,0.007850,0.008223,"75,687","4,645,730"
FLDC,"Oct 31, 2017",0.008115,0.010257,0.008082,0.008861,"517,641","4,257,760"
FLDC,"Oct 30, 2017",0.008223,0.008326,0.007778,0.008143,"50,656","4,314,540"
FLDC,"Oct 29, 2017",0.007589,0.008587,0.007421,0.008175,"215,930","3,981,880"
FLDC,"Oct 28, 2017",0.007414,0.007849,0.007331,0.007599,"70,710","3,889,890"
FLDC,"Oct 27, 2017",0.007208,0.007776,0.007170,0.007357,"49,377","3,781,960"
FLDC,"Oct 26, 2017",0.007627,0.008184,0.007027,0.007207,"56,055","4,001,580"
FLDC,"Oct 25, 2017",0.008009,0.008381,0.007210,0.007628,"152,701","4,201,960"
FLDC,"Oct 24, 2017",0.007652,0.008746,0.007418,0.008077,"128,492","4,014,640"
FLDC,"Oct 23, 2017",0.007355,0.007980,0.007068,0.007695,"71,646","3,858,780"
FLDC,"Oct 22, 2017",0.007244,0.007764,0.006927,0.007366,"62,130","3,800,970"
FLDC,"Oct 21, 2017",0.008022,0.008097,0.006933,0.007092,"122,807","4,208,750"
FLDC,"Oct 20, 2017",0.008360,0.008747,0.007782,0.008038,"95,189","4,386,370"
FLDC,"Oct 19, 2017",0.008631,0.008821,0.008214,0.008440,"85,369","4,528,680"
FLDC,"Oct 18, 2017",0.008902,0.008903,0.008068,0.008627,"81,416","4,670,920"
FLDC,"Oct 17, 2017",0.009146,0.009535,0.008696,0.009017,"68,660","4,798,970"
FLDC,"Oct 16, 2017",0.008771,0.009258,0.008427,0.009145,"116,596","4,601,850"
FLDC,"Oct 15, 2017",0.009440,0.009440,0.008464,0.008769,"71,149","4,953,070"
FLDC,"Oct 14, 2017",0.009332,0.009769,0.009041,0.009423,"126,007","4,896,270"
FLDC,"Oct 13, 2017",0.009500,0.011966,0.008754,0.009354,"487,757","4,984,480"
FLDC,"Oct 12, 2017",0.008666,0.011613,0.008096,0.009438,"344,301","4,546,880"
FLDC,"Oct 11, 2017",0.007980,0.008742,0.007796,0.008659,"117,947","4,186,740"
FLDC,"Oct 10, 2017",0.008568,0.008668,0.007768,0.007981,"95,612","4,495,630"
FLDC,"Oct 09, 2017",0.008867,0.009072,0.008185,0.008569,"131,329","4,652,420"
FLDC,"Oct 08, 2017",0.010223,0.010504,0.008832,0.008927,"209,940","5,363,730"
FLDC,"Oct 07, 2017",0.011055,0.011249,0.010055,0.010361,"104,150","5,800,110"
FLDC,"Oct 06, 2017",0.009940,0.011553,0.009604,0.010983,"461,539","5,215,310"
FLDC,"Oct 05, 2017",0.010025,0.010155,0.009585,0.009940,"59,598","5,259,810"
FLDC,"Oct 04, 2017",0.010713,0.010713,0.009911,0.010016,"61,895","5,620,830"
FLDC,"Oct 03, 2017",0.011053,0.011650,0.010102,0.010688,"119,122","5,799,400"
FLDC,"Oct 02, 2017",0.011179,0.011576,0.010810,0.011053,"127,492","5,865,600"
FLDC,"Oct 01, 2017",0.011470,0.011665,0.010675,0.011283,"192,222","6,018,290"
FLDC,"Sep 30, 2017",0.012308,0.012453,0.011435,0.011593,"254,704","6,458,050"
FLDC,"Sep 29, 2017",0.012539,0.014017,0.011909,0.012349,"1,113,450","6,578,950"
FLDC,"Sep 28, 2017",0.010347,0.013263,0.010341,0.012537,"503,207","5,428,880"
FLDC,"Sep 27, 2017",0.009992,0.010735,0.009986,0.010323,"196,860","5,242,550"
FLDC,"Sep 26, 2017",0.010081,0.010219,0.009490,0.010040,"163,261","5,289,440"
FLDC,"Sep 25, 2017",0.008708,0.010095,0.008680,0.010070,"208,441","4,569,130"
FLDC,"Sep 24, 2017",0.008922,0.009150,0.008474,0.008813,"96,669","4,681,200"
