symbol,date,open,high,low,close,volume,market_cap
FLO,"Dec 20, 2017",0.244823,0.272628,0.211723,0.272493,"1,927,920","34,449,200"
FLO,"Dec 19, 2017",0.266492,0.288621,0.237210,0.240510,"2,282,040","37,491,600"
FLO,"Dec 18, 2017",0.217760,0.273354,0.198847,0.263622,"4,443,560","30,630,200"
FLO,"Dec 17, 2017",0.166186,0.226939,0.164318,0.212815,"3,132,560","23,371,600"
FLO,"Dec 16, 2017",0.144415,0.169152,0.142931,0.165441,"1,214,900","20,306,000"
FLO,"Dec 15, 2017",0.136692,0.153073,0.124480,0.143740,"812,795","19,216,400"
FLO,"Dec 14, 2017",0.129776,0.148269,0.124758,0.136487,"1,193,470","18,240,700"
FLO,"Dec 13, 2017",0.112402,0.132069,0.104751,0.127664,"885,169","15,795,700"
FLO,"Dec 12, 2017",0.101182,0.115826,0.096712,0.112308,"479,649","14,216,100"
FLO,"Dec 11, 2017",0.093664,0.110022,0.092081,0.100859,"373,834","13,157,100"
FLO,"Dec 10, 2017",0.112633,0.112633,0.089526,0.094102,"301,607","15,818,600"
FLO,"Dec 09, 2017",0.121326,0.124991,0.101980,0.112179,"350,139","17,036,200"
FLO,"Dec 08, 2017",0.101106,0.137372,0.088602,0.122588,"993,026","14,194,100"
FLO,"Dec 07, 2017",0.105904,0.120981,0.096326,0.100869,"534,363","14,864,800"
FLO,"Dec 06, 2017",0.110138,0.114174,0.100312,0.105575,"504,586","15,456,200"
FLO,"Dec 05, 2017",0.109990,0.113419,0.105353,0.110096,"223,699","15,432,500"
FLO,"Dec 04, 2017",0.101831,0.111835,0.101831,0.109819,"285,505","14,285,000"
FLO,"Dec 03, 2017",0.097899,0.108750,0.095765,0.101741,"387,744","13,730,700"
FLO,"Dec 02, 2017",0.100245,0.105047,0.096000,0.098401,"259,186","14,056,900"
FLO,"Dec 01, 2017",0.097594,0.103295,0.091445,0.100167,"399,499","13,682,700"
FLO,"Nov 30, 2017",0.088392,0.107901,0.083836,0.097715,"1,679,510","12,390,200"
FLO,"Nov 29, 2017",0.100969,0.104956,0.084368,0.086998,"632,835","14,150,300"
FLO,"Nov 28, 2017",0.092106,0.101535,0.088914,0.101069,"516,750","12,905,700"
FLO,"Nov 27, 2017",0.085576,0.094959,0.085575,0.092280,"305,043","11,988,500"
FLO,"Nov 26, 2017",0.078834,0.094839,0.077585,0.085560,"489,197","11,041,800"
FLO,"Nov 25, 2017",0.076782,0.080876,0.076398,0.079296,"189,024","10,752,200"
FLO,"Nov 24, 2017",0.070360,0.086126,0.068909,0.076937,"519,494","9,850,980"
FLO,"Nov 23, 2017",0.073157,0.076276,0.070279,0.070456,"122,644","10,240,600"
FLO,"Nov 22, 2017",0.071927,0.077122,0.070400,0.073474,"115,060","10,066,400"
FLO,"Nov 21, 2017",0.070076,0.074212,0.066321,0.071888,"69,033","9,805,420"
FLO,"Nov 20, 2017",0.070544,0.078566,0.065619,0.068945,"234,976","9,869,000"
FLO,"Nov 19, 2017",0.072226,0.073453,0.067475,0.070577,"116,246","10,102,300"
FLO,"Nov 18, 2017",0.072343,0.073026,0.068444,0.072410,"94,891","10,116,600"
FLO,"Nov 17, 2017",0.074411,0.076516,0.070369,0.072282,"128,645","10,403,800"
FLO,"Nov 16, 2017",0.074818,0.080863,0.073246,0.074849,"212,972","10,458,700"
FLO,"Nov 15, 2017",0.075303,0.079099,0.073074,0.074574,"137,110","10,524,400"
FLO,"Nov 14, 2017",0.071764,0.076380,0.068115,0.075113,"129,554","10,027,800"
FLO,"Nov 13, 2017",0.067588,0.077306,0.066560,0.071593,"125,241","9,442,400"
FLO,"Nov 12, 2017",0.078185,0.079378,0.064544,0.067489,"102,091","10,920,800"
FLO,"Nov 11, 2017",0.078964,0.083840,0.071682,0.078349,"104,244","11,027,400"
FLO,"Nov 10, 2017",0.094226,0.096379,0.073582,0.079246,"159,963","13,156,600"
FLO,"Nov 09, 2017",0.092075,0.099161,0.089436,0.093950,"185,733","12,855,100"
FLO,"Nov 08, 2017",0.083000,0.093841,0.082507,0.092167,"196,312","11,587,700"
FLO,"Nov 07, 2017",0.079516,0.086679,0.078955,0.084716,"134,783","11,100,600"
FLO,"Nov 06, 2017",0.079117,0.083931,0.075948,0.079643,"156,680","11,043,900"
FLO,"Nov 05, 2017",0.074801,0.090795,0.072591,0.078940,"220,297","10,440,200"
FLO,"Nov 04, 2017",0.075841,0.079445,0.071950,0.074943,"127,422","10,584,000"
FLO,"Nov 03, 2017",0.071147,0.077333,0.069538,0.076087,"188,409","9,927,500"
FLO,"Nov 02, 2017",0.085858,0.086572,0.068936,0.070085,"311,559","11,978,600"
FLO,"Nov 01, 2017",0.086985,0.093835,0.083738,0.085718,"238,196","12,134,100"
FLO,"Oct 31, 2017",0.102834,0.111748,0.087198,0.087609,"752,824","14,341,700"
FLO,"Oct 30, 2017",0.102657,0.111667,0.102271,0.103184,"295,067","14,312,000"
FLO,"Oct 29, 2017",0.103766,0.113223,0.095598,0.103257,"727,642","14,461,600"
FLO,"Oct 28, 2017",0.098249,0.111974,0.090841,0.105353,"644,349","13,688,200"
FLO,"Oct 27, 2017",0.099832,0.103288,0.090854,0.097840,"416,039","13,903,900"
FLO,"Oct 26, 2017",0.102799,0.114510,0.093943,0.099809,"1,386,330","14,312,100"
FLO,"Oct 25, 2017",0.093469,0.102903,0.086681,0.102903,"446,273","13,008,300"
FLO,"Oct 24, 2017",0.077247,0.097347,0.073965,0.092395,"799,452","10,746,800"
FLO,"Oct 23, 2017",0.082962,0.096020,0.073771,0.077418,"758,478","11,537,700"
FLO,"Oct 22, 2017",0.076077,0.084237,0.074371,0.084237,"194,804","10,576,100"
FLO,"Oct 21, 2017",0.081481,0.084953,0.072770,0.076054,"240,311","11,323,100"
FLO,"Oct 20, 2017",0.083073,0.096999,0.077822,0.080888,"1,117,790","11,540,000"
FLO,"Oct 19, 2017",0.067979,0.098882,0.067140,0.081865,"1,399,790","9,439,890"
FLO,"Oct 18, 2017",0.067253,0.068955,0.061511,0.068905,"185,780","9,335,610"
