symbol,date,open,high,low,close,volume,market_cap
FTC,"Dec 20, 2017",0.427201,0.465739,0.389497,0.408619,"1,056,360","79,261,600"
FTC,"Dec 19, 2017",0.465580,0.529496,0.402057,0.426931,"1,587,190","86,330,800"
FTC,"Dec 18, 2017",0.421639,0.466128,0.404540,0.463376,"920,025","78,137,200"
FTC,"Dec 17, 2017",0.423065,0.480011,0.409683,0.418464,"883,183","78,355,700"
FTC,"Dec 16, 2017",0.450540,0.455591,0.412528,0.427098,"705,236","83,394,500"
FTC,"Dec 15, 2017",0.467306,0.480875,0.393527,0.449744,"931,851","86,446,800"
FTC,"Dec 14, 2017",0.426425,0.492866,0.415402,0.472563,"1,383,980","78,837,500"
FTC,"Dec 13, 2017",0.410255,0.451188,0.397033,0.417667,"897,947","75,802,500"
FTC,"Dec 12, 2017",0.368158,0.447709,0.359648,0.418660,"1,540,100","67,984,000"
FTC,"Dec 11, 2017",0.365215,0.379420,0.336407,0.367044,"1,211,060","67,400,300"
FTC,"Dec 10, 2017",0.291104,0.382201,0.250041,0.374727,"2,789,660","53,690,900"
FTC,"Dec 09, 2017",0.304493,0.310766,0.262224,0.289975,"527,834","56,126,800"
FTC,"Dec 08, 2017",0.315004,0.324389,0.261226,0.303225,"785,228","58,029,600"
FTC,"Dec 07, 2017",0.340670,0.385883,0.262756,0.316274,"1,901,470","62,720,000"
FTC,"Dec 06, 2017",0.334003,0.363284,0.317563,0.341247,"1,171,870","61,456,200"
FTC,"Dec 05, 2017",0.338331,0.385854,0.333928,0.337828,"1,651,990","62,215,600"
FTC,"Dec 04, 2017",0.286963,0.400013,0.283853,0.335006,"5,232,780","52,738,900"
FTC,"Dec 03, 2017",0.285692,0.312134,0.270410,0.284285,"511,918","52,474,400"
FTC,"Dec 02, 2017",0.288161,0.312924,0.283589,0.290244,"377,179","52,896,200"
FTC,"Dec 01, 2017",0.262811,0.298286,0.251810,0.289777,"585,374","48,214,900"
FTC,"Nov 30, 2017",0.257120,0.316115,0.224991,0.264573,"1,249,740","47,142,700"
FTC,"Nov 29, 2017",0.311009,0.382579,0.242149,0.250212,"2,796,670","56,990,500"
FTC,"Nov 28, 2017",0.262832,0.338736,0.253283,0.307053,"3,585,880","48,133,700"
FTC,"Nov 27, 2017",0.247206,0.266050,0.227549,0.257489,"575,293","45,246,000"
FTC,"Nov 26, 2017",0.232768,0.264424,0.224536,0.249971,"635,334","42,578,100"
FTC,"Nov 25, 2017",0.234802,0.274339,0.229429,0.232591,"1,628,030","42,924,700"
FTC,"Nov 24, 2017",0.212613,0.244989,0.191889,0.235328,"1,100,550","38,846,000"
FTC,"Nov 23, 2017",0.251430,0.254150,0.206181,0.211668,"834,413","45,910,600"
FTC,"Nov 22, 2017",0.282257,0.290312,0.236096,0.251005,"2,416,300","51,509,300"
FTC,"Nov 21, 2017",0.230131,0.327393,0.202533,0.279169,"7,490,750","41,971,400"
FTC,"Nov 20, 2017",0.178715,0.269749,0.167117,0.232810,"6,791,490","32,575,300"
FTC,"Nov 19, 2017",0.127300,0.183601,0.124111,0.183601,"1,701,260","23,189,700"
FTC,"Nov 18, 2017",0.127913,0.136570,0.117285,0.127536,"326,577","23,287,600"
FTC,"Nov 17, 2017",0.124179,0.144424,0.116911,0.126992,"385,461","22,594,200"
FTC,"Nov 16, 2017",0.129351,0.154302,0.106396,0.124542,"1,292,690","23,521,000"
FTC,"Nov 15, 2017",0.101396,0.140335,0.100972,0.128703,"1,032,320","18,426,500"
FTC,"Nov 14, 2017",0.098993,0.103348,0.095503,0.101370,"168,461","17,978,900"
FTC,"Nov 13, 2017",0.086464,0.102059,0.085560,0.098782,"341,670","15,693,900"
FTC,"Nov 12, 2017",0.092157,0.106722,0.072654,0.085859,"766,827","16,717,000"
FTC,"Nov 11, 2017",0.105507,0.106888,0.091710,0.094090,"320,911","19,127,600"
FTC,"Nov 10, 2017",0.116307,0.121635,0.094785,0.105635,"478,720","21,073,000"
FTC,"Nov 09, 2017",0.123104,0.125088,0.116105,0.116105,"694,254","22,291,600"
FTC,"Nov 08, 2017",0.113723,0.125452,0.111460,0.123158,"969,655","20,581,100"
FTC,"Nov 07, 2017",0.113213,0.119982,0.095644,0.112249,"1,125,680","20,477,100"
FTC,"Nov 06, 2017",0.123837,0.123837,0.111399,0.111399,"704,821","22,385,700"
FTC,"Nov 05, 2017",0.116881,0.143144,0.113393,0.123855,"2,679,590","21,116,100"
FTC,"Nov 04, 2017",0.097795,0.134443,0.094608,0.121043,"3,164,400","17,657,600"
FTC,"Nov 03, 2017",0.098968,0.119254,0.086975,0.098517,"1,000,220","17,858,800"
FTC,"Nov 02, 2017",0.121328,0.149975,0.088488,0.099096,"2,521,470","21,880,600"
FTC,"Nov 01, 2017",0.146050,0.174091,0.113206,0.121279,"5,228,350","26,324,000"
FTC,"Oct 31, 2017",0.111239,0.180502,0.102549,0.146034,"8,586,710","20,037,600"
FTC,"Oct 30, 2017",0.079254,0.129997,0.079254,0.113466,"3,624,430","14,267,800"
FTC,"Oct 29, 2017",0.088922,0.155594,0.080524,0.082373,"12,279,300","15,998,700"
FTC,"Oct 28, 2017",0.052270,0.082273,0.050446,0.082273,"1,357,690","9,398,740"
FTC,"Oct 27, 2017",0.048282,0.055763,0.046410,0.052126,"103,514","8,676,800"
FTC,"Oct 26, 2017",0.045212,0.050058,0.044768,0.048517,"51,736","8,120,520"
FTC,"Oct 25, 2017",0.046039,0.046205,0.042481,0.045213,"45,149","8,264,110"
FTC,"Oct 24, 2017",0.045000,0.047627,0.040986,0.046067,"53,355","8,073,030"
FTC,"Oct 23, 2017",0.043387,0.047503,0.040881,0.045114,"78,402","7,778,990"
FTC,"Oct 22, 2017",0.041774,0.044021,0.038334,0.043460,"25,678","7,485,460"
FTC,"Oct 21, 2017",0.037293,0.044334,0.036733,0.041761,"71,322","6,678,380"
FTC,"Oct 20, 2017",0.038529,0.040654,0.036115,0.037263,"49,033","6,895,620"
FTC,"Oct 19, 2017",0.039126,0.040263,0.037013,0.038513,"35,266","6,998,220"
FTC,"Oct 18, 2017",0.039624,0.040364,0.037053,0.039108,"37,892","7,083,080"
FTC,"Oct 17, 2017",0.044377,0.044582,0.038531,0.040341,"84,255","7,928,160"
FTC,"Oct 16, 2017",0.044468,0.047045,0.039962,0.044384,"92,781","7,939,610"
FTC,"Oct 15, 2017",0.039177,0.044311,0.037113,0.044311,"42,489","6,990,630"
FTC,"Oct 14, 2017",0.039533,0.040037,0.035336,0.039108,"43,537","7,050,050"
FTC,"Oct 13, 2017",0.040818,0.044914,0.037980,0.039521,"69,880","7,274,930"
FTC,"Oct 12, 2017",0.037436,0.044619,0.037290,0.040694,"54,426","6,668,130"
FTC,"Oct 11, 2017",0.034323,0.038232,0.034323,0.037967,"32,341","6,110,010"
FTC,"Oct 10, 2017",0.036520,0.037733,0.034485,0.034944,"21,461","6,497,130"
FTC,"Oct 09, 2017",0.036909,0.039003,0.035557,0.036523,"35,875","6,562,540"
FTC,"Oct 08, 2017",0.041224,0.047673,0.037011,0.037042,"45,464","7,325,560"
FTC,"Oct 07, 2017",0.038595,0.041630,0.038470,0.041333,"27,220","6,854,240"
FTC,"Oct 06, 2017",0.040572,0.041662,0.037656,0.038585,"35,151","7,201,130"
FTC,"Oct 05, 2017",0.041943,0.042310,0.039394,0.040576,"19,506","7,440,250"
FTC,"Oct 04, 2017",0.043620,0.043744,0.041370,0.041979,"16,104","7,733,110"
FTC,"Oct 03, 2017",0.044946,0.045122,0.042339,0.043529,"30,019","7,963,510"
