symbol,date,open,high,low,close,volume,market_cap
FUN,"Dec 20, 2017",0.056815,0.057690,0.048266,0.053108,"17,049,900","241,455,000"
FUN,"Dec 19, 2017",0.063628,0.065284,0.053820,0.056961,"16,081,000","270,411,000"
FUN,"Dec 18, 2017",0.046802,0.066801,0.043976,0.063505,"22,331,600","198,903,000"
FUN,"Dec 17, 2017",0.041973,0.050418,0.041397,0.046757,"11,758,400","178,380,000"
FUN,"Dec 16, 2017",0.039946,0.044336,0.039897,0.041571,"6,583,660","169,765,000"
FUN,"Dec 15, 2017",0.040064,0.044190,0.037138,0.040445,"4,617,320","170,267,000"
FUN,"Dec 14, 2017",0.042264,0.043035,0.036900,0.040176,"6,016,280","179,615,000"
FUN,"Dec 13, 2017",0.035880,0.043269,0.035432,0.042410,"5,491,570","152,484,000"
FUN,"Dec 12, 2017",0.031523,0.036557,0.029978,0.035930,"3,127,600","133,967,000"
FUN,"Dec 11, 2017",0.028527,0.034451,0.028444,0.031728,"2,137,410","121,237,000"
FUN,"Dec 10, 2017",0.031605,0.031605,0.025812,0.028762,"1,470,340","134,317,000"
FUN,"Dec 09, 2017",0.031791,0.034129,0.028729,0.031622,"2,285,380","135,108,000"
FUN,"Dec 08, 2017",0.029646,0.032661,0.025933,0.031608,"3,271,200","125,990,000"
FUN,"Dec 07, 2017",0.037430,0.037430,0.029683,0.029683,"5,212,120","159,075,000"
FUN,"Dec 06, 2017",0.029623,0.040295,0.029015,0.038486,"3,895,850","125,893,000"
FUN,"Dec 05, 2017",0.032140,0.033296,0.029413,0.029618,"2,230,080","136,590,000"
FUN,"Dec 04, 2017",0.027264,0.032817,0.026158,0.032327,"2,052,080","115,867,000"
FUN,"Dec 03, 2017",0.025416,0.030157,0.025220,0.027136,"1,148,140","108,014,000"
FUN,"Dec 02, 2017",0.026699,0.027791,0.024338,0.025527,"1,201,520","113,469,000"
FUN,"Dec 01, 2017",0.025782,0.027984,0.024440,0.026820,"1,256,520","109,569,000"
FUN,"Nov 30, 2017",0.024766,0.027287,0.023188,0.025944,"1,561,920","105,252,000"
FUN,"Nov 29, 2017",0.027141,0.032178,0.024074,0.024179,"3,892,940","115,345,000"
FUN,"Nov 28, 2017",0.023252,0.029247,0.023211,0.027416,"2,116,580","98,818,100"
FUN,"Nov 27, 2017",0.022992,0.023788,0.021999,0.023243,"1,194,750","97,712,200"
FUN,"Nov 26, 2017",0.022516,0.023482,0.020434,0.023247,"1,337,430","95,692,200"
FUN,"Nov 25, 2017",0.023390,0.023954,0.021655,0.022556,"1,538,280","99,405,900"
FUN,"Nov 24, 2017",0.023195,0.023932,0.022226,0.023502,"1,291,610","98,576,100"
FUN,"Nov 23, 2017",0.022258,0.024538,0.021614,0.023198,"1,844,370","94,592,000"
FUN,"Nov 22, 2017",0.019512,0.024978,0.019457,0.022252,"3,346,260","78,049,700"
FUN,"Nov 21, 2017",0.017986,0.019988,0.017531,0.019468,"1,473,070","71,944,500"
FUN,"Nov 20, 2017",0.016968,0.018724,0.016759,0.017957,"1,412,660","67,873,500"
FUN,"Nov 19, 2017",0.016304,0.018229,0.016003,0.016945,"1,215,510","65,215,500"
FUN,"Nov 18, 2017",0.015819,0.016435,0.014838,0.016303,"976,473","63,277,300"
FUN,"Nov 17, 2017",0.016765,0.017299,0.015751,0.015950,"805,854","67,057,900"
FUN,"Nov 16, 2017",0.016214,0.017795,0.015949,0.016858,"1,453,230","64,855,300"
FUN,"Nov 15, 2017",0.014765,0.017083,0.014765,0.016164,"1,004,220","59,058,700"
FUN,"Nov 14, 2017",0.014326,0.015097,0.013884,0.014862,"866,759","57,305,700"
FUN,"Nov 13, 2017",0.012837,0.014769,0.012828,0.014389,"689,151","51,347,000"
FUN,"Nov 12, 2017",0.014663,0.014694,0.012058,0.012794,"1,080,610","58,653,800"
FUN,"Nov 11, 2017",0.014975,0.015925,0.014147,0.014552,"787,817","59,899,200"
FUN,"Nov 10, 2017",0.017288,0.017679,0.014260,0.015027,"1,183,330","69,150,500"
FUN,"Nov 09, 2017",0.016733,0.018189,0.016282,0.017060,"1,111,760","66,930,300"
FUN,"Nov 08, 2017",0.015363,0.017976,0.015131,0.016744,"2,067,770","61,451,900"
FUN,"Nov 07, 2017",0.015114,0.016355,0.014350,0.015342,"1,545,370","60,454,100"
FUN,"Nov 06, 2017",0.015387,0.015750,0.014440,0.015164,"903,262","61,546,800"
FUN,"Nov 05, 2017",0.016342,0.016547,0.014842,0.015391,"803,402","65,366,600"
FUN,"Nov 04, 2017",0.016554,0.016957,0.015956,0.016404,"656,751","66,215,500"
FUN,"Nov 03, 2017",0.016284,0.017235,0.014984,0.016513,"910,273","65,134,700"
FUN,"Nov 02, 2017",0.016058,0.017607,0.014127,0.016103,"1,358,600","64,231,600"
FUN,"Nov 01, 2017",0.018488,0.018488,0.015669,0.016097,"1,352,300","73,951,600"
FUN,"Oct 31, 2017",0.019679,0.019856,0.017891,0.018378,"1,123,700","78,717,400"
FUN,"Oct 30, 2017",0.019003,0.020166,0.018068,0.019501,"1,587,670","76,011,200"
FUN,"Oct 29, 2017",0.019336,0.019606,0.018066,0.018949,"1,031,270","77,343,800"
FUN,"Oct 28, 2017",0.018769,0.020104,0.018611,0.019517,"901,531","75,077,400"
FUN,"Oct 27, 2017",0.017966,0.019833,0.017729,0.018715,"969,316","71,863,400"
FUN,"Oct 26, 2017",0.018267,0.019104,0.017674,0.017963,"904,664","73,068,600"
FUN,"Oct 25, 2017",0.018577,0.019180,0.017599,0.018194,"852,551","74,307,000"
FUN,"Oct 24, 2017",0.017865,0.020965,0.017181,0.018492,"1,430,670","71,459,300"
FUN,"Oct 23, 2017",0.019225,0.019438,0.016934,0.017872,"1,139,830","76,898,300"
FUN,"Oct 22, 2017",0.019163,0.019647,0.017953,0.019358,"1,003,550","76,650,500"
FUN,"Oct 21, 2017",0.020188,0.020274,0.016906,0.019185,"1,311,250","80,751,400"
FUN,"Oct 20, 2017",0.021659,0.022571,0.019911,0.019911,"1,875,270","86,634,700"
FUN,"Oct 19, 2017",0.023791,0.024095,0.021583,0.021625,"2,398,190","95,164,100"
FUN,"Oct 18, 2017",0.027469,0.027469,0.023310,0.023753,"3,131,460","109,876,000"
FUN,"Oct 17, 2017",0.029057,0.031277,0.025646,0.027623,"4,776,660","116,227,000"
FUN,"Oct 16, 2017",0.024875,0.039936,0.023260,0.029356,"7,769,340","99,502,200"
FUN,"Oct 15, 2017",0.023587,0.024406,0.022311,0.024406,"469,312","94,346,800"
FUN,"Oct 14, 2017",0.024214,0.025126,0.023148,0.023597,"573,475","96,855,500"
FUN,"Oct 13, 2017",0.026236,0.026335,0.023521,0.024378,"912,601","104,944,000"
FUN,"Oct 12, 2017",0.025771,0.026618,0.024823,0.026166,"1,194,550","103,085,000"
FUN,"Oct 11, 2017",0.024191,0.026599,0.024191,0.025835,"847,468","96,762,500"
FUN,"Oct 10, 2017",0.022163,0.024842,0.022040,0.024188,"1,146,360","88,651,000"
FUN,"Oct 09, 2017",0.024115,0.027881,0.022038,0.022163,"1,592,160","96,459,700"
FUN,"Oct 08, 2017",0.026167,0.026330,0.023649,0.024167,"747,137","104,668,000"
FUN,"Oct 07, 2017",0.026434,0.027351,0.024864,0.026367,"1,188,310","105,737,000"
FUN,"Oct 06, 2017",0.027351,0.027940,0.026155,0.026359,"1,211,170","109,404,000"
FUN,"Oct 05, 2017",0.029288,0.029462,0.026716,0.027157,"1,368,400","117,151,000"
FUN,"Oct 04, 2017",0.030676,0.032601,0.028988,0.029250,"1,103,380","122,702,000"
FUN,"Oct 03, 2017",0.032916,0.033524,0.030154,0.030417,"1,964,480","131,664,000"
FUN,"Oct 02, 2017",0.032835,0.034513,0.032150,0.032957,"2,689,860","131,340,000"
FUN,"Oct 01, 2017",0.031597,0.034116,0.029537,0.033353,"3,392,900","126,388,000"
FUN,"Sep 30, 2017",0.030595,0.035284,0.030595,0.031759,"5,302,840","117,468,000"
FUN,"Sep 29, 2017",0.026999,0.033662,0.024754,0.030835,"5,902,170","103,664,000"
FUN,"Sep 28, 2017",0.025567,0.027265,0.024448,0.027017,"1,392,610","98,162,000"
FUN,"Sep 27, 2017",0.022677,0.025641,0.022377,0.025323,"442,242","87,069,400"
FUN,"Sep 26, 2017",0.020853,0.025125,0.020445,0.022800,"861,307","80,064,200"
FUN,"Sep 25, 2017",0.019713,0.021533,0.019683,0.020814,"271,784","75,688,800"
FUN,"Sep 24, 2017",0.020406,0.020669,0.019278,0.019725,"150,907","78,347,700"
FUN,"Sep 23, 2017",0.019965,0.021089,0.018771,0.020407,"324,835","76,655,100"
FUN,"Sep 22, 2017",0.020702,0.021547,0.018036,0.020066,"521,136","79,485,100"
FUN,"Sep 21, 2017",0.022303,0.023813,0.020433,0.020723,"264,243","85,633,200"
FUN,"Sep 20, 2017",0.023405,0.024247,0.022020,0.022377,"244,095","89,861,400"
FUN,"Sep 19, 2017",0.024792,0.025301,0.022378,0.023434,"557,247","95,186,000"
FUN,"Sep 18, 2017",0.024589,0.026876,0.024156,0.024934,"748,631","94,407,200"
FUN,"Sep 17, 2017",0.021339,0.024696,0.020822,0.024696,"1,449,410","81,931,800"
FUN,"Sep 16, 2017",0.020699,0.022201,0.020446,0.021389,"476,750","79,471,400"
FUN,"Sep 15, 2017",0.015689,0.021639,0.014391,0.020776,"464,473","60,236,600"
FUN,"Sep 14, 2017",0.020869,0.021667,0.015494,0.015553,"349,953","80,125,600"
FUN,"Sep 13, 2017",0.023721,0.023884,0.019727,0.020816,"301,824","91,075,100"
FUN,"Sep 12, 2017",0.024134,0.025019,0.022714,0.023534,"261,991","92,662,400"
FUN,"Sep 11, 2017",0.024133,0.025183,0.023145,0.024137,"377,455","92,657,400"
FUN,"Sep 10, 2017",0.024651,0.024860,0.022439,0.024326,"251,687","94,648,600"
FUN,"Sep 09, 2017",0.025519,0.025735,0.023677,0.024633,"230,006","97,980,000"
FUN,"Sep 08, 2017",0.027975,0.029250,0.023558,0.025315,"579,486","107,410,000"
FUN,"Sep 07, 2017",0.027650,0.028586,0.025637,0.027847,"920,777","106,161,000"
FUN,"Sep 06, 2017",0.027384,0.029959,0.026593,0.027522,"995,106","105,138,000"
FUN,"Sep 05, 2017",0.023580,0.027646,0.021311,0.027243,"697,694","90,534,300"
FUN,"Sep 04, 2017",0.029865,0.030031,0.021825,0.023245,"1,021,880","114,668,000"
FUN,"Sep 03, 2017",0.032537,0.032982,0.028994,0.030398,"497,969","124,924,000"
FUN,"Sep 02, 2017",0.037024,0.037298,0.029530,0.032537,"760,683","142,154,000"
FUN,"Sep 01, 2017",0.031682,0.038477,0.029968,0.037319,"2,366,000","121,643,000"
FUN,"Aug 31, 2017",0.029691,0.036435,0.028885,0.031678,"1,695,340","113,999,000"
FUN,"Aug 30, 2017",0.027784,0.031183,0.026696,0.030595,"642,831","106,675,000"
FUN,"Aug 29, 2017",0.027733,0.029568,0.027267,0.027804,"915,487","106,481,000"
FUN,"Aug 28, 2017",0.025740,0.028227,0.024768,0.027772,"544,276","98,828,800"
FUN,"Aug 27, 2017",0.027240,0.027240,0.025019,0.025857,"548,354","104,586,000"
FUN,"Aug 26, 2017",0.025554,0.027726,0.024765,0.027053,"618,548","98,113,600"
FUN,"Aug 25, 2017",0.028062,0.028718,0.023983,0.025471,"1,537,340","107,744,000"
FUN,"Aug 24, 2017",0.028485,0.030386,0.027923,0.028101,"698,951","109,366,000"
FUN,"Aug 23, 2017",0.029336,0.031632,0.027423,0.028321,"892,936","112,632,000"
FUN,"Aug 22, 2017",0.028309,0.031505,0.025821,0.029433,"678,155","108,690,000"
FUN,"Aug 21, 2017",0.031266,0.040488,0.028289,0.028289,"933,758","120,045,000"
FUN,"Aug 20, 2017",0.031280,0.035951,0.030318,0.031369,"820,968","120,100,000"
FUN,"Aug 19, 2017",0.030039,0.044616,0.027647,0.030823,"688,178","115,334,000"
FUN,"Aug 18, 2017",0.033058,0.035120,0.026740,0.029334,"1,399,670","126,925,000"
FUN,"Aug 17, 2017",0.025741,0.038330,0.024778,0.032533,"4,157,260","98,831,400"
FUN,"Aug 16, 2017",0.024498,0.027794,0.024089,0.025873,"1,100,330","94,057,500"
FUN,"Aug 15, 2017",0.026476,0.026866,0.021883,0.024369,"989,450","101,655,000"
FUN,"Aug 14, 2017",0.030088,0.031940,0.025414,0.026922,"1,356,670","115,521,000"
FUN,"Aug 13, 2017",0.027055,0.032037,0.023252,0.029960,"1,878,590","103,878,000"
FUN,"Aug 12, 2017",0.033608,0.034496,0.027105,0.027105,"2,262,110","129,035,000"
FUN,"Aug 11, 2017",0.026812,0.040196,0.024706,0.032959,"7,417,180","102,945,000"
FUN,"Aug 10, 2017",0.019758,0.026873,0.018840,0.026585,"2,559,630","75,860,500"
FUN,"Aug 09, 2017",0.019536,0.020199,0.017344,0.020046,"566,208","75,009,200"
FUN,"Aug 08, 2017",0.017112,0.020009,0.016574,0.019663,"953,548","65,700,100"
FUN,"Aug 07, 2017",0.017839,0.018800,0.015950,0.017348,"897,438","68,493,700"
FUN,"Aug 06, 2017",0.014690,0.019855,0.014465,0.017683,"1,868,120","56,401,400"
FUN,"Aug 05, 2017",0.013091,0.015337,0.012783,0.014735,"523,661","50,261,500"
FUN,"Aug 04, 2017",0.013122,0.013701,0.012503,0.013322,"572,205","50,380,100"
FUN,"Aug 03, 2017",0.012056,0.013480,0.011906,0.013274,"307,817","46,287,200"
FUN,"Aug 02, 2017",0.012478,0.013099,0.011655,0.012208,"335,031","47,909,600"
FUN,"Aug 01, 2017",0.011566,0.012802,0.011379,0.012475,"600,151","44,407,600"
FUN,"Jul 31, 2017",0.011391,0.011855,0.010676,0.011556,"442,097","43,734,600"
FUN,"Jul 30, 2017",0.011564,0.011965,0.011026,0.011258,"142,368","44,400,600"
FUN,"Jul 29, 2017",0.011267,0.011775,0.010710,0.011573,"211,393","43,260,800"
FUN,"Jul 28, 2017",0.010909,0.012420,0.010867,0.011301,"658,726","41,886,100"
FUN,"Jul 27, 2017",0.010639,0.011411,0.010569,0.010980,"431,993","40,850,100"
FUN,"Jul 26, 2017",0.011080,0.011706,0.010150,0.010608,"513,288","42,540,900"
FUN,"Jul 25, 2017",0.013099,0.013203,0.010800,0.010967,"541,693","50,294,600"
FUN,"Jul 24, 2017",0.013579,0.014871,0.012629,0.013098,"1,074,080","52,134,900"
FUN,"Jul 23, 2017",0.011666,0.013791,0.011353,0.013705,"714,335","44,790,200"
FUN,"Jul 22, 2017",0.011145,0.015927,0.010766,0.011835,"604,149","42,791,700"
FUN,"Jul 21, 2017",0.012422,0.013201,0.010518,0.011220,"734,587","47,693,300"
FUN,"Jul 20, 2017",0.011456,0.013496,0.010911,0.012569,"518,285","43,985,600"
FUN,"Jul 19, 2017",0.013267,0.013787,0.010467,0.011474,"594,138","50,937,500"
FUN,"Jul 18, 2017",0.012900,0.014603,0.011985,0.013626,"557,570","49,529,500"
FUN,"Jul 17, 2017",0.011009,0.013272,0.010148,0.012885,"580,590","42,268,300"
FUN,"Jul 16, 2017",0.010416,0.011602,0.008429,0.011602,"424,293","39,991,000"
FUN,"Jul 15, 2017",0.012832,0.013056,0.010054,0.010398,"292,390","49,268,800"
FUN,"Jul 14, 2017",0.015147,0.015206,0.012438,0.012882,"363,148","58,155,800"
FUN,"Jul 13, 2017",0.017995,0.018976,0.013797,0.015222,"826,019","69,089,400"
FUN,"Jul 12, 2017",0.015485,0.018600,0.012636,0.017949,"1,315,430","59,455,600"
FUN,"Jul 11, 2017",0.012210,0.017102,0.011937,0.015629,"2,749,220","46,880,100"
FUN,"Jul 10, 2017",0.012349,0.013968,0.011033,0.012087,"935,060","47,414,600"
FUN,"Jul 09, 2017",0.012932,0.013353,0.010141,0.012139,"1,276,830","49,650,100"
FUN,"Jul 08, 2017",0.013453,0.014385,0.011224,0.012703,"825,656","51,652,300"
FUN,"Jul 07, 2017",0.019907,0.020920,0.010538,0.012896,"1,493,760","76,432,900"
FUN,"Jul 06, 2017",0.022878,0.026018,0.015174,0.019737,"3,178,290","87,839,200"
FUN,"Jul 05, 2017",0.019001,0.082337,0.019001,0.023303,"4,821,760","72,954,500"
FUN,"Jul 04, 2017",0.024583,0.197060,0.018222,0.020114,"323,348","94,384,600"
FUN,"Jul 03, 2017",0.090013,0.090013,0.003316,0.024629,"96,913","345,602,000"
FUN,"Jul 02, 2017",0.019183,0.090707,0.013812,0.090707,"96,684",-
FUN,"Jul 01, 2017",0.337854,0.337854,0.015202,0.019166,"109,529",-
FUN,"Jun 30, 2017",0.020367,0.148304,0.011830,0.033141,"177,531",-
FUN,"Jun 29, 2017",0.018567,0.254108,0.011891,0.020344,"46,736",-
