symbol,date,open,high,low,close,volume,market_cap
GAM,"Dec 20, 2017",25.95,28.90,21.24,23.44,"377,761","31,126,500"
GAM,"Dec 19, 2017",26.56,27.29,23.14,26.38,"302,011","31,853,200"
GAM,"Dec 18, 2017",22.50,26.54,20.82,26.54,"147,282","26,979,400"
GAM,"Dec 17, 2017",21.46,23.86,21.18,22.43,"60,874","25,732,400"
GAM,"Dec 16, 2017",22.55,24.30,20.56,21.45,"76,846","27,037,100"
GAM,"Dec 15, 2017",19.82,25.12,18.65,22.51,"169,927","23,767,400"
GAM,"Dec 14, 2017",16.32,21.99,16.02,19.05,"192,971","19,573,600"
GAM,"Dec 13, 2017",16.83,18.44,15.38,16.34,"95,220","20,186,600"
GAM,"Dec 12, 2017",16.76,17.98,15.36,16.78,"37,911","20,092,300"
GAM,"Dec 11, 2017",14.20,17.10,14.14,16.71,"134,758","17,021,500"
GAM,"Dec 10, 2017",14.90,15.79,13.30,14.30,"33,630","17,863,400"
GAM,"Dec 09, 2017",14.74,15.90,13.44,14.84,"32,103","17,665,100"
GAM,"Dec 08, 2017",16.75,17.28,12.45,14.75,"132,841","20,079,100"
GAM,"Dec 07, 2017",12.70,17.11,12.53,15.59,"188,549","15,218,500"
GAM,"Dec 06, 2017",11.59,13.10,11.15,12.72,"449,650","13,895,700"
GAM,"Dec 05, 2017",12.14,12.62,11.43,11.62,"56,443","14,545,500"
GAM,"Dec 04, 2017",10.23,12.93,10.12,12.11,"195,300","12,259,600"
GAM,"Dec 03, 2017",9.69,11.05,9.69,10.20,"22,824","11,611,100"
GAM,"Dec 02, 2017",9.56,10.31,9.48,9.68,"13,811","11,453,800"
GAM,"Dec 01, 2017",8.69,9.94,8.27,9.57,"280,791","10,410,500"
GAM,"Nov 30, 2017",8.52,9.27,7.75,8.73,"12,063","10,211,500"
GAM,"Nov 29, 2017",8.64,9.80,7.98,8.42,"51,930","10,355,400"
GAM,"Nov 28, 2017",8.79,9.11,8.48,8.65,"63,648","10,536,600"
GAM,"Nov 27, 2017",8.07,8.93,7.96,8.77,"63,990","9,667,990"
GAM,"Nov 26, 2017",7.81,8.19,7.71,7.95,"40,139","9,352,960"
GAM,"Nov 25, 2017",7.48,8.59,7.39,7.81,"135,510","8,960,790"
GAM,"Nov 24, 2017",7.41,8.91,7.28,7.50,"296,949","8,878,660"
GAM,"Nov 23, 2017",7.52,7.71,7.26,7.42,"20,503","9,004,250"
GAM,"Nov 22, 2017",6.98,7.71,6.90,7.52,"86,140","8,358,960"
GAM,"Nov 21, 2017",7.13,7.26,6.64,6.96,"25,844","8,538,880"
GAM,"Nov 20, 2017",7.23,8.31,6.84,7.01,"254,543","8,656,040"
GAM,"Nov 19, 2017",7.05,7.30,6.76,7.23,"38,649","8,438,060"
GAM,"Nov 18, 2017",7.24,8.76,6.76,7.03,"207,608","8,669,550"
GAM,"Nov 17, 2017",6.89,8.10,6.85,7.27,"59,857","8,251,310"
GAM,"Nov 16, 2017",7.20,7.42,6.56,6.90,"23,824","8,618,480"
GAM,"Nov 15, 2017",6.48,7.29,6.48,7.16,"10,249","7,759,420"
GAM,"Nov 14, 2017",6.86,7.04,6.17,6.47,"16,937","8,211,100"
GAM,"Nov 13, 2017",5.73,7.00,5.56,6.84,"28,590","6,863,230"
GAM,"Nov 12, 2017",6.17,6.17,5.17,5.72,"24,739","7,386,860"
GAM,"Nov 11, 2017",6.54,6.94,5.83,6.17,"17,883","7,834,820"
GAM,"Nov 10, 2017",7.50,7.64,6.57,6.57,"48,180","8,977,740"
GAM,"Nov 09, 2017",7.37,8.04,7.03,7.51,"82,404","8,822,060"
GAM,"Nov 08, 2017",7.23,7.54,6.76,7.38,"50,318","8,657,900"
GAM,"Nov 07, 2017",6.76,7.40,6.76,7.26,"13,551","8,096,030"
GAM,"Nov 06, 2017",7.15,7.15,6.64,6.77,"10,285","8,561,210"
GAM,"Nov 05, 2017",7.03,7.76,6.82,7.14,"23,926","8,413,240"
GAM,"Nov 04, 2017",6.39,7.84,6.15,6.90,"82,360","7,647,090"
GAM,"Nov 03, 2017",6.79,7.73,6.18,6.41,"139,498","8,119,290"
GAM,"Nov 02, 2017",7.54,7.79,5.96,6.79,"62,752","9,016,760"
GAM,"Nov 01, 2017",7.51,9.14,7.23,7.53,"95,525","8,981,740"
GAM,"Oct 31, 2017",7.66,7.83,7.36,7.51,"7,123","9,167,690"
GAM,"Oct 30, 2017",7.64,7.77,7.12,7.69,"16,691","9,137,430"
GAM,"Oct 29, 2017",7.45,8.17,7.19,7.68,"76,038","8,907,010"
GAM,"Oct 28, 2017",6.97,7.48,6.78,7.46,"8,017","8,333,020"
GAM,"Oct 27, 2017",6.95,7.36,6.61,6.95,"10,584","8,308,280"
GAM,"Oct 26, 2017",7.09,7.69,6.79,6.94,"23,970","8,483,720"
GAM,"Oct 25, 2017",7.55,7.61,6.88,6.88,"7,993","9,034,010"
GAM,"Oct 24, 2017",7.11,8.05,6.87,7.29,"14,944","8,503,710"
GAM,"Oct 23, 2017",7.17,7.72,6.80,7.13,"5,074","8,578,440"
GAM,"Oct 22, 2017",7.10,7.34,6.63,7.18,"17,879","8,486,800"
GAM,"Oct 21, 2017",7.77,7.93,6.93,7.09,"16,956","9,293,970"
GAM,"Oct 20, 2017",8.23,8.35,7.44,7.79,"19,248","9,838,700"
GAM,"Oct 19, 2017",8.29,8.38,7.36,8.22,"19,503","9,918,840"
GAM,"Oct 18, 2017",8.06,8.37,7.26,8.30,"21,184","9,643,440"
GAM,"Oct 17, 2017",8.42,8.50,7.59,8.06,"112,999","10,070,100"
GAM,"Oct 16, 2017",9.94,11.28,8.11,8.42,"104,457","11,881,400"
GAM,"Oct 15, 2017",9.90,10.67,9.54,9.94,"19,322","11,839,000"
GAM,"Oct 14, 2017",9.05,9.90,8.85,9.89,"18,389","10,819,000"
GAM,"Oct 13, 2017",9.26,10.48,8.84,9.05,"53,225","11,073,000"
GAM,"Oct 12, 2017",9.16,13.40,8.62,9.24,"193,836","10,951,400"
GAM,"Oct 11, 2017",9.67,9.97,8.85,9.16,"96,808","11,554,400"
GAM,"Oct 10, 2017",7.90,12.56,7.90,9.67,"260,565","9,436,980"
GAM,"Oct 09, 2017",8.62,8.62,7.62,7.90,"127,321","10,300,900"
GAM,"Oct 08, 2017",9.29,9.43,8.10,8.20,"37,189","11,096,400"
GAM,"Oct 07, 2017",10.22,10.22,8.75,9.31,"31,199","12,204,500"
GAM,"Oct 06, 2017",10.62,10.74,9.59,10.21,"9,185","12,687,900"
GAM,"Oct 05, 2017",10.20,10.72,9.70,10.62,"26,409","12,190,300"
GAM,"Oct 04, 2017",11.05,11.47,9.92,10.20,"80,668","13,202,000"
GAM,"Oct 03, 2017",14.09,14.17,10.32,11.03,"128,170","16,828,700"
GAM,"Oct 02, 2017",13.48,14.94,13.15,14.09,"93,890","16,100,000"
GAM,"Oct 01, 2017",14.41,14.53,13.19,13.49,"20,956","17,204,700"
GAM,"Sep 30, 2017",14.22,15.25,13.92,14.40,"27,596","16,980,800"
GAM,"Sep 29, 2017",12.29,14.69,11.45,14.22,"129,013","14,677,400"
GAM,"Sep 28, 2017",11.26,13.72,10.91,12.33,"941,312","13,443,400"
GAM,"Sep 27, 2017",11.29,12.34,10.97,11.32,"20,400","13,476,000"
GAM,"Sep 26, 2017",11.41,11.67,11.17,11.32,"13,370","13,616,200"
GAM,"Sep 25, 2017",10.60,11.55,10.55,11.41,"10,555","12,657,900"
GAM,"Sep 24, 2017",11.11,11.11,10.27,10.62,"12,684","13,264,800"
GAM,"Sep 23, 2017",10.59,11.31,10.39,11.11,"8,930","12,634,200"
