symbol,date,open,high,low,close,volume,market_cap
GAME,"Dec 20, 2017",3.29,3.61,3.03,3.48,"7,362,870","211,987,000"
GAME,"Dec 19, 2017",3.40,3.70,3.21,3.31,"9,986,900","219,041,000"
GAME,"Dec 18, 2017",2.75,3.55,2.62,3.40,"13,137,400","177,162,000"
GAME,"Dec 17, 2017",2.58,2.83,2.56,2.74,"4,085,340","166,356,000"
GAME,"Dec 16, 2017",2.48,2.66,2.47,2.58,"3,503,360","159,652,000"
GAME,"Dec 15, 2017",2.58,2.60,2.26,2.52,"4,665,230","165,798,000"
GAME,"Dec 14, 2017",2.59,2.79,2.31,2.58,"11,765,500","166,968,000"
GAME,"Dec 13, 2017",2.13,2.46,2.06,2.41,"7,516,340","136,942,000"
GAME,"Dec 12, 2017",2.14,2.27,2.01,2.11,"6,143,380","137,442,000"
GAME,"Dec 11, 2017",2.01,2.17,2.01,2.13,"2,916,530","129,314,000"
GAME,"Dec 10, 2017",2.27,2.36,1.89,2.02,"6,439,660","146,250,000"
GAME,"Dec 09, 2017",1.89,2.29,1.87,2.29,"5,956,680","121,408,000"
GAME,"Dec 08, 2017",1.81,2.11,1.75,1.89,"3,340,480","116,543,000"
GAME,"Dec 07, 2017",2.03,2.05,1.78,1.86,"4,698,860","130,482,000"
GAME,"Dec 06, 2017",2.16,2.30,1.91,1.97,"5,343,500","139,243,000"
GAME,"Dec 05, 2017",2.21,2.27,2.16,2.17,"3,994,600","141,945,000"
GAME,"Dec 04, 2017",2.06,2.25,2.03,2.20,"4,413,140","132,847,000"
GAME,"Dec 03, 2017",2.00,2.20,1.94,2.06,"1,854,820","128,588,000"
GAME,"Dec 02, 2017",2.03,2.06,1.96,1.99,"917,408","130,502,000"
GAME,"Dec 01, 2017",1.94,2.14,1.87,2.02,"2,001,090","125,115,000"
GAME,"Nov 30, 2017",1.84,2.14,1.78,1.94,"3,191,210","118,623,000"
GAME,"Nov 29, 2017",2.11,2.18,1.74,1.82,"3,755,570","135,993,000"
GAME,"Nov 28, 2017",2.14,2.19,2.07,2.12,"2,353,220","137,609,000"
GAME,"Nov 27, 2017",2.12,2.23,2.08,2.13,"2,535,900","136,674,000"
GAME,"Nov 26, 2017",2.18,2.21,2.10,2.12,"2,029,540","140,450,000"
GAME,"Nov 25, 2017",2.03,2.18,2.01,2.18,"2,468,040","130,842,000"
GAME,"Nov 24, 2017",1.96,2.07,1.92,2.04,"3,029,340","126,085,000"
GAME,"Nov 23, 2017",1.98,1.99,1.94,1.96,"1,472,800","127,350,000"
GAME,"Nov 22, 2017",1.96,1.99,1.93,1.97,"1,497,810","126,400,000"
GAME,"Nov 21, 2017",1.94,2.04,1.84,1.97,"1,736,580","125,097,000"
GAME,"Nov 20, 2017",1.94,2.06,1.88,1.94,"1,783,280","124,695,000"
GAME,"Nov 19, 2017",1.89,1.95,1.88,1.95,"1,101,890","121,478,000"
GAME,"Nov 18, 2017",1.86,1.94,1.81,1.90,"1,244,960","119,506,000"
GAME,"Nov 17, 2017",1.90,1.94,1.80,1.86,"2,192,430","122,344,000"
GAME,"Nov 16, 2017",2.05,2.11,1.88,1.91,"3,323,670","131,661,000"
GAME,"Nov 15, 2017",1.82,2.32,1.78,2.03,"6,610,010","117,366,000"
GAME,"Nov 14, 2017",1.76,1.82,1.74,1.82,"1,035,830","113,410,000"
GAME,"Nov 13, 2017",1.63,1.82,1.63,1.75,"1,807,720","104,821,000"
GAME,"Nov 12, 2017",1.76,1.77,1.47,1.63,"2,147,930","113,271,000"
GAME,"Nov 11, 2017",1.81,1.87,1.71,1.76,"1,358,610","116,174,000"
GAME,"Nov 10, 2017",1.99,2.03,1.72,1.81,"1,473,550","128,085,000"
GAME,"Nov 09, 2017",1.93,2.04,1.90,1.99,"1,392,390","123,905,000"
GAME,"Nov 08, 2017",1.74,2.04,1.71,1.93,"3,102,200","112,091,000"
GAME,"Nov 07, 2017",1.67,1.77,1.62,1.74,"971,420","107,525,000"
GAME,"Nov 06, 2017",1.69,1.73,1.62,1.68,"761,770","108,971,000"
GAME,"Nov 05, 2017",1.65,1.71,1.61,1.69,"553,484","106,067,000"
GAME,"Nov 04, 2017",1.67,1.76,1.62,1.65,"557,297","107,610,000"
GAME,"Nov 03, 2017",1.64,1.68,1.53,1.67,"1,170,970","105,286,000"
GAME,"Nov 02, 2017",1.70,1.70,1.51,1.64,"1,564,750","109,314,000"
GAME,"Nov 01, 2017",1.82,1.82,1.69,1.70,"1,072,910","116,876,000"
GAME,"Oct 31, 2017",1.92,1.94,1.81,1.82,"1,142,070","123,515,000"
GAME,"Oct 30, 2017",1.92,1.96,1.86,1.93,"668,059","123,282,000"
GAME,"Oct 29, 2017",1.90,1.95,1.87,1.93,"1,151,120","122,298,000"
GAME,"Oct 28, 2017",1.96,2.01,1.89,1.90,"603,410","125,948,000"
GAME,"Oct 27, 2017",2.06,2.11,1.95,1.95,"1,094,600","132,798,000"
GAME,"Oct 26, 2017",2.17,2.24,2.04,2.07,"1,447,700","139,354,000"
GAME,"Oct 25, 2017",2.20,2.21,1.99,2.17,"1,871,490","141,558,000"
GAME,"Oct 24, 2017",2.14,2.42,2.04,2.20,"3,906,410","137,851,000"
GAME,"Oct 23, 2017",2.03,2.53,1.96,2.14,"8,010,500","130,866,000"
GAME,"Oct 22, 2017",1.92,2.16,1.79,2.03,"1,366,560","123,603,000"
GAME,"Oct 21, 2017",1.92,1.98,1.84,1.92,"817,991","123,586,000"
GAME,"Oct 20, 2017",1.82,2.14,1.79,1.93,"2,855,350","117,251,000"
GAME,"Oct 19, 2017",1.81,1.94,1.78,1.82,"674,392","116,765,000"
GAME,"Oct 18, 2017",1.90,1.90,1.76,1.81,"820,396","122,594,000"
GAME,"Oct 17, 2017",1.93,1.94,1.79,1.91,"549,877","124,231,000"
GAME,"Oct 16, 2017",1.97,1.97,1.78,1.93,"930,360","127,020,000"
GAME,"Oct 15, 2017",1.66,2.11,1.58,1.97,"2,592,690","106,820,000"
GAME,"Oct 14, 2017",1.80,1.82,1.66,1.66,"661,199","115,670,000"
GAME,"Oct 13, 2017",1.89,1.90,1.73,1.80,"1,352,950","121,843,000"
GAME,"Oct 12, 2017",1.95,1.95,1.84,1.89,"1,488,820","125,532,000"
GAME,"Oct 11, 2017",1.95,2.01,1.89,1.95,"767,618","125,205,000"
GAME,"Oct 10, 2017",1.86,2.02,1.80,1.93,"1,174,270","119,531,000"
GAME,"Oct 09, 2017",1.87,2.10,1.75,1.85,"2,442,240","120,294,000"
GAME,"Oct 08, 2017",2.23,2.25,1.87,1.87,"1,823,290","143,345,000"
GAME,"Oct 07, 2017",2.41,2.42,2.12,2.23,"1,268,450","155,060,000"
GAME,"Oct 06, 2017",2.31,2.48,2.26,2.40,"1,472,460","148,489,000"
GAME,"Oct 05, 2017",2.51,2.51,2.29,2.32,"1,571,880","161,380,000"
GAME,"Oct 04, 2017",2.54,2.62,2.44,2.51,"1,260,330","163,402,000"
GAME,"Oct 03, 2017",2.43,2.62,2.32,2.54,"3,095,210","156,376,000"
GAME,"Oct 02, 2017",2.41,2.53,2.37,2.43,"1,415,940","155,059,000"
GAME,"Oct 01, 2017",2.34,2.53,2.31,2.41,"1,836,900","150,545,000"
GAME,"Sep 30, 2017",2.33,2.42,2.28,2.34,"853,001","150,066,000"
GAME,"Sep 29, 2017",2.38,2.52,2.12,2.32,"2,372,370","152,972,000"
GAME,"Sep 28, 2017",2.44,2.55,2.33,2.36,"3,138,900","157,147,000"
GAME,"Sep 27, 2017",2.34,2.54,2.27,2.45,"3,783,720","150,396,000"
GAME,"Sep 26, 2017",2.02,2.62,1.91,2.36,"10,948,500","129,896,000"
GAME,"Sep 25, 2017",1.61,2.03,1.59,2.03,"2,243,700","103,187,000"
GAME,"Sep 24, 2017",1.74,1.74,1.58,1.61,"402,430","111,844,000"
GAME,"Sep 23, 2017",1.55,1.77,1.49,1.74,"895,482","99,307,700"
GAME,"Sep 22, 2017",1.54,1.63,1.43,1.55,"649,472","98,831,100"
GAME,"Sep 21, 2017",1.72,1.86,1.50,1.52,"1,195,930","110,624,000"
GAME,"Sep 20, 2017",1.69,1.82,1.65,1.72,"921,967","108,579,000"
GAME,"Sep 19, 2017",1.70,1.81,1.64,1.69,"1,316,240","109,070,000"
GAME,"Sep 18, 2017",1.50,1.89,1.49,1.71,"1,811,170","96,026,200"
