symbol,date,open,high,low,close,volume,market_cap
GCR,"Dec 20, 2017",0.251426,0.261927,0.211096,0.235083,"1,590,160","26,030,100"
GCR,"Dec 19, 2017",0.278776,0.290016,0.233619,0.252027,"1,261,950","28,860,800"
GCR,"Dec 18, 2017",0.257358,0.292739,0.238911,0.281023,"1,304,090","26,642,800"
GCR,"Dec 17, 2017",0.264097,0.283113,0.251122,0.252580,"1,087,970","27,339,400"
GCR,"Dec 16, 2017",0.233990,0.282840,0.229689,0.265814,"1,514,450","24,222,000"
GCR,"Dec 15, 2017",0.264760,0.265873,0.216042,0.228732,"2,097,530","27,406,300"
GCR,"Dec 14, 2017",0.288094,0.304272,0.257365,0.264363,"1,943,550","29,820,600"
GCR,"Dec 13, 2017",0.292665,0.324326,0.276475,0.289022,"2,499,170","30,292,400"
GCR,"Dec 12, 2017",0.380046,0.407643,0.291938,0.292420,"4,702,040","39,335,200"
GCR,"Dec 11, 2017",0.229511,0.439250,0.223957,0.377656,"15,239,800","23,753,600"
GCR,"Dec 10, 2017",0.209173,0.294814,0.172906,0.223354,"3,203,930","21,647,800"
GCR,"Dec 09, 2017",0.221344,0.238933,0.189656,0.208540,"1,112,840","22,906,400"
GCR,"Dec 08, 2017",0.226021,0.268302,0.179066,0.227589,"2,883,900","23,389,400"
GCR,"Dec 07, 2017",0.333906,0.403744,0.212427,0.226356,"5,046,010","34,552,000"
GCR,"Dec 06, 2017",0.436516,0.513859,0.254245,0.338885,"25,702,500","45,168,100"
GCR,"Dec 05, 2017",0.197616,0.444486,0.187379,0.435955,"15,624,000","20,447,200"
GCR,"Dec 04, 2017",0.166507,0.211058,0.166169,0.199900,"2,357,970","17,227,800"
GCR,"Dec 03, 2017",0.174707,0.182708,0.157212,0.170541,"1,114,520","18,075,300"
GCR,"Dec 02, 2017",0.156086,0.188433,0.136431,0.172141,"1,418,490","16,147,900"
GCR,"Dec 01, 2017",0.170363,0.184578,0.139622,0.159920,"2,232,440","17,624,100"
GCR,"Nov 30, 2017",0.121891,0.211225,0.113668,0.176214,"6,124,940","12,609,300"
GCR,"Nov 29, 2017",0.093556,0.179192,0.089608,0.115793,"4,853,940","9,677,730"
GCR,"Nov 28, 2017",0.071140,0.126658,0.069248,0.093848,"1,078,400","7,358,620"
GCR,"Nov 27, 2017",0.067652,0.071718,0.066490,0.071343,"52,719","6,997,490"
GCR,"Nov 26, 2017",0.065768,0.069886,0.063539,0.066243,"112,338","6,802,320"
GCR,"Nov 25, 2017",0.058500,0.066471,0.057996,0.065790,"74,165","6,050,340"
GCR,"Nov 24, 2017",0.059888,0.064686,0.055462,0.060413,"144,854","6,193,800"
GCR,"Nov 23, 2017",0.048944,0.066631,0.048695,0.061336,"347,117","5,061,660"
GCR,"Nov 22, 2017",0.048285,0.051566,0.047756,0.048302,"88,999","4,993,380"
GCR,"Nov 21, 2017",0.048789,0.051680,0.044118,0.048168,"34,605","5,045,300"
GCR,"Nov 20, 2017",0.050138,0.051779,0.048080,0.048780,"44,676","5,184,540"
GCR,"Nov 19, 2017",0.049447,0.050655,0.047040,0.050162,"61,844","5,112,740"
GCR,"Nov 18, 2017",0.049579,0.051303,0.048324,0.049539,"23,316","5,126,280"
GCR,"Nov 17, 2017",0.051381,0.053812,0.048656,0.049770,"38,197","5,312,460"
GCR,"Nov 16, 2017",0.050392,0.054222,0.048773,0.051466,"36,678","5,209,990"
GCR,"Nov 15, 2017",0.046149,0.056954,0.046149,0.049549,"116,880","4,771,050"
GCR,"Nov 14, 2017",0.045266,0.046626,0.043955,0.046117,"30,209","4,679,410"
GCR,"Nov 13, 2017",0.039454,0.047137,0.039063,0.045170,"37,339","4,078,340"
GCR,"Nov 12, 2017",0.042936,0.047815,0.037927,0.039397,"95,672","4,438,090"
GCR,"Nov 11, 2017",0.042539,0.045495,0.039696,0.042014,"51,208","4,396,780"
GCR,"Nov 10, 2017",0.049905,0.050797,0.040193,0.042691,"73,467","5,157,700"
GCR,"Nov 09, 2017",0.048451,0.052013,0.045845,0.049757,"70,819","5,007,260"
GCR,"Nov 08, 2017",0.047750,0.050719,0.045161,0.047683,"75,893","4,934,640"
GCR,"Nov 07, 2017",0.047359,0.052484,0.045815,0.047900,"52,388","4,894,130"
GCR,"Nov 06, 2017",0.048715,0.057917,0.045483,0.047435,"120,859","5,034,070"
GCR,"Nov 05, 2017",0.047796,0.052931,0.046171,0.048607,"58,508","4,939,020"
GCR,"Nov 04, 2017",0.051604,0.051604,0.045180,0.047887,"38,300","5,332,380"
GCR,"Nov 03, 2017",0.044390,0.052328,0.043135,0.050811,"73,603","4,586,770"
GCR,"Nov 02, 2017",0.048593,0.052160,0.044277,0.044448,"49,989","5,020,960"
GCR,"Nov 01, 2017",0.051470,0.053309,0.049222,0.050084,"26,545","5,318,020"
GCR,"Oct 31, 2017",0.049526,0.051771,0.049102,0.051191,"26,004","5,116,960"
GCR,"Oct 30, 2017",0.050558,0.053932,0.049220,0.049696,"44,595","5,223,390"
GCR,"Oct 29, 2017",0.046105,0.054484,0.045755,0.050853,"38,573","4,763,220"
GCR,"Oct 28, 2017",0.048932,0.049562,0.045870,0.046168,"9,796","5,055,080"
GCR,"Oct 27, 2017",0.047212,0.049045,0.046083,0.048798,"22,359","4,877,270"
GCR,"Oct 26, 2017",0.047249,0.050694,0.045745,0.047201,"48,523","4,880,990"
GCR,"Oct 25, 2017",0.045166,0.048070,0.042504,0.047255,"26,723","4,665,640"
GCR,"Oct 24, 2017",0.043022,0.049805,0.041254,0.046086,"36,125","4,444,000"
GCR,"Oct 23, 2017",0.048501,0.048834,0.040548,0.043117,"36,610","5,009,810"
GCR,"Oct 22, 2017",0.048823,0.050285,0.047150,0.048579,"22,841","5,042,900"
GCR,"Oct 21, 2017",0.049647,0.054736,0.047854,0.048808,"34,851","5,127,920"
GCR,"Oct 20, 2017",0.049334,0.052580,0.046829,0.049224,"58,694","5,095,360"
GCR,"Oct 19, 2017",0.046930,0.051671,0.045617,0.047909,"49,181","4,846,960"
GCR,"Oct 18, 2017",0.046822,0.047355,0.043159,0.046906,"26,183","4,835,670"
GCR,"Oct 17, 2017",0.048973,0.052938,0.045298,0.046819,"29,489","5,057,600"
GCR,"Oct 16, 2017",0.049437,0.050766,0.045727,0.048965,"43,435","5,105,390"
GCR,"Oct 15, 2017",0.046810,0.049931,0.044685,0.049430,"15,142","4,833,990"
GCR,"Oct 14, 2017",0.045395,0.048835,0.044248,0.046726,"13,220","4,687,700"
GCR,"Oct 13, 2017",0.043581,0.048954,0.043302,0.045382,"26,247","4,500,150"
GCR,"Oct 12, 2017",0.045125,0.049723,0.042040,0.043447,"65,545","4,659,580"
GCR,"Oct 11, 2017",0.038621,0.048211,0.038589,0.045087,"39,423","3,987,820"
GCR,"Oct 10, 2017",0.039531,0.042680,0.038170,0.038580,"38,557","4,081,650"
GCR,"Oct 09, 2017",0.046442,0.047534,0.038777,0.039534,"41,999","4,795,120"
GCR,"Oct 08, 2017",0.049413,0.049980,0.045472,0.046430,"44,182","5,101,680"
GCR,"Oct 07, 2017",0.050649,0.050716,0.045653,0.049189,"31,285","5,229,140"
GCR,"Oct 06, 2017",0.047756,0.061292,0.046606,0.049846,"177,529","4,930,340"
GCR,"Oct 05, 2017",0.049485,0.049833,0.046213,0.047757,"22,270","5,108,640"
GCR,"Oct 04, 2017",0.049026,0.054304,0.047292,0.049440,"31,342","5,061,130"
GCR,"Oct 03, 2017",0.050686,0.051621,0.047176,0.048913,"32,952","5,232,220"
GCR,"Oct 02, 2017",0.052776,0.061382,0.049692,0.049848,"97,884","5,447,770"
GCR,"Oct 01, 2017",0.054744,0.055900,0.051408,0.052800,"50,921","5,650,440"
GCR,"Sep 30, 2017",0.057809,0.059144,0.053200,0.055061,"66,437","5,966,710"
GCR,"Sep 29, 2017",0.051960,0.060162,0.050074,0.057802,"251,371","5,362,770"
GCR,"Sep 28, 2017",0.049696,0.054370,0.047409,0.051622,"81,678","5,129,000"
GCR,"Sep 27, 2017",0.047675,0.054198,0.045421,0.049736,"178,641","4,920,220"
GCR,"Sep 26, 2017",0.044840,0.065103,0.044840,0.047808,"1,007,150","4,627,470"
GCR,"Sep 25, 2017",0.038486,0.045016,0.038472,0.044923,"30,869","3,971,670"
GCR,"Sep 24, 2017",0.039552,0.040516,0.037152,0.038525,"27,346","4,081,480"
GCR,"Sep 23, 2017",0.037696,0.041055,0.036947,0.039555,"41,609","3,889,800"
GCR,"Sep 22, 2017",0.038961,0.041190,0.037062,0.037803,"34,648","4,020,170"
GCR,"Sep 21, 2017",0.045574,0.047341,0.037887,0.038788,"52,791","4,702,440"
GCR,"Sep 20, 2017",0.039604,0.050637,0.038775,0.046613,"185,524","4,086,220"
GCR,"Sep 19, 2017",0.042585,0.042811,0.038982,0.041104,"34,676","4,393,610"
GCR,"Sep 18, 2017",0.038577,0.045362,0.038432,0.042482,"46,126","3,979,990"
GCR,"Sep 17, 2017",0.038927,0.039589,0.035763,0.038654,"35,209","4,015,930"
GCR,"Sep 16, 2017",0.037796,0.041905,0.036488,0.038954,"32,875","3,899,130"
GCR,"Sep 15, 2017",0.033385,0.041875,0.028100,0.037895,"106,352","3,443,990"
GCR,"Sep 14, 2017",0.039431,0.039997,0.032947,0.033031,"15,409","4,067,470"
GCR,"Sep 13, 2017",0.040279,0.045805,0.036300,0.038850,"94,379","4,154,760"
GCR,"Sep 12, 2017",0.044075,0.045048,0.041744,0.044809,"16,787","4,546,130"
GCR,"Sep 11, 2017",0.044165,0.045475,0.042147,0.044033,"19,119","4,555,210"
GCR,"Sep 10, 2017",0.046562,0.046878,0.040937,0.044240,"25,638","4,802,290"
GCR,"Sep 09, 2017",0.044826,0.047342,0.042935,0.046682,"10,476","4,623,130"
GCR,"Sep 08, 2017",0.048612,0.050289,0.042887,0.044740,"20,261","5,013,380"
GCR,"Sep 07, 2017",0.050468,0.052045,0.047254,0.048602,"36,308","5,204,660"
GCR,"Sep 06, 2017",0.047160,0.054889,0.047160,0.050565,"22,307","4,863,370"
GCR,"Sep 05, 2017",0.047776,0.049346,0.044610,0.047106,"24,926","4,926,670"
GCR,"Sep 04, 2017",0.053026,0.053582,0.045891,0.047529,"46,553","5,467,960"
GCR,"Sep 03, 2017",0.053793,0.054699,0.050879,0.051951,"25,368","5,546,750"
GCR,"Sep 02, 2017",0.058242,0.059920,0.051305,0.053758,"41,188","6,005,360"
GCR,"Sep 01, 2017",0.058656,0.059100,0.054942,0.058169,"75,253","6,047,850"
GCR,"Aug 31, 2017",0.057514,0.061384,0.055647,0.057415,"55,870","5,929,830"
GCR,"Aug 30, 2017",0.061866,0.062486,0.056995,0.057615,"27,709","6,378,310"
GCR,"Aug 29, 2017",0.066261,0.067825,0.057521,0.061949,"60,705","6,831,090"
GCR,"Aug 28, 2017",0.055448,0.069417,0.054674,0.066148,"221,734","5,716,170"
GCR,"Aug 27, 2017",0.049742,0.076126,0.049742,0.055637,"443,544","5,127,600"
GCR,"Aug 26, 2017",0.048900,0.051166,0.046568,0.049753,"37,447","5,040,660"
GCR,"Aug 25, 2017",0.047281,0.050829,0.045547,0.048807,"39,092","4,873,540"
GCR,"Aug 24, 2017",0.044703,0.049419,0.044642,0.047357,"23,619","4,607,640"
GCR,"Aug 23, 2017",0.048093,0.048373,0.043301,0.044684,"61,917","4,956,940"
GCR,"Aug 22, 2017",0.048834,0.050230,0.043546,0.048192,"68,671","5,033,060"
GCR,"Aug 21, 2017",0.043092,0.067814,0.042254,0.050315,"362,264","4,441,120"
GCR,"Aug 20, 2017",0.043446,0.045386,0.041465,0.043256,"15,247","4,477,460"
GCR,"Aug 19, 2017",0.044408,0.045361,0.041548,0.043650,"24,499","4,576,470"
GCR,"Aug 18, 2017",0.045366,0.048042,0.042665,0.044446,"25,811","4,675,010"
GCR,"Aug 17, 2017",0.048102,0.053293,0.044988,0.046793,"36,257","4,956,710"
GCR,"Aug 16, 2017",0.044859,0.048780,0.041640,0.048146,"11,594","4,622,310"
GCR,"Aug 15, 2017",0.046733,0.048792,0.041418,0.044810,"52,970","4,815,240"
GCR,"Aug 14, 2017",0.049067,0.052799,0.045557,0.045789,"36,578","5,055,560"
GCR,"Aug 13, 2017",0.052149,0.053297,0.046038,0.049036,"24,963","5,372,870"
GCR,"Aug 12, 2017",0.049571,0.052288,0.048092,0.052197,"12,148","5,107,040"
GCR,"Aug 11, 2017",0.047800,0.050428,0.046554,0.049755,"16,567","4,924,380"
GCR,"Aug 10, 2017",0.048046,0.049065,0.045078,0.048105,"14,287","4,949,600"
GCR,"Aug 09, 2017",0.047456,0.050270,0.045957,0.048042,"19,632","4,888,620"
GCR,"Aug 08, 2017",0.045788,0.049267,0.044096,0.047488,"21,459","4,716,610"
GCR,"Aug 07, 2017",0.045076,0.050293,0.044301,0.045741,"42,397","4,643,150"
GCR,"Aug 06, 2017",0.046808,0.050621,0.044068,0.045177,"15,533","4,821,380"
GCR,"Aug 05, 2017",0.043702,0.048800,0.041667,0.046797,"18,863","4,501,300"
GCR,"Aug 04, 2017",0.042892,0.044995,0.041038,0.043722,"11,103","4,417,640"
GCR,"Aug 03, 2017",0.041180,0.044115,0.039532,0.042902,"11,346","4,241,210"
GCR,"Aug 02, 2017",0.039847,0.044166,0.037540,0.040918,"8,653","4,103,770"
GCR,"Aug 01, 2017",0.040661,0.045264,0.038310,0.039855,"10,219","4,187,390"
GCR,"Jul 31, 2017",0.041908,0.043003,0.040283,0.040641,"9,906","4,315,720"
GCR,"Jul 30, 2017",0.041065,0.043785,0.039310,0.041865,"8,742","4,228,660"
GCR,"Jul 29, 2017",0.044000,0.044120,0.040170,0.042293,"12,966","4,530,640"
GCR,"Jul 28, 2017",0.045824,0.046953,0.040989,0.044167,"16,623","4,718,310"
GCR,"Jul 27, 2017",0.043201,0.047195,0.042508,0.045686,"12,479","4,448,010"
GCR,"Jul 26, 2017",0.045291,0.045534,0.041504,0.043079,"10,365","4,662,940"
GCR,"Jul 25, 2017",0.051877,0.053356,0.042146,0.045270,"24,127","5,340,720"
GCR,"Jul 24, 2017",0.046869,0.057478,0.046352,0.051882,"39,059","4,824,980"
GCR,"Jul 23, 2017",0.048237,0.050344,0.045968,0.046923,"17,423","4,965,490"
GCR,"Jul 22, 2017",0.048241,0.052750,0.047416,0.048238,"28,118","4,965,700"
GCR,"Jul 21, 2017",0.047465,0.053030,0.044980,0.048250,"32,368","4,885,580"
GCR,"Jul 20, 2017",0.038388,0.064452,0.038388,0.047115,"563,862","3,951,170"
GCR,"Jul 19, 2017",0.041201,0.043053,0.038202,0.038504,"6,821","4,240,530"
GCR,"Jul 18, 2017",0.036959,0.042077,0.036438,0.041135,"6,276","3,803,860"
GCR,"Jul 17, 2017",0.031747,0.039584,0.031337,0.036864,"21,386","3,267,310"
GCR,"Jul 16, 2017",0.034307,0.034757,0.030042,0.031783,"5,128","3,529,870"
GCR,"Jul 15, 2017",0.038871,0.039238,0.033071,0.034411,"6,959","3,999,330"
GCR,"Jul 14, 2017",0.040146,0.041816,0.034235,0.038938,"11,530","4,130,270"
GCR,"Jul 13, 2017",0.043097,0.050226,0.036309,0.040175,"30,752","4,433,750"
GCR,"Jul 12, 2017",0.036998,0.045380,0.035301,0.043065,"11,541","3,806,160"
GCR,"Jul 11, 2017",0.037785,0.038818,0.033066,0.037183,"14,240","3,886,920"
GCR,"Jul 10, 2017",0.047675,0.049075,0.036993,0.037865,"22,330","4,904,170"
GCR,"Jul 09, 2017",0.048514,0.053694,0.047582,0.047582,"7,865","4,990,260"
GCR,"Jul 08, 2017",0.049685,0.051961,0.045816,0.048668,"23,816","5,110,570"
GCR,"Jul 07, 2017",0.053190,0.054711,0.049000,0.049643,"23,111","5,470,930"
GCR,"Jul 06, 2017",0.059084,0.059121,0.051725,0.053151,"18,034","6,076,940"
GCR,"Jul 05, 2017",0.061361,0.061361,0.054165,0.059055,"30,624","6,310,860"
GCR,"Jul 04, 2017",0.048830,0.064814,0.048458,0.062171,"89,169","5,021,910"
GCR,"Jul 03, 2017",0.046254,0.065428,0.045725,0.047571,"106,516","4,756,840"
GCR,"Jul 02, 2017",0.044542,0.047473,0.043967,0.046425,"11,299","4,580,600"
GCR,"Jul 01, 2017",0.050335,0.050589,0.043124,0.044548,"15,711","5,176,090"
GCR,"Jun 30, 2017",0.051440,0.056699,0.049139,0.050354,"45,642","5,289,530"
GCR,"Jun 29, 2017",0.056979,0.056979,0.051002,0.051337,"28,236","5,858,920"
GCR,"Jun 28, 2017",0.053524,0.061359,0.052001,0.057032,"33,673","5,503,450"
GCR,"Jun 27, 2017",0.051132,0.055765,0.048208,0.055765,"12,188","5,257,230"
GCR,"Jun 26, 2017",0.056260,0.059022,0.048091,0.051132,"25,619","5,784,320"
GCR,"Jun 25, 2017",0.060002,0.064131,0.055161,0.056289,"38,843","6,168,840"
GCR,"Jun 24, 2017",0.060873,0.068771,0.056959,0.060115,"80,424","6,258,170"
GCR,"Jun 23, 2017",0.054213,0.061803,0.052462,0.060880,"30,555","5,573,310"
GCR,"Jun 22, 2017",0.054032,0.056153,0.051624,0.054213,"30,198","5,554,380"
GCR,"Jun 21, 2017",0.056575,0.056575,0.051621,0.054032,"37,827","5,815,600"
GCR,"Jun 20, 2017",0.057351,0.058580,0.054133,0.056575,"33,549","5,895,230"
GCR,"Jun 19, 2017",0.064944,0.070225,0.056884,0.057351,"49,376","6,675,440"
GCR,"Jun 18, 2017",0.055498,0.064944,0.054928,0.062949,"28,479","5,704,270"
GCR,"Jun 17, 2017",0.058001,0.058001,0.055399,0.055498,"23,559","5,961,340"
GCR,"Jun 16, 2017",0.056136,0.058741,0.051384,0.058001,"25,992","5,769,440"
GCR,"Jun 15, 2017",0.053356,0.056223,0.044840,0.056178,"20,633","5,483,410"
GCR,"Jun 14, 2017",0.059736,0.061820,0.049881,0.053357,"26,489","6,137,880"
GCR,"Jun 13, 2017",0.058236,0.065105,0.054977,0.058827,"41,866","5,983,430"
GCR,"Jun 12, 2017",0.066158,0.071760,0.053797,0.058431,"44,262","6,796,840"
GCR,"Jun 11, 2017",0.069505,0.073206,0.064985,0.066246,"45,739","7,139,730"
GCR,"Jun 10, 2017",0.081932,0.082819,0.067539,0.069545,"48,631","8,415,990"
GCR,"Jun 09, 2017",0.083789,0.088678,0.068521,0.081809,"97,523","8,606,440"
GCR,"Jun 08, 2017",0.062476,0.088696,0.057049,0.083922,"109,410","6,416,990"
GCR,"Jun 07, 2017",0.066845,0.071338,0.061671,0.062862,"24,567","6,865,480"
GCR,"Jun 06, 2017",0.067370,0.071554,0.062398,0.066828,"47,956","6,919,160"
GCR,"Jun 05, 2017",0.065771,0.070998,0.063728,0.067166,"54,261","6,754,710"
GCR,"Jun 04, 2017",0.063388,0.067208,0.055361,0.067208,"57,906","6,509,710"
GCR,"Jun 03, 2017",0.069791,0.070617,0.059407,0.063559,"62,342","7,167,030"
GCR,"Jun 02, 2017",0.064656,0.069821,0.062687,0.069821,"26,080","6,639,470"
GCR,"Jun 01, 2017",0.061843,0.067593,0.061341,0.064627,"22,584","6,350,340"
GCR,"May 31, 2017",0.059179,0.066975,0.058770,0.061789,"7,272","6,076,580"
GCR,"May 30, 2017",0.066056,0.066536,0.058242,0.060170,"10,782","6,782,410"
GCR,"May 29, 2017",0.059811,0.067381,0.056296,0.065979,"4,810","6,140,990"
GCR,"May 28, 2017",0.056800,0.062813,0.053398,0.059932,"5,223","5,831,650"
GCR,"May 27, 2017",0.060431,0.066357,0.051975,0.056463,"6,779","6,204,190"
GCR,"May 26, 2017",0.062707,0.074541,0.057588,0.060231,"12,299","6,437,620"
GCR,"May 25, 2017",0.076291,0.077668,0.054710,0.063171,"40,759","7,831,870"
GCR,"May 24, 2017",0.067481,0.077550,0.065634,0.076435,"30,137","6,927,220"
GCR,"May 23, 2017",0.063454,0.070561,0.061290,0.067399,"10,523","6,513,650"
GCR,"May 22, 2017",0.064532,0.074512,0.058311,0.063547,"22,767","6,624,090"
GCR,"May 21, 2017",0.064614,0.069417,0.062228,0.064316,"22,907","6,632,260"
GCR,"May 20, 2017",0.074592,0.075148,0.057200,0.064558,"45,522","7,656,130"
GCR,"May 19, 2017",0.075408,0.076929,0.071692,0.074674,"29,443","7,739,500"
GCR,"May 18, 2017",0.076980,0.082308,0.074740,0.075346,"23,568","7,900,070"
GCR,"May 17, 2017",0.086938,0.091616,0.075993,0.077022,"37,823","8,916,660"
GCR,"May 16, 2017",0.086274,0.094263,0.082070,0.086961,"24,323","8,848,020"
GCR,"May 15, 2017",0.089471,0.094864,0.078214,0.086419,"45,702","9,175,580"
GCR,"May 14, 2017",0.090867,0.099255,0.082813,0.089419,"29,970","9,318,280"
GCR,"May 13, 2017",0.083842,0.090577,0.064031,0.090577,"18,937","8,597,500"
GCR,"May 12, 2017",0.093723,0.093920,0.068766,0.084015,"18,285","9,610,380"
GCR,"May 11, 2017",0.094534,0.111362,0.093630,0.093630,"52,962","9,693,050"
GCR,"May 10, 2017",0.093613,0.097044,0.086783,0.094365,"41,779","9,598,220"
GCR,"May 09, 2017",0.066248,0.105629,0.062537,0.094804,"35,175","6,792,220"
GCR,"May 08, 2017",0.074162,0.078564,0.063705,0.066227,"30,906","7,603,330"
GCR,"May 07, 2017",0.084176,0.085017,0.072153,0.074152,"35,640","8,629,800"
GCR,"May 06, 2017",0.102576,0.102636,0.078181,0.085955,"67,592","10,515,800"
GCR,"May 05, 2017",0.178838,0.178838,0.091481,0.102486,"144,142","18,333,100"
GCR,"May 04, 2017",0.047927,0.181057,0.045822,0.178114,"217,305","4,912,890"
GCR,"May 03, 2017",0.051231,0.051448,0.043569,0.047906,"21,414","5,251,420"
GCR,"May 02, 2017",0.041863,0.055423,0.039346,0.051197,"28,925","4,290,970"
GCR,"May 01, 2017",0.038831,0.042272,0.038351,0.041880,"9,110","3,980,050"
GCR,"Apr 30, 2017",0.037898,0.040770,0.034367,0.038820,"9,052","3,884,230"
GCR,"Apr 29, 2017",0.040590,0.040825,0.033767,0.037896,"17,250","4,159,940"
GCR,"Apr 28, 2017",0.037187,0.040889,0.036080,0.040548,"30,351","3,811,010"
GCR,"Apr 27, 2017",0.038676,0.040093,0.032418,0.037186,"30,137","3,963,540"
GCR,"Apr 26, 2017",0.033610,0.039797,0.031074,0.038652,"49,645","3,444,240"
GCR,"Apr 25, 2017",0.027556,0.035999,0.026468,0.031392,"32,933","2,823,720"
GCR,"Apr 24, 2017",0.023432,0.030426,0.023290,0.027549,"8,986","2,400,930"
GCR,"Apr 23, 2017",0.027447,0.027454,0.023119,0.023385,"6,919","2,812,330"
GCR,"Apr 22, 2017",0.024959,0.030647,0.022308,0.027443,"31,553","2,557,280"
