symbol,date,open,high,low,close,volume,market_cap
GNT,"Dec 20, 2017",0.576656,0.640765,0.488982,0.591004,"22,672,400","480,373,000"
GNT,"Dec 19, 2017",0.551101,0.608798,0.504380,0.576103,"21,294,200","459,085,000"
GNT,"Dec 18, 2017",0.481576,0.576993,0.455380,0.554506,"21,801,200","401,168,000"
GNT,"Dec 17, 2017",0.413612,0.502113,0.408115,0.478623,"11,436,900","344,552,000"
GNT,"Dec 16, 2017",0.393233,0.434308,0.393233,0.413025,"7,680,930","327,576,000"
GNT,"Dec 15, 2017",0.429891,0.438693,0.360628,0.393059,"8,895,120","358,113,000"
GNT,"Dec 14, 2017",0.361651,0.441294,0.358215,0.428940,"12,389,500","301,267,000"
GNT,"Dec 13, 2017",0.353843,0.377201,0.338720,0.361836,"6,007,000","294,763,000"
GNT,"Dec 12, 2017",0.328411,0.366022,0.317102,0.352937,"6,843,980","273,577,000"
GNT,"Dec 11, 2017",0.289786,0.330433,0.289334,0.325983,"3,776,910","241,401,000"
GNT,"Dec 10, 2017",0.313194,0.314562,0.268160,0.290772,"3,101,990","260,901,000"
GNT,"Dec 09, 2017",0.325228,0.375482,0.291334,0.311389,"7,057,900","270,925,000"
GNT,"Dec 08, 2017",0.293752,0.324863,0.267113,0.323927,"5,497,280","244,705,000"
GNT,"Dec 07, 2017",0.340140,0.346808,0.267749,0.292759,"10,959,400","283,348,000"
GNT,"Dec 06, 2017",0.357569,0.357717,0.327670,0.339883,"8,680,870","297,866,000"
GNT,"Dec 05, 2017",0.362869,0.370305,0.349095,0.357176,"5,777,420","302,281,000"
GNT,"Dec 04, 2017",0.316541,0.362841,0.315638,0.360312,"10,713,600","263,689,000"
GNT,"Dec 03, 2017",0.313119,0.335737,0.306907,0.315767,"4,919,450","260,838,000"
GNT,"Dec 02, 2017",0.317369,0.332388,0.304399,0.313762,"5,901,710","264,378,000"
GNT,"Dec 01, 2017",0.288846,0.333698,0.279997,0.317759,"14,058,000","240,618,000"
GNT,"Nov 30, 2017",0.266539,0.340746,0.252582,0.290002,"7,661,240","222,036,000"
GNT,"Nov 29, 2017",0.349209,0.353759,0.259126,0.263486,"8,529,380","290,902,000"
GNT,"Nov 28, 2017",0.329568,0.387522,0.318050,0.345754,"17,878,200","274,541,000"
GNT,"Nov 27, 2017",0.276162,0.338689,0.275505,0.330351,"11,517,100","230,052,000"
GNT,"Nov 26, 2017",0.254204,0.277666,0.251490,0.274905,"3,967,800","211,760,000"
GNT,"Nov 25, 2017",0.246804,0.257070,0.242210,0.253609,"2,814,740","205,596,000"
GNT,"Nov 24, 2017",0.230989,0.247059,0.221117,0.246793,"2,998,280","192,422,000"
GNT,"Nov 23, 2017",0.231561,0.244659,0.229755,0.230846,"3,279,900","192,898,000"
GNT,"Nov 22, 2017",0.218462,0.232933,0.217587,0.231549,"2,386,500","181,986,000"
GNT,"Nov 21, 2017",0.218483,0.226485,0.205943,0.217997,"2,559,920","182,003,000"
GNT,"Nov 20, 2017",0.219345,0.221803,0.211170,0.219278,"2,334,300","182,722,000"
GNT,"Nov 19, 2017",0.210076,0.220773,0.209889,0.219314,"2,398,070","175,000,000"
GNT,"Nov 18, 2017",0.207311,0.212681,0.200345,0.210481,"2,156,250","172,696,000"
GNT,"Nov 17, 2017",0.208974,0.216508,0.203332,0.207861,"2,337,360","174,082,000"
GNT,"Nov 16, 2017",0.214596,0.214825,0.205742,0.209876,"2,468,530","178,765,000"
GNT,"Nov 15, 2017",0.211642,0.216744,0.208748,0.213970,"2,139,390","176,304,000"
GNT,"Nov 14, 2017",0.204942,0.211509,0.202535,0.211439,"2,014,890","170,723,000"
GNT,"Nov 13, 2017",0.191339,0.209591,0.189694,0.204708,"2,011,560","159,392,000"
GNT,"Nov 12, 2017",0.198165,0.198935,0.174157,0.189421,"3,992,570","165,078,000"
GNT,"Nov 11, 2017",0.196770,0.207598,0.192556,0.198331,"2,264,700","163,916,000"
GNT,"Nov 10, 2017",0.216742,0.239864,0.192510,0.197376,"3,912,040","180,553,000"
GNT,"Nov 09, 2017",0.207645,0.221287,0.204929,0.215360,"3,035,950","172,975,000"
GNT,"Nov 08, 2017",0.194050,0.210932,0.191087,0.206634,"3,068,510","161,650,000"
GNT,"Nov 07, 2017",0.187425,0.197441,0.187425,0.194727,"1,500,160","156,131,000"
GNT,"Nov 06, 2017",0.189603,0.194815,0.185348,0.188733,"2,552,870","157,945,000"
GNT,"Nov 05, 2017",0.196553,0.198118,0.186690,0.189395,"2,193,260","163,735,000"
GNT,"Nov 04, 2017",0.202644,0.204959,0.194947,0.196548,"2,035,120","168,809,000"
GNT,"Nov 03, 2017",0.218023,0.218023,0.182459,0.202098,"4,770,450","181,620,000"
GNT,"Nov 02, 2017",0.222919,0.234609,0.183212,0.221005,"8,172,370","185,699,000"
GNT,"Nov 01, 2017",0.202349,0.275079,0.202349,0.225190,"20,629,400","168,563,000"
GNT,"Oct 31, 2017",0.191259,0.198555,0.182528,0.198555,"1,690,360","159,325,000"
GNT,"Oct 30, 2017",0.189057,0.194782,0.187463,0.191735,"1,389,530","157,490,000"
GNT,"Oct 29, 2017",0.197439,0.204511,0.187703,0.189639,"2,119,590","164,473,000"
GNT,"Oct 28, 2017",0.205603,0.208354,0.194683,0.197054,"1,280,440","171,274,000"
GNT,"Oct 27, 2017",0.194277,0.214034,0.193907,0.204720,"2,219,360","161,839,000"
GNT,"Oct 26, 2017",0.201982,0.204440,0.193514,0.194259,"1,590,770","168,258,000"
GNT,"Oct 25, 2017",0.199278,0.204515,0.192614,0.202158,"1,442,030","166,005,000"
GNT,"Oct 24, 2017",0.192846,0.221539,0.187326,0.199057,"2,579,510","160,647,000"
GNT,"Oct 23, 2017",0.200143,0.200422,0.186228,0.192860,"1,812,790","166,726,000"
GNT,"Oct 22, 2017",0.203506,0.209022,0.195033,0.201134,"1,792,630","169,527,000"
GNT,"Oct 21, 2017",0.221359,0.221582,0.196246,0.204678,"3,380,160","184,399,000"
GNT,"Oct 20, 2017",0.251618,0.304021,0.215453,0.221913,"15,559,900","209,606,000"
GNT,"Oct 19, 2017",0.217468,0.254141,0.213977,0.254141,"2,604,210","181,158,000"
GNT,"Oct 18, 2017",0.219990,0.219990,0.201111,0.217408,"1,540,610","183,258,000"
GNT,"Oct 17, 2017",0.211743,0.223175,0.202118,0.219275,"1,992,510","176,389,000"
GNT,"Oct 16, 2017",0.204455,0.221103,0.196659,0.211233,"2,276,960","170,318,000"
GNT,"Oct 15, 2017",0.209644,0.209997,0.194205,0.203874,"1,243,480","174,640,000"
GNT,"Oct 14, 2017",0.210660,0.218000,0.208092,0.208379,"1,353,740","175,487,000"
GNT,"Oct 13, 2017",0.212987,0.220484,0.202500,0.211183,"2,589,360","177,425,000"
GNT,"Oct 12, 2017",0.232660,0.234547,0.202494,0.213099,"2,642,060","193,814,000"
GNT,"Oct 11, 2017",0.221766,0.241439,0.214329,0.233593,"1,981,720","184,738,000"
GNT,"Oct 10, 2017",0.193356,0.231880,0.184750,0.221501,"1,978,800","161,072,000"
GNT,"Oct 09, 2017",0.196836,0.202459,0.179738,0.193398,"2,515,750","163,971,000"
GNT,"Oct 08, 2017",0.220685,0.225513,0.196261,0.196629,"2,302,740","183,838,000"
