symbol,date,open,high,low,close,volume,market_cap
GRC,"Dec 20, 2017",0.089031,0.108077,0.078241,0.100700,"1,349,190","34,750,000"
GRC,"Dec 19, 2017",0.093888,0.098802,0.084228,0.089364,"798,216","36,645,700"
GRC,"Dec 18, 2017",0.085133,0.097151,0.081016,0.093037,"846,562","33,228,500"
GRC,"Dec 17, 2017",0.079971,0.089150,0.079019,0.084877,"397,007","31,213,700"
GRC,"Dec 16, 2017",0.079301,0.082032,0.077182,0.081096,"310,730","30,952,000"
GRC,"Dec 15, 2017",0.072691,0.081750,0.070902,0.079258,"753,765","28,372,400"
GRC,"Dec 14, 2017",0.069276,0.073933,0.068432,0.072091,"405,320","27,039,300"
GRC,"Dec 13, 2017",0.069568,0.074320,0.066890,0.069499,"431,863","27,153,300"
GRC,"Dec 12, 2017",0.066959,0.073032,0.065603,0.069600,"343,390","26,135,100"
GRC,"Dec 11, 2017",0.067347,0.073370,0.065934,0.066851,"588,312","26,286,300"
GRC,"Dec 10, 2017",0.073182,0.073182,0.060085,0.067769,"231,286","28,564,000"
GRC,"Dec 09, 2017",0.076027,0.077244,0.064832,0.073259,"166,031","29,674,200"
GRC,"Dec 08, 2017",0.081653,0.082882,0.067076,0.076254,"518,677","31,870,200"
GRC,"Dec 07, 2017",0.078407,0.108007,0.070758,0.082893,"2,598,280","30,603,100"
GRC,"Dec 06, 2017",0.063652,0.078898,0.060781,0.078898,"1,008,030","24,844,200"
GRC,"Dec 05, 2017",0.063315,0.068594,0.059693,0.063725,"481,400","24,712,700"
GRC,"Dec 04, 2017",0.057008,0.063222,0.056530,0.062974,"222,167","22,250,800"
GRC,"Dec 03, 2017",0.053358,0.062852,0.052917,0.056821,"209,141","20,826,400"
GRC,"Dec 02, 2017",0.054432,0.056421,0.051628,0.053308,"103,937","21,245,400"
GRC,"Dec 01, 2017",0.052152,0.055771,0.048845,0.054477,"108,695","20,355,600"
GRC,"Nov 30, 2017",0.045215,0.052794,0.044729,0.052532,"118,010","17,647,900"
GRC,"Nov 29, 2017",0.056142,0.061628,0.043750,0.045654,"345,895","21,913,100"
GRC,"Nov 28, 2017",0.053051,0.064011,0.052266,0.056259,"454,507","20,706,400"
GRC,"Nov 27, 2017",0.051375,0.053849,0.050138,0.052916,"162,414","20,052,400"
GRC,"Nov 26, 2017",0.045573,0.052598,0.045075,0.051495,"230,265","17,787,700"
GRC,"Nov 25, 2017",0.043668,0.046455,0.043503,0.045589,"131,494","17,044,200"
GRC,"Nov 24, 2017",0.043668,0.044592,0.042193,0.043756,"99,937","17,044,300"
GRC,"Nov 23, 2017",0.043059,0.045622,0.042132,0.043257,"176,076","16,806,600"
GRC,"Nov 22, 2017",0.038887,0.044436,0.038672,0.043375,"161,645","15,177,900"
GRC,"Nov 21, 2017",0.039837,0.041212,0.036845,0.038859,"40,047","15,549,100"
GRC,"Nov 20, 2017",0.040164,0.041518,0.039472,0.039672,"79,007","15,676,600"
GRC,"Nov 19, 2017",0.041345,0.041607,0.039422,0.040183,"35,020","16,137,400"
GRC,"Nov 18, 2017",0.039611,0.042082,0.038335,0.041421,"46,195","15,460,800"
GRC,"Nov 17, 2017",0.040152,0.040667,0.037608,0.039764,"52,944","15,671,900"
GRC,"Nov 16, 2017",0.038940,0.041447,0.037825,0.040403,"62,717","15,198,800"
GRC,"Nov 15, 2017",0.037814,0.039531,0.037586,0.038737,"44,668","14,759,100"
GRC,"Nov 14, 2017",0.036785,0.038181,0.036225,0.037788,"37,784","14,357,800"
GRC,"Nov 13, 2017",0.033602,0.038670,0.033263,0.036706,"42,979","13,115,200"
GRC,"Nov 12, 2017",0.038106,0.038106,0.031866,0.033628,"54,752","14,873,400"
