symbol,date,open,high,low,close,volume,market_cap
GRS,"Dec 20, 2017",2.48,2.56,1.92,2.20,"15,259,000","171,183,000"
GRS,"Dec 19, 2017",1.58,2.33,1.58,2.12,"22,044,000","109,046,000"
GRS,"Dec 18, 2017",1.35,1.65,1.30,1.58,"10,217,000","93,111,900"
GRS,"Dec 17, 2017",1.28,1.38,1.25,1.34,"4,451,350","88,070,900"
GRS,"Dec 16, 2017",1.21,1.33,1.20,1.29,"5,549,460","83,575,300"
GRS,"Dec 15, 2017",1.20,1.24,1.04,1.21,"4,693,940","82,663,800"
GRS,"Dec 14, 2017",1.11,1.26,1.11,1.20,"5,841,190","76,825,300"
GRS,"Dec 13, 2017",1.15,1.17,1.03,1.14,"3,708,570","79,252,700"
GRS,"Dec 12, 2017",1.07,1.16,1.03,1.14,"3,756,590","73,649,000"
GRS,"Dec 11, 2017",1.02,1.12,0.996281,1.06,"3,753,610","70,247,400"
GRS,"Dec 10, 2017",1.12,1.12,0.752578,1.01,"5,034,620","77,221,500"
GRS,"Dec 09, 2017",1.00,1.28,0.993660,1.15,"8,835,880","69,048,000"
GRS,"Dec 08, 2017",0.987463,1.04,0.843179,1.01,"4,642,740","68,094,000"
GRS,"Dec 07, 2017",1.09,1.20,0.961661,0.979456,"7,614,860","75,333,800"
GRS,"Dec 06, 2017",1.29,1.29,1.03,1.12,"8,057,000","89,050,700"
GRS,"Dec 05, 2017",1.37,1.37,1.24,1.28,"5,444,620","94,312,200"
GRS,"Dec 04, 2017",1.16,1.43,1.12,1.38,"24,529,900","79,973,800"
GRS,"Dec 03, 2017",0.874257,1.08,0.843973,1.04,"19,431,300","60,257,600"
GRS,"Dec 02, 2017",0.681275,0.860203,0.665911,0.860203,"7,123,970","46,951,800"
GRS,"Dec 01, 2017",0.601494,0.689463,0.578472,0.679917,"2,760,690","41,449,300"
GRS,"Nov 30, 2017",0.550592,0.611373,0.519048,0.611373,"1,739,800","37,937,900"
GRS,"Nov 29, 2017",0.658086,0.758919,0.527668,0.553449,"4,764,240","45,340,200"
GRS,"Nov 28, 2017",0.624109,0.682607,0.610241,0.655741,"2,794,500","42,994,900"
GRS,"Nov 27, 2017",0.620109,0.666746,0.591671,0.624251,"2,354,240","42,715,100"
GRS,"Nov 26, 2017",0.570671,0.686613,0.553138,0.611457,"5,058,240","39,305,800"
GRS,"Nov 25, 2017",0.538930,0.590222,0.538034,0.570684,"1,972,070","37,115,900"
GRS,"Nov 24, 2017",0.540610,0.557037,0.504912,0.540841,"1,756,000","37,227,900"
GRS,"Nov 23, 2017",0.583064,0.588239,0.533094,0.541193,"1,815,900","40,147,500"
GRS,"Nov 22, 2017",0.595621,0.618735,0.563092,0.583979,"4,330,190","41,008,000"
GRS,"Nov 21, 2017",0.578537,0.722723,0.542139,0.593955,"15,969,600","39,827,800"
