symbol,date,open,high,low,close,volume,market_cap
IOC,"Dec 20, 2017",3.28,3.28,2.61,3.19,"828,864","53,808,700"
IOC,"Dec 19, 2017",2.97,3.79,2.90,3.30,"941,141","48,688,800"
IOC,"Dec 18, 2017",2.74,3.57,2.52,2.96,"924,843","45,032,000"
IOC,"Dec 17, 2017",2.73,2.92,2.54,2.74,"291,517","44,754,400"
IOC,"Dec 16, 2017",2.65,2.85,2.50,2.73,"284,623","43,412,800"
IOC,"Dec 15, 2017",2.84,3.03,2.14,2.64,"1,059,060","46,630,700"
IOC,"Dec 14, 2017",2.70,3.27,2.55,2.77,"865,191","44,346,800"
IOC,"Dec 13, 2017",2.23,5.08,2.01,2.84,"2,947,690","36,564,600"
IOC,"Dec 12, 2017",2.06,2.54,2.00,2.18,"223,512","33,835,100"
IOC,"Dec 11, 2017",1.98,2.23,1.94,2.05,"183,440","32,510,000"
IOC,"Dec 10, 2017",2.23,2.30,1.92,2.00,"152,626","36,637,000"
IOC,"Dec 09, 2017",2.43,2.45,1.98,2.22,"236,446","39,782,800"
IOC,"Dec 08, 2017",2.38,2.59,1.93,2.43,"319,147","38,987,300"
IOC,"Dec 07, 2017",2.79,3.27,2.14,2.29,"697,179","45,709,300"
IOC,"Dec 06, 2017",3.28,3.45,2.57,2.85,"384,181","53,841,900"
IOC,"Dec 05, 2017",3.29,3.67,3.19,3.29,"349,041","53,878,800"
IOC,"Dec 04, 2017",3.22,3.45,3.02,3.27,"394,739","52,691,600"
IOC,"Dec 03, 2017",3.12,3.49,3.00,3.17,"127,287","51,067,200"
IOC,"Dec 02, 2017",3.47,3.47,3.06,3.12,"265,858","56,777,200"
IOC,"Dec 01, 2017",3.48,3.75,3.03,3.34,"495,707","56,978,200"
IOC,"Nov 30, 2017",3.05,3.70,2.64,3.42,"306,216","49,922,500"
IOC,"Nov 29, 2017",3.70,4.01,2.91,3.00,"362,712","60,614,600"
IOC,"Nov 28, 2017",3.66,3.86,3.56,3.70,"226,433","59,950,100"
IOC,"Nov 27, 2017",3.56,4.03,3.30,3.66,"346,890","58,295,700"
IOC,"Nov 26, 2017",3.59,3.68,3.36,3.56,"371,804","58,834,000"
IOC,"Nov 25, 2017",3.09,3.60,3.01,3.51,"355,689","50,572,000"
IOC,"Nov 24, 2017",3.16,3.21,3.04,3.09,"118,580","51,740,700"
IOC,"Nov 23, 2017",3.38,3.42,3.15,3.15,"118,230","55,361,900"
IOC,"Nov 22, 2017",3.25,3.53,3.11,3.38,"272,688","53,236,600"
IOC,"Nov 21, 2017",3.05,3.54,2.81,3.25,"469,292","49,910,600"
IOC,"Nov 20, 2017",2.79,3.10,2.78,3.05,"153,877","45,692,000"
IOC,"Nov 19, 2017",2.58,2.96,2.51,2.79,"215,285","42,185,900"
IOC,"Nov 18, 2017",2.54,2.73,2.46,2.58,"43,365","41,553,300"
IOC,"Nov 17, 2017",2.54,2.63,2.37,2.55,"53,137","41,591,900"
IOC,"Nov 16, 2017",2.55,2.76,2.43,2.54,"118,833","41,850,600"
IOC,"Nov 15, 2017",2.51,2.70,2.50,2.54,"102,918","41,126,000"
IOC,"Nov 14, 2017",2.46,2.57,2.29,2.51,"97,813","40,251,000"
IOC,"Nov 13, 2017",2.20,2.53,2.18,2.45,"37,932","36,062,300"
IOC,"Nov 12, 2017",2.32,2.43,1.97,2.20,"98,825","38,032,100"
IOC,"Nov 11, 2017",2.54,2.67,2.22,2.36,"129,274","41,572,700"
IOC,"Nov 10, 2017",2.83,2.85,2.29,2.55,"195,567","46,383,800"
IOC,"Nov 09, 2017",2.86,3.06,2.75,2.82,"140,155","46,796,200"
IOC,"Nov 08, 2017",2.77,3.10,2.35,2.86,"383,578","45,295,500"
IOC,"Nov 07, 2017",2.16,3.27,2.13,2.70,"824,583","35,406,300"
IOC,"Nov 06, 2017",2.20,2.35,2.03,2.24,"142,350","35,963,300"
IOC,"Nov 05, 2017",2.35,2.50,2.17,2.19,"84,513","38,547,700"
IOC,"Nov 04, 2017",2.32,2.57,2.27,2.36,"96,032","37,974,400"
IOC,"Nov 03, 2017",2.43,2.65,2.21,2.32,"330,220","39,761,700"
IOC,"Nov 02, 2017",2.88,2.92,2.26,2.43,"311,015","47,166,300"
IOC,"Nov 01, 2017",3.06,3.47,2.84,2.88,"338,848","50,177,500"
IOC,"Oct 31, 2017",3.68,3.77,2.91,3.07,"371,430","60,213,900"
IOC,"Oct 30, 2017",3.42,3.85,3.40,3.69,"209,371","55,959,100"
IOC,"Oct 29, 2017",3.44,3.75,3.42,3.44,"355,398","56,282,100"
IOC,"Oct 28, 2017",3.63,3.87,3.44,3.44,"243,885","59,401,200"
IOC,"Oct 27, 2017",3.72,3.88,3.39,3.62,"231,748","60,959,300"
IOC,"Oct 26, 2017",3.89,3.99,3.46,3.72,"599,387","63,776,600"
IOC,"Oct 25, 2017",3.31,4.06,3.25,3.89,"843,072","54,208,600"
IOC,"Oct 24, 2017",2.80,3.69,2.45,3.34,"712,416","45,829,300"
IOC,"Oct 23, 2017",2.64,2.82,2.33,2.65,"157,157","43,268,000"
IOC,"Oct 22, 2017",2.64,2.82,2.50,2.65,"128,775","43,228,800"
IOC,"Oct 21, 2017",2.70,2.74,2.40,2.74,"139,347","44,249,000"
IOC,"Oct 20, 2017",2.86,3.00,2.58,2.71,"206,266","46,903,800"
IOC,"Oct 19, 2017",2.97,3.04,2.84,2.86,"160,397","48,669,400"
IOC,"Oct 18, 2017",3.09,3.10,2.65,2.97,"185,034","50,623,900"
IOC,"Oct 17, 2017",3.08,3.15,2.86,3.03,"172,441","50,480,700"
IOC,"Oct 16, 2017",2.96,3.10,2.84,3.08,"92,751","48,508,200"
IOC,"Oct 15, 2017",3.16,3.18,2.83,2.96,"99,699","51,738,600"
IOC,"Oct 14, 2017",3.00,3.16,2.90,3.15,"49,592","49,119,600"
IOC,"Oct 13, 2017",3.11,3.23,2.84,3.00,"226,025","50,912,000"
IOC,"Oct 12, 2017",2.64,3.42,2.61,3.10,"341,208","43,269,900"
IOC,"Oct 11, 2017",2.69,2.95,2.55,2.64,"133,220","44,082,600"
IOC,"Oct 10, 2017",2.52,3.11,2.39,2.71,"144,598","41,259,200"
IOC,"Oct 09, 2017",2.86,3.01,2.43,2.52,"229,007","46,813,800"
IOC,"Oct 08, 2017",3.11,3.20,2.79,2.86,"218,237","50,923,100"
IOC,"Oct 07, 2017",3.18,3.23,2.98,3.13,"281,703","52,132,000"
IOC,"Oct 06, 2017",3.29,3.36,3.10,3.18,"112,783","53,917,300"
IOC,"Oct 05, 2017",3.02,3.54,2.97,3.29,"442,137","49,416,100"
IOC,"Oct 04, 2017",2.95,3.12,2.69,3.04,"361,264","48,228,000"
IOC,"Oct 03, 2017",3.20,3.21,2.83,2.91,"175,560","52,344,300"
IOC,"Oct 02, 2017",3.38,3.43,3.03,3.14,"280,926","55,386,600"
IOC,"Oct 01, 2017",3.50,3.64,3.32,3.39,"226,794","57,325,200"
IOC,"Sep 30, 2017",3.30,3.57,3.16,3.48,"181,249","54,080,600"
IOC,"Sep 29, 2017",3.31,3.59,3.05,3.30,"359,495","54,191,700"
IOC,"Sep 28, 2017",3.59,3.85,3.21,3.31,"611,942","58,747,700"
IOC,"Sep 27, 2017",4.02,4.33,3.44,3.59,"1,106,170","65,751,600"
IOC,"Sep 26, 2017",3.86,4.36,3.74,4.03,"532,874","63,127,300"
IOC,"Sep 25, 2017",3.54,3.85,3.47,3.84,"220,834","57,952,800"
IOC,"Sep 24, 2017",3.40,3.59,3.10,3.59,"351,815","55,640,200"
IOC,"Sep 23, 2017",3.30,3.71,3.28,3.49,"222,085","54,084,500"
IOC,"Sep 22, 2017",3.68,3.83,3.20,3.31,"487,538","60,308,900"
IOC,"Sep 21, 2017",4.17,4.34,3.31,3.62,"959,535","68,187,300"
IOC,"Sep 20, 2017",3.60,4.63,3.49,4.19,"2,216,480","58,922,000"
IOC,"Sep 19, 2017",3.37,3.77,3.09,3.56,"767,520","55,105,600"
IOC,"Sep 18, 2017",2.77,3.44,2.77,3.35,"477,587","45,357,600"
IOC,"Sep 17, 2017",2.54,2.82,2.41,2.77,"181,258","41,628,800"
IOC,"Sep 16, 2017",2.58,2.71,2.43,2.55,"101,992","42,190,600"
IOC,"Sep 15, 2017",2.18,2.66,1.80,2.57,"242,649","35,607,000"
IOC,"Sep 14, 2017",2.87,2.92,2.02,2.22,"474,709","46,949,900"
IOC,"Sep 13, 2017",2.31,2.98,2.17,2.87,"948,576","37,779,800"
IOC,"Sep 12, 2017",2.37,2.52,2.27,2.32,"153,126","38,849,800"
IOC,"Sep 11, 2017",2.30,2.41,2.23,2.37,"50,729","37,555,600"
IOC,"Sep 10, 2017",2.40,2.42,2.14,2.30,"50,589","39,335,400"
IOC,"Sep 09, 2017",2.37,2.48,2.16,2.41,"51,323","38,816,000"
IOC,"Sep 08, 2017",2.43,2.65,2.17,2.37,"101,729","39,701,700"
IOC,"Sep 07, 2017",2.65,2.68,2.36,2.43,"114,728","43,426,400"
IOC,"Sep 06, 2017",2.47,2.80,2.47,2.64,"111,894","40,376,300"
IOC,"Sep 05, 2017",2.33,2.60,2.05,2.46,"79,555","38,045,600"
IOC,"Sep 04, 2017",2.57,2.61,2.03,2.31,"151,763","42,123,700"
IOC,"Sep 03, 2017",2.44,2.65,2.36,2.57,"94,988","39,985,200"
IOC,"Sep 02, 2017",2.70,2.79,2.29,2.44,"186,989","44,203,400"
IOC,"Sep 01, 2017",2.62,2.75,2.43,2.69,"112,048","42,813,600"
IOC,"Aug 31, 2017",2.57,2.77,2.46,2.62,"179,171","42,018,600"
IOC,"Aug 30, 2017",2.52,2.73,2.42,2.57,"151,025","41,301,800"
IOC,"Aug 29, 2017",2.34,2.74,2.19,2.53,"284,027","38,342,600"
IOC,"Aug 28, 2017",2.01,2.52,1.87,2.33,"178,304","32,853,500"
IOC,"Aug 27, 2017",2.07,2.21,1.97,2.01,"52,346","33,877,200"
IOC,"Aug 26, 2017",2.13,2.13,1.94,2.07,"63,459","34,822,200"
IOC,"Aug 25, 2017",2.11,2.19,2.03,2.13,"54,962","34,487,200"
IOC,"Aug 24, 2017",1.97,2.14,1.88,2.11,"77,308","32,278,700"
IOC,"Aug 23, 2017",1.91,2.13,1.83,1.95,"93,223","31,224,700"
IOC,"Aug 22, 2017",1.94,2.06,1.74,1.91,"91,221","31,755,600"
IOC,"Aug 21, 2017",2.31,2.32,1.97,2.04,"77,320","37,826,700"
IOC,"Aug 20, 2017",2.21,2.38,2.04,2.32,"99,022","36,073,900"
IOC,"Aug 19, 2017",2.07,2.31,2.03,2.22,"122,735","33,938,900"
IOC,"Aug 18, 2017",2.52,2.66,2.12,2.12,"320,661","41,290,400"
IOC,"Aug 17, 2017",2.36,2.68,2.21,2.46,"322,168","38,656,800"
IOC,"Aug 16, 2017",2.09,2.38,1.93,2.37,"226,203","34,116,200"
IOC,"Aug 15, 2017",2.25,2.37,1.70,2.08,"403,382","36,731,700"
IOC,"Aug 14, 2017",1.61,2.32,1.59,2.17,"265,769","26,305,100"
IOC,"Aug 13, 2017",1.85,1.92,1.56,1.61,"97,926","30,229,200"
IOC,"Aug 12, 2017",1.78,1.88,1.65,1.85,"91,019","29,087,800"
IOC,"Aug 11, 2017",1.65,1.87,1.58,1.78,"78,485","26,933,200"
IOC,"Aug 10, 2017",1.72,1.78,1.48,1.60,"127,498","28,157,800"
IOC,"Aug 09, 2017",1.53,1.87,1.43,1.72,"265,499","25,077,100"
IOC,"Aug 08, 2017",1.24,1.55,1.24,1.53,"101,819","20,285,000"
IOC,"Aug 07, 2017",1.16,1.31,1.15,1.24,"45,612","18,896,800"
IOC,"Aug 06, 2017",1.18,1.27,1.09,1.16,"34,967","19,242,700"
IOC,"Aug 05, 2017",1.08,1.13,0.947882,1.13,"69,189","17,708,100"
IOC,"Aug 04, 2017",1.06,1.09,0.975952,1.08,"19,916","17,296,800"
IOC,"Aug 03, 2017",1.08,1.09,0.958727,1.06,"14,499","17,664,500"
IOC,"Aug 02, 2017",0.873575,1.12,0.862384,1.08,"37,474","14,285,900"
IOC,"Aug 01, 2017",0.834047,0.904668,0.759485,0.873742,"20,951","13,639,300"
IOC,"Jul 31, 2017",0.879752,0.918029,0.771472,0.833643,"56,304","14,386,500"
IOC,"Jul 30, 2017",0.872846,0.938887,0.835978,0.878823,"9,744","14,273,400"
IOC,"Jul 29, 2017",0.915797,0.943501,0.860128,0.872970,"13,570","14,975,500"
IOC,"Jul 28, 2017",0.957970,0.962958,0.857526,0.919310,"29,213","15,665,000"
IOC,"Jul 27, 2017",0.797713,0.988018,0.796022,0.955074,"31,721","13,044,200"
IOC,"Jul 26, 2017",0.829782,0.872405,0.742582,0.795456,"18,232","13,568,500"
IOC,"Jul 25, 2017",1.01,1.02,0.783732,0.829328,"29,706","16,543,500"
IOC,"Jul 24, 2017",1.02,1.08,0.937304,1.01,"52,213","16,753,200"
IOC,"Jul 23, 2017",1.10,1.14,1.00,1.03,"25,187","18,049,800"
IOC,"Jul 22, 2017",0.960244,1.12,0.955647,1.08,"24,048","15,701,000"
IOC,"Jul 21, 2017",0.962853,1.11,0.888518,0.960438,"24,064","15,743,400"
IOC,"Jul 20, 2017",0.822206,1.07,0.822206,0.955765,"37,650","13,443,500"
IOC,"Jul 19, 2017",0.805947,0.928941,0.794407,0.824686,"19,402","13,177,000"
IOC,"Jul 18, 2017",0.804524,0.847674,0.748035,0.804667,"34,574","13,153,400"
IOC,"Jul 17, 2017",0.660735,0.803776,0.653915,0.802454,"10,331","10,802,400"
IOC,"Jul 16, 2017",0.726965,0.803992,0.623026,0.661469,"49,941","11,885,000"
IOC,"Jul 15, 2017",0.869489,0.871971,0.718611,0.729157,"19,747","14,214,900"
IOC,"Jul 14, 2017",0.870859,0.886141,0.722923,0.870984,"41,045","14,237,100"
IOC,"Jul 13, 2017",0.882634,0.990118,0.835736,0.871498,"42,429","14,429,400"
IOC,"Jul 12, 2017",0.819542,0.914734,0.755821,0.881976,"34,672","13,397,700"
IOC,"Jul 11, 2017",0.889330,0.949013,0.705986,0.823633,"43,284","14,538,400"
IOC,"Jul 10, 2017",1.04,1.16,0.848848,0.891228,"53,861","16,996,900"
IOC,"Jul 09, 2017",1.08,1.19,1.04,1.04,"34,705","17,628,300"
IOC,"Jul 08, 2017",0.961384,1.11,0.942941,1.08,"26,108","15,715,600"
IOC,"Jul 07, 2017",1.10,1.10,0.952520,0.960577,"48,251","17,981,900"
IOC,"Jul 06, 2017",1.10,1.10,1.06,1.10,"20,980","17,963,000"
IOC,"Jul 05, 2017",1.11,1.14,1.05,1.10,"14,697","18,094,500"
IOC,"Jul 04, 2017",1.04,1.13,1.02,1.06,"45,729","16,960,900"
IOC,"Jul 03, 2017",1.06,1.16,1.02,1.04,"35,925","17,366,100"
IOC,"Jul 02, 2017",1.03,1.13,0.970589,1.07,"30,367","16,875,900"
IOC,"Jul 01, 2017",1.30,1.30,0.978594,1.03,"106,298","21,227,200"
IOC,"Jun 30, 2017",1.19,1.23,1.12,1.23,"31,159","19,470,900"
IOC,"Jun 29, 2017",1.24,1.36,1.15,1.18,"68,628","20,221,100"
IOC,"Jun 28, 2017",1.16,1.25,1.05,1.24,"39,636","18,967,200"
IOC,"Jun 27, 2017",1.22,1.23,0.922360,1.15,"109,078","19,905,100"
IOC,"Jun 26, 2017",1.37,1.38,0.903717,1.22,"131,791","22,375,100"
IOC,"Jun 25, 2017",1.49,1.56,1.26,1.30,"66,248","24,355,100"
IOC,"Jun 24, 2017",1.75,1.77,1.43,1.49,"136,469","28,555,500"
IOC,"Jun 23, 2017",1.54,1.97,1.49,1.75,"142,081","25,182,900"
IOC,"Jun 22, 2017",1.56,1.62,1.49,1.54,"36,781","25,430,200"
IOC,"Jun 21, 2017",1.51,1.62,1.47,1.56,"44,508","24,717,200"
