symbol,date,open,high,low,close,volume,market_cap
ION,"Dec 20, 2017",2.78,2.78,2.38,2.63,"392,904","51,166,800"
ION,"Dec 19, 2017",2.80,2.92,2.56,2.75,"692,688","51,571,300"
ION,"Dec 18, 2017",2.66,2.79,2.49,2.79,"418,747","48,869,200"
ION,"Dec 17, 2017",2.71,2.79,2.58,2.65,"260,134","49,748,600"
ION,"Dec 16, 2017",2.45,2.73,2.39,2.71,"251,710","44,891,900"
ION,"Dec 15, 2017",2.43,2.57,2.31,2.41,"279,719","44,426,700"
ION,"Dec 14, 2017",2.34,2.61,2.24,2.40,"479,664","42,817,100"
ION,"Dec 13, 2017",2.22,2.39,2.02,2.35,"1,158,040","40,562,400"
ION,"Dec 12, 2017",1.62,3.05,1.60,2.17,"5,608,860","29,602,500"
ION,"Dec 11, 2017",1.50,2.45,1.36,1.62,"918,223","27,273,300"
ION,"Dec 10, 2017",1.67,1.72,1.27,1.51,"165,492","30,366,800"
ION,"Dec 09, 2017",1.81,1.93,1.50,1.65,"102,483","32,869,700"
ION,"Dec 08, 2017",2.05,2.11,1.58,1.79,"287,210","37,289,900"
ION,"Dec 07, 2017",1.92,2.41,1.68,2.05,"540,506","34,852,100"
ION,"Dec 06, 2017",1.90,2.12,1.73,1.94,"881,494","34,416,800"
ION,"Dec 05, 2017",1.64,2.02,1.57,1.94,"1,263,800","29,604,500"
ION,"Dec 04, 2017",1.44,1.64,1.41,1.57,"210,753","25,937,400"
ION,"Dec 03, 2017",1.42,1.56,1.34,1.43,"108,632","25,605,900"
ION,"Dec 02, 2017",1.38,1.62,1.36,1.42,"177,202","24,810,200"
ION,"Dec 01, 2017",1.27,1.43,1.23,1.38,"132,756","22,826,500"
ION,"Nov 30, 2017",1.31,1.46,1.11,1.27,"83,362","23,462,200"
ION,"Nov 29, 2017",1.52,1.67,1.25,1.29,"201,458","27,201,200"
ION,"Nov 28, 2017",1.49,1.63,1.46,1.53,"243,530","26,777,900"
ION,"Nov 27, 2017",1.42,1.92,1.40,1.49,"1,158,500","25,430,300"
ION,"Nov 26, 2017",1.30,1.49,1.29,1.42,"162,504","23,279,300"
ION,"Nov 25, 2017",1.24,1.32,1.22,1.30,"33,677","22,192,800"
ION,"Nov 24, 2017",1.23,1.27,1.18,1.25,"60,604","21,895,000"
ION,"Nov 23, 2017",1.24,1.26,1.22,1.23,"48,597","22,055,200"
ION,"Nov 22, 2017",1.23,1.28,1.23,1.24,"36,677","21,941,500"
ION,"Nov 21, 2017",1.23,1.34,1.17,1.23,"110,302","21,806,400"
ION,"Nov 20, 2017",1.21,1.27,1.20,1.23,"44,929","21,446,100"
ION,"Nov 19, 2017",1.17,1.25,1.16,1.21,"31,509","20,727,000"
ION,"Nov 18, 2017",1.21,1.24,1.12,1.17,"79,811","21,326,800"
ION,"Nov 17, 2017",1.25,1.30,1.18,1.21,"61,480","22,033,400"
ION,"Nov 16, 2017",1.14,1.38,1.12,1.25,"134,242","20,104,200"
ION,"Nov 15, 2017",1.09,1.16,1.09,1.13,"53,976","19,220,900"
ION,"Nov 14, 2017",1.07,1.13,1.05,1.09,"33,260","18,910,900"
ION,"Nov 13, 2017",0.939330,1.13,0.934916,1.07,"120,036","16,507,100"
ION,"Nov 12, 2017",1.07,1.07,0.874283,0.937964,"107,862","18,699,800"
ION,"Nov 11, 2017",1.06,1.21,1.03,1.07,"122,871","18,549,000"
ION,"Nov 10, 2017",1.27,1.29,1.03,1.06,"140,274","22,167,900"
ION,"Nov 09, 2017",1.11,1.42,1.09,1.26,"443,096","19,333,100"
ION,"Nov 08, 2017",1.06,1.14,1.03,1.11,"42,413","18,511,200"
ION,"Nov 07, 2017",1.04,1.08,1.02,1.06,"39,609","18,189,100"
ION,"Nov 06, 2017",1.08,1.11,1.01,1.04,"30,351","18,874,100"
ION,"Nov 05, 2017",1.13,1.14,1.04,1.08,"18,848","19,626,800"
ION,"Nov 04, 2017",1.18,1.24,1.09,1.13,"54,292","20,485,500"
ION,"Nov 03, 2017",1.02,1.55,1.01,1.14,"542,492","17,630,800"
ION,"Nov 02, 2017",1.10,1.25,0.927110,1.01,"150,488","19,053,900"
ION,"Nov 01, 2017",1.22,1.28,1.07,1.10,"132,838","21,050,200"
ION,"Oct 31, 2017",1.24,1.27,1.12,1.22,"102,564","21,397,900"
ION,"Oct 30, 2017",1.30,1.31,1.17,1.24,"157,875","22,417,400"
ION,"Oct 29, 2017",1.62,1.99,1.26,1.31,"1,624,030","27,833,400"
ION,"Oct 28, 2017",1.02,2.23,1.01,1.62,"3,482,330","17,550,100"
ION,"Oct 27, 2017",1.09,1.25,1.00,1.02,"161,086","18,731,600"
ION,"Oct 26, 2017",1.11,1.15,1.05,1.05,"9,073","19,096,400"
ION,"Oct 25, 2017",1.12,1.14,1.07,1.11,"15,691","19,188,600"
