symbol,date,open,high,low,close,volume,market_cap
JINN,"Dec 20, 2017",1566.97,1988.28,1314.18,1876.11,"3,752","91,986,000"
JINN,"Dec 19, 2017",1764.62,1905.69,1441.72,1568.14,"3,136","103,588,000"
JINN,"Dec 18, 2017",1318.90,1827.10,1221.94,1770.11,"1,770","77,423,300"
JINN,"Dec 17, 2017",826.36,1439.34,821.91,1318.29,"23,729","48,510,000"
JINN,"Dec 16, 2017",886.99,927.37,810.13,828.12,"22,359","52,069,200"
JINN,"Dec 15, 2017",980.14,994.39,845.98,886.76,887,"57,537,400"
JINN,"Dec 14, 2017",1219.32,1284.98,969.27,982.05,"1,964","71,577,500"
JINN,"Dec 13, 2017",1182.14,1369.25,1076.78,1217.54,"10,958","69,395,400"
JINN,"Dec 12, 2017",1183.05,1351.66,1130.27,1167.57,"1,168","69,448,900"
JINN,"Dec 11, 2017",1284.15,1611.69,1180.78,1186.02,"9,488","75,383,500"
JINN,"Dec 10, 2017",1214.95,1384.29,969.17,1300.51,"9,104","71,321,200"
JINN,"Dec 09, 2017",1571.40,1655.76,888.96,1219.68,"12,197","92,245,700"
JINN,"Dec 08, 2017",1371.25,1763.57,962.88,1578.81,"3,158","80,496,300"
JINN,"Dec 07, 2017",851.57,1811.05,786.70,1364.77,"5,459","49,989,900"
JINN,"Dec 06, 2017",770.47,1311.91,487.56,838.80,"2,516","45,228,700"
JINN,"Dec 05, 2017",530.36,832.71,405.72,774.08,"89,793","31,133,600"
JINN,"Dec 04, 2017",772.17,907.55,505.92,525.08,"120,768","45,328,500"
JINN,"Dec 03, 2017",935.44,1165.83,716.50,779.92,"3,900","54,913,200"
JINN,"Dec 02, 2017",971.50,1104.61,557.93,928.58,"48,286","57,030,000"
JINN,"Dec 01, 2017",438.81,974.54,409.99,974.54,"8,771","25,759,700"
JINN,"Nov 30, 2017",333.84,441.16,313.64,441.16,"105,878","19,597,600"
JINN,"Nov 29, 2017",436.13,517.10,327.99,333.68,"2,669","25,601,900"
JINN,"Nov 28, 2017",410.98,488.00,385.18,434.34,"6,081","24,126,000"
JINN,"Nov 27, 2017",396.35,461.57,361.84,415.37,"4,569","23,266,700"
JINN,"Nov 26, 2017",337.10,392.52,306.61,392.52,"15,701","19,788,800"
JINN,"Nov 25, 2017",327.67,365.51,302.68,335.50,"1,678","19,235,200"
JINN,"Nov 24, 2017",291.80,328.92,270.84,326.34,"1,958","17,129,500"
JINN,"Nov 23, 2017",328.00,332.50,283.35,294.63,295,"19,254,800"
JINN,"Nov 22, 2017",314.54,355.46,294.51,325.47,325,"18,464,500"
JINN,"Nov 21, 2017",181.94,336.87,181.94,314.58,"6,921","10,680,300"
JINN,"Nov 20, 2017",155.99,196.39,151.38,181.94,"1,274","9,156,800"
JINN,"Nov 19, 2017",155.21,161.66,152.91,156.89,314,"9,111,340"
JINN,"Nov 16, 2017",185.58,194.72,177.09,189.80,190,"10,894,300"
JINN,"Nov 15, 2017",180.34,187.97,178.94,186.29,186,"10,586,400"
JINN,"Nov 14, 2017",174.42,182.89,171.57,181.12,181,"10,238,800"
JINN,"Nov 13, 2017",163.32,179.07,161.74,175.09,350,"9,587,460"
JINN,"Nov 12, 2017",183.99,183.99,158.34,162.39,974,"10,800,800"
JINN,"Nov 11, 2017",107.62,188.27,103.58,183.95,368,"6,317,850"
JINN,"Nov 10, 2017",120.29,123.52,103.34,108.34,108,"7,061,210"
JINN,"Nov 09, 2017",123.23,126.49,119.52,120.06,120,"7,234,060"
JINN,"Nov 06, 2017",155.47,160.21,148.90,157.23,157,"9,126,400"
