symbol,date,open,high,low,close,volume,market_cap
LBC,"Dec 20, 2017",0.736379,0.891735,0.541927,0.687841,"16,313,600","91,989,700"
LBC,"Dec 19, 2017",0.569134,0.869012,0.556809,0.753079,"17,415,800","68,128,300"
LBC,"Dec 18, 2017",0.467805,0.641931,0.436978,0.568797,"9,871,230","55,910,900"
LBC,"Dec 17, 2017",0.392885,0.497275,0.382923,0.469067,"5,775,970","46,876,000"
LBC,"Dec 16, 2017",0.397284,0.405870,0.362209,0.388625,"2,786,130","47,317,900"
LBC,"Dec 15, 2017",0.393647,0.400683,0.327861,0.383269,"3,104,270","46,807,500"
LBC,"Dec 14, 2017",0.404236,0.409530,0.351892,0.399480,"3,811,250","45,757,900"
LBC,"Dec 13, 2017",0.307339,0.451683,0.307339,0.418285,"15,099,300","34,789,500"
LBC,"Dec 12, 2017",0.279213,0.315959,0.270403,0.303655,"1,897,660","31,605,800"
LBC,"Dec 11, 2017",0.234145,0.327556,0.234145,0.278199,"2,114,650","26,504,200"
LBC,"Dec 10, 2017",0.283482,0.283482,0.233228,0.239182,"702,661","32,089,000"
LBC,"Dec 09, 2017",0.314251,0.322969,0.260746,0.284059,"927,875","35,572,000"
LBC,"Dec 08, 2017",0.270652,0.343235,0.233788,0.324391,"1,640,800","30,636,700"
LBC,"Dec 07, 2017",0.317150,0.346719,0.269516,0.269516,"2,555,020","35,900,100"
LBC,"Dec 06, 2017",0.338545,0.340560,0.299501,0.317968,"2,237,470","38,321,900"
LBC,"Dec 05, 2017",0.351317,0.384036,0.329366,0.334095,"2,865,600","39,767,700"
LBC,"Dec 04, 2017",0.293467,0.366398,0.280523,0.353380,"4,048,800","33,219,300"
LBC,"Dec 03, 2017",0.254264,0.311481,0.247405,0.294328,"2,105,990","28,781,600"
LBC,"Dec 02, 2017",0.248089,0.264078,0.237406,0.254486,"574,581","28,082,700"
LBC,"Dec 01, 2017",0.239482,0.246995,0.217972,0.246995,"598,653","27,108,400"
LBC,"Nov 30, 2017",0.215018,0.245251,0.201336,0.239745,"678,104","24,339,200"
LBC,"Nov 29, 2017",0.287147,0.347590,0.207711,0.211523,"2,145,960","32,503,900"
LBC,"Nov 28, 2017",0.283086,0.350014,0.269878,0.287886,"4,817,810","32,044,200"
LBC,"Nov 27, 2017",0.243230,0.303673,0.238907,0.284050,"1,710,430","27,532,700"
LBC,"Nov 26, 2017",0.231518,0.244377,0.220748,0.243587,"744,132","26,206,800"
LBC,"Nov 25, 2017",0.208112,0.242817,0.205867,0.233092,"1,221,540","23,557,400"
LBC,"Nov 24, 2017",0.197673,0.218872,0.192273,0.206660,"494,126","22,375,800"
LBC,"Nov 23, 2017",0.206922,0.209164,0.195199,0.197849,"410,623","23,422,700"
LBC,"Nov 22, 2017",0.189623,0.217845,0.186539,0.207276,"801,168","21,464,600"
LBC,"Nov 21, 2017",0.195048,0.198433,0.171893,0.186988,"489,643","22,078,700"
LBC,"Nov 20, 2017",0.190738,0.197942,0.183870,0.193306,"475,313","21,590,700"
LBC,"Nov 19, 2017",0.193106,0.200715,0.186719,0.191920,"460,995","21,858,800"
LBC,"Nov 18, 2017",0.190607,0.217936,0.182085,0.192984,"768,424","21,575,900"
LBC,"Nov 17, 2017",0.193318,0.217203,0.179135,0.191060,"936,545","21,875,500"
LBC,"Nov 16, 2017",0.204982,0.217693,0.189137,0.193657,"1,050,100","23,153,200"
LBC,"Nov 15, 2017",0.216899,0.223723,0.196497,0.202519,"1,192,700","24,454,600"
LBC,"Nov 14, 2017",0.177997,0.219182,0.171655,0.217591,"949,145","20,031,200"
LBC,"Nov 13, 2017",0.166756,0.189897,0.159827,0.175968,"628,551","18,731,700"
LBC,"Nov 12, 2017",0.202257,0.203551,0.157947,0.165392,"890,173","22,677,900"
LBC,"Nov 11, 2017",0.202193,0.242192,0.191886,0.203004,"2,000,950","22,629,500"
LBC,"Nov 10, 2017",0.175261,0.257278,0.175261,0.202040,"5,085,680","18,296,300"
LBC,"Nov 09, 2017",0.163681,0.181611,0.159927,0.175380,"796,486","17,087,500"
LBC,"Nov 08, 2017",0.149524,0.167789,0.139241,0.159787,"655,802","15,609,600"
LBC,"Nov 07, 2017",0.147776,0.157442,0.145692,0.149831,"266,663","15,427,100"
LBC,"Nov 06, 2017",0.147310,0.157906,0.138401,0.148038,"404,614","15,378,400"
LBC,"Nov 05, 2017",0.132353,0.167102,0.132353,0.146903,"582,318","13,817,000"
LBC,"Nov 04, 2017",0.129840,0.136347,0.127179,0.132558,"153,473","13,554,600"
LBC,"Nov 03, 2017",0.131201,0.136188,0.124599,0.130389,"215,819","13,696,800"
LBC,"Nov 02, 2017",0.138611,0.140819,0.118519,0.131526,"469,866","14,470,300"
LBC,"Nov 01, 2017",0.144393,0.153715,0.137026,0.138489,"451,610","15,073,900"
LBC,"Oct 31, 2017",0.149008,0.157602,0.140784,0.143457,"514,416","15,555,700"
LBC,"Oct 30, 2017",0.147171,0.158999,0.142566,0.148204,"375,360","15,363,900"
LBC,"Oct 29, 2017",0.138623,0.163094,0.136123,0.147478,"873,076","14,471,500"
LBC,"Oct 28, 2017",0.134575,0.143830,0.130475,0.137291,"253,013","14,049,000"
LBC,"Oct 27, 2017",0.133907,0.140493,0.130186,0.134749,"246,569","13,979,200"
LBC,"Oct 26, 2017",0.143636,0.148382,0.130601,0.133334,"343,327","14,994,900"
LBC,"Oct 25, 2017",0.142844,0.150187,0.138650,0.143653,"250,350","14,912,200"
LBC,"Oct 24, 2017",0.127994,0.157755,0.125239,0.142786,"618,199","13,362,000"
LBC,"Oct 23, 2017",0.149033,0.152968,0.128372,0.128808,"265,351","15,558,300"
LBC,"Oct 22, 2017",0.137772,0.152154,0.134956,0.147314,"291,813","14,382,700"
LBC,"Oct 21, 2017",0.144419,0.147972,0.134400,0.138112,"340,313","15,076,600"
LBC,"Oct 20, 2017",0.160274,0.164458,0.137697,0.144001,"527,000","16,731,800"
LBC,"Oct 19, 2017",0.171866,0.173849,0.156047,0.159530,"286,315","17,942,000"
LBC,"Oct 18, 2017",0.173928,0.175514,0.153949,0.171802,"365,715","18,157,200"
LBC,"Oct 17, 2017",0.161513,0.183392,0.158897,0.173966,"746,293","16,861,200"
LBC,"Oct 16, 2017",0.163830,0.167021,0.156760,0.161210,"311,777","17,103,000"
LBC,"Oct 15, 2017",0.162649,0.170235,0.151285,0.164140,"227,783","16,979,700"
LBC,"Oct 14, 2017",0.162546,0.184545,0.155287,0.162185,"373,392","16,968,900"
LBC,"Oct 13, 2017",0.162398,0.195906,0.152447,0.162968,"920,184","11,128,300"
LBC,"Oct 12, 2017",0.169256,0.177286,0.156676,0.161988,"593,251","11,598,200"
LBC,"Oct 11, 2017",0.169580,0.183517,0.166216,0.169196,"325,649","11,620,400"
LBC,"Oct 10, 2017",0.164918,0.170358,0.160902,0.169951,"339,180","11,300,900"
LBC,"Oct 09, 2017",0.186183,0.192634,0.163858,0.168255,"569,710","12,758,100"
LBC,"Oct 08, 2017",0.198543,0.204633,0.176986,0.188124,"683,490","13,605,100"
LBC,"Oct 07, 2017",0.210015,0.210112,0.192667,0.201153,"332,877","14,391,200"
LBC,"Oct 06, 2017",0.214085,0.216140,0.203514,0.209948,"378,886","14,670,100"
LBC,"Oct 05, 2017",0.203958,0.232298,0.192026,0.216337,"1,082,700","13,976,100"
LBC,"Oct 04, 2017",0.211365,0.226770,0.201201,0.202121,"540,283","14,483,700"
LBC,"Oct 03, 2017",0.225181,0.229801,0.207758,0.210849,"487,492","15,430,400"
LBC,"Oct 02, 2017",0.249496,0.249496,0.223237,0.227459,"545,234","17,096,600"
LBC,"Oct 01, 2017",0.230198,0.255626,0.223456,0.246748,"721,174","15,774,200"
LBC,"Sep 30, 2017",0.231831,0.237206,0.229755,0.231678,"285,529","15,886,100"
LBC,"Sep 29, 2017",0.236622,0.238473,0.216620,0.233209,"398,546","16,214,400"
LBC,"Sep 28, 2017",0.258225,0.258861,0.236493,0.237252,"667,169","17,694,800"
LBC,"Sep 27, 2017",0.238037,0.269815,0.227876,0.258216,"1,371,910","16,311,400"
LBC,"Sep 26, 2017",0.221264,0.242947,0.214545,0.239122,"799,699","15,162,000"
LBC,"Sep 25, 2017",0.202041,0.223633,0.199602,0.220510,"734,243","13,844,800"
LBC,"Sep 24, 2017",0.214073,0.214889,0.198211,0.201783,"466,645","14,669,300"
LBC,"Sep 23, 2017",0.204241,0.218430,0.199408,0.214196,"326,165","13,995,500"
LBC,"Sep 22, 2017",0.213452,0.230681,0.197857,0.204888,"708,673","14,626,700"
LBC,"Sep 21, 2017",0.271274,0.271274,0.211813,0.213389,"2,065,350","18,588,900"
LBC,"Sep 20, 2017",0.219976,0.283439,0.219467,0.273596,"3,130,840","15,073,700"
LBC,"Sep 19, 2017",0.228663,0.238426,0.212242,0.220282,"616,051","15,669,000"
LBC,"Sep 18, 2017",0.202812,0.245757,0.202812,0.229665,"652,817","13,897,600"
LBC,"Sep 17, 2017",0.206215,0.210177,0.186218,0.203205,"299,311","14,130,800"
LBC,"Sep 16, 2017",0.196970,0.218575,0.186544,0.205784,"477,437","13,497,200"
LBC,"Sep 15, 2017",0.174971,0.209957,0.149795,0.195583,"961,632","11,989,800"
LBC,"Sep 14, 2017",0.238866,0.242028,0.172655,0.173149,"1,145,550","16,368,200"
LBC,"Sep 13, 2017",0.267432,0.268089,0.223242,0.238191,"997,167","18,325,600"
LBC,"Sep 12, 2017",0.283352,0.300288,0.260587,0.269609,"1,048,100","19,416,600"
LBC,"Sep 11, 2017",0.283417,0.309632,0.277275,0.285483,"1,097,410","19,421,000"
LBC,"Sep 10, 2017",0.307201,0.307201,0.275212,0.283801,"506,382","21,050,800"
LBC,"Sep 09, 2017",0.319611,0.323736,0.295680,0.306241,"446,625","21,901,200"
LBC,"Sep 08, 2017",0.346860,0.371820,0.300630,0.319075,"1,606,060","23,768,400"
LBC,"Sep 07, 2017",0.339705,0.352286,0.330400,0.346958,"897,391","23,278,200"
LBC,"Sep 06, 2017",0.311838,0.355772,0.311838,0.342258,"916,222","21,368,500"
LBC,"Sep 05, 2017",0.314378,0.319599,0.268586,0.312429,"915,503","21,542,600"
LBC,"Sep 04, 2017",0.371241,0.373538,0.281690,0.315655,"1,613,870","25,439,100"
LBC,"Sep 03, 2017",0.370357,0.379151,0.343252,0.373084,"915,610","25,378,500"
LBC,"Sep 02, 2017",0.417774,0.440202,0.364043,0.369640,"1,667,060","28,627,800"
LBC,"Sep 01, 2017",0.379110,0.453097,0.375084,0.416413,"4,205,920","25,978,300"
LBC,"Aug 31, 2017",0.365358,0.394165,0.365222,0.379936,"1,140,710","25,036,000"
LBC,"Aug 30, 2017",0.342423,0.385605,0.340167,0.365734,"1,664,380","23,464,400"
LBC,"Aug 29, 2017",0.364136,0.370238,0.331914,0.342835,"2,172,480","24,952,200"
LBC,"Aug 28, 2017",0.378764,0.389168,0.352430,0.363734,"1,649,470","25,954,600"
LBC,"Aug 27, 2017",0.324368,0.385398,0.324019,0.380164,"1,729,600","22,227,100"
