symbol,date,open,high,low,close,volume,market_cap
LEO,"Dec 20, 2017",0.233057,0.244651,0.211663,0.228531,"40,749","22,149,000"
LEO,"Dec 19, 2017",0.243182,0.262508,0.228612,0.232654,"52,868","23,098,400"
LEO,"Dec 18, 2017",0.253611,0.253611,0.235441,0.243307,"16,539","24,075,900"
LEO,"Dec 17, 2017",0.260490,0.268379,0.247150,0.252757,"44,305","24,715,200"
LEO,"Dec 16, 2017",0.248551,0.342744,0.236684,0.261471,"55,354","23,569,300"
LEO,"Dec 15, 2017",0.259426,0.274987,0.240816,0.248212,"26,960","24,587,000"
LEO,"Dec 14, 2017",0.223811,0.259371,0.223811,0.252167,"40,541","21,200,000"
LEO,"Dec 13, 2017",0.247715,0.261672,0.217139,0.224187,"62,562","23,451,300"
LEO,"Dec 12, 2017",0.240397,0.257609,0.233911,0.239952,"35,363","22,746,000"
LEO,"Dec 11, 2017",0.247238,0.274556,0.221105,0.240089,"36,201","23,380,500"
LEO,"Dec 10, 2017",0.254816,0.273083,0.228172,0.241345,"39,180","24,083,800"
LEO,"Dec 09, 2017",0.298344,0.302715,0.225514,0.248231,"25,390","28,182,300"
LEO,"Dec 08, 2017",0.317526,0.322288,0.258116,0.298516,"1,591,880","29,977,800"
LEO,"Dec 07, 2017",0.311936,0.323062,0.266911,0.316585,"1,710,160","29,434,000"
LEO,"Dec 06, 2017",0.286584,0.315496,0.286570,0.312762,"1,547,490","27,026,700"
LEO,"Dec 05, 2017",0.289094,0.307579,0.274293,0.286826,"1,315,070","27,248,400"
LEO,"Dec 04, 2017",0.269401,0.293055,0.264476,0.289696,"1,163,620","25,378,400"
LEO,"Dec 03, 2017",0.254827,0.282852,0.251684,0.268410,"1,188,890","23,992,300"
LEO,"Dec 02, 2017",0.278568,0.278568,0.248957,0.254900,"1,193,060","26,212,900"
LEO,"Dec 01, 2017",0.252436,0.281898,0.236751,0.274532,"1,269,570","23,740,800"
