symbol,date,open,high,low,close,volume,market_cap
LKK,"Dec 20, 2017",0.273239,0.273239,0.248931,0.259947,"133,022","72,176,300"
LKK,"Dec 19, 2017",0.276497,0.276719,0.257694,0.273361,"218,099","73,037,600"
LKK,"Dec 18, 2017",0.280606,0.284651,0.271333,0.276088,"151,376","74,074,400"
LKK,"Dec 17, 2017",0.288618,0.292260,0.272845,0.277951,"202,296","76,189,500"
LKK,"Dec 16, 2017",0.293748,0.297622,0.288084,0.288461,"98,983","77,543,800"
LKK,"Dec 15, 2017",0.290173,0.308249,0.282246,0.293598,"144,569","76,554,300"
LKK,"Dec 14, 2017",0.290078,0.300515,0.286476,0.290054,"203,241","76,529,000"
LKK,"Dec 13, 2017",0.290738,0.299941,0.280354,0.292884,"306,829","76,704,000"
LKK,"Dec 12, 2017",0.289833,0.334417,0.266957,0.290554,"436,395","76,463,500"
LKK,"Dec 11, 2017",0.285882,0.292796,0.280329,0.290104,"108,981","75,391,400"
LKK,"Dec 10, 2017",0.285010,0.291218,0.267646,0.286272,"83,731","75,154,000"
LKK,"Dec 09, 2017",0.305378,0.305378,0.266664,0.284491,"342,653","80,525,200"
LKK,"Dec 08, 2017",0.293534,0.306714,0.285701,0.305442,"169,117","77,321,100"
LKK,"Dec 07, 2017",0.298674,0.309195,0.267906,0.293411,"258,884","78,667,000"
LKK,"Dec 06, 2017",0.289361,0.300706,0.288200,0.298828,"211,544","76,213,700"
LKK,"Dec 05, 2017",0.271328,0.292778,0.268843,0.289529,"102,412","71,462,900"
LKK,"Dec 04, 2017",0.276150,0.280364,0.263749,0.271130,"248,122","72,732,800"
LKK,"Dec 03, 2017",0.288525,0.298448,0.267655,0.276067,"296,286","75,992,300"
LKK,"Dec 02, 2017",0.312899,0.314423,0.284575,0.293010,"262,826","82,318,100"
LKK,"Dec 01, 2017",0.322168,0.322606,0.305371,0.313091,"347,706","84,749,200"
LKK,"Nov 30, 2017",0.307796,0.328300,0.291466,0.322735,"259,259","80,969,500"
LKK,"Nov 29, 2017",0.325397,0.346159,0.298511,0.305121,"519,970","85,583,900"
LKK,"Nov 28, 2017",0.339144,0.340509,0.325237,0.325394,"237,939","89,215,300"
LKK,"Nov 27, 2017",0.349603,0.350282,0.336312,0.339162,"321,327","91,957,000"
LKK,"Nov 26, 2017",0.350339,0.357809,0.328484,0.349596,"272,754","92,150,500"
LKK,"Nov 25, 2017",0.354490,0.354751,0.345665,0.350355,"177,517","84,734,700"
LKK,"Nov 24, 2017",0.356237,0.368877,0.342999,0.354846,"597,492","93,510,000"
LKK,"Nov 23, 2017",0.358103,0.360756,0.332770,0.356473,"109,500","93,996,200"
LKK,"Nov 22, 2017",0.345855,0.358873,0.341903,0.357774,"404,444","90,781,500"
LKK,"Nov 21, 2017",0.355427,0.357490,0.341681,0.345786,"278,602","93,294,300"
LKK,"Nov 20, 2017",0.358222,0.362925,0.353590,0.355669,"286,693","94,025,000"
LKK,"Nov 19, 2017",0.359141,0.362072,0.355385,0.358681,"307,812","94,266,200"
LKK,"Nov 18, 2017",0.358882,0.360000,0.355043,0.359319,"369,139","94,199,800"
LKK,"Nov 17, 2017",0.366290,0.370397,0.355803,0.359402,"367,482","96,098,200"
LKK,"Nov 16, 2017",0.368966,0.371880,0.365713,0.366639,"130,833","96,800,300"
LKK,"Nov 15, 2017",0.359435,0.371160,0.355864,0.368526,"168,268","94,300,300"
LKK,"Nov 14, 2017",0.361256,0.366815,0.356114,0.359116,"134,963","94,778,000"
LKK,"Nov 13, 2017",0.346882,0.364450,0.345007,0.360986,"119,834","90,666,700"
LKK,"Nov 12, 2017",0.355275,0.361639,0.336293,0.346721,"214,260","92,860,300"
LKK,"Nov 11, 2017",0.364447,0.366980,0.353916,0.355259,"155,553","95,257,500"
LKK,"Nov 10, 2017",0.366179,0.373062,0.358020,0.364831,"143,328","95,710,000"
LKK,"Nov 09, 2017",0.373278,0.374848,0.364864,0.365857,"192,112","97,565,700"
LKK,"Nov 08, 2017",0.361259,0.379515,0.360784,0.373743,"235,490","94,417,000"
LKK,"Nov 07, 2017",0.357641,0.364052,0.356164,0.361526,"78,492","96,318,500"
LKK,"Nov 06, 2017",0.357314,0.362714,0.347363,0.357490,"175,997","96,157,900"
LKK,"Nov 05, 2017",0.357658,0.367949,0.353018,0.357040,"123,051","96,263,400"
LKK,"Nov 04, 2017",0.352698,0.361912,0.327300,0.357867,"53,896","94,927,900"
LKK,"Nov 03, 2017",0.350477,0.357060,0.348955,0.352949,"136,452","94,330,700"
LKK,"Nov 02, 2017",0.324994,0.337943,0.324994,0.332714,"232,300","87,463,800"
