symbol,date,open,high,low,close,volume,market_cap
LMC,"Dec 20, 2017",0.093906,0.098604,0.081283,0.087458,"947,149","20,859,300"
LMC,"Dec 19, 2017",0.092848,0.105989,0.086807,0.095409,"1,555,610","20,614,700"
LMC,"Dec 18, 2017",0.082847,0.100085,0.079315,0.092008,"1,334,830","18,389,400"
LMC,"Dec 17, 2017",0.075767,0.097157,0.073663,0.082788,"1,944,470","16,814,400"
LMC,"Dec 16, 2017",0.068824,0.076347,0.067503,0.075757,"602,061","15,266,800"
LMC,"Dec 15, 2017",0.076299,0.076299,0.062309,0.067671,"726,597","16,920,500"
LMC,"Dec 14, 2017",0.068124,0.077208,0.065821,0.076184,"1,153,800","15,105,600"
LMC,"Dec 13, 2017",0.065648,0.072754,0.063689,0.066537,"605,659","14,550,400"
LMC,"Dec 12, 2017",0.061784,0.070820,0.058860,0.065594,"905,675","13,689,600"
LMC,"Dec 11, 2017",0.054777,0.073102,0.054537,0.061587,"943,589","12,135,100"
LMC,"Dec 10, 2017",0.067667,0.067667,0.051494,0.055929,"640,509","14,985,900"
LMC,"Dec 09, 2017",0.064738,0.079595,0.059415,0.067244,"809,381","14,331,400"
LMC,"Dec 08, 2017",0.061801,0.069772,0.052990,0.063503,"746,847","13,678,900"
LMC,"Dec 07, 2017",0.077629,0.082497,0.058324,0.062693,"1,522,720","17,177,000"
LMC,"Dec 06, 2017",0.089800,0.096837,0.073818,0.077625,"2,733,750","19,861,300"
LMC,"Dec 05, 2017",0.089983,0.102502,0.088187,0.089883,"2,164,780","19,898,100"
LMC,"Dec 04, 2017",0.085593,0.096380,0.080568,0.089806,"2,225,110","18,920,600"
LMC,"Dec 03, 2017",0.091279,0.096173,0.081380,0.085421,"2,485,460","20,168,400"
LMC,"Dec 02, 2017",0.070966,0.091919,0.069420,0.088680,"1,511,280","15,677,100"
LMC,"Dec 01, 2017",0.061357,0.073039,0.056953,0.071026,"748,814","13,550,000"
LMC,"Nov 30, 2017",0.060950,0.068663,0.053993,0.061663,"324,873","13,454,000"
LMC,"Nov 29, 2017",0.070984,0.074815,0.054142,0.060028,"670,730","15,665,300"
LMC,"Nov 28, 2017",0.066840,0.072851,0.062281,0.070956,"1,021,620","14,746,100"
LMC,"Nov 27, 2017",0.058702,0.075214,0.058068,0.067445,"2,139,480","12,943,600"
LMC,"Nov 26, 2017",0.055010,0.059097,0.052422,0.058877,"442,751","12,127,800"
LMC,"Nov 25, 2017",0.049503,0.056032,0.048959,0.053979,"514,520","10,910,600"
LMC,"Nov 24, 2017",0.047660,0.050095,0.047034,0.049603,"152,866","10,499,100"
LMC,"Nov 23, 2017",0.047711,0.050922,0.046300,0.048289,"289,804","10,508,100"
LMC,"Nov 22, 2017",0.046903,0.049515,0.045051,0.047726,"253,359","10,328,400"
LMC,"Nov 21, 2017",0.047884,0.048957,0.044761,0.045576,"140,178","10,536,900"
LMC,"Nov 20, 2017",0.047939,0.050620,0.047087,0.047876,"288,688","10,546,600"
LMC,"Nov 19, 2017",0.046799,0.048874,0.045450,0.047961,"178,219","10,294,000"
LMC,"Nov 18, 2017",0.043971,0.052901,0.043339,0.046886,"475,754","9,666,670"
LMC,"Nov 17, 2017",0.048872,0.050762,0.043709,0.044140,"291,883","10,741,400"
LMC,"Nov 16, 2017",0.047688,0.053901,0.046692,0.050367,"808,367","10,479,900"
LMC,"Nov 15, 2017",0.041848,0.049243,0.039737,0.047440,"636,996","9,192,080"
LMC,"Nov 14, 2017",0.040495,0.042776,0.039602,0.041820,"95,694","8,891,640"
LMC,"Nov 13, 2017",0.035342,0.042384,0.035342,0.041061,"180,792","7,759,120"
LMC,"Nov 12, 2017",0.039312,0.039312,0.031893,0.035643,"159,392","8,627,450"
LMC,"Nov 11, 2017",0.043068,0.045322,0.038715,0.039341,"131,920","9,448,540"
LMC,"Nov 10, 2017",0.050757,0.051960,0.039728,0.043156,"210,674","11,132,800"
LMC,"Nov 09, 2017",0.046298,0.052061,0.046073,0.050607,"342,984","10,149,700"
LMC,"Nov 08, 2017",0.044832,0.049423,0.043958,0.046346,"311,570","9,824,450"
LMC,"Nov 07, 2017",0.042867,0.045991,0.042867,0.044759,"114,782","9,391,950"
LMC,"Nov 06, 2017",0.044286,0.046711,0.042564,0.042936,"155,951","9,698,610"
LMC,"Nov 05, 2017",0.044704,0.046794,0.043029,0.045000,"93,849","9,786,670"
LMC,"Nov 04, 2017",0.044792,0.048366,0.042232,0.044789,"153,845","9,803,970"
LMC,"Nov 03, 2017",0.043547,0.049964,0.042375,0.044191,"158,633","9,528,380"
LMC,"Nov 02, 2017",0.042727,0.052380,0.037888,0.043604,"448,082","9,345,280"
LMC,"Nov 01, 2017",0.048329,0.050815,0.043244,0.043687,"381,248","10,569,000"
LMC,"Oct 31, 2017",0.053677,0.055042,0.046242,0.048300,"665,199","11,734,200"
LMC,"Oct 30, 2017",0.061446,0.061446,0.052767,0.053860,"456,249","13,425,900"
LMC,"Oct 29, 2017",0.062951,0.068353,0.052834,0.060815,"1,707,150","13,752,800"
LMC,"Oct 28, 2017",0.053083,0.063111,0.051625,0.061374,"709,515","11,593,100"
LMC,"Oct 27, 2017",0.049815,0.055601,0.047454,0.052939,"522,577","10,874,000"
LMC,"Oct 26, 2017",0.049258,0.054623,0.047171,0.049804,"386,269","10,751,500"
LMC,"Oct 25, 2017",0.049607,0.053981,0.045602,0.049207,"581,440","10,824,100"
LMC,"Oct 24, 2017",0.044758,0.051976,0.041591,0.049642,"301,909","9,761,360"
LMC,"Oct 23, 2017",0.048488,0.049458,0.040559,0.044856,"178,054","10,573,300"
LMC,"Oct 22, 2017",0.044507,0.051062,0.043298,0.049521,"189,984","9,702,800"
LMC,"Oct 21, 2017",0.048638,0.049385,0.041190,0.044494,"182,389","10,598,800"
LMC,"Oct 20, 2017",0.051078,0.052374,0.046845,0.048741,"274,346","11,128,800"
LMC,"Oct 19, 2017",0.048886,0.053882,0.047984,0.051063,"313,197","10,648,100"
LMC,"Oct 18, 2017",0.047771,0.051150,0.043447,0.049139,"548,265","10,401,200"
LMC,"Oct 17, 2017",0.046215,0.062946,0.043030,0.047264,"1,552,210","10,059,300"
LMC,"Oct 16, 2017",0.045535,0.047348,0.042573,0.046208,"164,342","9,908,050"
LMC,"Oct 15, 2017",0.046222,0.047076,0.042820,0.045529,"172,206","10,054,900"
LMC,"Oct 14, 2017",0.045771,0.050548,0.044562,0.046723,"157,781","9,952,550"
LMC,"Oct 13, 2017",0.044178,0.050478,0.041122,0.045759,"353,622","9,603,220"
LMC,"Oct 12, 2017",0.047011,0.049028,0.040664,0.044638,"655,304","10,216,400"
LMC,"Oct 11, 2017",0.043053,0.053643,0.042943,0.046923,"1,206,350","9,351,980"
LMC,"Oct 10, 2017",0.036135,0.046214,0.033590,0.043061,"460,258","7,847,180"
LMC,"Oct 09, 2017",0.040223,0.041210,0.031068,0.035181,"464,889","8,732,220"
LMC,"Oct 08, 2017",0.044441,0.045084,0.039197,0.040075,"484,949","9,642,990"
LMC,"Oct 07, 2017",0.048328,0.048981,0.042567,0.044560,"212,420","10,484,600"
LMC,"Oct 06, 2017",0.046005,0.050611,0.045826,0.048313,"225,796","9,977,110"
LMC,"Oct 05, 2017",0.048884,0.050814,0.044669,0.046134,"273,733","10,597,200"
LMC,"Oct 04, 2017",0.047301,0.053214,0.045975,0.048672,"472,085","10,252,700"
LMC,"Oct 03, 2017",0.052571,0.053260,0.044787,0.047407,"539,077","11,391,100"
LMC,"Oct 02, 2017",0.056902,0.058962,0.051213,0.053361,"666,495","12,324,400"
LMC,"Oct 01, 2017",0.059702,0.061469,0.055142,0.057059,"549,025","12,928,100"
LMC,"Sep 30, 2017",0.053276,0.064767,0.051525,0.059497,"1,282,300","11,526,000"
LMC,"Sep 29, 2017",0.058233,0.058233,0.050773,0.053269,"525,952","12,598,400"
LMC,"Sep 28, 2017",0.059745,0.061503,0.054839,0.058320,"797,382","12,922,600"
LMC,"Sep 27, 2017",0.058675,0.062989,0.055866,0.059325,"851,873","12,685,500"
LMC,"Sep 26, 2017",0.060305,0.062532,0.058127,0.059532,"790,737","13,032,500"
LMC,"Sep 25, 2017",0.053655,0.062675,0.050888,0.060078,"2,227,980","11,590,600"
LMC,"Sep 24, 2017",0.050339,0.057939,0.045279,0.053564,"1,412,620","10,871,000"
LMC,"Sep 23, 2017",0.047465,0.052579,0.046725,0.050343,"417,858","10,245,700"
LMC,"Sep 22, 2017",0.047671,0.053571,0.045711,0.047347,"888,493","10,285,700"
LMC,"Sep 21, 2017",0.054312,0.057839,0.044262,0.047690,"807,777","11,715,600"
LMC,"Sep 20, 2017",0.055064,0.059193,0.051701,0.054580,"939,876","11,873,300"
LMC,"Sep 19, 2017",0.064377,0.064503,0.052110,0.054981,"1,706,000","13,876,100"
LMC,"Sep 18, 2017",0.059011,0.065598,0.055222,0.063444,"1,714,540","12,709,900"
LMC,"Sep 17, 2017",0.062179,0.063818,0.049545,0.059129,"1,478,440","13,387,000"
LMC,"Sep 16, 2017",0.048593,0.063814,0.046940,0.062705,"2,352,570","10,460,000"
LMC,"Sep 15, 2017",0.042667,0.056223,0.030261,0.049501,"1,955,970","9,177,870"
LMC,"Sep 14, 2017",0.048270,0.067530,0.042116,0.044011,"5,459,850","10,379,200"
LMC,"Sep 13, 2017",0.031974,0.060170,0.027459,0.048272,"3,175,160","6,874,090"
LMC,"Sep 12, 2017",0.035226,0.036751,0.030115,0.032096,"524,238","7,570,580"
LMC,"Sep 11, 2017",0.035704,0.037835,0.032804,0.035150,"606,671","7,670,040"
LMC,"Sep 10, 2017",0.033437,0.042486,0.030820,0.036105,"1,777,610","7,181,710"
LMC,"Sep 09, 2017",0.020452,0.036835,0.019970,0.033964,"4,361,580","4,391,220"
LMC,"Sep 08, 2017",0.032524,0.034099,0.017833,0.020406,"2,164,540","6,980,130"
LMC,"Sep 07, 2017",0.035615,0.036359,0.030738,0.033138,"444,671","7,642,720"
LMC,"Sep 06, 2017",0.034108,0.038873,0.032086,0.035660,"617,038","7,315,450"
LMC,"Sep 05, 2017",0.030648,0.038500,0.025696,0.034323,"855,783","6,571,100"
LMC,"Sep 04, 2017",0.043624,0.044221,0.026846,0.030802,"706,432","9,352,580"
LMC,"Sep 03, 2017",0.046034,0.047241,0.041449,0.043539,"201,867","9,864,040"
LMC,"Sep 02, 2017",0.052056,0.052056,0.045022,0.046008,"445,795","11,151,000"
LMC,"Sep 01, 2017",0.051724,0.053084,0.050309,0.051400,"170,029","11,078,900"
LMC,"Aug 31, 2017",0.050377,0.052806,0.047678,0.051697,"150,760","10,788,100"
LMC,"Aug 30, 2017",0.049376,0.051117,0.045727,0.050404,"220,078","10,568,400"
LMC,"Aug 29, 2017",0.052030,0.053092,0.048841,0.050337,"213,234","11,134,500"
LMC,"Aug 28, 2017",0.051554,0.052737,0.047214,0.051985,"160,336","11,030,600"
LMC,"Aug 27, 2017",0.055009,0.055584,0.048635,0.050883,"262,167","11,763,200"
LMC,"Aug 26, 2017",0.056897,0.058511,0.053721,0.055015,"169,805","12,165,100"
LMC,"Aug 25, 2017",0.055926,0.059330,0.055493,0.056844,"155,563","11,955,800"
LMC,"Aug 24, 2017",0.055668,0.056964,0.054463,0.055450,"173,324","11,894,000"
LMC,"Aug 23, 2017",0.054224,0.059027,0.053197,0.056051,"227,128","11,582,900"
LMC,"Aug 22, 2017",0.054088,0.054545,0.050631,0.054213,"268,609","11,551,000"
LMC,"Aug 21, 2017",0.057552,0.057844,0.052718,0.054048,"274,715","12,284,100"
LMC,"Aug 20, 2017",0.056883,0.058911,0.055726,0.057490,"137,019","12,138,100"
LMC,"Aug 19, 2017",0.059188,0.062281,0.054218,0.056921,"326,685","12,628,100"
LMC,"Aug 18, 2017",0.060130,0.065776,0.058479,0.059405,"377,403","12,823,800"
LMC,"Aug 17, 2017",0.066031,0.066187,0.057894,0.060524,"606,455","14,077,200"
LMC,"Aug 16, 2017",0.066960,0.073628,0.063807,0.066014,"938,108","14,273,000"
LMC,"Aug 15, 2017",0.077359,0.104130,0.058657,0.066716,"4,494,640","16,483,700"
LMC,"Aug 14, 2017",0.058105,0.080751,0.054097,0.076122,"1,207,250","12,376,300"
LMC,"Aug 13, 2017",0.065915,0.066362,0.056811,0.058106,"535,874","14,037,800"
LMC,"Aug 12, 2017",0.055796,0.067349,0.054930,0.065227,"1,722,860","11,878,000"
LMC,"Aug 11, 2017",0.050395,0.057096,0.049714,0.055788,"756,839","10,724,200"
LMC,"Aug 10, 2017",0.048318,0.053527,0.045369,0.051012,"553,422","10,279,900"
LMC,"Aug 09, 2017",0.050374,0.050422,0.046781,0.048282,"242,673","10,713,400"
LMC,"Aug 08, 2017",0.052970,0.052999,0.047296,0.050134,"412,479","11,261,300"
LMC,"Aug 07, 2017",0.050360,0.055821,0.045841,0.051491,"1,202,740","10,704,400"
LMC,"Aug 06, 2017",0.043358,0.057580,0.041814,0.050822,"971,701","9,212,610"
LMC,"Aug 05, 2017",0.043265,0.044223,0.040370,0.043358,"292,089","9,189,830"
LMC,"Aug 04, 2017",0.040248,0.044342,0.039963,0.043262,"348,465","8,547,500"
LMC,"Aug 03, 2017",0.039780,0.040505,0.038595,0.040282,"97,986","8,444,860"
LMC,"Aug 02, 2017",0.038510,0.040927,0.038510,0.039804,"97,507","8,172,710"
LMC,"Aug 01, 2017",0.038625,0.039693,0.035487,0.039142,"122,341","8,195,720"
LMC,"Jul 31, 2017",0.037865,0.039747,0.037359,0.038482,"67,230","8,031,290"
LMC,"Jul 30, 2017",0.038128,0.039216,0.036315,0.037878,"64,639","8,083,910"
LMC,"Jul 29, 2017",0.039085,0.039985,0.034932,0.038135,"107,330","8,286,080"
LMC,"Jul 28, 2017",0.040915,0.042343,0.038546,0.039317,"282,317","8,671,630"
LMC,"Jul 27, 2017",0.037793,0.040949,0.037751,0.040101,"209,409","8,005,830"
LMC,"Jul 26, 2017",0.038165,0.040284,0.034326,0.040186,"220,983","8,083,490"
LMC,"Jul 25, 2017",0.042257,0.043040,0.036264,0.038162,"348,814","8,948,830"
LMC,"Jul 24, 2017",0.041713,0.043569,0.040258,0.042260,"366,127","8,828,500"
LMC,"Jul 23, 2017",0.049266,0.050896,0.037409,0.041475,"1,062,460","10,425,500"
LMC,"Jul 22, 2017",0.043190,0.049367,0.041704,0.049367,"707,570","9,138,480"
LMC,"Jul 21, 2017",0.044308,0.047999,0.040097,0.043183,"659,691","9,369,870"
LMC,"Jul 20, 2017",0.037822,0.045874,0.037064,0.044815,"637,346","7,997,470"
LMC,"Jul 19, 2017",0.039783,0.044347,0.035348,0.037805,"696,152","8,411,640"
LMC,"Jul 18, 2017",0.034886,0.041220,0.032752,0.039748,"432,826","7,371,750"
LMC,"Jul 17, 2017",0.027613,0.036919,0.027604,0.034862,"278,277","5,833,650"
LMC,"Jul 16, 2017",0.029384,0.031754,0.026351,0.027506,"141,637","6,207,190"
LMC,"Jul 15, 2017",0.031649,0.032421,0.028158,0.029389,"197,255","6,682,270"
LMC,"Jul 14, 2017",0.035662,0.036173,0.030520,0.031591,"151,282","7,527,540"
LMC,"Jul 13, 2017",0.040366,0.040854,0.035324,0.035653,"212,849","8,519,320"
LMC,"Jul 12, 2017",0.034800,0.039962,0.033623,0.039962,"212,416","7,341,780"
LMC,"Jul 11, 2017",0.038596,0.040122,0.033721,0.034813,"376,553","8,139,860"
LMC,"Jul 10, 2017",0.042902,0.045366,0.037879,0.039208,"283,998","9,046,380"
LMC,"Jul 09, 2017",0.046735,0.051351,0.042101,0.043926,"468,297","9,851,700"
LMC,"Jul 08, 2017",0.041385,0.046893,0.035872,0.046452,"707,727","8,719,970"
LMC,"Jul 07, 2017",0.049573,0.051574,0.040516,0.041407,"907,906","10,444,500"
LMC,"Jul 06, 2017",0.057527,0.058278,0.049159,0.052275,"410,365","12,116,300"
LMC,"Jul 05, 2017",0.060393,0.060393,0.055546,0.058403,"309,306","12,713,200"
LMC,"Jul 04, 2017",0.062232,0.063307,0.059274,0.060390,"393,127","13,099,900"
LMC,"Jul 03, 2017",0.060098,0.064930,0.057227,0.062317,"681,019","12,646,300"
LMC,"Jul 02, 2017",0.056664,0.062796,0.052638,0.060225,"956,650","11,918,200"
LMC,"Jul 01, 2017",0.065985,0.069474,0.056999,0.056999,"732,245","13,878,000"
LMC,"Jun 30, 2017",0.067034,0.068805,0.064095,0.065827,"624,742","14,095,300"
LMC,"Jun 29, 2017",0.072143,0.074952,0.064039,0.066895,"1,100,590","15,160,700"
LMC,"Jun 28, 2017",0.067367,0.073736,0.060246,0.072057,"1,774,160","14,156,300"
LMC,"Jun 27, 2017",0.072057,0.072948,0.054105,0.067002,"2,294,430","15,136,800"
LMC,"Jun 26, 2017",0.070790,0.091740,0.062655,0.072673,"4,346,160","14,863,300"
LMC,"Jun 25, 2017",0.071758,0.078393,0.066282,0.069520,"2,402,220","15,062,900"
LMC,"Jun 24, 2017",0.090552,0.093441,0.071716,0.071716,"4,465,890","19,006,300"
LMC,"Jun 23, 2017",0.118498,0.119862,0.081478,0.090641,"9,007,730","24,859,800"
LMC,"Jun 22, 2017",0.059887,0.125615,0.059851,0.119933,"16,921,500","12,561,800"
LMC,"Jun 21, 2017",0.031820,0.066164,0.031820,0.059814,"6,849,340","6,672,360"
LMC,"Jun 20, 2017",0.038020,0.039454,0.032125,0.032976,"918,114","7,968,280"
LMC,"Jun 19, 2017",0.028195,0.038572,0.027752,0.036810,"1,511,580","5,908,400"
LMC,"Jun 18, 2017",0.032215,0.032215,0.027737,0.028424,"379,787","6,749,810"
LMC,"Jun 17, 2017",0.028050,0.032475,0.028050,0.032021,"579,462","5,873,310"
LMC,"Jun 16, 2017",0.030135,0.031097,0.027252,0.028085,"515,394","6,309,320"
LMC,"Jun 15, 2017",0.029048,0.031770,0.025426,0.030174,"986,947","6,080,560"
LMC,"Jun 14, 2017",0.032258,0.039937,0.027939,0.029618,"2,286,820","6,748,290"
LMC,"Jun 13, 2017",0.023201,0.034640,0.022876,0.032245,"2,074,550","4,853,300"
LMC,"Jun 12, 2017",0.022467,0.026778,0.021971,0.023190,"585,824","4,698,710"
LMC,"Jun 11, 2017",0.022841,0.023258,0.021769,0.022423,"237,560","4,773,880"
LMC,"Jun 10, 2017",0.024902,0.025188,0.022813,0.023035,"274,764","5,204,240"
LMC,"Jun 09, 2017",0.023837,0.025709,0.022761,0.025178,"283,758","4,980,780"
LMC,"Jun 08, 2017",0.022277,0.024451,0.020647,0.023985,"590,388","4,651,650"
LMC,"Jun 07, 2017",0.027876,0.028244,0.021871,0.022400,"779,419","5,820,390"
LMC,"Jun 06, 2017",0.023097,0.028568,0.021463,0.028432,"1,256,780","4,821,820"
LMC,"Jun 05, 2017",0.019727,0.024966,0.019482,0.023455,"510,940","4,115,340"
LMC,"Jun 04, 2017",0.019379,0.019922,0.018798,0.019780,"153,475","4,042,470"
LMC,"Jun 03, 2017",0.020923,0.021417,0.018407,0.019369,"246,181","4,363,860"
LMC,"Jun 02, 2017",0.017762,0.021549,0.017762,0.020565,"416,498","3,702,260"
LMC,"Jun 01, 2017",0.017199,0.018264,0.017039,0.017759,"101,967","3,584,480"
LMC,"May 31, 2017",0.016541,0.017612,0.015975,0.016936,"94,167","3,446,590"
LMC,"May 30, 2017",0.017036,0.018162,0.016507,0.016522,"93,786","3,547,970"
LMC,"May 29, 2017",0.016477,0.017622,0.016080,0.017021,"65,368","3,430,860"
LMC,"May 28, 2017",0.018078,0.019618,0.016144,0.016502,"210,209","3,763,350"
LMC,"May 27, 2017",0.016929,0.018177,0.014432,0.017919,"311,315","3,522,740"
LMC,"May 26, 2017",0.017937,0.021605,0.016139,0.016143,"359,112","3,731,280"
LMC,"May 25, 2017",0.030746,0.031133,0.016733,0.017705,"863,368","6,394,800"
LMC,"May 24, 2017",0.027154,0.030881,0.024093,0.030881,"1,523,630","5,645,430"
LMC,"May 23, 2017",0.020690,0.027539,0.019914,0.027349,"738,261","4,300,050"
LMC,"May 22, 2017",0.018894,0.022150,0.018212,0.020575,"492,470","3,926,130"
LMC,"May 21, 2017",0.017708,0.019453,0.016964,0.019054,"310,787","3,678,220"
LMC,"May 20, 2017",0.018382,0.018610,0.017096,0.017709,"81,374","3,816,950"
LMC,"May 19, 2017",0.016948,0.018729,0.016478,0.018301,"105,272","3,518,810"
LMC,"May 18, 2017",0.015888,0.017467,0.015635,0.016940,"158,444","3,297,740"
LMC,"May 17, 2017",0.015641,0.016339,0.014681,0.016079,"95,809","3,244,690"
LMC,"May 16, 2017",0.015545,0.016333,0.013940,0.015614,"117,435","3,224,660"
LMC,"May 15, 2017",0.017821,0.018060,0.014854,0.015479,"214,267","3,695,560"
LMC,"May 14, 2017",0.017972,0.019102,0.017661,0.017827,"54,885","3,724,720"
LMC,"May 13, 2017",0.019572,0.020860,0.017737,0.017967,"144,788","4,055,940"
LMC,"May 12, 2017",0.021827,0.021872,0.018921,0.019612,"3,256","4,522,260"
LMC,"May 11, 2017",0.021668,0.023683,0.021066,0.021805,"4,974","4,486,620"
LMC,"May 10, 2017",0.024639,0.024709,0.021267,0.021630,"7,607","5,101,290"
LMC,"May 09, 2017",0.022184,0.028862,0.021286,0.024622,"10,046","4,592,090"
LMC,"May 08, 2017",0.017311,0.045894,0.015465,0.022177,"37,771","3,581,090"
LMC,"May 07, 2017",0.016788,0.017613,0.015159,0.017309,"8,553","3,472,590"
