symbol,date,open,high,low,close,volume,market_cap
LSK,"Dec 20, 2017",16.82,20.39,15.37,19.57,"115,660,000","1,953,420,000"
LSK,"Dec 19, 2017",17.01,18.76,15.80,16.81,"102,730,000","1,974,370,000"
LSK,"Dec 18, 2017",13.50,18.12,13.01,17.02,"149,703,000","1,566,950,000"
LSK,"Dec 17, 2017",10.51,14.55,10.38,13.43,"128,034,000","1,219,470,000"
LSK,"Dec 16, 2017",10.18,10.65,10.04,10.48,"45,189,500","1,181,070,000"
LSK,"Dec 15, 2017",10.77,11.18,9.56,10.22,"60,658,700","1,248,440,000"
LSK,"Dec 14, 2017",9.54,11.12,9.53,10.72,"68,330,600","1,105,220,000"
LSK,"Dec 13, 2017",9.40,10.21,8.62,9.51,"53,217,400","1,089,060,000"
LSK,"Dec 12, 2017",8.20,9.36,8.19,9.35,"41,474,000","950,373,000"
LSK,"Dec 11, 2017",7.94,8.54,7.84,8.17,"28,711,700","919,207,000"
LSK,"Dec 10, 2017",8.23,8.44,7.51,7.94,"28,777,900","952,954,000"
LSK,"Dec 09, 2017",8.05,8.73,7.91,8.21,"30,708,500","931,630,000"
LSK,"Dec 08, 2017",7.39,8.63,7.00,8.06,"40,878,700","855,170,000"
LSK,"Dec 07, 2017",8.58,8.95,7.36,7.36,"53,831,400","992,573,000"
LSK,"Dec 06, 2017",9.82,9.94,8.35,8.49,"52,262,500","1,135,620,000"
LSK,"Dec 05, 2017",8.83,10.19,8.51,9.94,"69,110,300","1,020,940,000"
LSK,"Dec 04, 2017",7.75,8.86,7.66,8.77,"39,137,100","895,777,000"
LSK,"Dec 03, 2017",7.72,8.31,7.38,7.74,"22,047,600","891,646,000"
LSK,"Dec 02, 2017",7.72,7.90,7.52,7.70,"18,663,400","891,575,000"
LSK,"Dec 01, 2017",7.48,7.95,7.12,7.73,"24,098,300","863,264,000"
LSK,"Nov 30, 2017",7.00,7.55,6.70,7.50,"25,251,200","807,876,000"
LSK,"Nov 29, 2017",7.83,8.03,6.72,6.90,"34,207,700","903,169,000"
LSK,"Nov 28, 2017",7.91,8.35,7.79,7.79,"26,685,400","912,326,000"
LSK,"Nov 27, 2017",7.49,8.06,7.49,7.89,"29,071,700","863,396,000"
LSK,"Nov 26, 2017",8.03,8.09,7.47,7.51,"30,757,600","925,420,000"
LSK,"Nov 25, 2017",7.88,8.49,7.88,8.04,"28,727,000","908,561,000"
LSK,"Nov 24, 2017",7.40,8.12,7.36,7.89,"33,888,100","852,845,000"
LSK,"Nov 23, 2017",8.66,8.83,7.38,7.49,"59,098,700","997,919,000"
LSK,"Nov 22, 2017",9.68,10.70,8.01,8.57,"106,176,000","1,114,590,000"
LSK,"Nov 21, 2017",9.74,10.16,9.25,9.68,"26,816,700","1,121,400,000"
LSK,"Nov 20, 2017",9.72,10.22,9.54,9.77,"26,170,000","1,118,590,000"
LSK,"Nov 19, 2017",9.25,10.26,9.13,9.74,"39,171,200","1,063,710,000"
LSK,"Nov 18, 2017",8.34,9.53,7.96,9.28,"28,695,700","959,358,000"
LSK,"Nov 17, 2017",8.37,9.58,8.02,8.28,"47,083,900","961,893,000"
LSK,"Nov 16, 2017",8.49,11.15,8.41,8.41,"140,758,000","975,188,000"
LSK,"Nov 15, 2017",7.13,8.68,7.13,8.45,"61,652,800","818,827,000"
LSK,"Nov 14, 2017",6.39,7.14,6.32,7.10,"24,092,900","733,401,000"
LSK,"Nov 13, 2017",5.50,6.50,5.50,6.34,"29,720,300","631,108,000"
LSK,"Nov 12, 2017",5.78,5.85,4.89,5.50,"20,592,700","663,164,000"
LSK,"Nov 11, 2017",5.60,6.31,5.51,5.78,"15,022,000","642,032,000"
LSK,"Nov 10, 2017",6.43,6.64,5.36,5.64,"19,419,400","737,826,000"
