symbol,date,open,high,low,close,volume,market_cap
MDA,"Dec 20, 2017",1.95,2.44,1.77,2.18,"3,892,740","38,264,000"
MDA,"Dec 19, 2017",2.31,2.33,1.89,1.95,"2,908,320","45,352,300"
MDA,"Dec 18, 2017",1.93,2.33,1.75,2.31,"4,458,200","37,834,400"
MDA,"Dec 17, 2017",1.74,2.34,1.73,1.89,"4,684,100","34,105,800"
MDA,"Dec 16, 2017",1.40,1.76,1.40,1.68,"3,156,960","27,515,400"
MDA,"Dec 15, 2017",1.57,1.57,1.33,1.40,"2,003,620","30,735,700"
MDA,"Dec 14, 2017",1.40,1.63,1.27,1.56,"2,969,390","27,392,200"
MDA,"Dec 13, 2017",1.70,1.70,1.31,1.40,"1,299,150","33,406,200"
MDA,"Dec 12, 2017",1.47,1.75,1.29,1.72,"3,076,450","28,911,700"
MDA,"Dec 11, 2017",1.34,1.48,1.31,1.48,"1,141,460","26,289,500"
MDA,"Dec 10, 2017",1.44,1.48,1.27,1.36,"1,150,370","28,315,000"
MDA,"Dec 09, 2017",1.39,1.53,1.35,1.44,"1,409,480","27,360,200"
MDA,"Dec 08, 2017",1.36,1.45,1.23,1.39,"1,273,400","26,708,000"
MDA,"Dec 07, 2017",1.43,1.90,1.33,1.36,"2,830,190","28,163,900"
MDA,"Dec 06, 2017",1.43,1.57,1.27,1.44,"2,034,100","27,991,500"
MDA,"Dec 05, 2017",1.41,1.53,1.35,1.43,"1,546,780","27,721,500"
MDA,"Dec 04, 2017",1.51,1.62,1.32,1.41,"1,153,120","29,628,400"
MDA,"Dec 03, 2017",1.33,1.70,1.32,1.51,"1,488,680","26,098,800"
MDA,"Dec 02, 2017",1.42,1.46,1.26,1.33,"942,914","27,817,900"
MDA,"Dec 01, 2017",1.40,1.47,1.28,1.43,"1,072,730","27,539,100"
MDA,"Nov 30, 2017",1.37,1.57,1.17,1.41,"1,343,860","26,835,500"
MDA,"Nov 29, 2017",1.58,1.64,1.33,1.38,"2,298,990","31,099,000"
MDA,"Nov 28, 2017",1.85,1.85,1.54,1.58,"2,114,360","36,344,100"
MDA,"Nov 27, 2017",1.95,2.04,1.78,1.85,"2,063,160","38,187,500"
