symbol,date,open,high,low,close,volume,market_cap
MER,"Dec 20, 2017",0.832918,0.848875,0.684176,0.801624,"1,465,100","83,291,800"
MER,"Dec 19, 2017",0.973199,1.06,0.768366,0.846643,"4,451,320","97,319,900"
MER,"Dec 18, 2017",0.669734,0.902618,0.654128,0.860008,"5,819,800","66,973,400"
MER,"Dec 17, 2017",0.642465,0.766006,0.628450,0.683661,"2,968,990","64,246,500"
MER,"Dec 16, 2017",0.595998,0.700558,0.588990,0.642770,"3,693,240","59,599,800"
MER,"Dec 15, 2017",0.565870,0.624857,0.499307,0.590279,"2,801,140","56,587,000"
MER,"Dec 14, 2017",0.540394,0.576760,0.531349,0.564875,"2,246,430","54,039,400"
MER,"Dec 13, 2017",0.562720,0.612993,0.493286,0.534475,"1,910,330","56,272,000"
MER,"Dec 12, 2017",0.509708,0.626103,0.484651,0.573422,"3,739,800","50,970,800"
MER,"Dec 11, 2017",0.467243,0.516791,0.467243,0.514566,"1,784,890","46,724,300"
MER,"Dec 10, 2017",0.579608,0.579608,0.336795,0.461741,"2,386,700","57,960,800"
MER,"Dec 09, 2017",0.570938,0.623681,0.489920,0.542190,"1,886,120","57,093,800"
MER,"Dec 08, 2017",0.510862,0.612196,0.446691,0.562030,"2,640,670","51,086,200"
MER,"Dec 07, 2017",0.637100,0.677622,0.511216,0.525709,"4,804,840","63,710,000"
MER,"Dec 06, 2017",0.542021,0.724722,0.467556,0.634221,"11,253,200","54,202,100"
MER,"Dec 05, 2017",0.577057,0.592368,0.530539,0.566721,"3,030,690","57,705,700"
MER,"Dec 04, 2017",0.588048,0.588343,0.536912,0.576515,"3,752,870","58,804,800"
MER,"Dec 03, 2017",0.381497,0.630124,0.379315,0.590426,"20,843,800","38,149,700"
MER,"Dec 02, 2017",0.331429,0.399166,0.326920,0.377024,"3,120,650","33,142,900"
MER,"Dec 01, 2017",0.304959,0.341513,0.297728,0.336537,"2,772,110","30,495,900"
MER,"Nov 30, 2017",0.239836,0.380797,0.239836,0.309581,"12,259,300","23,983,600"
MER,"Nov 29, 2017",0.196853,0.429800,0.189654,0.245185,"16,005,700","19,685,300"
MER,"Nov 28, 2017",0.206116,0.206303,0.187289,0.191101,"663,506","20,611,600"
MER,"Nov 27, 2017",0.180490,0.220936,0.175743,0.204442,"3,030,500","18,049,000"
MER,"Nov 26, 2017",0.167628,0.228669,0.155767,0.179897,"3,248,210","16,762,800"
MER,"Nov 25, 2017",0.158945,0.171523,0.155631,0.167882,"708,982","15,894,500"
MER,"Nov 24, 2017",0.152263,0.159321,0.142384,0.159321,"775,396","15,226,300"
MER,"Nov 23, 2017",0.161831,0.162470,0.148402,0.152467,"877,033","16,183,100"
