symbol,date,open,high,low,close,volume,market_cap
MONA,"Dec 20, 2017",14.53,16.96,13.55,14.90,"30,853,800","815,769,000"
MONA,"Dec 19, 2017",15.01,15.57,13.72,14.51,"20,516,000","842,187,000"
MONA,"Dec 18, 2017",13.63,15.77,13.46,14.87,"22,417,200","764,310,000"
MONA,"Dec 17, 2017",13.92,14.44,13.14,13.67,"15,468,800","780,427,000"
MONA,"Dec 16, 2017",14.43,14.69,13.88,13.99,"15,025,400","808,597,000"
MONA,"Dec 15, 2017",14.37,14.76,14.08,14.39,"9,745,340","804,724,000"
MONA,"Dec 14, 2017",14.33,15.04,14.06,14.39,"15,053,300","802,613,000"
MONA,"Dec 13, 2017",13.84,16.01,13.56,14.40,"25,620,400","774,438,000"
MONA,"Dec 12, 2017",14.79,15.47,13.61,14.08,"20,089,900","827,187,000"
MONA,"Dec 11, 2017",14.70,15.61,14.22,14.81,"19,954,600","822,177,000"
MONA,"Dec 10, 2017",13.77,16.21,11.16,14.75,"38,329,700","769,737,000"
MONA,"Dec 09, 2017",14.72,15.78,10.80,13.70,"45,140,600","822,551,000"
MONA,"Dec 08, 2017",15.39,17.93,14.18,14.78,"32,057,700","859,513,000"
MONA,"Dec 07, 2017",16.71,19.86,13.98,15.25,"49,041,000","932,671,000"
MONA,"Dec 06, 2017",14.32,20.23,13.05,16.61,"109,973,000","799,207,000"
MONA,"Dec 05, 2017",8.79,15.81,8.73,14.59,"86,429,200","490,557,000"
MONA,"Dec 04, 2017",7.31,8.74,7.30,8.74,"20,511,800","407,571,000"
MONA,"Dec 03, 2017",6.98,7.45,6.91,7.32,"17,881,100","389,120,000"
MONA,"Dec 02, 2017",6.40,7.02,6.36,6.99,"12,342,100","356,458,000"
MONA,"Dec 01, 2017",6.25,6.44,5.96,6.41,"8,770,500","348,225,000"
MONA,"Nov 30, 2017",5.33,6.63,5.32,6.23,"19,345,100","296,761,000"
MONA,"Nov 29, 2017",5.71,6.39,5.05,5.30,"25,143,200","317,796,000"
MONA,"Nov 28, 2017",7.34,8.17,5.26,5.70,"65,542,900","408,070,000"
MONA,"Nov 27, 2017",4.49,7.72,4.47,7.43,"55,447,100","249,778,000"
MONA,"Nov 26, 2017",4.52,4.64,4.25,4.49,"8,991,700","251,105,000"
MONA,"Nov 25, 2017",4.35,4.78,4.16,4.54,"23,122,100","241,678,000"
MONA,"Nov 24, 2017",3.48,4.50,3.45,4.50,"12,858,700","193,421,000"
MONA,"Nov 23, 2017",3.59,3.64,3.41,3.49,"4,335,900","199,309,000"
MONA,"Nov 22, 2017",2.92,3.90,2.92,3.60,"21,155,000","162,229,000"
MONA,"Nov 21, 2017",2.94,3.03,2.85,2.92,"1,828,570","162,935,000"
MONA,"Nov 20, 2017",3.05,3.08,2.93,2.94,"2,049,500","169,310,000"
MONA,"Nov 19, 2017",3.05,3.10,2.98,3.04,"1,830,310","169,236,000"
MONA,"Nov 18, 2017",2.94,3.06,2.87,3.06,"1,740,550","162,730,000"
MONA,"Nov 17, 2017",2.94,3.01,2.88,2.95,"1,761,820","162,705,000"
MONA,"Nov 16, 2017",3.05,3.12,2.90,2.94,"3,615,170","169,079,000"
MONA,"Nov 15, 2017",2.90,3.21,2.90,3.04,"5,438,440","160,504,000"
MONA,"Nov 14, 2017",2.88,2.91,2.77,2.90,"2,134,370","159,437,000"
MONA,"Nov 13, 2017",2.80,3.25,2.67,2.90,"9,818,930","154,526,000"
MONA,"Nov 12, 2017",2.60,3.11,2.17,2.82,"9,822,060","143,573,000"
MONA,"Nov 11, 2017",2.63,2.71,2.52,2.60,"3,258,960","145,138,000"
MONA,"Nov 10, 2017",2.96,2.99,2.61,2.62,"3,069,090","163,429,000"
MONA,"Nov 09, 2017",2.86,3.04,2.84,2.97,"4,630,550","157,591,000"
MONA,"Nov 08, 2017",2.64,2.92,2.59,2.84,"3,533,310","145,619,000"
MONA,"Nov 07, 2017",2.63,2.70,2.62,2.64,"1,091,000","144,961,000"
MONA,"Nov 06, 2017",2.54,2.77,2.51,2.63,"2,683,310","140,136,000"
MONA,"Nov 05, 2017",2.58,2.61,2.50,2.54,"2,172,030","142,084,000"
MONA,"Nov 04, 2017",2.60,2.70,2.55,2.58,"2,167,010","143,371,000"
MONA,"Nov 03, 2017",2.69,2.70,2.46,2.61,"2,694,730","147,958,000"
MONA,"Nov 02, 2017",2.63,3.14,2.35,2.69,"5,257,020","144,670,000"
MONA,"Nov 01, 2017",3.00,3.03,2.66,2.66,"1,105,480","164,986,000"
MONA,"Oct 31, 2017",3.09,3.20,2.98,2.98,"1,178,160","169,908,000"
MONA,"Oct 30, 2017",2.91,3.37,2.78,3.14,"2,080,380","159,998,000"
MONA,"Oct 29, 2017",3.14,3.14,2.84,2.86,"1,836,960","172,724,000"
MONA,"Oct 28, 2017",3.36,3.44,3.01,3.17,"1,359,820","184,532,000"
MONA,"Oct 27, 2017",3.45,3.58,3.30,3.35,"1,664,830","189,604,000"
MONA,"Oct 26, 2017",3.86,3.86,3.36,3.45,"3,142,650","211,869,000"
MONA,"Oct 25, 2017",3.89,4.05,3.56,3.84,"6,531,660","213,318,000"
MONA,"Oct 24, 2017",2.69,4.21,2.51,3.92,"11,567,400","147,394,000"
MONA,"Oct 23, 2017",2.99,3.09,2.63,2.72,"1,642,920","164,017,000"
MONA,"Oct 22, 2017",2.79,3.16,2.70,3.03,"2,968,300","152,801,000"
MONA,"Oct 21, 2017",2.91,2.93,2.51,2.79,"1,994,190","159,315,000"
MONA,"Oct 20, 2017",3.24,3.24,2.78,2.91,"2,621,270","177,358,000"
MONA,"Oct 19, 2017",2.80,3.53,2.65,3.26,"6,876,370","153,000,000"
MONA,"Oct 18, 2017",2.93,3.06,2.33,2.82,"3,262,070","160,396,000"
MONA,"Oct 17, 2017",3.59,3.59,2.91,2.95,"3,440,610","196,014,000"
MONA,"Oct 16, 2017",4.10,4.21,3.08,3.54,"11,446,700","224,092,000"
MONA,"Oct 15, 2017",4.00,4.24,2.54,4.18,"16,434,800","218,695,000"
MONA,"Oct 14, 2017",4.76,5.80,3.40,4.15,"40,505,000","259,814,000"
MONA,"Oct 13, 2017",3.50,6.30,3.18,4.67,"89,781,400","191,171,000"
MONA,"Oct 12, 2017",1.45,3.43,1.37,3.40,"40,889,700","79,330,900"
MONA,"Oct 11, 2017",0.761566,1.52,0.744142,1.45,"2,901,910","41,529,900"
MONA,"Oct 10, 2017",0.690739,0.787718,0.670104,0.761928,"279,882","37,651,800"
MONA,"Oct 09, 2017",0.649278,0.785435,0.645951,0.690980,"651,041","35,366,800"
MONA,"Oct 08, 2017",0.804205,0.844052,0.643864,0.655201,"1,929,520","43,800,000"
MONA,"Oct 07, 2017",0.527623,0.922941,0.519573,0.805991,"4,835,920","28,724,300"
MONA,"Oct 06, 2017",0.465222,0.556832,0.464218,0.527705,"321,507","25,316,500"
MONA,"Oct 05, 2017",0.449967,0.475824,0.444760,0.465901,"70,712","24,476,100"
MONA,"Oct 04, 2017",0.449407,0.473954,0.432421,0.445177,"107,480","24,435,300"
MONA,"Oct 03, 2017",0.480752,0.505363,0.430897,0.455395,"174,019","26,128,600"
MONA,"Oct 02, 2017",0.449160,0.693127,0.440709,0.480731,"1,380,910","24,401,300"
MONA,"Oct 01, 2017",0.469081,0.470838,0.437791,0.449816,"94,585","25,472,800"
MONA,"Sep 30, 2017",0.479918,0.511676,0.458396,0.468827,"90,811","26,050,400"
MONA,"Sep 29, 2017",0.442935,0.501408,0.429180,0.482250,"110,430","24,032,800"
MONA,"Sep 28, 2017",0.470758,0.471514,0.438352,0.440120,"69,311","25,531,700"
MONA,"Sep 27, 2017",0.449820,0.471343,0.439138,0.469551,"60,460","24,385,900"
MONA,"Sep 26, 2017",0.461559,0.468736,0.450226,0.450980,"45,289","25,011,900"
MONA,"Sep 25, 2017",0.450753,0.472835,0.450753,0.460741,"65,855","24,416,000"
MONA,"Sep 24, 2017",0.466054,0.472166,0.450314,0.452316,"52,795","25,234,200"
MONA,"Sep 23, 2017",0.446613,0.477223,0.444784,0.466693,"69,796","24,171,500"
MONA,"Sep 22, 2017",0.457459,0.473203,0.442533,0.448218,"51,277","24,748,200"
MONA,"Sep 21, 2017",0.475418,0.491299,0.446650,0.453647,"82,793","25,709,000"
MONA,"Sep 20, 2017",0.454985,0.499294,0.444207,0.477590,"110,481","24,593,800"
MONA,"Sep 19, 2017",0.463559,0.467062,0.436622,0.449215,"64,115","25,046,500"
MONA,"Sep 18, 2017",0.422888,0.480447,0.422888,0.466362,"90,432","22,839,600"
MONA,"Sep 17, 2017",0.428403,0.436171,0.404670,0.418483,"27,481","23,127,600"
MONA,"Sep 16, 2017",0.427176,0.471101,0.412788,0.427467,"132,884","23,051,700"
MONA,"Sep 15, 2017",0.388023,0.449133,0.351520,0.429105,"142,411","20,930,000"
MONA,"Sep 14, 2017",0.478992,0.485411,0.388856,0.388856,"150,380","25,826,000"
MONA,"Sep 13, 2017",0.508714,0.508714,0.465621,0.479597,"131,829","27,417,000"
MONA,"Sep 12, 2017",0.514134,0.533250,0.502227,0.510081,"97,553","27,697,400"
MONA,"Sep 11, 2017",0.506757,0.524352,0.486871,0.508828,"158,193","27,288,500"
MONA,"Sep 10, 2017",0.511143,0.514086,0.481943,0.506391,"79,256","27,513,200"
