symbol,date,open,high,low,close,volume,market_cap
MOON,"Dec 20, 2017",0.000094,0.000104,0.000083,0.000093,"52,590","21,065,500"
MOON,"Dec 19, 2017",0.000116,0.000121,0.000086,0.000094,"55,883","25,896,600"
MOON,"Dec 18, 2017",0.000105,0.000131,0.000099,0.000117,"141,739","23,448,800"
MOON,"Dec 17, 2017",0.000097,0.000109,0.000088,0.000106,"166,530","21,587,500"
MOON,"Dec 16, 2017",0.000062,0.000101,0.000059,0.000095,"252,382","13,798,600"
MOON,"Dec 15, 2017",0.000050,0.000065,0.000048,0.000062,"48,140","11,184,800"
MOON,"Dec 14, 2017",0.000051,0.000056,0.000045,0.000050,"36,296","11,394,100"
MOON,"Dec 13, 2017",0.000052,0.000061,0.000045,0.000051,"12,493","11,524,200"
MOON,"Dec 12, 2017",0.000045,0.000062,0.000044,0.000052,"27,051","9,974,120"
MOON,"Dec 11, 2017",0.000041,0.000051,0.000038,0.000044,"31,467","9,186,270"
MOON,"Dec 10, 2017",0.000039,0.000050,0.000034,0.000042,"13,326","8,736,820"
MOON,"Dec 09, 2017",0.000045,0.000050,0.000034,0.000039,"14,530","9,975,850"
MOON,"Dec 08, 2017",0.000070,0.000073,0.000036,0.000044,"13,501","15,558,800"
MOON,"Dec 07, 2017",0.000045,0.000072,0.000043,0.000071,"17,070","9,929,850"
MOON,"Dec 06, 2017",0.000045,0.000054,0.000031,0.000044,"10,999","9,937,930"
MOON,"Dec 05, 2017",0.000053,0.000061,0.000043,0.000045,"5,443","11,859,400"
MOON,"Dec 04, 2017",0.000048,0.000059,0.000038,0.000053,"5,448","10,688,400"
MOON,"Dec 03, 2017",0.000030,0.000055,0.000027,0.000048,"5,610","6,668,440"
MOON,"Dec 02, 2017",0.000037,0.000038,0.000028,0.000030,"4,179","8,162,760"
MOON,"Dec 01, 2017",0.000037,0.000050,0.000035,0.000036,"7,642","8,244,860"
MOON,"Nov 30, 2017",0.000030,0.000037,0.000026,0.000037,"4,175","6,797,660"
MOON,"Nov 29, 2017",0.000055,0.000056,0.000030,0.000030,"12,366","12,197,500"
MOON,"Nov 28, 2017",0.000035,0.000056,0.000034,0.000055,"5,687","7,819,900"
MOON,"Nov 27, 2017",0.000041,0.000047,0.000030,0.000035,"12,486","9,058,240"
MOON,"Nov 26, 2017",0.000023,0.000090,0.000022,0.000041,"4,777","5,027,820"
MOON,"Nov 25, 2017",0.000041,0.000042,0.000022,0.000023,"7,107","9,079,810"
MOON,"Nov 24, 2017",0.000034,0.000050,0.000033,0.000046,"9,560","7,502,880"
MOON,"Nov 23, 2017",0.000033,0.000037,0.000031,0.000034,"6,510","7,351,790"
MOON,"Nov 22, 2017",0.000045,0.000056,0.000025,0.000033,"17,714","10,013,800"
MOON,"Nov 21, 2017",0.000054,0.000057,0.000038,0.000045,"6,542","11,996,800"
MOON,"Nov 20, 2017",0.000047,0.000063,0.000037,0.000060,"3,273","10,386,500"
MOON,"Nov 19, 2017",0.000034,0.000053,0.000030,0.000047,"8,203","7,529,350"
MOON,"Nov 18, 2017",0.000037,0.000043,0.000031,0.000034,"3,704","8,192,180"
MOON,"Nov 17, 2017",0.000047,0.000053,0.000036,0.000037,"5,262","10,462,900"
MOON,"Nov 16, 2017",0.000038,0.000086,0.000038,0.000047,"12,490","8,481,530"
MOON,"Nov 15, 2017",0.000038,0.000089,0.000029,0.000038,"11,174","8,483,340"
MOON,"Nov 14, 2017",0.000032,0.000044,0.000025,0.000038,"6,465","7,085,810"
MOON,"Nov 13, 2017",0.000023,0.000033,0.000022,0.000032,"2,586","5,079,830"
MOON,"Nov 12, 2017",0.000024,0.000027,0.000021,0.000023,"2,385","5,328,140"
MOON,"Nov 11, 2017",0.000027,0.000037,0.000022,0.000024,"2,390","5,932,070"
MOON,"Nov 10, 2017",0.000024,0.000037,0.000021,0.000027,"3,255","5,311,560"
MOON,"Nov 09, 2017",0.000021,0.000031,0.000021,0.000024,"4,582","4,746,080"
MOON,"Nov 08, 2017",0.000024,0.000024,0.000020,0.000021,"20,041","5,258,460"
MOON,"Nov 07, 2017",0.000022,0.000025,0.000022,0.000024,"21,924","4,881,220"
MOON,"Nov 06, 2017",0.000019,0.000023,0.000018,0.000022,"21,437","4,227,880"
MOON,"Nov 05, 2017",0.000017,0.000021,0.000016,0.000019,"52,140","3,875,220"
MOON,"Nov 04, 2017",0.000023,0.000023,0.000015,0.000017,"59,722","5,043,840"
MOON,"Nov 03, 2017",0.000017,0.000028,0.000015,0.000023,"11,341","3,675,210"
MOON,"Nov 02, 2017",0.000023,0.000023,0.000014,0.000016,"13,243","5,018,410"
MOON,"Nov 01, 2017",0.000023,0.000031,0.000015,0.000022,"10,493","5,109,550"
MOON,"Oct 31, 2017",0.000025,0.000029,0.000022,0.000023,"15,042","5,583,270"
MOON,"Oct 30, 2017",0.000028,0.000031,0.000020,0.000025,"6,845","6,337,740"
MOON,"Oct 29, 2017",0.000032,0.000033,0.000028,0.000029,"6,518","7,028,800"
MOON,"Oct 28, 2017",0.000034,0.000034,0.000025,0.000032,"8,056","7,606,870"
MOON,"Oct 27, 2017",0.000037,0.000044,0.000032,0.000034,"2,659","8,281,230"
MOON,"Oct 26, 2017",0.000029,0.000038,0.000029,0.000038,"3,884","6,526,940"
MOON,"Oct 25, 2017",0.000044,0.000044,0.000021,0.000030,"7,370","9,678,840"
MOON,"Oct 24, 2017",0.000043,0.000045,0.000038,0.000043,"4,170","9,487,340"
MOON,"Oct 23, 2017",0.000039,0.000043,0.000035,0.000043,"5,509","8,663,770"
MOON,"Oct 22, 2017",0.000048,0.000049,0.000037,0.000039,"8,314","10,771,000"
MOON,"Oct 21, 2017",0.000055,0.000057,0.000046,0.000048,"3,863","12,150,500"
MOON,"Oct 20, 2017",0.000043,0.000056,0.000043,0.000055,"3,532","9,638,390"
MOON,"Oct 19, 2017",0.000046,0.000046,0.000042,0.000044,"3,760","10,229,300"
MOON,"Oct 18, 2017",0.000052,0.000052,0.000041,0.000046,"4,897","11,550,200"
MOON,"Oct 17, 2017",0.000050,0.000056,0.000048,0.000052,"9,313","11,098,900"
MOON,"Oct 16, 2017",0.000056,0.000140,0.000049,0.000050,"5,230","12,418,100"
MOON,"Oct 15, 2017",0.000048,0.000056,0.000047,0.000056,"51,890","10,589,300"
MOON,"Oct 14, 2017",0.000043,0.000050,0.000039,0.000048,"11,163","9,545,270"
MOON,"Oct 13, 2017",0.000049,0.000057,0.000036,0.000043,"13,169","10,831,000"
MOON,"Oct 12, 2017",0.000045,0.000071,0.000040,0.000048,"10,048","10,047,000"
MOON,"Oct 11, 2017",0.000049,0.000051,0.000040,0.000042,"8,762","10,896,100"
MOON,"Oct 10, 2017",0.000046,0.000058,0.000046,0.000049,"9,528","10,293,600"
MOON,"Oct 09, 2017",0.000045,0.000056,0.000043,0.000046,"16,431","9,999,890"
MOON,"Oct 08, 2017",0.000049,0.000061,0.000044,0.000045,"11,144","10,885,800"
