symbol,date,open,high,low,close,volume,market_cap
MUE,"Dec 20, 2017",0.293179,0.309308,0.251288,0.308410,"894,982","35,309,500"
MUE,"Dec 19, 2017",0.315863,0.342584,0.276084,0.292939,"1,592,570","38,018,300"
MUE,"Dec 18, 2017",0.275486,0.315690,0.260592,0.311011,"1,244,740","33,138,000"
MUE,"Dec 17, 2017",0.256702,0.277388,0.245814,0.271794,"925,162","30,859,400"
MUE,"Dec 16, 2017",0.252340,0.259497,0.242321,0.256863,"879,583","30,316,300"
MUE,"Dec 15, 2017",0.258436,0.258961,0.233679,0.252866,"828,535","31,029,700"
MUE,"Dec 14, 2017",0.250552,0.268090,0.238163,0.257220,"1,361,430","30,064,600"
MUE,"Dec 13, 2017",0.262587,0.291175,0.237114,0.252672,"2,903,140","31,489,200"
MUE,"Dec 12, 2017",0.227015,0.306495,0.214001,0.261677,"4,756,610","27,206,700"
MUE,"Dec 11, 2017",0.188454,0.248949,0.178005,0.225787,"2,275,930","22,571,400"
MUE,"Dec 10, 2017",0.203457,0.208208,0.164376,0.182608,"390,480","24,322,800"
MUE,"Dec 09, 2017",0.223625,0.233999,0.180137,0.205332,"530,820","26,733,800"
MUE,"Dec 08, 2017",0.231525,0.238383,0.186286,0.224013,"1,073,850","27,678,300"
MUE,"Dec 07, 2017",0.299030,0.319533,0.220675,0.230809,"4,300,000","31,075,400"
MUE,"Dec 06, 2017",0.210364,0.421710,0.180910,0.301884,"13,956,400","21,845,500"
MUE,"Dec 05, 2017",0.189644,0.217676,0.173569,0.207783,"1,330,190","19,679,800"
MUE,"Dec 04, 2017",0.167952,0.197107,0.161840,0.188923,"1,312,760","20,028,900"
MUE,"Dec 03, 2017",0.152261,0.197216,0.149341,0.165045,"819,048","18,146,400"
MUE,"Dec 02, 2017",0.155646,0.158282,0.146342,0.152116,"145,791","18,538,300"
MUE,"Dec 01, 2017",0.149665,0.159075,0.138213,0.158393,"184,569","17,814,800"
MUE,"Nov 30, 2017",0.130936,0.160274,0.121806,0.150410,"385,720","15,575,800"
MUE,"Nov 29, 2017",0.142466,0.152242,0.118229,0.128762,"460,828","16,936,800"
MUE,"Nov 28, 2017",0.146331,0.163694,0.140183,0.142409,"731,214","17,385,400"
MUE,"Nov 27, 2017",0.146017,0.154063,0.138078,0.146244,"359,482","17,337,300"
MUE,"Nov 26, 2017",0.147139,0.152894,0.134647,0.145989,"567,696","17,459,800"
MUE,"Nov 25, 2017",0.140792,0.150713,0.138965,0.147188,"465,284","17,337,400"
MUE,"Nov 24, 2017",0.147319,0.153000,0.136864,0.139021,"629,401","18,130,300"
MUE,"Nov 23, 2017",0.130699,0.165953,0.125399,0.145669,"2,088,540","16,075,300"
MUE,"Nov 22, 2017",0.115081,0.138972,0.112116,0.130751,"452,431","14,145,700"
MUE,"Nov 21, 2017",0.112675,0.125131,0.105514,0.114235,"263,328","13,841,700"
MUE,"Nov 20, 2017",0.102955,0.137495,0.102582,0.112077,"1,583,700","13,257,800"
MUE,"Nov 19, 2017",0.105435,0.115286,0.102540,0.103889,"124,683","13,569,200"
MUE,"Nov 18, 2017",0.107614,0.108462,0.100676,0.105631,"56,250","13,841,800"
MUE,"Nov 17, 2017",0.108100,0.113391,0.100339,0.107951,"79,444","13,896,200"
MUE,"Nov 16, 2017",0.105894,0.118374,0.101425,0.109299,"184,537","13,604,900"
MUE,"Nov 15, 2017",0.096397,0.108441,0.096279,0.105342,"75,131","12,377,600"
MUE,"Nov 14, 2017",0.092477,0.103790,0.090903,0.096331,"98,994","11,867,400"
MUE,"Nov 13, 2017",0.083013,0.102010,0.082021,0.093520,"99,014","10,646,800"
MUE,"Nov 12, 2017",0.097326,0.102066,0.077517,0.083127,"100,736","12,475,300"
MUE,"Nov 11, 2017",0.105007,0.110315,0.095656,0.097398,"43,281","13,452,000"
MUE,"Nov 10, 2017",0.116628,0.126167,0.097060,0.105382,"119,773","14,932,100"
MUE,"Nov 09, 2017",0.110144,0.123575,0.100183,0.116283,"223,453","14,093,900"
MUE,"Nov 08, 2017",0.096352,0.113765,0.095152,0.110183,"193,996","12,322,000"
MUE,"Nov 07, 2017",0.100558,0.114139,0.096052,0.098298,"90,967","12,852,400"
MUE,"Nov 06, 2017",0.097518,0.120726,0.093260,0.100650,"176,222","12,456,700"
MUE,"Nov 05, 2017",0.095308,0.104675,0.092100,0.097598,"131,605","12,167,300"
MUE,"Nov 04, 2017",0.096753,0.102355,0.093391,0.095489,"62,250","12,344,700"
MUE,"Nov 03, 2017",0.096517,0.123929,0.091089,0.093413,"148,022","12,307,600"
MUE,"Nov 02, 2017",0.118962,0.124872,0.088034,0.096644,"138,450","15,160,900"
MUE,"Nov 01, 2017",0.111802,0.121337,0.104719,0.118224,"115,564","14,240,200"
MUE,"Oct 31, 2017",0.112106,0.125290,0.108220,0.110852,"279,867","14,270,600"
MUE,"Oct 30, 2017",0.117038,0.117038,0.108282,0.112057,"46,881","14,889,800"
MUE,"Oct 29, 2017",0.110266,0.121012,0.107680,0.117721,"81,025","14,020,200"
MUE,"Oct 28, 2017",0.115273,0.120137,0.103261,0.109615,"136,001","14,648,300"
MUE,"Oct 27, 2017",0.112438,0.116319,0.109609,0.115649,"39,883","14,279,700"
MUE,"Oct 26, 2017",0.114745,0.118430,0.109624,0.112412,"83,185","14,564,200"
MUE,"Oct 25, 2017",0.121403,0.129637,0.110253,0.115275,"121,929","15,400,400"
MUE,"Oct 24, 2017",0.118427,0.132779,0.112672,0.119865,"246,564","15,014,300"
MUE,"Oct 23, 2017",0.121632,0.126679,0.102638,0.119743,"99,275","15,411,500"
MUE,"Oct 22, 2017",0.100292,0.131199,0.095823,0.124523,"211,614","12,700,300"
MUE,"Oct 21, 2017",0.105631,0.109039,0.097440,0.100262,"66,795","13,368,600"
MUE,"Oct 20, 2017",0.120244,0.122283,0.103956,0.105853,"98,750","15,209,200"
MUE,"Oct 19, 2017",0.116271,0.122187,0.111880,0.120210,"59,115","14,698,200"
MUE,"Oct 18, 2017",0.122098,0.126840,0.107938,0.118165,"68,354","15,425,800"
MUE,"Oct 17, 2017",0.126245,0.129820,0.116105,0.122090,"48,837","15,940,400"
MUE,"Oct 16, 2017",0.125677,0.138672,0.102449,0.126110,"169,283","15,859,400"
MUE,"Oct 15, 2017",0.131855,0.136615,0.116921,0.125660,"78,540","16,629,300"
MUE,"Oct 14, 2017",0.117412,0.152235,0.117412,0.131620,"175,620","14,799,100"
MUE,"Oct 13, 2017",0.125027,0.130203,0.102616,0.117776,"179,844","15,749,800"
MUE,"Oct 12, 2017",0.135328,0.141388,0.119142,0.124643,"268,224","17,037,300"
MUE,"Oct 11, 2017",0.130642,0.143283,0.120906,0.135840,"120,475","16,437,900"
MUE,"Oct 10, 2017",0.130615,0.141711,0.124161,0.130331,"147,678","16,424,700"
MUE,"Oct 09, 2017",0.119995,0.157417,0.108641,0.130241,"230,224","15,080,400"
MUE,"Oct 08, 2017",0.143084,0.148175,0.119604,0.122633,"263,278","17,971,600"
MUE,"Oct 07, 2017",0.150023,0.150091,0.129734,0.142710,"208,579","18,832,000"
MUE,"Oct 06, 2017",0.153826,0.156873,0.147617,0.149974,"85,965","19,298,000"
MUE,"Oct 05, 2017",0.157104,0.158539,0.145444,0.153826,"158,612","19,697,600"
MUE,"Oct 04, 2017",0.166266,0.170951,0.156286,0.156962,"190,647","21,665,400"
MUE,"Oct 03, 2017",0.190347,0.203647,0.159956,0.165838,"1,019,580","24,789,200"
MUE,"Oct 02, 2017",0.183410,0.228130,0.178490,0.189327,"1,792,940","23,872,300"
MUE,"Oct 01, 2017",0.160802,0.226059,0.148990,0.181381,"1,915,450","20,917,800"
