symbol,date,open,high,low,close,volume,market_cap
NEOS,"Dec 20, 2017",6.68,6.79,5.78,6.40,"681,695","24,181,400"
NEOS,"Dec 19, 2017",7.27,7.75,6.56,6.73,"899,893","26,277,100"
NEOS,"Dec 18, 2017",7.08,7.83,6.85,7.27,"1,719,910","25,607,800"
NEOS,"Dec 17, 2017",6.84,7.72,6.57,7.09,"1,439,070","24,709,400"
NEOS,"Dec 16, 2017",6.16,7.32,6.06,6.84,"1,330,490","22,253,500"
NEOS,"Dec 15, 2017",5.70,6.42,5.23,6.15,"1,426,610","20,581,500"
NEOS,"Dec 14, 2017",5.77,6.39,5.07,5.72,"1,107,670","20,842,800"
NEOS,"Dec 13, 2017",5.23,6.23,4.93,5.79,"929,100","18,863,800"
NEOS,"Dec 12, 2017",4.58,5.70,4.46,5.15,"737,729","16,513,700"
NEOS,"Dec 11, 2017",4.39,4.87,4.38,4.61,"159,935","15,824,700"
NEOS,"Dec 10, 2017",4.54,4.65,3.92,4.42,"120,345","16,375,500"
NEOS,"Dec 09, 2017",4.86,5.01,4.07,4.53,"174,193","17,523,800"
NEOS,"Dec 08, 2017",4.77,5.33,3.98,4.87,"366,806","17,189,500"
NEOS,"Dec 07, 2017",4.77,5.12,4.47,4.76,"461,866","17,186,500"
NEOS,"Dec 06, 2017",4.93,5.46,4.52,4.78,"1,021,450","17,727,000"
NEOS,"Dec 05, 2017",4.40,5.00,4.34,4.94,"439,716","15,842,000"
NEOS,"Dec 04, 2017",4.25,4.55,4.15,4.39,"287,026","15,264,500"
NEOS,"Dec 03, 2017",3.71,4.47,3.66,4.29,"454,812","13,348,300"
NEOS,"Dec 02, 2017",3.57,3.73,3.45,3.71,"155,607","12,821,700"
NEOS,"Dec 01, 2017",3.39,3.65,3.21,3.58,"93,278","12,179,600"
NEOS,"Nov 30, 2017",3.51,3.80,3.12,3.41,"102,056","12,607,100"
NEOS,"Nov 29, 2017",3.79,4.19,3.23,3.46,"384,152","13,608,100"
NEOS,"Nov 28, 2017",3.57,3.84,3.50,3.80,"178,119","12,813,600"
NEOS,"Nov 27, 2017",3.63,3.76,3.51,3.56,"180,246","12,995,300"
NEOS,"Nov 26, 2017",3.57,3.91,3.36,3.62,"375,582","12,784,300"
NEOS,"Nov 25, 2017",3.20,3.93,3.19,3.55,"510,315","11,468,300"
NEOS,"Nov 24, 2017",3.25,3.41,3.10,3.19,"293,950","11,633,700"
NEOS,"Nov 23, 2017",3.09,3.31,2.98,3.24,"269,204","11,066,600"
NEOS,"Nov 22, 2017",2.85,3.10,2.81,3.09,"190,513","10,210,100"
NEOS,"Nov 21, 2017",3.10,3.10,2.77,2.86,"329,278","11,072,300"
NEOS,"Nov 20, 2017",3.41,3.41,2.96,3.09,"654,319","12,174,000"
