symbol,date,open,high,low,close,volume,market_cap
NLC2,"Dec 20, 2017",0.169764,0.176869,0.142290,0.172107,"168,931","34,757,900"
NLC2,"Dec 19, 2017",0.233830,0.237438,0.160620,0.171235,"235,448","47,872,000"
NLC2,"Dec 18, 2017",0.175445,0.232042,0.172229,0.229558,"228,356","35,916,900"
NLC2,"Dec 17, 2017",0.150929,0.185357,0.145947,0.174920,"112,167","30,896,200"
NLC2,"Dec 16, 2017",0.138718,0.151512,0.132464,0.148237,"96,385","28,394,800"
NLC2,"Dec 15, 2017",0.138899,0.154276,0.127945,0.134098,"183,808","28,430,100"
NLC2,"Dec 14, 2017",0.122727,0.146581,0.119804,0.138796,"163,296","25,118,500"
NLC2,"Dec 13, 2017",0.126826,0.136527,0.118353,0.121085,"101,779","25,955,800"
NLC2,"Dec 12, 2017",0.141641,0.167579,0.126322,0.127546,"197,983","28,986,300"
NLC2,"Dec 11, 2017",0.164750,0.173384,0.141850,0.142038,"175,087","33,713,300"
NLC2,"Dec 10, 2017",0.154246,0.170757,0.133929,0.162801,"78,102","31,562,000"
NLC2,"Dec 09, 2017",0.171260,0.178036,0.145526,0.156111,"73,218","35,041,200"
NLC2,"Dec 08, 2017",0.130337,0.185951,0.112309,0.171333,"238,633","26,666,400"
NLC2,"Dec 07, 2017",0.154987,0.169172,0.124454,0.130006,"213,170","31,707,600"
NLC2,"Dec 06, 2017",0.171436,0.171640,0.138283,0.155111,"329,547","35,070,800"
NLC2,"Dec 05, 2017",0.152064,0.180766,0.147276,0.171693,"243,490","31,106,000"
NLC2,"Dec 04, 2017",0.174686,0.187447,0.146210,0.156407,"162,996","35,731,500"
NLC2,"Dec 03, 2017",0.191569,0.200422,0.164671,0.174111,"129,264","39,182,200"
NLC2,"Dec 02, 2017",0.199389,0.202470,0.172358,0.191386,"147,021","40,779,400"
NLC2,"Dec 01, 2017",0.190200,0.207684,0.167070,0.199558,"73,092","38,897,600"
NLC2,"Nov 30, 2017",0.168614,0.200187,0.165174,0.193656,"52,606","34,481,000"
NLC2,"Nov 29, 2017",0.227720,0.243495,0.163375,0.175512,"247,902","46,565,500"
NLC2,"Nov 28, 2017",0.154878,0.227953,0.154676,0.227953,"206,019","31,668,600"
NLC2,"Nov 27, 2017",0.158226,0.164396,0.148195,0.154422,"90,125","32,351,200"
NLC2,"Nov 26, 2017",0.177923,0.177923,0.152102,0.160379,"115,439","36,376,300"
NLC2,"Nov 25, 2017",0.166678,0.177949,0.151801,0.177949,"171,696","34,075,500"
NLC2,"Nov 24, 2017",0.171628,0.182086,0.163644,0.167013,"127,977","35,085,000"
NLC2,"Nov 23, 2017",0.177280,0.185144,0.171861,0.171861,"61,837","36,238,300"
NLC2,"Nov 22, 2017",0.174637,0.184959,0.167337,0.176556,"90,641","35,696,000"
NLC2,"Nov 21, 2017",0.170210,0.182411,0.157791,0.174216,"64,493","34,789,100"
NLC2,"Nov 20, 2017",0.176517,0.186173,0.152399,0.170175,"102,124","36,075,900"
NLC2,"Nov 19, 2017",0.185641,0.188335,0.163125,0.178519,"113,037","37,938,500"
NLC2,"Nov 18, 2017",0.184243,0.189288,0.175604,0.185987,"81,242","37,650,400"
NLC2,"Nov 17, 2017",0.195828,0.203892,0.184546,0.184946,"54,714","40,015,700"
NLC2,"Nov 16, 2017",0.188695,0.202242,0.182561,0.196156,"74,243","38,556,000"
NLC2,"Nov 15, 2017",0.177730,0.192065,0.170530,0.187714,"117,488","36,313,400"
NLC2,"Nov 14, 2017",0.179023,0.194971,0.174059,0.178289,"90,958","36,575,500"
NLC2,"Nov 13, 2017",0.164982,0.191568,0.163421,0.180651,"167,896","33,704,800"
NLC2,"Nov 12, 2017",0.179442,0.188231,0.152404,0.164740,"73,688","36,656,600"
NLC2,"Nov 11, 2017",0.181320,0.203985,0.178925,0.180348,"184,528","37,037,900"
NLC2,"Nov 10, 2017",0.220661,0.224759,0.173443,0.181968,"160,358","45,071,500"
NLC2,"Nov 09, 2017",0.219576,0.225617,0.199318,0.220790,"130,065","44,847,100"
NLC2,"Nov 08, 2017",0.193216,0.219802,0.190985,0.219802,"88,608","39,460,900"
NLC2,"Nov 07, 2017",0.191561,0.213716,0.177087,0.193833,"217,494","39,120,500"
NLC2,"Nov 06, 2017",0.216132,0.227264,0.185340,0.191868,"156,335","44,136,000"
NLC2,"Nov 05, 2017",0.204862,0.246295,0.199217,0.214238,"139,141","41,832,100"
NLC2,"Nov 04, 2017",0.202223,0.209913,0.175914,0.202975,"99,534","41,290,900"
NLC2,"Nov 03, 2017",0.191511,0.253825,0.179875,0.200129,"153,890","39,101,400"
NLC2,"Nov 02, 2017",0.196775,0.213251,0.152861,0.191762,"94,716","40,173,900"
NLC2,"Nov 01, 2017",0.200211,0.221661,0.189380,0.196562,"131,721","40,873,000"
NLC2,"Oct 31, 2017",0.204826,0.213537,0.198302,0.200358,"104,439","41,812,600"
NLC2,"Oct 30, 2017",0.215494,0.227513,0.202227,0.202383,"140,511","43,987,800"
NLC2,"Oct 29, 2017",0.215148,0.225916,0.203123,0.216753,"117,470","43,914,300"
NLC2,"Oct 28, 2017",0.224976,0.238810,0.197580,0.215443,"84,228","45,917,600"
NLC2,"Oct 27, 2017",0.230586,0.234340,0.210852,0.223311,"88,754","47,059,600"
NLC2,"Oct 26, 2017",0.234740,0.240317,0.221475,0.230979,"96,671","47,903,700"
NLC2,"Oct 25, 2017",0.231617,0.255658,0.212334,0.234768,"156,409","47,263,100"
NLC2,"Oct 24, 2017",0.216193,0.244955,0.200447,0.231313,"167,674","44,111,800"
NLC2,"Oct 23, 2017",0.235476,0.239929,0.176434,0.216721,"112,525","48,043,600"
NLC2,"Oct 22, 2017",0.218235,0.240645,0.208900,0.234324,"74,398","44,523,800"
NLC2,"Oct 21, 2017",0.245624,0.262531,0.187384,0.217813,"188,068","50,108,800"
NLC2,"Oct 20, 2017",0.282545,0.302721,0.228986,0.251111,"258,104","57,637,800"
NLC2,"Oct 19, 2017",0.228745,0.338892,0.228244,0.282078,"509,504","46,660,500"
NLC2,"Oct 18, 2017",0.189380,0.290219,0.168962,0.230385,"275,000","38,628,400"
NLC2,"Oct 17, 2017",0.182781,0.194262,0.163332,0.194189,"62,865","37,280,100"
NLC2,"Oct 16, 2017",0.179093,0.184720,0.156635,0.182752,"77,763","36,526,000"
NLC2,"Oct 15, 2017",0.177009,0.198902,0.158489,0.181748,"29,492","36,098,800"
NLC2,"Oct 14, 2017",0.141556,0.217681,0.141438,0.178649,"126,704","28,866,800"
NLC2,"Oct 13, 2017",0.144241,0.156720,0.114556,0.141517,"102,436","29,412,900"
